valid_time,time,latitude,t2m
2000-01,2000-01-01,49.071,277.00906
2000-01,2000-01-01,49.071,277.00543
2000-01,2000-01-01,49.071,276.99554
2000-01,2000-01-01,49.071,276.8849
2000-01,2000-01-01,48.821,276.92764
2000-01,2000-01-01,48.821,276.95346
2000-01,2000-01-01,48.821,276.99063
2000-01,2000-01-01,48.821,276.89694
2000-01,2000-01-01,48.571,276.83917
2000-01,2000-01-01,48.571,276.93726
2000-01,2000-01-01,48.571,276.9852
2000-01,2000-01-01,48.571,276.96063
2000-02,2000-02-01,49.071,279.77557
2000-02,2000-02-01,49.071,279.7514
2000-02,2000-02-01,49.071,279.72632
2000-02,2000-02-01,49.071,279.5656
2000-02,2000-02-01,48.821,279.7714
2000-02,2000-02-01,48.821,279.77664
2000-02,2000-02-01,48.821,279.78125
2000-02,2000-02-01,48.821,279.63458
2000-02,2000-02-01,48.571,279.7185
2000-02,2000-02-01,48.571,279.7844
2000-02,2000-02-01,48.571,279.7939
2000-02,2000-02-01,48.571,279.71036
2000-03,2000-03-01,49.071,280.5061
2000-03,2000-03-01,49.071,280.55548
2000-03,2000-03-01,49.071,280.57983
2000-03,2000-03-01,49.071,280.49023
2000-03,2000-03-01,48.821,280.42993
2000-03,2000-03-01,48.821,280.50894
2000-03,2000-03-01,48.821,280.5764
2000-03,2000-03-01,48.821,280.4983
2000-03,2000-03-01,48.571,280.33517
2000-03,2000-03-01,48.571,280.4496
2000-03,2000-03-01,48.571,280.52084
2000-03,2000-03-01,48.571,280.53876
2000-04,2000-04-01,49.071,282.68433
2000-04,2000-04-01,49.071,282.82684
2000-04,2000-04-01,49.071,282.96576
2000-04,2000-04-01,49.071,282.99902
2000-04,2000-04-01,48.821,282.68893
2000-04,2000-04-01,48.821,282.8673
2000-04,2000-04-01,48.821,283.0612
2000-04,2000-04-01,48.821,283.11267
2000-04,2000-04-01,48.571,282.6729
2000-04,2000-04-01,48.571,282.91052
2000-04,2000-04-01,48.571,283.11157
2000-04,2000-04-01,48.571,283.25378
2000-05,2000-05-01,49.071,287.71878
2000-05,2000-05-01,49.071,287.91068
2000-05,2000-05-01,49.071,288.0727
2000-05,2000-05-01,49.071,288.11737
2000-05,2000-05-01,48.821,287.79425
2000-05,2000-05-01,48.821,288.01685
2000-05,2000-05-01,48.821,288.22894
2000-05,2000-05-01,48.821,288.28824
2000-05,2000-05-01,48.571,287.8066
2000-05,2000-05-01,48.571,288.0603
2000-05,2000-05-01,48.571,288.29382
2000-05,2000-05-01,48.571,288.49475
2000-06,2000-06-01,49.071,289.99167
2000-06,2000-06-01,49.071,290.1717
2000-06,2000-06-01,49.071,290.34814
2000-06,2000-06-01,49.071,290.40875
2000-06,2000-06-01,48.821,290.1723
2000-06,2000-06-01,48.821,290.3778
2000-06,2000-06-01,48.821,290.59045
2000-06,2000-06-01,48.821,290.66867
2000-06,2000-06-01,48.571,290.2901
2000-06,2000-06-01,48.571,290.52145
2000-06,2000-06-01,48.571,290.75168
2000-06,2000-06-01,48.571,290.94556
2000-07,2000-07-01,49.071,289.56454
2000-07,2000-07-01,49.071,289.67053
2000-07,2000-07-01,49.071,289.73367
2000-07,2000-07-01,49.071,289.68787
2000-07,2000-07-01,48.821,289.70413
2000-07,2000-07-01,48.821,289.8393
2000-07,2000-07-01,48.821,289.96448
2000-07,2000-07-01,48.821,289.93896
2000-07,2000-07-01,48.571,289.84863
2000-07,2000-07-01,48.571,290.0074
2000-07,2000-07-01,48.571,290.1397
2000-07,2000-07-01,48.571,290.2058
2000-08,2000-08-01,49.071,291.83728
2000-08,2000-08-01,49.071,291.96466
2000-08,2000-08-01,49.071,292.06543
2000-08,2000-08-01,49.071,292.1104
2000-08,2000-08-01,48.821,292.04483
2000-08,2000-08-01,48.821,292.208
2000-08,2000-08-01,48.821,292.38788
2000-08,2000-08-01,48.821,292.4381
2000-08,2000-08-01,48.571,292.25885
2000-08,2000-08-01,48.571,292.4295
2000-08,2000-08-01,48.571,292.5893
2000-08,2000-08-01,48.571,292.63724
2000-09,2000-09-01,49.071,289.28973
2000-09,2000-09-01,49.071,289.3563
2000-09,2000-09-01,49.071,289.44196
2000-09,2000-09-01,49.071,289.49033
2000-09,2000-09-01,48.821,289.35684
2000-09,2000-09-01,48.821,289.47406
2000-09,2000-09-01,48.821,289.6509
2000-09,2000-09-01,48.821,289.7069
2000-09,2000-09-01,48.571,289.46707
2000-09,2000-09-01,48.571,289.6663
2000-09,2000-09-01,48.571,289.82114
2000-09,2000-09-01,48.571,289.8139
2000-10,2000-10-01,49.071,284.81558
2000-10,2000-10-01,49.071,284.86823
2000-10,2000-10-01,49.071,284.90308
2000-10,2000-10-01,49.071,284.84384
2000-10,2000-10-01,48.821,284.76074
2000-10,2000-10-01,48.821,284.85236
2000-10,2000-10-01,48.821,284.9682
2000-10,2000-10-01,48.821,284.9284
2000-10,2000-10-01,48.571,284.75647
2000-10,2000-10-01,48.571,284.89767
2000-10,2000-10-01,48.571,285.0092
2000-10,2000-10-01,48.571,285.02475
2000-11,2000-11-01,49.071,280.96118
2000-11,2000-11-01,49.071,281.01636
2000-11,2000-11-01,49.071,281.0733
2000-11,2000-11-01,49.071,281.04736
2000-11,2000-11-01,48.821,280.93832
2000-11,2000-11-01,48.821,281.03842
2000-11,2000-11-01,48.821,281.18515
2000-11,2000-11-01,48.821,281.18256
2000-11,2000-11-01,48.571,280.9358
2000-11,2000-11-01,48.571,281.12988
2000-11,2000-11-01,48.571,281.2828
2000-11,2000-11-01,48.571,281.3534
2000-12,2000-12-01,49.071,279.8866
2000-12,2000-12-01,49.071,279.9239
2000-12,2000-12-01,49.071,279.96722
2000-12,2000-12-01,49.071,279.9414
2000-12,2000-12-01,48.821,280.0088
2000-12,2000-12-01,48.821,280.08478
2000-12,2000-12-01,48.821,280.20984
2000-12,2000-12-01,48.821,280.20816
2000-12,2000-12-01,48.571,280.12543
2000-12,2000-12-01,48.571,280.27667
2000-12,2000-12-01,48.571,280.40503
2000-12,2000-12-01,48.571,280.46603
2001-01,2001-01-01,49.071,277.66122
2001-01,2001-01-01,49.071,277.7212
2001-01,2001-01-01,49.071,277.79346
2001-01,2001-01-01,49.071,277.76532
2001-01,2001-01-01,48.821,277.7548
2001-01,2001-01-01,48.821,277.8531
2001-01,2001-01-01,48.821,277.99124
2001-01,2001-01-01,48.821,277.98645
2001-01,2001-01-01,48.571,277.82886
2001-01,2001-01-01,48.571,277.98547
2001-01,2001-01-01,48.571,278.12024
2001-01,2001-01-01,48.571,278.15994
2001-02,2001-02-01,49.071,278.45752
2001-02,2001-02-01,49.071,278.4635
2001-02,2001-02-01,49.071,278.46442
2001-02,2001-02-01,49.071,278.37302
2001-02,2001-02-01,48.821,278.39417
2001-02,2001-02-01,48.821,278.4356
2001-02,2001-02-01,48.821,278.504
2001-02,2001-02-01,48.821,278.43597
2001-02,2001-02-01,48.571,278.3443
2001-02,2001-02-01,48.571,278.45285
2001-02,2001-02-01,48.571,278.52673
2001-02,2001-02-01,48.571,278.54102
2001-03,2001-03-01,49.071,281.2506
2001-03,2001-03-01,49.071,281.33386
2001-03,2001-03-01,49.071,281.4093
2001-03,2001-03-01,49.071,281.3666
2001-03,2001-03-01,48.821,281.4143
2001-03,2001-03-01,48.821,281.53088
2001-03,2001-03-01,48.821,281.6576
2001-03,2001-03-01,48.821,281.63248
2001-03,2001-03-01,48.571,281.50897
2001-03,2001-03-01,48.571,281.6768
2001-03,2001-03-01,48.571,281.80725
2001-03,2001-03-01,48.571,281.86554
2001-04,2001-04-01,49.071,281.80704
2001-04,2001-04-01,49.071,281.88904
2001-04,2001-04-01,49.071,281.95587
2001-04,2001-04-01,49.071,281.89447
2001-04,2001-04-01,48.821,281.80515
2001-04,2001-04-01,48.821,281.9262
2001-04,2001-04-01,48.821,282.05133
2001-04,2001-04-01,48.821,282.0108
2001-04,2001-04-01,48.571,281.74594
2001-04,2001-04-01,48.571,281.93326
2001-04,2001-04-01,48.571,282.06915
2001-04,2001-04-01,48.571,282.14032
2001-05,2001-05-01,49.071,287.80582
2001-05,2001-05-01,49.071,288.01935
2001-05,2001-05-01,49.071,288.19427
2001-05,2001-05-01,49.071,288.23657
2001-05,2001-05-01,48.821,287.98358
2001-05,2001-05-01,48.821,288.21954
2001-05,2001-05-01,48.821,288.42624
2001-05,2001-05-01,48.821,288.484
2001-05,2001-05-01,48.571,288.05585
2001-05,2001-05-01,48.571,288.28418
2001-05,2001-05-01,48.571,288.49506
2001-05,2001-05-01,48.571,288.6641
2001-06,2001-06-01,49.071,289.63925
2001-06,2001-06-01,49.071,289.74628
2001-06,2001-06-01,49.071,289.81406
2001-06,2001-06-01,49.071,289.74576
2001-06,2001-06-01,48.821,289.73148
2001-06,2001-06-01,48.821,289.84192
2001-06,2001-06-01,48.821,289.9458
2001-06,2001-06-01,48.821,289.91284
2001-06,2001-06-01,48.571,289.85806
2001-06,2001-06-01,48.571,289.9604
2001-06,2001-06-01,48.571,290.06586
2001-06,2001-06-01,48.571,290.12677
2001-07,2001-07-01,49.071,292.08203
2001-07,2001-07-01,49.071,292.21088
2001-07,2001-07-01,49.071,292.31042
2001-07,2001-07-01,49.071,292.3213
2001-07,2001-07-01,48.821,292.10266
2001-07,2001-07-01,48.821,292.2552
2001-07,2001-07-01,48.821,292.43118
2001-07,2001-07-01,48.821,292.46735
2001-07,2001-07-01,48.571,292.1422
2001-07,2001-07-01,48.571,292.31567
2001-07,2001-07-01,48.571,292.5017
2001-07,2001-07-01,48.571,292.65277
2001-08,2001-08-01,49.071,292.69678
2001-08,2001-08-01,49.071,292.70557
2001-08,2001-08-01,49.071,292.7401
2001-08,2001-08-01,49.071,292.7235
2001-08,2001-08-01,48.821,292.70496
2001-08,2001-08-01,48.821,292.7387
2001-08,2001-08-01,48.821,292.851
2001-08,2001-08-01,48.821,292.86053
2001-08,2001-08-01,48.571,292.74988
2001-08,2001-08-01,48.571,292.81558
2001-08,2001-08-01,48.571,292.91733
2001-08,2001-08-01,48.571,293.0052
2001-09,2001-09-01,49.071,286.66107
2001-09,2001-09-01,49.071,286.64954
2001-09,2001-09-01,49.071,286.63455
