valid_time,time,latitude,t2m
2000-01,2000-01-01,-6.606,298.84314
2000-01,2000-01-01,-6.606,298.61835
2000-01,2000-01-01,-6.856,298.9906
2000-01,2000-01-01,-6.856,298.7215
2000-02,2000-02-01,-6.606,299.16144
2000-02,2000-02-01,-6.606,299.01575
2000-02,2000-02-01,-6.856,299.39923
2000-02,2000-02-01,-6.856,299.21265
2000-03,2000-03-01,-6.606,299.4118
2000-03,2000-03-01,-6.606,299.18842
2000-03,2000-03-01,-6.856,299.54147
2000-03,2000-03-01,-6.856,299.28226
2000-04,2000-04-01,-6.606,299.69818
2000-04,2000-04-01,-6.606,299.4368
2000-04,2000-04-01,-6.856,299.89056
2000-04,2000-04-01,-6.856,299.5958
2000-05,2000-05-01,-6.606,300.18542
2000-05,2000-05-01,-6.606,299.84357
2000-05,2000-05-01,-6.856,300.28732
2000-05,2000-05-01,-6.856,299.91556
2000-06,2000-06-01,-6.606,299.57874
2000-06,2000-06-01,-6.606,299.07065
2000-06,2000-06-01,-6.856,299.62225
2000-06,2000-06-01,-6.856,299.0732
2000-07,2000-07-01,-6.606,300.08078
2000-07,2000-07-01,-6.606,299.32776
2000-07,2000-07-01,-6.856,300.67828
2000-07,2000-07-01,-6.856,299.83246
2000-08,2000-08-01,-6.606,299.92017
2000-08,2000-08-01,-6.606,299.20074
2000-08,2000-08-01,-6.856,300.61496
2000-08,2000-08-01,-6.856,299.8088
2000-09,2000-09-01,-6.606,300.69724
2000-09,2000-09-01,-6.606,300.03912
2000-09,2000-09-01,-6.856,301.4435
2000-09,2000-09-01,-6.856,300.7053
2000-10,2000-10-01,-6.606,300.0984
2000-10,2000-10-01,-6.606,299.70938
2000-10,2000-10-01,-6.856,300.43164
2000-10,2000-10-01,-6.856,299.99524
2000-11,2000-11-01,-6.606,299.5556
2000-11,2000-11-01,-6.606,299.2095
2000-11,2000-11-01,-6.856,299.81995
2000-11,2000-11-01,-6.856,299.43634
2000-12,2000-12-01,-6.606,299.83838
2000-12,2000-12-01,-6.606,299.6955
2000-12,2000-12-01,-6.856,300.01193
2000-12,2000-12-01,-6.856,299.84366
2001-01,2001-01-01,-6.606,299.18127
2001-01,2001-01-01,-6.606,298.92783
2001-01,2001-01-01,-6.856,299.3198
2001-01,2001-01-01,-6.856,299.0241
2001-02,2001-02-01,-6.606,299.16602
2001-02,2001-02-01,-6.606,298.9218
2001-02,2001-02-01,-6.856,299.33484
2001-02,2001-02-01,-6.856,299.05292
2001-03,2001-03-01,-6.606,299.25525
2001-03,2001-03-01,-6.606,299.02853
2001-03,2001-03-01,-6.856,299.33417
2001-03,2001-03-01,-6.856,299.07608
2001-04,2001-04-01,-6.606,299.80908
2001-04,2001-04-01,-6.606,299.42487
2001-04,2001-04-01,-6.856,299.93823
2001-04,2001-04-01,-6.856,299.51587
2001-05,2001-05-01,-6.606,300.5376
2001-05,2001-05-01,-6.606,299.9758
2001-05,2001-05-01,-6.856,300.7682
2001-05,2001-05-01,-6.856,300.14926
2001-06,2001-06-01,-6.606,299.71725
2001-06,2001-06-01,-6.606,299.20895
2001-06,2001-06-01,-6.856,300.03503
2001-06,2001-06-01,-6.856,299.47266
2001-07,2001-07-01,-6.606,299.91092
2001-07,2001-07-01,-6.606,299.19107
2001-07,2001-07-01,-6.856,300.36102
2001-07,2001-07-01,-6.856,299.55893
2001-08,2001-08-01,-6.606,299.9755
2001-08,2001-08-01,-6.606,299.25992
2001-08,2001-08-01,-6.856,300.59402
2001-08,2001-08-01,-6.856,299.7974
2001-09,2001-09-01,-6.606,300.56964
2001-09,2001-09-01,-6.606,299.8575
2001-09,2001-09-01,-6.856,301.29623
2001-09,2001-09-01,-6.856,300.4989
2001-10,2001-10-01,-6.606,299.90903
2001-10,2001-10-01,-6.606,299.57388
2001-10,2001-10-01,-6.856,300.11047
2001-10,2001-10-01,-6.856,299.737
2001-11,2001-11-01,-6.606,299.64166
2001-11,2001-11-01,-6.606,299.3384
2001-11,2001-11-01,-6.856,299.87698
2001-11,2001-11-01,-6.856,299.53607
2001-12,2001-12-01,-6.606,299.33356
2001-12,2001-12-01,-6.606,299.07086
2001-12,2001-12-01,-6.856,299.44247
2001-12,2001-12-01,-6.856,299.1507
2002-01,2002-01-01,-6.606,299.02478
2002-01,2002-01-01,-6.606,298.8507
2002-01,2002-01-01,-6.856,299.21753
2002-01,2002-01-01,-6.856,299.00507
2002-02,2002-02-01,-6.606,298.82095
2002-02,2002-02-01,-6.606,298.6562
2002-02,2002-02-01,-6.856,299.00427
2002-02,2002-02-01,-6.856,298.80188
2002-03,2002-03-01,-6.606,299.67798
2002-03,2002-03-01,-6.606,299.41833
2002-03,2002-03-01,-6.856,299.91852
2002-03,2002-03-01,-6.856,299.62497
2002-04,2002-04-01,-6.606,300.2177
2002-04,2002-04-01,-6.606,299.86658
2002-04,2002-04-01,-6.856,300.327
2002-04,2002-04-01,-6.856,299.94
2002-05,2002-05-01,-6.606,300.44418
