valid_time,time,latitude,t2m
2000-01,2000-01-01,-31.887,296.96436
2000-01,2000-01-01,-31.887,296.99548
2000-01,2000-01-01,-32.137,296.77228
2000-01,2000-01-01,-32.137,296.66678
2000-02,2000-02-01,-31.887,297.5956
2000-02,2000-02-01,-31.887,297.95123
2000-02,2000-02-01,-32.137,297.34027
2000-02,2000-02-01,-32.137,297.49426
2000-03,2000-03-01,-31.887,295.67175
2000-03,2000-03-01,-31.887,295.57822
2000-03,2000-03-01,-32.137,295.4631
2000-03,2000-03-01,-32.137,295.24536
2000-04,2000-04-01,-31.887,293.18057
2000-04,2000-04-01,-31.887,292.4022
2000-04,2000-04-01,-32.137,293.0639
2000-04,2000-04-01,-32.137,292.13113
2000-05,2000-05-01,-31.887,289.73846
2000-05,2000-05-01,-31.887,288.12973
2000-05,2000-05-01,-32.137,289.69177
2000-05,2000-05-01,-32.137,287.9466
2000-06,2000-06-01,-31.887,288.85916
2000-06,2000-06-01,-31.887,287.12567
2000-06,2000-06-01,-32.137,288.79288
2000-06,2000-06-01,-32.137,286.88983
2000-07,2000-07-01,-31.887,287.91147
2000-07,2000-07-01,-31.887,286.22266
2000-07,2000-07-01,-32.137,287.8219
2000-07,2000-07-01,-32.137,286.02435
2000-08,2000-08-01,-31.887,286.94574
2000-08,2000-08-01,-31.887,285.31613
2000-08,2000-08-01,-32.137,286.8837
2000-08,2000-08-01,-32.137,285.1692
2000-09,2000-09-01,-31.887,288.97778
2000-09,2000-09-01,-31.887,287.94052
2000-09,2000-09-01,-32.137,288.89365
2000-09,2000-09-01,-32.137,287.8142
2000-10,2000-10-01,-31.887,290.33752
2000-10,2000-10-01,-31.887,289.89075
2000-10,2000-10-01,-32.137,290.1595
2000-10,2000-10-01,-32.137,289.58923
2000-11,2000-11-01,-31.887,293.1049
2000-11,2000-11-01,-31.887,293.1367
2000-11,2000-11-01,-32.137,292.9389
2000-11,2000-11-01,-32.137,292.7572
2000-12,2000-12-01,-31.887,295.43918
2000-12,2000-12-01,-31.887,296.49445
2000-12,2000-12-01,-32.137,295.24887
2000-12,2000-12-01,-32.137,296.12262
2001-01,2001-01-01,-31.887,295.86667
2001-01,2001-01-01,-31.887,296.81116
2001-01,2001-01-01,-32.137,295.78412
2001-01,2001-01-01,-32.137,296.64703
2001-02,2001-02-01,-31.887,296.0618
2001-02,2001-02-01,-31.887,296.47162
2001-02,2001-02-01,-32.137,295.85852
2001-02,2001-02-01,-32.137,296.0911
2001-03,2001-03-01,-31.887,295.05505
2001-03,2001-03-01,-31.887,295.1101
2001-03,2001-03-01,-32.137,294.83264
2001-03,2001-03-01,-32.137,294.7053
2001-04,2001-04-01,-31.887,293.31937
2001-04,2001-04-01,-31.887,292.81738
2001-04,2001-04-01,-32.137,293.10373
2001-04,2001-04-01,-32.137,292.41492
2001-05,2001-05-01,-31.887,290.0131
2001-05,2001-05-01,-31.887,288.6175
2001-05,2001-05-01,-32.137,289.93097
2001-05,2001-05-01,-32.137,288.37082
2001-06,2001-06-01,-31.887,287.8413
2001-06,2001-06-01,-31.887,285.94974
2001-06,2001-06-01,-32.137,287.84128
2001-06,2001-06-01,-32.137,285.8444
2001-07,2001-07-01,-31.887,286.89264
2001-07,2001-07-01,-31.887,285.04736
2001-07,2001-07-01,-32.137,286.84503
2001-07,2001-07-01,-32.137,284.87238
2001-08,2001-08-01,-31.887,287.02997
2001-08,2001-08-01,-31.887,285.40305
2001-08,2001-08-01,-32.137,287.02017
2001-08,2001-08-01,-32.137,285.3102
