valid_time,time,latitude,t2m
2000-01,2000-01-01,33.7,286.1955
2000-01,2000-01-01,33.7,286.19928
2000-01,2000-01-01,33.7,285.6399
2000-01,2000-01-01,33.7,284.19965
2000-01,2000-01-01,33.45,286.56213
2000-01,2000-01-01,33.45,286.53894
2000-01,2000-01-01,33.45,286.2251
2000-01,2000-01-01,33.45,285.72418
2000-01,2000-01-01,33.2,286.9372
2000-01,2000-01-01,33.2,286.5304
2000-01,2000-01-01,33.2,286.1902
2000-01,2000-01-01,33.2,286.0694
2000-02,2000-02-01,33.7,287.60626
2000-02,2000-02-01,33.7,287.61523
2000-02,2000-02-01,33.7,287.23212
2000-02,2000-02-01,33.7,286.0468
2000-02,2000-02-01,33.45,288.26495
2000-02,2000-02-01,33.45,288.23505
2000-02,2000-02-01,33.45,288.08594
2000-02,2000-02-01,33.45,287.7016
2000-02,2000-02-01,33.2,288.69977
2000-02,2000-02-01,33.2,288.3504
2000-02,2000-02-01,33.2,288.2182
2000-02,2000-02-01,33.2,288.19806
2000-03,2000-03-01,33.7,288.84442
2000-03,2000-03-01,33.7,288.6349
2000-03,2000-03-01,33.7,288.07495
2000-03,2000-03-01,33.7,286.7343
2000-03,2000-03-01,33.45,289.82568
2000-03,2000-03-01,33.45,289.59778
2000-03,2000-03-01,33.45,289.25983
2000-03,2000-03-01,33.45,288.58588
2000-03,2000-03-01,33.2,290.42438
2000-03,2000-03-01,33.2,289.97327
2000-03,2000-03-01,33.2,289.66534
2000-03,2000-03-01,33.2,289.3133
2000-04,2000-04-01,33.7,296.003
2000-04,2000-04-01,33.7,296.11224
2000-04,2000-04-01,33.7,295.70496
2000-04,2000-04-01,33.7,294.17755
2000-04,2000-04-01,33.45,296.88416
2000-04,2000-04-01,33.45,296.98907
2000-04,2000-04-01,33.45,296.82422
2000-04,2000-04-01,33.45,296.1728
2000-04,2000-04-01,33.2,297.2663
2000-04,2000-04-01,33.2,297.0185
2000-04,2000-04-01,33.2,296.88226
2000-04,2000-04-01,33.2,296.57062
2000-05,2000-05-01,33.7,301.4732
2000-05,2000-05-01,33.7,301.69244
2000-05,2000-05-01,33.7,301.4209
2000-05,2000-05-01,33.7,300.17957
2000-05,2000-05-01,33.45,302.37256
2000-05,2000-05-01,33.45,302.61554
2000-05,2000-05-01,33.45,302.5357
2000-05,2000-05-01,33.45,301.94623
2000-05,2000-05-01,33.2,302.54034
2000-05,2000-05-01,33.2,302.47272
2000-05,2000-05-01,33.2,302.49005
2000-05,2000-05-01,33.2,302.15277
2000-06,2000-06-01,33.7,305.07288
2000-06,2000-06-01,33.7,305.2824
2000-06,2000-06-01,33.7,304.96527
2000-06,2000-06-01,33.7,303.66833
2000-06,2000-06-01,33.45,305.8949
2000-06,2000-06-01,33.45,306.12177
2000-06,2000-06-01,33.45,306.0177
2000-06,2000-06-01,33.45,305.35577
2000-06,2000-06-01,33.2,305.95276
2000-06,2000-06-01,33.2,305.79803
2000-06,2000-06-01,33.2,305.86017
2000-06,2000-06-01,33.2,305.52234
2000-07,2000-07-01,33.7,307.55542
2000-07,2000-07-01,33.7,307.72113
2000-07,2000-07-01,33.7,307.33606
2000-07,2000-07-01,33.7,306.03094
2000-07,2000-07-01,33.45,308.40717
2000-07,2000-07-01,33.45,308.60718
2000-07,2000-07-01,33.45,308.46167
2000-07,2000-07-01,33.45,307.6598
2000-07,2000-07-01,33.2,308.52075
2000-07,2000-07-01,33.2,308.3974
2000-07,2000-07-01,33.2,308.42737
2000-07,2000-07-01,33.2,307.89288
2000-08,2000-08-01,33.7,306.12567
2000-08,2000-08-01,33.7,306.27197
2000-08,2000-08-01,33.7,305.83154
2000-08,2000-08-01,33.7,304.1258
2000-08,2000-08-01,33.45,307.00952
2000-08,2000-08-01,33.45,307.1452
2000-08,2000-08-01,33.45,306.85388
2000-08,2000-08-01,33.45,306.02637
2000-08,2000-08-01,33.2,306.99908
2000-08,2000-08-01,33.2,306.7268
2000-08,2000-08-01,33.2,306.5807
2000-08,2000-08-01,33.2,306.11835
2000-09,2000-09-01,33.7,304.05292
2000-09,2000-09-01,33.7,304.24268
2000-09,2000-09-01,33.7,303.95728
2000-09,2000-09-01,33.7,302.34973
2000-09,2000-09-01,33.45,304.96918
2000-09,2000-09-01,33.45,305.1491
2000-09,2000-09-01,33.45,305.05676
2000-09,2000-09-01,33.45,304.48413
2000-09,2000-09-01,33.2,305.28583
2000-09,2000-09-01,33.2,305.14313
2000-09,2000-09-01,33.2,305.08264
2000-09,2000-09-01,33.2,304.84418
2000-10,2000-10-01,33.7,294.88123
2000-10,2000-10-01,33.7,294.84766
2000-10,2000-10-01,33.7,294.30713
2000-10,2000-10-01,33.7,293.12384
2000-10,2000-10-01,33.45,295.713
2000-10,2000-10-01,33.45,295.7193
2000-10,2000-10-01,33.45,295.44318
2000-10,2000-10-01,33.45,294.8952
2000-10,2000-10-01,33.2,295.91705
2000-10,2000-10-01,33.2,295.65643
2000-10,2000-10-01,33.2,295.60883
2000-10,2000-10-01,33.2,295.3567
2000-11,2000-11-01,33.7,284.53265
2000-11,2000-11-01,33.7,284.53345
2000-11,2000-11-01,33.7,284.16394
2000-11,2000-11-01,33.7,283.36902
2000-11,2000-11-01,33.45,285.1306
