valid_time,time,latitude,t2m
2000-01,2000-01-01,40.542,271.15057
2000-01,2000-01-01,40.542,271.11374
2000-01,2000-01-01,40.292,271.5456
2000-01,2000-01-01,40.292,271.56665
2000-02,2000-02-01,40.542,275.50858
2000-02,2000-02-01,40.542,275.4358
2000-02,2000-02-01,40.292,276.0572
2000-02,2000-02-01,40.292,276.04572
2000-03,2000-03-01,40.542,280.33942
2000-03,2000-03-01,40.542,280.23282
2000-03,2000-03-01,40.292,280.6129
2000-03,2000-03-01,40.292,280.51935
2000-04,2000-04-01,40.542,283.052
2000-04,2000-04-01,40.542,283.00006
2000-04,2000-04-01,40.292,283.38046
2000-04,2000-04-01,40.292,283.3632
2000-05,2000-05-01,40.542,289.9785
2000-05,2000-05-01,40.542,289.8999
2000-05,2000-05-01,40.292,290.21967
2000-05,2000-05-01,40.292,290.18225
2000-06,2000-06-01,40.542,293.64145
2000-06,2000-06-01,40.542,293.53943
2000-06,2000-06-01,40.292,293.84668
2000-06,2000-06-01,40.292,293.79163
2000-07,2000-07-01,40.542,293.56497
2000-07,2000-07-01,40.542,293.3928
2000-07,2000-07-01,40.292,293.61682
2000-07,2000-07-01,40.292,293.48737
2000-08,2000-08-01,40.542,293.41498
2000-08,2000-08-01,40.542,293.25552
2000-08,2000-08-01,40.292,293.53534
2000-08,2000-08-01,40.292,293.4311
2000-09,2000-09-01,40.542,289.9058
2000-09,2000-09-01,40.542,289.74698
2000-09,2000-09-01,40.292,290.02594
2000-09,2000-09-01,40.292,289.93027
2000-10,2000-10-01,40.542,285.30188
2000-10,2000-10-01,40.542,285.11505
2000-10,2000-10-01,40.292,285.5713
2000-10,2000-10-01,40.292,285.4315
2000-11,2000-11-01,40.542,277.31277
2000-11,2000-11-01,40.542,277.22043
2000-11,2000-11-01,40.292,277.51447
2000-11,2000-11-01,40.292,277.47025
2000-12,2000-12-01,40.542,268.7655
2000-12,2000-12-01,40.542,268.7614
2000-12,2000-12-01,40.292,269.2928
2000-12,2000-12-01,40.292,269.34576
2001-01,2001-01-01,40.542,270.97412
2001-01,2001-01-01,40.542,270.86597
2001-01,2001-01-01,40.292,271.2844
2001-01,2001-01-01,40.292,271.22003
2001-02,2001-02-01,40.542,275.12872
2001-02,2001-02-01,40.542,275.11115
2001-02,2001-02-01,40.292,275.52225
2001-02,2001-02-01,40.292,275.548
2001-03,2001-03-01,40.542,275.38818
2001-03,2001-03-01,40.542,275.2687
2001-03,2001-03-01,40.292,275.7606
2001-03,2001-03-01,40.292,275.68692
2001-04,2001-04-01,40.542,285.20197
2001-04,2001-04-01,40.542,285.09262
2001-04,2001-04-01,40.292,285.5624
2001-04,2001-04-01,40.292,285.4672
2001-05,2001-05-01,40.542,288.62482
2001-05,2001-05-01,40.542,288.66394
2001-05,2001-05-01,40.292,288.84418
2001-05,2001-05-01,40.292,288.89972
2001-06,2001-06-01,40.542,293.19073
2001-06,2001-06-01,40.542,293.1755
2001-06,2001-06-01,40.292,293.3138
2001-06,2001-06-01,40.292,293.3364
2001-07,2001-07-01,40.542,294.77402
2001-07,2001-07-01,40.542,294.70032
2001-07,2001-07-01,40.292,294.68536
2001-07,2001-07-01,40.292,294.6023
2001-08,2001-08-01,40.542,296.17212
2001-08,2001-08-01,40.542,296.21365
2001-08,2001-08-01,40.292,296.15506
2001-08,2001-08-01,40.292,296.22318
2001-09,2001-09-01,40.542,289.79138
2001-09,2001-09-01,40.542,289.77563
2001-09,2001-09-01,40.292,290.02695
2001-09,2001-09-01,40.292,290.04932
2001-10,2001-10-01,40.542,285.02975
2001-10,2001-10-01,40.542,284.93576
2001-10,2001-10-01,40.292,285.19073
2001-10,2001-10-01,40.292,285.16278
2001-11,2001-11-01,40.542,281.83533
2001-11,2001-11-01,40.542,281.75845
2001-11,2001-11-01,40.292,282.10727
2001-11,2001-11-01,40.292,282.0801
2001-12,2001-12-01,40.542,276.55453
2001-12,2001-12-01,40.542,276.49445
2001-12,2001-12-01,40.292,276.90717
2001-12,2001-12-01,40.292,276.89923
2002-01,2002-01-01,40.542,275.22833
2002-01,2002-01-01,40.542,275.19815
2002-01,2002-01-01,40.292,275.54544
2002-01,2002-01-01,40.292,275.56738
2002-02,2002-02-01,40.542,274.99075
2002-02,2002-02-01,40.542,274.98254
2002-02,2002-02-01,40.292,275.2749
2002-02,2002-02-01,40.292,275.28043
2002-03,2002-03-01,40.542,277.67932
2002-03,2002-03-01,40.542,277.68622
2002-03,2002-03-01,40.292,278.16412
2002-03,2002-03-01,40.292,278.20197
2002-04,2002-04-01,40.542,284.30118
2002-04,2002-04-01,40.542,284.2215
2002-04,2002-04-01,40.292,284.71747
2002-04,2002-04-01,40.292,284.67026
2002-05,2002-05-01,40.542,286.98224
2002-05,2002-05-01,40.542,286.9795
2002-05,2002-05-01,40.292,287.29596
2002-05,2002-05-01,40.292,287.33405
2002-06,2002-06-01,40.542,294.26395
2002-06,2002-06-01,40.542,294.15768
2002-06,2002-06-01,40.292,294.42743
2002-06,2002-06-01,40.292,294.36545
2002-07,2002-07-01,40.542,297.32867
2002-07,2002-07-01,40.542,297.21732
2002-07,2002-07-01,40.292,297.29886
2002-07,2002-07-01,40.292,297.19116
2002-08,2002-08-01,40.542,296.29636
2002-08,2002-08-01,40.542,296.1801
2002-08,2002-08-01,40.292,296.32263
2002-08,2002-08-01,40.292,296.25632
2002-09,2002-09-01,40.542,292.9783
2002-09,2002-09-01,40.542,292.9517
2002-09,2002-09-01,40.292,293.18924
2002-09,2002-09-01,40.292,293.2248
2002-10,2002-10-01,40.542,284.05084
2002-10,2002-10-01,40.542,283.95395
2002-10,2002-10-01,40.292,284.3658
2002-10,2002-10-01,40.292,284.3269
2002-11,2002-11-01,40.542,278.38608
2002-11,2002-11-01,40.542,278.2881
2002-11,2002-11-01,40.292,278.58124
2002-11,2002-11-01,40.292,278.54575
2002-12,2002-12-01,40.542,272.9738
2002-12,2002-12-01,40.542,272.72125
2002-12,2002-12-01,40.292,273.3667
2002-12,2002-12-01,40.292,273.2016
2003-01,2003-01-01,40.542,268.19943
2003-01,2003-01-01,40.542,268.0863
2003-01,2003-01-01,40.292,268.70526
2003-01,2003-01-01,40.292,268.63882
2003-02,2003-02-01,40.542,270.91293
2003-02,2003-02-01,40.542,270.78058
2003-02,2003-02-01,40.292,271.2019
2003-02,2003-02-01,40.292,271.0939
2003-03,2003-03-01,40.542,278.69458
2003-03,2003-03-01,40.542,278.52557
2003-03,2003-03-01,40.292,279.1176
2003-03,2003-03-01,40.292,278.96072
2003-04,2003-04-01,40.542,284.72546
2003-04,2003-04-01,40.542,284.52866
2003-04,2003-04-01,40.292,284.99622
2003-04,2003-04-01,40.292,284.8018
2003-05,2003-05-01,40.542,287.7076
