valid_time,time,latitude,t2m
2000-01,2000-01-01,45.599,276.6192
2000-01,2000-01-01,45.599,276.91638
2000-01,2000-01-01,45.599,276.66022
2000-01,2000-01-01,45.349,277.24365
2000-01,2000-01-01,45.349,277.4912
2000-01,2000-01-01,45.349,276.67682
2000-02,2000-02-01,45.599,279.00314
2000-02,2000-02-01,45.599,279.31433
2000-02,2000-02-01,45.599,279.13202
2000-02,2000-02-01,45.349,279.6095
2000-02,2000-02-01,45.349,279.8473
2000-02,2000-02-01,45.349,279.09238
2000-03,2000-03-01,45.599,279.75537
2000-03,2000-03-01,45.599,279.9807
2000-03,2000-03-01,45.599,279.78137
2000-03,2000-03-01,45.349,280.2128
2000-03,2000-03-01,45.349,280.33658
2000-03,2000-03-01,45.349,279.51797
2000-04,2000-04-01,45.599,283.847
2000-04,2000-04-01,45.599,284.2893
2000-04,2000-04-01,45.599,284.3294
2000-04,2000-04-01,45.349,284.21637
2000-04,2000-04-01,45.349,284.54514
2000-04,2000-04-01,45.349,283.93213
2000-05,2000-05-01,45.599,285.30988
2000-05,2000-05-01,45.599,285.74576
2000-05,2000-05-01,45.599,285.7042
2000-05,2000-05-01,45.349,285.86075
2000-05,2000-05-01,45.349,286.12265
2000-05,2000-05-01,45.349,285.32697
2000-06,2000-06-01,45.599,289.2314
2000-06,2000-06-01,45.599,289.50214
2000-06,2000-06-01,45.599,289.4809
2000-06,2000-06-01,45.349,290.01733
2000-06,2000-06-01,45.349,290.0152
2000-06,2000-06-01,45.349,289.28476
2000-07,2000-07-01,45.599,290.93646
2000-07,2000-07-01,45.599,291.37625
2000-07,2000-07-01,45.599,291.36057
2000-07,2000-07-01,45.349,291.79013
2000-07,2000-07-01,45.349,291.9578
2000-07,2000-07-01,45.349,291.19223
2000-08,2000-08-01,45.599,290.95047
2000-08,2000-08-01,45.599,291.31964
2000-08,2000-08-01,45.599,291.31708
2000-08,2000-08-01,45.349,291.8511
2000-08,2000-08-01,45.349,291.9592
2000-08,2000-08-01,45.349,291.25565
2000-09,2000-09-01,45.599,289.0474
2000-09,2000-09-01,45.599,289.18567
2000-09,2000-09-01,45.599,289.05072
2000-09,2000-09-01,45.349,289.77655
2000-09,2000-09-01,45.349,289.74313
2000-09,2000-09-01,45.349,288.92334
2000-10,2000-10-01,45.599,284.4769
2000-10,2000-10-01,45.599,284.6338
2000-10,2000-10-01,45.599,284.497
2000-10,2000-10-01,45.349,285.0735
2000-10,2000-10-01,45.349,285.07
2000-10,2000-10-01,45.349,284.31393
2000-11,2000-11-01,45.599,277.84723
2000-11,2000-11-01,45.599,278.05734
2000-11,2000-11-01,45.599,278.1183
2000-11,2000-11-01,45.349,278.19064
2000-11,2000-11-01,45.349,278.3136
2000-11,2000-11-01,45.349,277.83475
2000-12,2000-12-01,45.599,277.29932
2000-12,2000-12-01,45.599,277.45786
2000-12,2000-12-01,45.599,277.20352
2000-12,2000-12-01,45.349,277.84467
2000-12,2000-12-01,45.349,278.0024
2000-12,2000-12-01,45.349,277.48724
2001-01,2001-01-01,45.599,277.7802
2001-01,2001-01-01,45.599,278.1378
2001-01,2001-01-01,45.599,277.97998
2001-01,2001-01-01,45.349,278.086
2001-01,2001-01-01,45.349,278.4854
2001-01,2001-01-01,45.349,277.96173
2001-02,2001-02-01,45.599,277.7171
2001-02,2001-02-01,45.599,278.0133
2001-02,2001-02-01,45.599,277.8578
2001-02,2001-02-01,45.349,278.10583
2001-02,2001-02-01,45.349,278.41656
2001-02,2001-02-01,45.349,277.8781
2001-03,2001-03-01,45.599,280.8333
2001-03,2001-03-01,45.599,281.04065
2001-03,2001-03-01,45.599,280.91882
2001-03,2001-03-01,45.349,281.25858
2001-03,2001-03-01,45.349,281.35965
2001-03,2001-03-01,45.349,280.61072
2001-04,2001-04-01,45.599,281.37286
2001-04,2001-04-01,45.599,281.79584
2001-04,2001-04-01,45.599,281.8
2001-04,2001-04-01,45.349,281.83124
2001-04,2001-04-01,45.349,282.08795
2001-04,2001-04-01,45.349,281.25778
2001-05,2001-05-01,45.599,286.25244
2001-05,2001-05-01,45.599,286.65863
2001-05,2001-05-01,45.599,286.782
2001-05,2001-05-01,45.349,286.76065
2001-05,2001-05-01,45.349,286.94
2001-05,2001-05-01,45.349,286.4331
2001-06,2001-06-01,45.599,287.24823
2001-06,2001-06-01,45.599,287.5876
2001-06,2001-06-01,45.599,287.5175
2001-06,2001-06-01,45.349,287.94458
2001-06,2001-06-01,45.349,288.02658
2001-06,2001-06-01,45.349,287.19547
2001-07,2001-07-01,45.599,290.235
2001-07,2001-07-01,45.599,290.6017
2001-07,2001-07-01,45.599,290.61816
2001-07,2001-07-01,45.349,291.329
2001-07,2001-07-01,45.349,291.33218
2001-07,2001-07-01,45.349,290.51657
2001-08,2001-08-01,45.599,291.69275
2001-08,2001-08-01,45.599,292.13007
2001-08,2001-08-01,45.599,292.21585
2001-08,2001-08-01,45.349,292.5055
2001-08,2001-08-01,45.349,292.7
2001-08,2001-08-01,45.349,292.11737
2001-09,2001-09-01,45.599,289.54868
2001-09,2001-09-01,45.599,289.63275
2001-09,2001-09-01,45.599,289.6162
2001-09,2001-09-01,45.349,290.2852
2001-09,2001-09-01,45.349,290.10614
2001-09,2001-09-01,45.349,289.44025
2001-10,2001-10-01,45.599,283.91406
2001-10,2001-10-01,45.599,284.09622
2001-10,2001-10-01,45.599,284.12082
2001-10,2001-10-01,45.349,284.54565
2001-10,2001-10-01,45.349,284.5339
2001-10,2001-10-01,45.349,283.913
2001-11,2001-11-01,45.599,280.989
2001-11,2001-11-01,45.599,281.21564
2001-11,2001-11-01,45.599,281.0921
2001-11,2001-11-01,45.349,281.42886
2001-11,2001-11-01,45.349,281.57513
2001-11,2001-11-01,45.349,280.8545
2001-12,2001-12-01,45.599,277.46786
2001-12,2001-12-01,45.599,277.85895
2001-12,2001-12-01,45.599,277.64255
2001-12,2001-12-01,45.349,278.06888
2001-12,2001-12-01,45.349,278.37537
2001-12,2001-12-01,45.349,277.51416
2002-01,2002-01-01,45.599,277.4668
2002-01,2002-01-01,45.599,277.74945
2002-01,2002-01-01,45.599,277.46667
2002-01,2002-01-01,45.349,278.0362
2002-01,2002-01-01,45.349,278.2689
2002-01,2002-01-01,45.349,277.44812
2002-02,2002-02-01,45.599,278.9748
2002-02,2002-02-01,45.599,279.11328
2002-02,2002-02-01,45.599,278.7876
2002-02,2002-02-01,45.349,279.54236
2002-02,2002-02-01,45.349,279.59418
2002-02,2002-02-01,45.349,278.60425
2002-03,2002-03-01,45.599,278.94815
2002-03,2002-03-01,45.599,279.14584
2002-03,2002-03-01,45.599,278.88095
2002-03,2002-03-01,45.349,279.54913
2002-03,2002-03-01,45.349,279.61496
2002-03,2002-03-01,45.349,278.56766
2002-04,2002-04-01,45.599,282.7245
2002-04,2002-04-01,45.599,282.99725
2002-04,2002-04-01,45.599,282.81696
2002-04,2002-04-01,45.349,283.21677
2002-04,2002-04-01,45.349,283.37024
2002-04,2002-04-01,45.349,282.5287
2002-05,2002-05-01,45.599,284.54724
2002-05,2002-05-01,45.599,284.97418
2002-05,2002-05-01,45.599,284.96326
2002-05,2002-05-01,45.349,285.04706
2002-05,2002-05-01,45.349,285.295
2002-05,2002-05-01,45.349,284.5551
2002-06,2002-06-01,45.599,289.331
2002-06,2002-06-01,45.599,289.6928
2002-06,2002-06-01,45.599,289.64038
2002-06,2002-06-01,45.349,289.87506
2002-06,2002-06-01,45.349,290.03198
