valid_time,time,latitude,t2m
2000-01,2000-01-01,41.91,269.6958
2000-01,2000-01-01,41.91,269.91446
2000-01,2000-01-01,41.66,270.51172
2000-01,2000-01-01,41.66,271.1478
2000-02,2000-02-01,41.91,273.72058
2000-02,2000-02-01,41.91,274.1261
2000-02,2000-02-01,41.66,274.2951
2000-02,2000-02-01,41.66,274.54443
2000-03,2000-03-01,41.91,278.8976
2000-03,2000-03-01,41.91,279.1114
2000-03,2000-03-01,41.66,279.03342
2000-03,2000-03-01,41.66,278.80658
2000-04,2000-04-01,41.91,281.2907
2000-04,2000-04-01,41.91,281.46045
2000-04,2000-04-01,41.66,281.40707
2000-04,2000-04-01,41.66,281.17993
2000-05,2000-05-01,41.91,287.29752
2000-05,2000-05-01,41.91,287.391
2000-05,2000-05-01,41.66,287.29004
2000-05,2000-05-01,41.66,286.7978
2000-06,2000-06-01,41.91,292.43835
2000-06,2000-06-01,41.91,292.6202
2000-06,2000-06-01,41.66,292.3957
2000-06,2000-06-01,41.66,291.6859
2000-07,2000-07-01,41.91,293.9107
2000-07,2000-07-01,41.91,294.10297
2000-07,2000-07-01,41.66,294.1646
2000-07,2000-07-01,41.66,293.6203
2000-08,2000-08-01,41.91,293.6873
2000-08,2000-08-01,41.91,293.9324
2000-08,2000-08-01,41.66,294.10092
2000-08,2000-08-01,41.66,293.86395
2000-09,2000-09-01,41.91,289.9975
2000-09,2000-09-01,41.91,290.18637
2000-09,2000-09-01,41.66,290.54346
2000-09,2000-09-01,41.66,290.57837
2000-10,2000-10-01,41.91,284.3322
2000-10,2000-10-01,41.91,284.503
2000-10,2000-10-01,41.66,284.88654
2000-10,2000-10-01,41.66,285.16333
2000-11,2000-11-01,41.91,278.45142
2000-11,2000-11-01,41.91,278.68216
2000-11,2000-11-01,41.66,279.1396
2000-11,2000-11-01,41.66,279.55313
2000-12,2000-12-01,41.91,271.10565
2000-12,2000-12-01,41.91,271.4265
2000-12,2000-12-01,41.66,271.90317
2000-12,2000-12-01,41.66,272.5186
2001-01,2001-01-01,41.91,270.98056
2001-01,2001-01-01,41.91,271.36743
2001-01,2001-01-01,41.66,271.69772
2001-01,2001-01-01,41.66,272.3765
2001-02,2001-02-01,41.91,272.8037
2001-02,2001-02-01,41.91,273.08685
2001-02,2001-02-01,41.66,273.27997
2001-02,2001-02-01,41.66,273.5174
2001-03,2001-03-01,41.91,274.7547
2001-03,2001-03-01,41.91,274.98962
2001-03,2001-03-01,41.66,275.31647
2001-03,2001-03-01,41.66,275.39673
2001-04,2001-04-01,41.91,282.0952
2001-04,2001-04-01,41.91,282.13568
2001-04,2001-04-01,41.66,282.06073
2001-04,2001-04-01,41.66,281.52722
2001-05,2001-05-01,41.91,288.46194
2001-05,2001-05-01,41.91,288.33215
2001-05,2001-05-01,41.66,288.09253
2001-05,2001-05-01,41.66,287.29605
2001-06,2001-06-01,41.91,293.96426
2001-06,2001-06-01,41.91,294.07922
2001-06,2001-06-01,41.66,293.80695
