valid_time,time,latitude,t2m
2000-01,2000-01-01,18.667,293.70477
2000-01,2000-01-01,18.667,294.17026
2000-01,2000-01-01,18.417,294.0288
2000-01,2000-01-01,18.417,294.01498
2000-02,2000-02-01,18.667,293.9488
2000-02,2000-02-01,18.667,294.59937
2000-02,2000-02-01,18.417,294.19684
2000-02,2000-02-01,18.417,294.536
2000-03,2000-03-01,18.667,297.19308
2000-03,2000-03-01,18.667,298.13443
2000-03,2000-03-01,18.417,297.46262
2000-03,2000-03-01,18.417,298.00543
2000-04,2000-04-01,18.667,300.28116
2000-04,2000-04-01,18.667,301.8742
2000-04,2000-04-01,18.417,300.20813
2000-04,2000-04-01,18.417,301.49908
2000-05,2000-05-01,18.667,298.95865
2000-05,2000-05-01,18.667,300.129
2000-05,2000-05-01,18.417,298.8009
2000-05,2000-05-01,18.417,299.65723
2000-06,2000-06-01,18.667,297.48212
2000-06,2000-06-01,18.667,298.2871
2000-06,2000-06-01,18.417,297.3593
2000-06,2000-06-01,18.417,297.80707
2000-07,2000-07-01,18.667,296.38266
2000-07,2000-07-01,18.667,297.0863
2000-07,2000-07-01,18.417,296.32764
2000-07,2000-07-01,18.417,296.73587
2000-08,2000-08-01,18.667,296.42206
2000-08,2000-08-01,18.667,297.0809
2000-08,2000-08-01,18.417,296.35416
2000-08,2000-08-01,18.417,296.72858
2000-09,2000-09-01,18.667,296.89832
2000-09,2000-09-01,18.667,297.51355
2000-09,2000-09-01,18.417,296.90417
2000-09,2000-09-01,18.417,297.18475
2000-10,2000-10-01,18.667,297.70837
2000-10,2000-10-01,18.667,298.34216
2000-10,2000-10-01,18.417,297.5782
2000-10,2000-10-01,18.417,297.85208
2000-11,2000-11-01,18.667,295.52927
2000-11,2000-11-01,18.667,295.89566
2000-11,2000-11-01,18.417,295.59875
2000-11,2000-11-01,18.417,295.6836
2000-12,2000-12-01,18.667,292.90204
2000-12,2000-12-01,18.667,293.4308
2000-12,2000-12-01,18.417,293.22495
2000-12,2000-12-01,18.417,293.42032
2001-01,2001-01-01,18.667,293.75018
2001-01,2001-01-01,18.667,293.86713
2001-01,2001-01-01,18.417,294.10178
2001-01,2001-01-01,18.417,294.1642
2001-02,2001-02-01,18.667,295.82147
2001-02,2001-02-01,18.667,295.99316
2001-02,2001-02-01,18.417,296.05957
2001-02,2001-02-01,18.417,296.3993
2001-03,2001-03-01,18.667,297.03476
2001-03,2001-03-01,18.667,297.91455
2001-03,2001-03-01,18.417,297.13153
2001-03,2001-03-01,18.417,297.87787
2001-04,2001-04-01,18.667,300.71185
2001-04,2001-04-01,18.667,301.81213
2001-04,2001-04-01,18.417,300.63803
2001-04,2001-04-01,18.417,301.63773
2001-05,2001-05-01,18.667,299.8324
2001-05,2001-05-01,18.667,301.00922
2001-05,2001-05-01,18.417,299.58826
2001-05,2001-05-01,18.417,300.55237
2001-06,2001-06-01,18.667,297.62195
2001-06,2001-06-01,18.667,298.5436
2001-06,2001-06-01,18.417,297.49188
2001-06,2001-06-01,18.417,298.17535
2001-07,2001-07-01,18.667,296.08777
2001-07,2001-07-01,18.667,296.97717
2001-07,2001-07-01,18.417,296.0584
2001-07,2001-07-01,18.417,296.68192
2001-08,2001-08-01,18.667,296.00824
2001-08,2001-08-01,18.667,296.74774
2001-08,2001-08-01,18.417,295.97845
2001-08,2001-08-01,18.417,296.44873
2001-09,2001-09-01,18.667,296.83426
2001-09,2001-09-01,18.667,297.52618
2001-09,2001-09-01,18.417,296.7987
2001-09,2001-09-01,18.417,297.24268
2001-10,2001-10-01,18.667,296.8576
2001-10,2001-10-01,18.667,297.29782
