valid_time,time,latitude,t2m
2000-01,2000-01-01,36.289,271.73474
2000-01,2000-01-01,36.289,272.09637
2000-01,2000-01-01,36.039,272.9405
2000-01,2000-01-01,36.039,273.35278
2000-02,2000-02-01,36.289,272.91693
2000-02,2000-02-01,36.289,273.1041
2000-02,2000-02-01,36.039,273.82166
2000-02,2000-02-01,36.039,274.07376
2000-03,2000-03-01,36.289,280.27304
2000-03,2000-03-01,36.289,279.74414
2000-03,2000-03-01,36.039,279.62253
2000-03,2000-03-01,36.039,279.07324
2000-04,2000-04-01,36.289,285.92413
2000-04,2000-04-01,36.289,285.02588
2000-04,2000-04-01,36.039,284.5868
2000-04,2000-04-01,36.039,283.59296
2000-05,2000-05-01,36.289,290.62347
2000-05,2000-05-01,36.289,289.74878
2000-05,2000-05-01,36.039,289.24152
2000-05,2000-05-01,36.039,288.28687
2000-06,2000-06-01,36.289,295.93976
2000-06,2000-06-01,36.289,295.04712
2000-06,2000-06-01,36.039,294.34338
2000-06,2000-06-01,36.039,293.37177
2000-07,2000-07-01,36.289,299.4284
2000-07,2000-07-01,36.289,298.9336
2000-07,2000-07-01,36.039,298.68744
2000-07,2000-07-01,36.039,298.12354
2000-08,2000-08-01,36.289,299.40088
2000-08,2000-08-01,36.289,299.30725
2000-08,2000-08-01,36.039,299.2268
2000-08,2000-08-01,36.039,299.11206
2000-09,2000-09-01,36.289,295.3647
2000-09,2000-09-01,36.289,295.50494
2000-09,2000-09-01,36.039,295.82733
2000-09,2000-09-01,36.039,295.95367
2000-10,2000-10-01,36.289,288.82318
2000-10,2000-10-01,36.289,289.1732
2000-10,2000-10-01,36.039,289.84317
2000-10,2000-10-01,36.039,290.2101
2000-11,2000-11-01,36.289,280.82892
2000-11,2000-11-01,36.289,281.4699
2000-11,2000-11-01,36.039,282.45032
2000-11,2000-11-01,36.039,283.1302
2000-12,2000-12-01,36.289,276.55994
2000-12,2000-12-01,36.289,277.14386
2000-12,2000-12-01,36.039,278.2141
2000-12,2000-12-01,36.039,278.83868
