valid_time,time,latitude,t2m
2000-01,2000-01-01,24.82,286.5187
2000-01,2000-01-01,24.82,286.8689
2000-01,2000-01-01,24.57,287.1115
2000-01,2000-01-01,24.57,286.7707
2000-02,2000-02-01,24.82,285.37158
2000-02,2000-02-01,24.82,285.47528
2000-02,2000-02-01,24.57,285.6931
2000-02,2000-02-01,24.57,285.1973
2000-03,2000-03-01,24.82,289.26523
2000-03,2000-03-01,24.82,289.44186
2000-03,2000-03-01,24.57,289.4416
2000-03,2000-03-01,24.57,289.05768
2000-04,2000-04-01,24.82,292.55817
2000-04,2000-04-01,24.82,292.91318
2000-04,2000-04-01,24.57,292.82562
2000-04,2000-04-01,24.57,292.5774
2000-05,2000-05-01,24.82,297.26163
2000-05,2000-05-01,24.82,297.68216
2000-05,2000-05-01,24.57,297.31818
2000-05,2000-05-01,24.57,296.62137
2000-06,2000-06-01,24.82,299.25378
2000-06,2000-06-01,24.82,299.80258
2000-06,2000-06-01,24.57,299.68933
2000-06,2000-06-01,24.57,299.25684
2000-07,2000-07-01,24.82,300.86597
2000-07,2000-07-01,24.82,301.55283
2000-07,2000-07-01,24.57,301.21255
2000-07,2000-07-01,24.57,300.60364
2000-08,2000-08-01,24.82,300.09473
2000-08,2000-08-01,24.82,300.656
2000-08,2000-08-01,24.57,300.49503
2000-08,2000-08-01,24.57,300.0943
2000-09,2000-09-01,24.82,299.34512
2000-09,2000-09-01,24.82,299.9975
2000-09,2000-09-01,24.57,299.9689
2000-09,2000-09-01,24.57,299.56958
2000-10,2000-10-01,24.82,297.52118
2000-10,2000-10-01,24.82,298.3436
2000-10,2000-10-01,24.57,298.3264
2000-10,2000-10-01,24.57,297.9934
2000-11,2000-11-01,24.82,292.29517
2000-11,2000-11-01,24.82,293.01117
2000-11,2000-11-01,24.57,293.22107
2000-11,2000-11-01,24.57,293.1319
2000-12,2000-12-01,24.82,288.90338
2000-12,2000-12-01,24.82,289.6371
2000-12,2000-12-01,24.57,289.94827
2000-12,2000-12-01,24.57,289.80954
2001-01,2001-01-01,24.82,287.18036
2001-01,2001-01-01,24.82,287.7247
2001-01,2001-01-01,24.57,287.96307
2001-01,2001-01-01,24.57,287.81854
2001-02,2001-02-01,24.82,287.33282
2001-02,2001-02-01,24.82,287.53824
2001-02,2001-02-01,24.57,287.7255
2001-02,2001-02-01,24.57,287.3649
2001-03,2001-03-01,24.82,290.2279
2001-03,2001-03-01,24.82,290.46176
2001-03,2001-03-01,24.57,290.47302
2001-03,2001-03-01,24.57,290.1379
2001-04,2001-04-01,24.82,292.6191
2001-04,2001-04-01,24.82,292.95505
2001-04,2001-04-01,24.57,292.89133
2001-04,2001-04-01,24.57,292.66995
2001-05,2001-05-01,24.82,297.02686
2001-05,2001-05-01,24.82,297.43082
2001-05,2001-05-01,24.57,297.3016
2001-05,2001-05-01,24.57,296.94058
2001-06,2001-06-01,24.82,299.58954
2001-06,2001-06-01,24.82,300.283
2001-06,2001-06-01,24.57,300.12628
2001-06,2001-06-01,24.57,299.86823
2001-07,2001-07-01,24.82,300.82126
2001-07,2001-07-01,24.82,301.50208
2001-07,2001-07-01,24.57,301.19824
2001-07,2001-07-01,24.57,300.8088
2001-08,2001-08-01,24.82,301.19034
2001-08,2001-08-01,24.82,302.00122
2001-08,2001-08-01,24.57,301.70874
2001-08,2001-08-01,24.57,301.15378
2001-09,2001-09-01,24.82,299.1543
2001-09,2001-09-01,24.82,299.7677
2001-09,2001-09-01,24.57,299.86874
2001-09,2001-09-01,24.57,299.69965
2001-10,2001-10-01,24.82,295.5231
2001-10,2001-10-01,24.82,296.51215
2001-10,2001-10-01,24.57,296.70428
2001-10,2001-10-01,24.57,296.6832
2001-11,2001-11-01,24.82,290.6656
2001-11,2001-11-01,24.82,291.82147
2001-11,2001-11-01,24.57,292.2466
2001-11,2001-11-01,24.57,292.35306
2001-12,2001-12-01,24.82,287.91013
2001-12,2001-12-01,24.82,288.62378
2001-12,2001-12-01,24.57,288.9264
2001-12,2001-12-01,24.57,288.83127
2002-01,2002-01-01,24.82,286.26794
2002-01,2002-01-01,24.82,286.85345
2002-01,2002-01-01,24.57,287.12738
2002-01,2002-01-01,24.57,287.18307
2002-02,2002-02-01,24.82,287.7796
2002-02,2002-02-01,24.82,288.19156
2002-02,2002-02-01,24.57,288.2116
2002-02,2002-02-01,24.57,287.8783
2002-03,2002-03-01,24.82,291.6751
2002-03,2002-03-01,24.82,291.86578
2002-03,2002-03-01,24.57,291.52847
2002-03,2002-03-01,24.57,290.89862
2002-04,2002-04-01,24.82,294.49728
2002-04,2002-04-01,24.82,294.8102
2002-04,2002-04-01,24.57,294.48544
2002-04,2002-04-01,24.57,293.7915
2002-05,2002-05-01,24.82,297.80652
2002-05,2002-05-01,24.82,298.2494
2002-05,2002-05-01,24.57,297.94574
2002-05,2002-05-01,24.57,297.3026
2002-06,2002-06-01,24.82,300.33966
2002-06,2002-06-01,24.82,300.86115
2002-06,2002-06-01,24.57,300.62445
2002-06,2002-06-01,24.57,299.9953
2002-07,2002-07-01,24.82,301.07184
2002-07,2002-07-01,24.82,301.74826
2002-07,2002-07-01,24.57,301.3885
2002-07,2002-07-01,24.57,300.8742
2002-08,2002-08-01,24.82,300.74487
2002-08,2002-08-01,24.82,301.3927
2002-08,2002-08-01,24.57,301.0815
2002-08,2002-08-01,24.57,300.60626
2002-09,2002-09-01,24.82,298.5771
2002-09,2002-09-01,24.82,299.47244
2002-09,2002-09-01,24.57,299.35492
2002-09,2002-09-01,24.57,299.19537
2002-10,2002-10-01,24.82,295.69022
2002-10,2002-10-01,24.82,296.5676
2002-10,2002-10-01,24.57,296.74326
2002-10,2002-10-01,24.57,296.6355
2002-11,2002-11-01,24.82,291.2429
2002-11,2002-11-01,24.82,292.1405
2002-11,2002-11-01,24.57,292.39648
2002-11,2002-11-01,24.57,292.40454
2002-12,2002-12-01,24.82,288.26007
2002-12,2002-12-01,24.82,288.83307
2002-12,2002-12-01,24.57,289.03577
2002-12,2002-12-01,24.57,289.021
2003-01,2003-01-01,24.82,284.98175
2003-01,2003-01-01,24.82,285.69464
2003-01,2003-01-01,24.57,285.92178
2003-01,2003-01-01,24.57,285.91425
2003-02,2003-02-01,24.82,287.4372
2003-02,2003-02-01,24.82,287.62534
2003-02,2003-02-01,24.57,287.53738
2003-02,2003-02-01,24.57,287.12347
2003-03,2003-03-01,24.82,288.7159
2003-03,2003-03-01,24.82,289.0114
2003-03,2003-03-01,24.57,288.84845
2003-03,2003-03-01,24.57,288.4135
2003-04,2003-04-01,24.82,293.9713
2003-04,2003-04-01,24.82,294.1162
2003-04,2003-04-01,24.57,293.78442
2003-04,2003-04-01,24.57,293.1049
2003-05,2003-05-01,24.82,296.55505
2003-05,2003-05-01,24.82,296.8301
2003-05,2003-05-01,24.57,296.5937
2003-05,2003-05-01,24.57,296.06763
2003-06,2003-06-01,24.82,298.63977
2003-06,2003-06-01,24.82,299.0871
2003-06,2003-06-01,24.57,298.83643
2003-06,2003-06-01,24.57,298.32422
2003-07,2003-07-01,24.82,302.1617
2003-07,2003-07-01,24.82,302.77393
2003-07,2003-07-01,24.57,301.9532
2003-07,2003-07-01,24.57,301.14087
2003-08,2003-08-01,24.82,301.36768
2003-08,2003-08-01,24.82,301.91248
2003-08,2003-08-01,24.57,301.48785
2003-08,2003-08-01,24.57,300.9241
2003-09,2003-09-01,24.82,300.1242
2003-09,2003-09-01,24.82,301.06378
2003-09,2003-09-01,24.57,300.65994
2003-09,2003-09-01,24.57,300.41876
2003-10,2003-10-01,24.82,295.67807
2003-10,2003-10-01,24.82,296.75214
2003-10,2003-10-01,24.57,296.77765
2003-10,2003-10-01,24.57,296.70264
2003-11,2003-11-01,24.82,293.1514
2003-11,2003-11-01,24.82,293.86688
2003-11,2003-11-01,24.57,293.87924
2003-11,2003-11-01,24.57,293.60724
2003-12,2003-12-01,24.82,286.8719
2003-12,2003-12-01,24.82,287.75012
2003-12,2003-12-01,24.57,288.01645
2003-12,2003-12-01,24.57,288.0892
2004-01,2004-01-01,24.82,285.20096
2004-01,2004-01-01,24.82,285.8899
2004-01,2004-01-01,24.57,286.14905
2004-01,2004-01-01,24.57,286.14355
2004-02,2004-02-01,24.82,287.44794
2004-02,2004-02-01,24.82,287.81995
2004-02,2004-02-01,24.57,287.60156
2004-02,2004-02-01,24.57,287.0923
2004-03,2004-03-01,24.82,288.36865
2004-03,2004-03-01,24.82,288.60767
2004-03,2004-03-01,24.57,288.6541
2004-03,2004-03-01,24.57,288.43488
2004-04,2004-04-01,24.82,293.4777
2004-04,2004-04-01,24.82,293.66174
2004-04,2004-04-01,24.57,293.3075
2004-04,2004-04-01,24.57,292.64313
2004-05,2004-05-01,24.82,297.514
2004-05,2004-05-01,24.82,297.97504
2004-05,2004-05-01,24.57,297.65417
2004-05,2004-05-01,24.57,297.13364
2004-06,2004-06-01,24.82,300.4113
2004-06,2004-06-01,24.82,300.7874
2004-06,2004-06-01,24.57,300.5452
2004-06,2004-06-01,24.57,299.7416
