valid_time,time,latitude,t2m
2000-01,2000-01-01,-7.977,299.6479
2000-01,2000-01-01,-8.227,299.03348
2000-02,2000-02-01,-7.977,299.67755
2000-02,2000-02-01,-8.227,299.0567
2000-03,2000-03-01,-7.977,299.87674
2000-03,2000-03-01,-8.227,299.2597
2000-04,2000-04-01,-7.977,299.0673
2000-04,2000-04-01,-8.227,298.85327
2000-05,2000-05-01,-7.977,298.5134
2000-05,2000-05-01,-8.227,298.42383
2000-06,2000-06-01,-7.977,297.68222
2000-06,2000-06-01,-8.227,297.62082
2000-07,2000-07-01,-7.977,296.80963
2000-07,2000-07-01,-8.227,296.75232
2000-08,2000-08-01,-7.977,297.19553
2000-08,2000-08-01,-8.227,297.04678
2000-09,2000-09-01,-7.977,297.58325
2000-09,2000-09-01,-8.227,297.27057
2000-10,2000-10-01,-7.977,298.40552
2000-10,2000-10-01,-8.227,298.0451
2000-11,2000-11-01,-7.977,299.31644
2000-11,2000-11-01,-8.227,298.6842
2000-12,2000-12-01,-7.977,299.21967
2000-12,2000-12-01,-8.227,298.7751
2001-01,2001-01-01,-7.977,299.596
2001-01,2001-01-01,-8.227,299.05164
2001-02,2001-02-01,-7.977,300.41266
2001-02,2001-02-01,-8.227,299.64
2001-03,2001-03-01,-7.977,299.9826
2001-03,2001-03-01,-8.227,299.29532
2001-04,2001-04-01,-7.977,299.08408
2001-04,2001-04-01,-8.227,298.8508
2001-05,2001-05-01,-7.977,299.20142
2001-05,2001-05-01,-8.227,298.9278
2001-06,2001-06-01,-7.977,297.59705
2001-06,2001-06-01,-8.227,297.42178
2001-07,2001-07-01,-7.977,297.16052
2001-07,2001-07-01,-8.227,296.98026
2001-08,2001-08-01,-7.977,296.95712
2001-08,2001-08-01,-8.227,296.80325
2001-09,2001-09-01,-7.977,298.05066
2001-09,2001-09-01,-8.227,297.52863
2001-10,2001-10-01,-7.977,298.73724
2001-10,2001-10-01,-8.227,298.0952
2001-11,2001-11-01,-7.977,299.51465
2001-11,2001-11-01,-8.227,298.74902
2001-12,2001-12-01,-7.977,299.74976
2001-12,2001-12-01,-8.227,299.04254
2002-01,2002-01-01,-7.977,298.90033
2002-01,2002-01-01,-8.227,298.59875
2002-02,2002-02-01,-7.977,299.55783
2002-02,2002-02-01,-8.227,299.08698
2002-03,2002-03-01,-7.977,299.4921
2002-03,2002-03-01,-8.227,299.09253
2002-04,2002-04-01,-7.977,299.1747
2002-04,2002-04-01,-8.227,298.9713
2002-05,2002-05-01,-7.977,298.5447
2002-05,2002-05-01,-8.227,298.41776
2002-06,2002-06-01,-7.977,297.35764
2002-06,2002-06-01,-8.227,297.32358
2002-07,2002-07-01,-7.977,297.19742
2002-07,2002-07-01,-8.227,297.1517
2002-08,2002-08-01,-7.977,296.9278
2002-08,2002-08-01,-8.227,296.84366
2002-09,2002-09-01,-7.977,297.8733
2002-09,2002-09-01,-8.227,297.55148
2002-10,2002-10-01,-7.977,298.50674
2002-10,2002-10-01,-8.227,297.9402
2002-11,2002-11-01,-7.977,299.2168
2002-11,2002-11-01,-8.227,298.55096
2002-12,2002-12-01,-7.977,300.04456
2002-12,2002-12-01,-8.227,299.30737
2003-01,2003-01-01,-7.977,300.41397
2003-01,2003-01-01,-8.227,299.59387
2003-02,2003-02-01,-7.977,299.98444
2003-02,2003-02-01,-8.227,299.4577
2003-03,2003-03-01,-7.977,299.77817
2003-03,2003-03-01,-8.227,299.3355
2003-04,2003-04-01,-7.977,299.3741
2003-04,2003-04-01,-8.227,299.20975
2003-05,2003-05-01,-7.977,298.70166
2003-05,2003-05-01,-8.227,298.6056
2003-06,2003-06-01,-7.977,297.63776
2003-06,2003-06-01,-8.227,297.5504
2003-07,2003-07-01,-7.977,297.5268
2003-07,2003-07-01,-8.227,297.29962
2003-08,2003-08-01,-7.977,297.89874
2003-08,2003-08-01,-8.227,297.46204
2003-09,2003-09-01,-7.977,298.36407
2003-09,2003-09-01,-8.227,297.75058
2003-10,2003-10-01,-7.977,299.1616
2003-10,2003-10-01,-8.227,298.3354
2003-11,2003-11-01,-7.977,300.21048
2003-11,2003-11-01,-8.227,299.1782
2003-12,2003-12-01,-7.977,300.383
2003-12,2003-12-01,-8.227,299.4118
2004-01,2004-01-01,-7.977,299.87024
2004-01,2004-01-01,-8.227,299.15656
2004-02,2004-02-01,-7.977,299.83533
2004-02,2004-02-01,-8.227,299.37274
2004-03,2004-03-01,-7.977,300.2147
2004-03,2004-03-01,-8.227,299.61096
2004-04,2004-04-01,-7.977,299.89575
2004-04,2004-04-01,-8.227,299.28918
2004-05,2004-05-01,-7.977,298.94565
2004-05,2004-05-01,-8.227,298.59113
2004-06,2004-06-01,-7.977,297.7231
2004-06,2004-06-01,-8.227,297.4882
2004-07,2004-07-01,-7.977,297.33316
2004-07,2004-07-01,-8.227,297.0621
2004-08,2004-08-01,-7.977,297.43378
2004-08,2004-08-01,-8.227,297.11804
2004-09,2004-09-01,-7.977,297.8955
2004-09,2004-09-01,-8.227,297.39484
2004-10,2004-10-01,-7.977,298.9525
2004-10,2004-10-01,-8.227,298.25153
2004-11,2004-11-01,-7.977,299.76117
2004-11,2004-11-01,-8.227,298.93115
2004-12,2004-12-01,-7.977,300.28027
2004-12,2004-12-01,-8.227,299.3566
2005-01,2005-01-01,-7.977,300.81738
2005-01,2005-01-01,-8.227,299.9009
2005-02,2005-02-01,-7.977,300.67664
2005-02,2005-02-01,-8.227,300.0031
2005-03,2005-03-01,-7.977,300.63995
2005-03,2005-03-01,-8.227,299.9464
2005-04,2005-04-01,-7.977,300.03714
2005-04,2005-04-01,-8.227,299.6358
2005-05,2005-05-01,-7.977,298.42847
2005-05,2005-05-01,-8.227,298.22437
2005-06,2005-06-01,-7.977,297.4682
2005-06,2005-06-01,-8.227,297.46103
2005-07,2005-07-01,-7.977,296.99094
2005-07,2005-07-01,-8.227,297.06964
2005-08,2005-08-01,-7.977,296.5036
2005-08,2005-08-01,-8.227,296.50528
2005-09,2005-09-01,-7.977,297.45767
2005-09,2005-09-01,-8.227,297.3246
2005-10,2005-10-01,-7.977,298.53394
2005-10,2005-10-01,-8.227,298.0581
2005-11,2005-11-01,-7.977,299.3778
2005-11,2005-11-01,-8.227,298.75635
2005-12,2005-12-01,-7.977,299.6568
2005-12,2005-12-01,-8.227,299.06207
2006-01,2006-01-01,-7.977,299.71228
2006-01,2006-01-01,-8.227,299.00778
2006-02,2006-02-01,-7.977,300.61014
2006-02,2006-02-01,-8.227,299.72543
2006-03,2006-03-01,-7.977,300.515
2006-03,2006-03-01,-8.227,299.78595
2006-04,2006-04-01,-7.977,299.51447
2006-04,2006-04-01,-8.227,299.18176
2006-05,2006-05-01,-7.977,298.59885
2006-05,2006-05-01,-8.227,298.3504
2006-06,2006-06-01,-7.977,297.58783
2006-06,2006-06-01,-8.227,297.47403
2006-07,2006-07-01,-7.977,297.1364
2006-07,2006-07-01,-8.227,297.0673
2006-08,2006-08-01,-7.977,297.13412
2006-08,2006-08-01,-8.227,297.01013
2006-09,2006-09-01,-7.977,297.77206
2006-09,2006-09-01,-8.227,297.484
2006-10,2006-10-01,-7.977,299.19437
2006-10,2006-10-01,-8.227,298.4427
2006-11,2006-11-01,-7.977,299.46503
2006-11,2006-11-01,-8.227,298.7588
2006-12,2006-12-01,-7.977,299.93793
2006-12,2006-12-01,-8.227,299.21182
2007-01,2007-01-01,-7.977,299.99274
2007-01,2007-01-01,-8.227,299.34143
2007-02,2007-02-01,-7.977,300.1112
2007-02,2007-02-01,-8.227,299.4386
2007-03,2007-03-01,-7.977,299.39673
2007-03,2007-03-01,-8.227,299.09418
2007-04,2007-04-01,-7.977,299.15335
2007-04,2007-04-01,-8.227,298.85907
2007-05,2007-05-01,-7.977,298.21655
2007-05,2007-05-01,-8.227,298.25357
2007-06,2007-06-01,-7.977,296.98764
2007-06,2007-06-01,-8.227,297.11978
2007-07,2007-07-01,-7.977,296.73776
2007-07,2007-07-01,-8.227,296.78314
2007-08,2007-08-01,-7.977,296.39658
2007-08,2007-08-01,-8.227,296.42087
2007-09,2007-09-01,-7.977,297.05145
2007-09,2007-09-01,-8.227,296.83347
2007-10,2007-10-01,-7.977,298.3335
2007-10,2007-10-01,-8.227,297.69705
2007-11,2007-11-01,-7.977,299.1209
2007-11,2007-11-01,-8.227,298.39282
2007-12,2007-12-01,-7.977,299.43054
2007-12,2007-12-01,-8.227,298.75452
2008-01,2008-01-01,-7.977,299.79883
2008-01,2008-01-01,-8.227,298.98383
2008-02,2008-02-01,-7.977,300.58853
2008-02,2008-02-01,-8.227,299.79388
2008-03,2008-03-01,-7.977,300.09106
2008-03,2008-03-01,-8.227,299.29572
2008-04,2008-04-01,-7.977,299.16916
2008-04,2008-04-01,-8.227,298.98785
2008-05,2008-05-01,-7.977,298.5141
2008-05,2008-05-01,-8.227,298.39145
2008-06,2008-06-01,-7.977,297.25772
2008-06,2008-06-01,-8.227,297.29437
2008-07,2008-07-01,-7.977,296.5416
2008-07,2008-07-01,-8.227,296.53833
2008-08,2008-08-01,-7.977,296.77136
2008-08,2008-08-01,-8.227,296.7187
2008-09,2008-09-01,-7.977,297.91342
2008-09,2008-09-01,-8.227,297.64447
2008-10,2008-10-01,-7.977,298.65424
2008-10,2008-10-01,-8.227,298.09546
2008-11,2008-11-01,-7.977,299.5981
2008-11,2008-11-01,-8.227,298.85236
2008-12,2008-12-01,-7.977,299.91724
2008-12,2008-12-01,-8.227,299.14307
2009-01,2009-01-01,-7.977,300.0625
2009-01,2009-01-01,-8.227,299.39618
2009-02,2009-02-01,-7.977,299.38422
2009-02,2009-02-01,-8.227,299.0183
2009-03,2009-03-01,-7.977,299.98267
2009-03,2009-03-01,-8.227,299.57495
2009-04,2009-04-01,-7.977,299.62518
2009-04,2009-04-01,-8.227,299.2168
2009-05,2009-05-01,-7.977,298.54364
2009-05,2009-05-01,-8.227,298.34497
2009-06,2009-06-01,-7.977,297.97263
2009-06,2009-06-01,-8.227,297.94855
2009-07,2009-07-01,-7.977,297.08255
2009-07,2009-07-01,-8.227,297.0505
2009-08,2009-08-01,-7.977,297.31348
2009-08,2009-08-01,-8.227,297.2282
2009-09,2009-09-01,-7.977,298.06912
2009-09,2009-09-01,-8.227,297.8635
2009-10,2009-10-01,-7.977,299.15765
2009-10,2009-10-01,-8.227,298.6577
2009-11,2009-11-01,-7.977,299.5989
2009-11,2009-11-01,-8.227,298.91962
2009-12,2009-12-01,-7.977,300.1209
2009-12,2009-12-01,-8.227,299.38928
2010-01,2010-01-01,-7.977,299.4825
2010-01,2010-01-01,-8.227,298.98175
2010-02,2010-02-01,-7.977,300.25238
2010-02,2010-02-01,-8.227,299.78638
2010-03,2010-03-01,-7.977,300.9193
2010-03,2010-03-01,-8.227,300.28497
2010-04,2010-04-01,-7.977,300.19998
2010-04,2010-04-01,-8.227,299.8188
2010-05,2010-05-01,-7.977,299.49155
