valid_time,time,latitude,t2m
2000-01,2000-01-01,-22.788,299.07764
2000-01,2000-01-01,-22.788,299.1927
2000-01,2000-01-01,-22.788,299.32397
2000-01,2000-01-01,-23.038,298.88916
2000-01,2000-01-01,-23.038,298.76834
2000-01,2000-01-01,-23.038,298.82382
2000-02,2000-02-01,-22.788,298.37976
2000-02,2000-02-01,-22.788,298.56973
2000-02,2000-02-01,-22.788,298.75818
2000-02,2000-02-01,-23.038,298.55386
2000-02,2000-02-01,-23.038,298.55814
2000-02,2000-02-01,-23.038,298.69717
2000-03,2000-03-01,-22.788,297.71497
2000-03,2000-03-01,-22.788,297.8788
2000-03,2000-03-01,-22.788,298.0431
2000-03,2000-03-01,-23.038,298.02853
2000-03,2000-03-01,-23.038,298.03445
2000-03,2000-03-01,-23.038,298.19647
2000-04,2000-04-01,-22.788,296.27798
2000-04,2000-04-01,-22.788,296.332
2000-04,2000-04-01,-22.788,296.54266
2000-04,2000-04-01,-23.038,297.13345
2000-04,2000-04-01,-23.038,297.0138
2000-04,2000-04-01,-23.038,297.20377
2000-05,2000-05-01,-22.788,293.9509
2000-05,2000-05-01,-22.788,293.94846
2000-05,2000-05-01,-22.788,294.16998
2000-05,2000-05-01,-23.038,295.0682
2000-05,2000-05-01,-23.038,294.89444
2000-05,2000-05-01,-23.038,295.1269
2000-06,2000-06-01,-22.788,293.27548
2000-06,2000-06-01,-22.788,293.25613
2000-06,2000-06-01,-22.788,293.59116
2000-06,2000-06-01,-23.038,294.3055
2000-06,2000-06-01,-23.038,294.07684
2000-06,2000-06-01,-23.038,294.3959
2000-07,2000-07-01,-22.788,291.69638
2000-07,2000-07-01,-22.788,291.73218
2000-07,2000-07-01,-22.788,291.93958
2000-07,2000-07-01,-23.038,292.7558
2000-07,2000-07-01,-23.038,292.6294
2000-07,2000-07-01,-23.038,292.88583
2000-08,2000-08-01,-22.788,293.03027
2000-08,2000-08-01,-22.788,293.08215
2000-08,2000-08-01,-22.788,293.27405
2000-08,2000-08-01,-23.038,293.4309
2000-08,2000-08-01,-23.038,293.3653
2000-08,2000-08-01,-23.038,293.67877
2000-09,2000-09-01,-22.788,294.2719
2000-09,2000-09-01,-22.788,294.39975
2000-09,2000-09-01,-22.788,294.48364
2000-09,2000-09-01,-23.038,294.44507
2000-09,2000-09-01,-23.038,294.48676
2000-09,2000-09-01,-23.038,294.6504
2000-10,2000-10-01,-22.788,297.5078
2000-10,2000-10-01,-22.788,297.8992
2000-10,2000-10-01,-22.788,298.14395
2000-10,2000-10-01,-23.038,296.91434
2000-10,2000-10-01,-23.038,297.18832
2000-10,2000-10-01,-23.038,297.53485
2000-11,2000-11-01,-22.788,297.02655
2000-11,2000-11-01,-22.788,297.46725
2000-11,2000-11-01,-22.788,297.62946
2000-11,2000-11-01,-23.038,296.84225
2000-11,2000-11-01,-23.038,297.1632
2000-11,2000-11-01,-23.038,297.38306
2000-12,2000-12-01,-22.788,298.48596
2000-12,2000-12-01,-22.788,298.80505
2000-12,2000-12-01,-22.788,298.98187
2000-12,2000-12-01,-23.038,298.33505
2000-12,2000-12-01,-23.038,298.50854
2000-12,2000-12-01,-23.038,298.66342
2001-01,2001-01-01,-22.788,299.66437
2001-01,2001-01-01,-22.788,300.0703
2001-01,2001-01-01,-22.788,300.4566
2001-01,2001-01-01,-23.038,299.5708
2001-01,2001-01-01,-23.038,299.75034
2001-01,2001-01-01,-23.038,300.09003
2001-02,2001-02-01,-22.788,300.18048
2001-02,2001-02-01,-22.788,300.62576
