valid_time,time,latitude,t2m
2000-01,2000-01-01,24.77,286.9361
2000-01,2000-01-01,24.77,287.09717
2000-01,2000-01-01,24.52,287.29688
2000-01,2000-01-01,24.52,287.68268
2000-02,2000-02-01,24.77,289.5368
2000-02,2000-02-01,24.77,289.57986
2000-02,2000-02-01,24.52,289.84583
2000-02,2000-02-01,24.52,290.09723
2000-03,2000-03-01,24.77,293.23407
2000-03,2000-03-01,24.77,293.23358
2000-03,2000-03-01,24.52,293.52835
2000-03,2000-03-01,24.52,293.72766
2000-04,2000-04-01,24.77,302.49844
2000-04,2000-04-01,24.77,302.61722
2000-04,2000-04-01,24.52,302.66534
2000-04,2000-04-01,24.52,303.06305
2000-05,2000-05-01,24.77,306.19998
2000-05,2000-05-01,24.77,306.31165
2000-05,2000-05-01,24.52,306.3801
2000-05,2000-05-01,24.52,306.80963
2000-06,2000-06-01,24.77,307.58362
2000-06,2000-06-01,24.77,307.64514
2000-06,2000-06-01,24.52,307.79596
2000-06,2000-06-01,24.52,308.1164
2000-07,2000-07-01,24.77,310.29663
2000-07,2000-07-01,24.77,310.38947
2000-07,2000-07-01,24.52,310.3405
2000-07,2000-07-01,24.52,310.86456
2000-08,2000-08-01,24.77,310.19452
2000-08,2000-08-01,24.77,310.11353
2000-08,2000-08-01,24.52,310.33026
2000-08,2000-08-01,24.52,310.64276
2000-09,2000-09-01,24.77,305.0669
2000-09,2000-09-01,24.77,305.0206
2000-09,2000-09-01,24.52,305.16693
2000-09,2000-09-01,24.52,305.47256
2000-10,2000-10-01,24.77,300.84717
2000-10,2000-10-01,24.77,300.81442
2000-10,2000-10-01,24.52,300.9771
2000-10,2000-10-01,24.52,301.3133
2000-11,2000-11-01,24.77,291.86047
2000-11,2000-11-01,24.77,292.1012
2000-11,2000-11-01,24.52,292.32977
2000-11,2000-11-01,24.52,292.66504
2000-12,2000-12-01,24.77,288.98154
2000-12,2000-12-01,24.77,289.01816
2000-12,2000-12-01,24.52,289.31342
2000-12,2000-12-01,24.52,289.50916
2001-01,2001-01-01,24.77,286.00946
2001-01,2001-01-01,24.77,285.9837
2001-01,2001-01-01,24.52,286.2198
2001-01,2001-01-01,24.52,286.51492
2001-02,2001-02-01,24.77,288.84943
2001-02,2001-02-01,24.77,288.85748
2001-02,2001-02-01,24.52,289.09592
2001-02,2001-02-01,24.52,289.37955
2001-03,2001-03-01,24.77,294.94827
2001-03,2001-03-01,24.77,295.28226
2001-03,2001-03-01,24.52,295.252
2001-03,2001-03-01,24.52,295.8474
2001-04,2001-04-01,24.77,300.61615
2001-04,2001-04-01,24.77,300.6891
2001-04,2001-04-01,24.52,300.81396
2001-04,2001-04-01,24.52,301.16046
2001-05,2001-05-01,24.77,305.5194
2001-05,2001-05-01,24.77,305.71765
2001-05,2001-05-01,24.52,305.71628
2001-05,2001-05-01,24.52,306.26062
2001-06,2001-06-01,24.77,307.1826
2001-06,2001-06-01,24.77,307.31708
2001-06,2001-06-01,24.52,307.28876
2001-06,2001-06-01,24.52,307.80847
2001-07,2001-07-01,24.77,309.38083
2001-07,2001-07-01,24.77,309.41653
2001-07,2001-07-01,24.52,309.492
2001-07,2001-07-01,24.52,309.95667
2001-08,2001-08-01,24.77,309.92764
2001-08,2001-08-01,24.77,309.85803
2001-08,2001-08-01,24.52,309.98166
2001-08,2001-08-01,24.52,310.29718
2001-09,2001-09-01,24.77,306.70197
2001-09,2001-09-01,24.77,306.5673
2001-09,2001-09-01,24.52,306.72836
2001-09,2001-09-01,24.52,306.96857
2001-10,2001-10-01,24.77,300.87436
2001-10,2001-10-01,24.77,300.81146
2001-10,2001-10-01,24.52,300.96158
2001-10,2001-10-01,24.52,301.29272
2001-11,2001-11-01,24.77,292.96417
2001-11,2001-11-01,24.77,293.069
2001-11,2001-11-01,24.52,293.1637
2001-11,2001-11-01,24.52,293.58212
2001-12,2001-12-01,24.77,292.25806
2001-12,2001-12-01,24.77,292.22403
2001-12,2001-12-01,24.52,292.39758
2001-12,2001-12-01,24.52,292.5648
2002-01,2002-01-01,24.77,286.61432
2002-01,2002-01-01,24.77,286.7697
2002-01,2002-01-01,24.52,286.9354
2002-01,2002-01-01,24.52,287.36044
2002-02,2002-02-01,24.77,289.8097
2002-02,2002-02-01,24.77,289.83514
2002-02,2002-02-01,24.52,290.09674
2002-02,2002-02-01,24.52,290.40863
2002-03,2002-03-01,24.77,293.95703
2002-03,2002-03-01,24.77,294.0866
2002-03,2002-03-01,24.52,294.28665
2002-03,2002-03-01,24.52,294.71597
2002-04,2002-04-01,24.77,299.473
2002-04,2002-04-01,24.77,299.58557
2002-04,2002-04-01,24.52,299.68677
2002-04,2002-04-01,24.52,300.1101
2002-05,2002-05-01,24.77,306.28882
2002-05,2002-05-01,24.77,306.4262
2002-05,2002-05-01,24.52,306.509
2002-05,2002-05-01,24.52,306.94208
2002-06,2002-06-01,24.77,308.12756
2002-06,2002-06-01,24.77,308.13153
2002-06,2002-06-01,24.52,308.25595
2002-06,2002-06-01,24.52,308.6485
2002-07,2002-07-01,24.77,310.1073
2002-07,2002-07-01,24.77,310.0696
2002-07,2002-07-01,24.52,310.19254
2002-07,2002-07-01,24.52,310.55817
2002-08,2002-08-01,24.77,308.63303
2002-08,2002-08-01,24.77,308.73315
2002-08,2002-08-01,24.52,308.76843
2002-08,2002-08-01,24.52,309.2519
2002-09,2002-09-01,24.77,306.21268
2002-09,2002-09-01,24.77,306.1427
2002-09,2002-09-01,24.52,306.4215
2002-09,2002-09-01,24.52,306.68433
2002-10,2002-10-01,24.77,301.67645
2002-10,2002-10-01,24.77,301.53467
2002-10,2002-10-01,24.52,301.7309
2002-10,2002-10-01,24.52,302.03293
2002-11,2002-11-01,24.77,293.38452
2002-11,2002-11-01,24.77,293.2743
2002-11,2002-11-01,24.52,293.4996
2002-11,2002-11-01,24.52,293.7606
2002-12,2002-12-01,24.77,288.58682
2002-12,2002-12-01,24.77,288.72815
2002-12,2002-12-01,24.52,288.92578
2002-12,2002-12-01,24.52,289.28082
2003-01,2003-01-01,24.77,287.09924
2003-01,2003-01-01,24.77,287.17374
2003-01,2003-01-01,24.52,287.34412
2003-01,2003-01-01,24.52,287.74225
2003-02,2003-02-01,24.77,291.55035
2003-02,2003-02-01,24.77,291.61057
2003-02,2003-02-01,24.52,291.8017
2003-02,2003-02-01,24.52,292.15283
2003-03,2003-03-01,24.77,294.64804
2003-03,2003-03-01,24.77,294.71503
2003-03,2003-03-01,24.52,294.93698
2003-03,2003-03-01,24.52,295.22382
2003-04,2003-04-01,24.77,300.2967
