valid_time,time,latitude,t2m
2000-01,2000-01-01,42.009,278.91693
2000-01,2000-01-01,42.009,277.9046
2000-01,2000-01-01,41.759,281.36243
2000-01,2000-01-01,41.759,279.4485
2000-02,2000-02-01,42.009,281.67517
2000-02,2000-02-01,42.009,280.8144
2000-02,2000-02-01,41.759,283.32166
2000-02,2000-02-01,41.759,281.91272
2000-03,2000-03-01,42.009,284.14514
2000-03,2000-03-01,42.009,283.52066
2000-03,2000-03-01,41.759,284.96603
2000-03,2000-03-01,41.759,284.19757
2000-04,2000-04-01,42.009,287.4942
2000-04,2000-04-01,42.009,287.1115
2000-04,2000-04-01,41.759,287.72952
2000-04,2000-04-01,41.759,287.47906
2000-05,2000-05-01,42.009,292.2732
2000-05,2000-05-01,42.009,291.9956
2000-05,2000-05-01,41.759,292.31412
2000-05,2000-05-01,41.759,292.1839
2000-06,2000-06-01,42.009,295.55432
2000-06,2000-06-01,42.009,295.15875
2000-06,2000-06-01,41.759,295.59143
2000-06,2000-06-01,41.759,295.43143
2000-07,2000-07-01,42.009,296.17966
2000-07,2000-07-01,42.009,296.0696
2000-07,2000-07-01,41.759,296.18585
2000-07,2000-07-01,41.759,296.21097
2000-08,2000-08-01,42.009,298.0372
2000-08,2000-08-01,42.009,298.01617
2000-08,2000-08-01,41.759,298.0364
2000-08,2000-08-01,41.759,297.9477
2000-09,2000-09-01,42.009,294.2808
2000-09,2000-09-01,42.009,293.79187
2000-09,2000-09-01,41.759,294.82492
2000-09,2000-09-01,41.759,294.1938
2000-10,2000-10-01,42.009,290.3507
2000-10,2000-10-01,42.009,289.5407
2000-10,2000-10-01,41.759,291.60718
2000-10,2000-10-01,41.759,290.45654
2000-11,2000-11-01,42.009,286.56207
2000-11,2000-11-01,42.009,285.5326
2000-11,2000-11-01,41.759,288.36884
2000-11,2000-11-01,41.759,286.7829
2000-12,2000-12-01,42.009,283.42352
2000-12,2000-12-01,42.009,282.1975
2000-12,2000-12-01,41.759,285.7055
2000-12,2000-12-01,41.759,283.76678
2001-01,2001-01-01,42.009,282.95288
2001-01,2001-01-01,42.009,282.07605
2001-01,2001-01-01,41.759,284.6139
2001-01,2001-01-01,41.759,283.27722
2001-02,2001-02-01,42.009,282.05286
2001-02,2001-02-01,42.009,281.1057
