valid_time,time,latitude,t2m
2000-01,2000-01-01,52.064,278.98267
2000-01,2000-01-01,52.064,278.4581
2000-01,2000-01-01,52.064,278.06403
2000-01,2000-01-01,51.814,278.34427
2000-01,2000-01-01,51.814,278.0187
2000-01,2000-01-01,51.814,277.74484
2000-02,2000-02-01,52.064,279.7693
2000-02,2000-02-01,52.064,279.55667
2000-02,2000-02-01,52.064,279.36826
2000-02,2000-02-01,51.814,279.61105
2000-02,2000-02-01,51.814,279.4277
2000-02,2000-02-01,51.814,279.26654
2000-03,2000-03-01,52.064,280.1864
2000-03,2000-03-01,52.064,280.1474
2000-03,2000-03-01,52.064,280.11908
2000-03,2000-03-01,51.814,280.29266
2000-03,2000-03-01,51.814,280.23773
2000-03,2000-03-01,51.814,280.2051
2000-04,2000-04-01,52.064,281.96143
2000-04,2000-04-01,52.064,282.37292
2000-04,2000-04-01,52.064,282.63446
2000-04,2000-04-01,51.814,282.59952
2000-04,2000-04-01,51.814,282.81738
2000-04,2000-04-01,51.814,282.97208
2000-05,2000-05-01,52.064,286.07614
2000-05,2000-05-01,52.064,286.893
2000-05,2000-05-01,52.064,287.34708
2000-05,2000-05-01,51.814,287.1515
2000-05,2000-05-01,51.814,287.55405
2000-05,2000-05-01,51.814,287.77768
2000-06,2000-06-01,52.064,288.04593
2000-06,2000-06-01,52.064,288.56714
2000-06,2000-06-01,52.064,288.8402
2000-06,2000-06-01,51.814,288.85242
2000-06,2000-06-01,51.814,289.07834
2000-06,2000-06-01,51.814,289.1936
2000-07,2000-07-01,52.064,288.31583
2000-07,2000-07-01,52.064,288.4359
2000-07,2000-07-01,52.064,288.50446
2000-07,2000-07-01,51.814,288.56775
2000-07,2000-07-01,51.814,288.59644
2000-07,2000-07-01,51.814,288.6258
2000-08,2000-08-01,52.064,290.50656
2000-08,2000-08-01,52.064,290.6217
2000-08,2000-08-01,52.064,290.66223
2000-08,2000-08-01,51.814,290.83984
2000-08,2000-08-01,51.814,290.82465
2000-08,2000-08-01,51.814,290.81674
2000-09,2000-09-01,52.064,289.9042
2000-09,2000-09-01,52.064,289.60815
2000-09,2000-09-01,52.064,289.36804
2000-09,2000-09-01,51.814,289.71207
2000-09,2000-09-01,51.814,289.5487
2000-09,2000-09-01,51.814,289.37823
2000-10,2000-10-01,52.064,285.96243
2000-10,2000-10-01,52.064,285.3228
2000-10,2000-10-01,52.064,284.90726
2000-10,2000-10-01,51.814,285.2628
2000-10,2000-10-01,51.814,284.96103
2000-10,2000-10-01,51.814,284.7394
2000-11,2000-11-01,52.064,282.28494
2000-11,2000-11-01,52.064,281.66846
2000-11,2000-11-01,52.064,281.2575
2000-11,2000-11-01,51.814,281.61005
2000-11,2000-11-01,51.814,281.32184
2000-11,2000-11-01,51.814,281.0922
2000-12,2000-12-01,52.064,279.78397
2000-12,2000-12-01,52.064,279.1055
2000-12,2000-12-01,52.064,278.67062
2000-12,2000-12-01,51.814,279.10165
2000-12,2000-12-01,51.814,278.76932
2000-12,2000-12-01,51.814,278.52374
2001-01,2001-01-01,52.064,277.354
2001-01,2001-01-01,52.064,276.6337
2001-01,2001-01-01,52.064,276.17557
2001-01,2001-01-01,51.814,276.6355
2001-01,2001-01-01,51.814,276.28595
2001-01,2001-01-01,51.814,276.0262
2001-02,2001-02-01,52.064,278.44922
2001-02,2001-02-01,52.064,278.15317
2001-02,2001-02-01,52.064,277.94748
2001-02,2001-02-01,51.814,278.35696
2001-02,2001-02-01,51.814,278.1697
2001-02,2001-02-01,51.814,278.0302
2001-03,2001-03-01,52.064,278.35883
2001-03,2001-03-01,52.064,278.25388
2001-03,2001-03-01,52.064,278.19186
2001-03,2001-03-01,51.814,278.53525
2001-03,2001-03-01,51.814,278.48215
2001-03,2001-03-01,51.814,278.44846
2001-04,2001-04-01,52.064,280.99615
2001-04,2001-04-01,52.064,281.2863
2001-04,2001-04-01,52.064,281.41302
2001-04,2001-04-01,51.814,281.47565
2001-04,2001-04-01,51.814,281.5595
2001-04,2001-04-01,51.814,281.57727
2001-05,2001-05-01,52.064,285.2237
2001-05,2001-05-01,52.064,286.23798
2001-05,2001-05-01,52.064,286.76904
2001-05,2001-05-01,51.814,286.67346
2001-05,2001-05-01,51.814,287.14148
2001-05,2001-05-01,51.814,287.35907
2001-06,2001-06-01,52.064,287.3765
2001-06,2001-06-01,52.064,287.8557
2001-06,2001-06-01,52.064,288.04922
2001-06,2001-06-01,51.814,288.23563
2001-06,2001-06-01,51.814,288.40112
