valid_time,time,latitude,t2m
2000-01,2000-01-01,38.626,283.1795
2000-01,2000-01-01,38.626,283.09613
2000-01,2000-01-01,38.376,283.26218
2000-01,2000-01-01,38.376,283.21625
2000-02,2000-02-01,38.626,284.65903
2000-02,2000-02-01,38.626,284.82672
2000-02,2000-02-01,38.376,284.6496
2000-02,2000-02-01,38.376,284.86502
2000-03,2000-03-01,38.626,286.51556
2000-03,2000-03-01,38.626,286.27457
2000-03,2000-03-01,38.376,286.49677
2000-03,2000-03-01,38.376,286.30902
2000-04,2000-04-01,38.626,289.8283
2000-04,2000-04-01,38.626,289.72916
2000-04,2000-04-01,38.376,289.56796
2000-04,2000-04-01,38.376,289.53104
2000-05,2000-05-01,38.626,293.2842
2000-05,2000-05-01,38.626,292.92432
2000-05,2000-05-01,38.376,292.74084
2000-05,2000-05-01,38.376,292.50165
2000-06,2000-06-01,38.626,297.42004
2000-06,2000-06-01,38.626,297.2368
2000-06,2000-06-01,38.376,296.31894
2000-06,2000-06-01,38.376,296.25806
2000-07,2000-07-01,38.626,295.88568
2000-07,2000-07-01,38.626,295.92615
2000-07,2000-07-01,38.376,294.9449
2000-07,2000-07-01,38.376,295.05893
2000-08,2000-08-01,38.626,297.2809
2000-08,2000-08-01,38.626,297.39374
2000-08,2000-08-01,38.376,296.26007
2000-08,2000-08-01,38.376,296.43866
2000-09,2000-09-01,38.626,295.76038
2000-09,2000-09-01,38.626,295.42383
2000-09,2000-09-01,38.376,295.37177
2000-09,2000-09-01,38.376,295.10245
2000-10,2000-10-01,38.626,289.94168
2000-10,2000-10-01,38.626,289.7477
2000-10,2000-10-01,38.376,289.7716
2000-10,2000-10-01,38.376,289.63702
2000-11,2000-11-01,38.626,283.24332
2000-11,2000-11-01,38.626,282.8178
2000-11,2000-11-01,38.376,283.261
2000-11,2000-11-01,38.376,282.88
2000-12,2000-12-01,38.626,282.50003
2000-12,2000-12-01,38.626,282.0838
2000-12,2000-12-01,38.376,282.46808
2000-12,2000-12-01,38.376,282.0957
2001-01,2001-01-01,38.626,281.4308
2001-01,2001-01-01,38.626,281.12076
2001-01,2001-01-01,38.376,281.42896
2001-01,2001-01-01,38.376,281.13977
2001-02,2001-02-01,38.626,283.39713
2001-02,2001-02-01,38.626,283.2548
2001-02,2001-02-01,38.376,283.37244
2001-02,2001-02-01,38.376,283.29846
2001-03,2001-03-01,38.626,288.09323
2001-03,2001-03-01,38.626,287.8568
2001-03,2001-03-01,38.376,287.99335
2001-03,2001-03-01,38.376,287.8215
2001-04,2001-04-01,38.626,287.9055
2001-04,2001-04-01,38.626,287.6482
2001-04,2001-04-01,38.376,287.58466
2001-04,2001-04-01,38.376,287.44067
2001-05,2001-05-01,38.626,297.2145
2001-05,2001-05-01,38.626,297.01126
