valid_time,time,latitude,t2m
2000-01,2000-01-01,60.033,268.32022
2000-01,2000-01-01,60.033,268.17255
2000-01,2000-01-01,60.033,268.04944
2000-01,2000-01-01,59.783,268.11536
2000-01,2000-01-01,59.783,268.01642
2000-01,2000-01-01,59.783,267.9185
2000-02,2000-02-01,60.033,269.78528
2000-02,2000-02-01,60.033,270.09372
2000-02,2000-02-01,60.033,270.22302
2000-02,2000-02-01,59.783,270.40176
2000-02,2000-02-01,59.783,270.4884
2000-02,2000-02-01,59.783,270.45856
2000-03,2000-03-01,60.033,271.6094
2000-03,2000-03-01,60.033,272.25757
2000-03,2000-03-01,60.033,272.606
2000-03,2000-03-01,59.783,272.55426
2000-03,2000-03-01,59.783,272.85336
2000-03,2000-03-01,59.783,273.03
2000-04,2000-04-01,60.033,278.6624
2000-04,2000-04-01,60.033,279.84326
2000-04,2000-04-01,60.033,280.531
2000-04,2000-04-01,59.783,280.76965
2000-04,2000-04-01,59.783,280.9154
2000-04,2000-04-01,59.783,281.10675
2000-05,2000-05-01,60.033,281.70267
2000-05,2000-05-01,60.033,282.69653
2000-05,2000-05-01,60.033,283.41663
2000-05,2000-05-01,59.783,283.16165
2000-05,2000-05-01,59.783,283.42105
2000-05,2000-05-01,59.783,283.6838
2000-06,2000-06-01,60.033,284.79236
2000-06,2000-06-01,60.033,286.63678
2000-06,2000-06-01,60.033,287.99487
2000-06,2000-06-01,59.783,287.60138
2000-06,2000-06-01,59.783,287.95898
2000-06,2000-06-01,59.783,288.40967
2000-07,2000-07-01,60.033,288.57928
2000-07,2000-07-01,60.033,289.97308
2000-07,2000-07-01,60.033,290.97595
2000-07,2000-07-01,59.783,290.06866
2000-07,2000-07-01,59.783,290.37158
2000-07,2000-07-01,59.783,290.72668
2000-08,2000-08-01,60.033,286.7379
2000-08,2000-08-01,60.033,287.71017
2000-08,2000-08-01,60.033,288.4684
2000-08,2000-08-01,59.783,287.99078
2000-08,2000-08-01,59.783,288.16296
2000-08,2000-08-01,59.783,288.37665
2000-09,2000-09-01,60.033,282.25244
2000-09,2000-09-01,60.033,282.3988
2000-09,2000-09-01,60.033,282.67767
2000-09,2000-09-01,59.783,281.9826
2000-09,2000-09-01,59.783,282.08575
2000-09,2000-09-01,59.783,282.21213
2000-10,2000-10-01,60.033,279.76428
2000-10,2000-10-01,60.033,280.28912
2000-10,2000-10-01,60.033,280.70593
2000-10,2000-10-01,59.783,280.5319
2000-10,2000-10-01,59.783,280.607
2000-10,2000-10-01,59.783,280.70258
2000-11,2000-11-01,60.033,275.4038
2000-11,2000-11-01,60.033,275.05225
2000-11,2000-11-01,60.033,274.82666
2000-11,2000-11-01,59.783,274.86197
2000-11,2000-11-01,59.783,274.81335
2000-11,2000-11-01,59.783,274.71722
2000-12,2000-12-01,60.033,272.15228
2000-12,2000-12-01,60.033,272.02945
2000-12,2000-12-01,60.033,271.88586
2000-12,2000-12-01,59.783,271.92142
2000-12,2000-12-01,59.783,271.8863
2000-12,2000-12-01,59.783,271.74878
2001-01,2001-01-01,60.033,270.28113
2001-01,2001-01-01,60.033,270.0297
2001-01,2001-01-01,60.033,269.8284
2001-01,2001-01-01,59.783,269.97266
2001-01,2001-01-01,59.783,269.916
2001-01,2001-01-01,59.783,269.81775
2001-02,2001-02-01,60.033,265.07617
2001-02,2001-02-01,60.033,264.88306
2001-02,2001-02-01,60.033,264.70483
2001-02,2001-02-01,59.783,265.15076
2001-02,2001-02-01,59.783,265.12653
2001-02,2001-02-01,59.783,264.99796
2001-03,2001-03-01,60.033,268.125
2001-03,2001-03-01,60.033,268.4158
2001-03,2001-03-01,60.033,268.4943
2001-03,2001-03-01,59.783,268.83255
2001-03,2001-03-01,59.783,269.07553
2001-03,2001-03-01,59.783,269.14072
2001-04,2001-04-01,60.033,278.56128
2001-04,2001-04-01,60.033,279.81573
2001-04,2001-04-01,60.033,280.57782
2001-04,2001-04-01,59.783,280.74768
2001-04,2001-04-01,59.783,280.96942
2001-04,2001-04-01,59.783,281.2503
2001-05,2001-05-01,60.033,281.1904
2001-05,2001-05-01,60.033,281.99866
2001-05,2001-05-01,60.033,282.5946
2001-05,2001-05-01,59.783,282.43408
2001-05,2001-05-01,59.783,282.6057
2001-05,2001-05-01,59.783,282.81284
2001-06,2001-06-01,60.033,284.9098
2001-06,2001-06-01,60.033,286.76343
2001-06,2001-06-01,60.033,288.10437
2001-06,2001-06-01,59.783,287.5747
2001-06,2001-06-01,59.783,287.85626
2001-06,2001-06-01,59.783,288.27515
2001-07,2001-07-01,60.033,291.3615
2001-07,2001-07-01,60.033,293.21777
2001-07,2001-07-01,60.033,294.45953
2001-07,2001-07-01,59.783,293.7494
2001-07,2001-07-01,59.783,294.1347
2001-07,2001-07-01,59.783,294.50922
2001-08,2001-08-01,60.033,286.87848
2001-08,2001-08-01,60.033,287.96515
2001-08,2001-08-01,60.033,288.76736
2001-08,2001-08-01,59.783,288.37494
2001-08,2001-08-01,59.783,288.56647
2001-08,2001-08-01,59.783,288.77786
2001-09,2001-09-01,60.033,283.9546
2001-09,2001-09-01,60.033,284.56573
2001-09,2001-09-01,60.033,285.02188
2001-09,2001-09-01,59.783,284.54224
2001-09,2001-09-01,59.783,284.69363
2001-09,2001-09-01,59.783,284.8362
2001-10,2001-10-01,60.033,278.92496
2001-10,2001-10-01,60.033,279.3395
2001-10,2001-10-01,60.033,279.6374
2001-10,2001-10-01,59.783,279.49182
2001-10,2001-10-01,59.783,279.56216
2001-10,2001-10-01,59.783,279.61597
2001-11,2001-11-01,60.033,272.21216
2001-11,2001-11-01,60.033,271.75882
2001-11,2001-11-01,60.033,271.4682
2001-11,2001-11-01,59.783,271.09387
2001-11,2001-11-01,59.783,271.13135
2001-11,2001-11-01,59.783,271.0845
2001-12,2001-12-01,60.033,264.57062
2001-12,2001-12-01,60.033,263.7613
2001-12,2001-12-01,60.033,263.17792
2001-12,2001-12-01,59.783,263.305
2001-12,2001-12-01,59.783,263.10468
2001-12,2001-12-01,59.783,262.8438
2002-01,2002-01-01,60.033,267.97375
2002-01,2002-01-01,60.033,267.9832
2002-01,2002-01-01,60.033,267.97278
2002-01,2002-01-01,59.783,268.2229
2002-01,2002-01-01,59.783,268.18094
2002-01,2002-01-01,59.783,268.12848
2002-02,2002-02-01,60.033,271.6328
2002-02,2002-02-01,60.033,271.85718
2002-02,2002-02-01,60.033,271.96295
2002-02,2002-02-01,59.783,272.1575
2002-02,2002-02-01,59.783,272.19513
2002-02,2002-02-01,59.783,272.20465
2002-03,2002-03-01,60.033,272.29636
2002-03,2002-03-01,60.033,272.8987
2002-03,2002-03-01,60.033,273.22543
2002-03,2002-03-01,59.783,273.40652
2002-03,2002-03-01,59.783,273.57993
2002-03,2002-03-01,59.783,273.69937
2002-04,2002-04-01,60.033,276.7377
2002-04,2002-04-01,60.033,277.6652
2002-04,2002-04-01,60.033,278.247
2002-04,2002-04-01,59.783,278.29208
2002-04,2002-04-01,59.783,278.42468
2002-04,2002-04-01,59.783,278.62027
2002-05,2002-05-01,60.033,282.92563
2002-05,2002-05-01,60.033,283.98242
2002-05,2002-05-01,60.033,284.73676
2002-05,2002-05-01,59.783,284.44724
2002-05,2002-05-01,59.783,284.6416
2002-05,2002-05-01,59.783,284.8832
2002-06,2002-06-01,60.033,285.47827
2002-06,2002-06-01,60.033,287.4726
2002-06,2002-06-01,60.033,289.0008
2002-06,2002-06-01,59.783,288.59637
2002-06,2002-06-01,59.783,288.86737
2002-06,2002-06-01,59.783,289.34332
2002-07,2002-07-01,60.033,290.14453
2002-07,2002-07-01,60.033,291.53595
2002-07,2002-07-01,60.033,292.622
2002-07,2002-07-01,59.783,292.0597
2002-07,2002-07-01,59.783,292.33533
2002-07,2002-07-01,59.783,292.69696
2002-08,2002-08-01,60.033,288.54367
2002-08,2002-08-01,60.033,289.53033
2002-08,2002-08-01,60.033,290.3297
2002-08,2002-08-01,59.783,289.95642
2002-08,2002-08-01,59.783,290.15146
2002-08,2002-08-01,59.783,290.38788
2002-09,2002-09-01,60.033,282.8827
2002-09,2002-09-01,60.033,283.21338
2002-09,2002-09-01,60.033,283.58588
2002-09,2002-09-01,59.783,283.199
2002-09,2002-09-01,59.783,283.34967
2002-09,2002-09-01,59.783,283.50192
2002-10,2002-10-01,60.033,273.9945
2002-10,2002-10-01,60.033,273.7809
2002-10,2002-10-01,60.033,273.7298
2002-10,2002-10-01,59.783,273.34866
2002-10,2002-10-01,59.783,273.3763
2002-10,2002-10-01,59.783,273.4086
2002-11,2002-11-01,60.033,270.82837
2002-11,2002-11-01,60.033,270.16193
2002-11,2002-11-01,60.033,269.66733
2002-11,2002-11-01,59.783,269.87994
2002-11,2002-11-01,59.783,269.762
2002-11,2002-11-01,59.783,269.5616
2002-12,2002-12-01,60.033,263.0916
2002-12,2002-12-01,60.033,262.55573
2002-12,2002-12-01,60.033,262.1249
2002-12,2002-12-01,59.783,262.19595
2002-12,2002-12-01,59.783,262.07028
2002-12,2002-12-01,59.783,261.84772
2003-01,2003-01-01,60.033,263.02942
2003-01,2003-01-01,60.033,262.68024
2003-01,2003-01-01,60.033,262.4352
2003-01,2003-01-01,59.783,262.70386
2003-01,2003-01-01,59.783,262.6296
2003-01,2003-01-01,59.783,262.51544
2003-02,2003-02-01,60.033,266.65582
2003-02,2003-02-01,60.033,266.73132
