valid_time,time,latitude,t2m
2000-01,2000-01-01,40.749,273.6227
2000-01,2000-01-01,40.749,271.9601
2000-01,2000-01-01,40.499,273.66293
2000-01,2000-01-01,40.499,271.8006
2000-02,2000-02-01,40.749,275.81903
2000-02,2000-02-01,40.749,274.6299
2000-02,2000-02-01,40.499,275.8659
2000-02,2000-02-01,40.499,274.50635
2000-03,2000-03-01,40.749,277.89325
2000-03,2000-03-01,40.749,275.9364
2000-03,2000-03-01,40.499,277.4973
2000-03,2000-03-01,40.499,275.69513
2000-04,2000-04-01,40.749,285.06396
2000-04,2000-04-01,40.749,282.1761
2000-04,2000-04-01,40.499,284.8117
2000-04,2000-04-01,40.499,282.17963
2000-05,2000-05-01,40.749,289.04944
2000-05,2000-05-01,40.749,286.82135
2000-05,2000-05-01,40.499,288.86694
2000-05,2000-05-01,40.499,287.0699
2000-06,2000-06-01,40.749,294.51788
2000-06,2000-06-01,40.749,292.36487
2000-06,2000-06-01,40.499,294.5401
2000-06,2000-06-01,40.499,292.83496
2000-07,2000-07-01,40.749,299.28235
2000-07,2000-07-01,40.749,297.37415
2000-07,2000-07-01,40.499,299.46002
2000-07,2000-07-01,40.499,297.83447
2000-08,2000-08-01,40.749,298.50992
2000-08,2000-08-01,40.749,296.5115
2000-08,2000-08-01,40.499,298.33414
2000-08,2000-08-01,40.499,296.62576
2000-09,2000-09-01,40.749,290.67563
2000-09,2000-09-01,40.749,288.76227
2000-09,2000-09-01,40.499,290.61545
2000-09,2000-09-01,40.499,289.13934
2000-10,2000-10-01,40.749,283.95615
2000-10,2000-10-01,40.749,282.01822
2000-10,2000-10-01,40.499,283.4738
2000-10,2000-10-01,40.499,281.9624
2000-11,2000-11-01,40.749,272.6933
2000-11,2000-11-01,40.749,270.39154
2000-11,2000-11-01,40.499,271.68854
2000-11,2000-11-01,40.499,269.72455
2000-12,2000-12-01,40.749,272.06293
2000-12,2000-12-01,40.749,269.87115
2000-12,2000-12-01,40.499,271.87274
2000-12,2000-12-01,40.499,269.86713
2001-01,2001-01-01,40.749,269.79077
2001-01,2001-01-01,40.749,268.00244
2001-01,2001-01-01,40.499,270.32855
2001-01,2001-01-01,40.499,268.61395
2001-02,2001-02-01,40.749,272.6403
2001-02,2001-02-01,40.749,271.37125
2001-02,2001-02-01,40.499,273.13187
2001-02,2001-02-01,40.499,271.77463
2001-03,2001-03-01,40.749,278.7931
2001-03,2001-03-01,40.749,277.18945
2001-03,2001-03-01,40.499,279.38885
2001-03,2001-03-01,40.499,277.399
2001-04,2001-04-01,40.749,282.3941
2001-04,2001-04-01,40.749,279.88544
2001-04,2001-04-01,40.499,282.00073
2001-04,2001-04-01,40.499,279.79187
2001-05,2001-05-01,40.749,290.55164
2001-05,2001-05-01,40.749,287.93475
2001-05,2001-05-01,40.499,290.4771
2001-05,2001-05-01,40.499,288.17102
2001-06,2001-06-01,40.749,294.51703
2001-06,2001-06-01,40.749,292.4342
2001-06,2001-06-01,40.499,294.66943
2001-06,2001-06-01,40.499,292.86072
2001-07,2001-07-01,40.749,298.7155
2001-07,2001-07-01,40.749,296.77005
2001-07,2001-07-01,40.499,298.64264
2001-07,2001-07-01,40.499,297.0052
2001-08,2001-08-01,40.749,298.59113
2001-08,2001-08-01,40.749,296.56714
2001-08,2001-08-01,40.499,298.4084
2001-08,2001-08-01,40.499,296.64813
2001-09,2001-09-01,40.749,293.5939
2001-09,2001-09-01,40.749,291.68396
2001-09,2001-09-01,40.499,293.5649
2001-09,2001-09-01,40.499,291.97827
2001-10,2001-10-01,40.749,285.60425
2001-10,2001-10-01,40.749,283.60388
2001-10,2001-10-01,40.499,285.4229
2001-10,2001-10-01,40.499,283.761
2001-11,2001-11-01,40.749,278.5103
2001-11,2001-11-01,40.749,276.61554
2001-11,2001-11-01,40.499,277.85205
2001-11,2001-11-01,40.499,276.44745
2001-12,2001-12-01,40.749,269.94366
2001-12,2001-12-01,40.749,268.47717
2001-12,2001-12-01,40.499,268.5514
2001-12,2001-12-01,40.499,267.35632
2002-01,2002-01-01,40.749,269.93762
2002-01,2002-01-01,40.749,268.65564
2002-01,2002-01-01,40.499,269.32187
