valid_time,time,latitude,t2m
2000-01,2000-01-01,29.569,285.88565
2000-01,2000-01-01,29.569,286.11557
2000-01,2000-01-01,29.319,286.83133
2000-01,2000-01-01,29.319,286.95865
2000-02,2000-02-01,29.569,289.43045
2000-02,2000-02-01,29.569,289.61218
2000-02,2000-02-01,29.319,290.3517
2000-02,2000-02-01,29.319,290.46628
2000-03,2000-03-01,29.569,291.70984
2000-03,2000-03-01,29.569,291.93033
2000-03,2000-03-01,29.319,292.75815
2000-03,2000-03-01,29.319,292.90405
2000-04,2000-04-01,29.569,293.75507
2000-04,2000-04-01,29.569,293.85846
2000-04,2000-04-01,29.319,294.64078
2000-04,2000-04-01,29.319,294.71863
2000-05,2000-05-01,29.569,298.22025
2000-05,2000-05-01,29.569,298.2983
2000-05,2000-05-01,29.319,299.05005
2000-05,2000-05-01,29.319,299.0777
2000-06,2000-06-01,29.569,299.32547
2000-06,2000-06-01,29.569,299.43518
2000-06,2000-06-01,29.319,300.2511
2000-06,2000-06-01,29.319,300.2826
2000-07,2000-07-01,29.569,302.5022
2000-07,2000-07-01,29.569,302.58707
2000-07,2000-07-01,29.319,303.33075
2000-07,2000-07-01,29.319,303.30054
2000-08,2000-08-01,29.569,302.24738
2000-08,2000-08-01,29.569,302.43463
2000-08,2000-08-01,29.319,302.92682
2000-08,2000-08-01,29.319,303.04288
2000-09,2000-09-01,29.569,299.92627
2000-09,2000-09-01,29.569,300.04257
2000-09,2000-09-01,29.319,300.82007
2000-09,2000-09-01,29.319,300.8402
2000-10,2000-10-01,29.569,293.4
2000-10,2000-10-01,29.569,293.6718
2000-10,2000-10-01,29.319,294.22018
2000-10,2000-10-01,29.319,294.3922
2000-11,2000-11-01,29.569,286.1136
2000-11,2000-11-01,29.569,286.3566
2000-11,2000-11-01,29.319,287.05298
2000-11,2000-11-01,29.319,287.2153
2000-12,2000-12-01,29.569,281.00958
2000-12,2000-12-01,29.569,281.14856
2000-12,2000-12-01,29.319,281.76062
2000-12,2000-12-01,29.319,281.86234
2001-01,2001-01-01,29.569,281.9126
2001-01,2001-01-01,29.569,282.0782
2001-01,2001-01-01,29.319,282.62634
2001-01,2001-01-01,29.319,282.73712
2001-02,2001-02-01,29.569,286.71674
2001-02,2001-02-01,29.569,286.94238
2001-02,2001-02-01,29.319,287.6106
2001-02,2001-02-01,29.319,287.74777
2001-03,2001-03-01,29.569,285.96936
2001-03,2001-03-01,29.569,286.13672
2001-03,2001-03-01,29.319,286.7511
2001-03,2001-03-01,29.319,286.82874
2001-04,2001-04-01,29.569,293.90656
2001-04,2001-04-01,29.569,294.14603
2001-04,2001-04-01,29.319,294.8
2001-04,2001-04-01,29.319,294.92926
2001-05,2001-05-01,29.569,297.1051
2001-05,2001-05-01,29.569,297.24313
2001-05,2001-05-01,29.319,298.17413
2001-05,2001-05-01,29.319,298.14178
2001-06,2001-06-01,29.569,300.69586
2001-06,2001-06-01,29.569,300.84552
2001-06,2001-06-01,29.319,301.7968
2001-06,2001-06-01,29.319,301.78076
2001-07,2001-07-01,29.569,301.81967
2001-07,2001-07-01,29.569,302.1264
2001-07,2001-07-01,29.319,302.82693
2001-07,2001-07-01,29.319,302.92554
2001-08,2001-08-01,29.569,301.70615
2001-08,2001-08-01,29.569,301.93085
2001-08,2001-08-01,29.319,302.63953
2001-08,2001-08-01,29.319,302.70105
2001-09,2001-09-01,29.569,297.2574
2001-09,2001-09-01,29.569,297.4435
2001-09,2001-09-01,29.319,298.08282
2001-09,2001-09-01,29.319,298.13824
2001-10,2001-10-01,29.569,292.42682
2001-10,2001-10-01,29.569,292.48804
2001-10,2001-10-01,29.319,293.38144
2001-10,2001-10-01,29.319,293.39853
2001-11,2001-11-01,29.569,289.33392
2001-11,2001-11-01,29.569,289.53156
2001-11,2001-11-01,29.319,290.21368
2001-11,2001-11-01,29.319,290.32217
2001-12,2001-12-01,29.569,284.75012
2001-12,2001-12-01,29.569,284.9798
2001-12,2001-12-01,29.319,285.50775
2001-12,2001-12-01,29.319,285.6765
2002-01,2002-01-01,29.569,284.65186
2002-01,2002-01-01,29.569,284.87885
2002-01,2002-01-01,29.319,285.472
2002-01,2002-01-01,29.319,285.63785
2002-02,2002-02-01,29.569,283.4225
2002-02,2002-02-01,29.569,283.61438
2002-02,2002-02-01,29.319,284.12457
2002-02,2002-02-01,29.319,284.2116
2002-03,2002-03-01,29.569,288.15414
2002-03,2002-03-01,29.569,288.42224
2002-03,2002-03-01,29.319,289.0419
2002-03,2002-03-01,29.319,289.1779
2002-04,2002-04-01,29.569,294.92792
2002-04,2002-04-01,29.569,295.26508
2002-04,2002-04-01,29.319,295.80545
2002-04,2002-04-01,29.319,296.05716
2002-05,2002-05-01,29.569,297.3945
2002-05,2002-05-01,29.569,297.65616
2002-05,2002-05-01,29.319,298.34018
2002-05,2002-05-01,29.319,298.50418
2002-06,2002-06-01,29.569,300.2549
2002-06,2002-06-01,29.569,300.4205
2002-06,2002-06-01,29.319,301.20758
2002-06,2002-06-01,29.319,301.31882
2002-07,2002-07-01,29.569,299.41
2002-07,2002-07-01,29.569,299.805
2002-07,2002-07-01,29.319,300.16043
2002-07,2002-07-01,29.319,300.4837
2002-08,2002-08-01,29.569,301.22345
2002-08,2002-08-01,29.569,301.54037
2002-08,2002-08-01,29.319,302.06046
2002-08,2002-08-01,29.319,302.35492
2002-09,2002-09-01,29.569,297.92438
2002-09,2002-09-01,29.569,298.17358
2002-09,2002-09-01,29.319,298.57642
2002-09,2002-09-01,29.319,298.8146
2002-10,2002-10-01,29.569,292.97714
2002-10,2002-10-01,29.569,293.2297
2002-10,2002-10-01,29.319,293.87204
2002-10,2002-10-01,29.319,294.0351
2002-11,2002-11-01,29.569,286.23132
2002-11,2002-11-01,29.569,286.47632
2002-11,2002-11-01,29.319,286.97595
2002-11,2002-11-01,29.319,287.13016
2002-12,2002-12-01,29.569,284.00925
2002-12,2002-12-01,29.569,284.3402
2002-12,2002-12-01,29.319,284.84668
2002-12,2002-12-01,29.319,285.1206
2003-01,2003-01-01,29.569,281.95062
2003-01,2003-01-01,29.569,282.14108
2003-01,2003-01-01,29.319,282.5329
2003-01,2003-01-01,29.319,282.6841
2003-02,2003-02-01,29.569,283.67426
2003-02,2003-02-01,29.569,283.8822
2003-02,2003-02-01,29.319,284.4523
2003-02,2003-02-01,29.319,284.55518
2003-03,2003-03-01,29.569,288.3068
2003-03,2003-03-01,29.569,288.4326
2003-03,2003-03-01,29.319,288.96313
2003-03,2003-03-01,29.319,288.99457
2003-04,2003-04-01,29.569,293.54248
2003-04,2003-04-01,29.569,293.67606
2003-04,2003-04-01,29.319,294.2558
2003-04,2003-04-01,29.319,294.31445
2003-05,2003-05-01,29.569,298.45416
2003-05,2003-05-01,29.569,298.59164
2003-05,2003-05-01,29.319,299.36176
2003-05,2003-05-01,29.319,299.4302
2003-06,2003-06-01,29.569,299.91656
2003-06,2003-06-01,29.569,300.1685
2003-06,2003-06-01,29.319,300.8243
2003-06,2003-06-01,29.319,300.9332
2003-07,2003-07-01,29.569,299.72986
2003-07,2003-07-01,29.569,299.95303
2003-07,2003-07-01,29.319,300.28665
2003-07,2003-07-01,29.319,300.3692
2003-08,2003-08-01,29.569,300.97455
2003-08,2003-08-01,29.569,301.37918
2003-08,2003-08-01,29.319,301.7876
2003-08,2003-08-01,29.319,301.90674
2003-09,2003-09-01,29.569,297.04364
2003-09,2003-09-01,29.569,297.41968
2003-09,2003-09-01,29.319,297.65137
2003-09,2003-09-01,29.319,297.86066
2003-10,2003-10-01,29.569,293.81082
2003-10,2003-10-01,29.569,294.1241
2003-10,2003-10-01,29.319,294.42645
2003-10,2003-10-01,29.319,294.6258
2003-11,2003-11-01,29.569,289.66803
2003-11,2003-11-01,29.569,289.9774
2003-11,2003-11-01,29.319,290.48413
2003-11,2003-11-01,29.319,290.7162
2003-12,2003-12-01,29.569,284.9551
2003-12,2003-12-01,29.569,285.22552
2003-12,2003-12-01,29.319,285.77118
2003-12,2003-12-01,29.319,285.93384
2004-01,2004-01-01,29.569,284.8275
2004-01,2004-01-01,29.569,285.05103
2004-01,2004-01-01,29.319,285.62537
2004-01,2004-01-01,29.319,285.77942
2004-02,2004-02-01,29.569,283.73663
2004-02,2004-02-01,29.569,283.92053
2004-02,2004-02-01,29.319,284.62463
2004-02,2004-02-01,29.319,284.71628
2004-03,2004-03-01,29.569,290.98975
2004-03,2004-03-01,29.569,291.26013
2004-03,2004-03-01,29.319,291.7563
2004-03,2004-03-01,29.319,291.9334
2004-04,2004-04-01,29.569,291.96698
2004-04,2004-04-01,29.569,292.25284
2004-04,2004-04-01,29.319,292.73196
2004-04,2004-04-01,29.319,292.9129
2004-05,2004-05-01,29.569,296.19366
2004-05,2004-05-01,29.569,296.43744
2004-05,2004-05-01,29.319,296.92603
2004-05,2004-05-01,29.319,297.05267
2004-06,2004-06-01,29.569,298.87622
2004-06,2004-06-01,29.569,299.0816
2004-06,2004-06-01,29.319,299.70337
2004-06,2004-06-01,29.319,299.797
2004-07,2004-07-01,29.569,299.8993
2004-07,2004-07-01,29.569,300.12918
2004-07,2004-07-01,29.319,300.62994
2004-07,2004-07-01,29.319,300.72675
2004-08,2004-08-01,29.569,300.12607
2004-08,2004-08-01,29.569,300.52982
2004-08,2004-08-01,29.319,301.29953
2004-08,2004-08-01,29.319,301.46945
2004-09,2004-09-01,29.569,298.13525
2004-09,2004-09-01,29.569,298.62
2004-09,2004-09-01,29.319,299.14783
2004-09,2004-09-01,29.319,299.41885
2004-10,2004-10-01,29.569,296.14954
2004-10,2004-10-01,29.569,296.48773
2004-10,2004-10-01,29.319,297.07162
2004-10,2004-10-01,29.319,297.34546
2004-11,2004-11-01,29.569,288.34952
2004-11,2004-11-01,29.569,288.66586
2004-11,2004-11-01,29.319,289.2015
2004-11,2004-11-01,29.319,289.45395
2004-12,2004-12-01,29.569,283.44482
2004-12,2004-12-01,29.569,283.7395
2004-12,2004-12-01,29.319,284.12485
2004-12,2004-12-01,29.319,284.36874
2005-01,2005-01-01,29.569,285.2447
2005-01,2005-01-01,29.569,285.45605
2005-01,2005-01-01,29.319,285.9699
2005-01,2005-01-01,29.319,286.13763
2005-02,2005-02-01,29.569,285.75784
2005-02,2005-02-01,29.569,286.0753
2005-02,2005-02-01,29.319,286.5845
2005-02,2005-02-01,29.319,286.84616
2005-03,2005-03-01,29.569,288.67444
2005-03,2005-03-01,29.569,288.91425
2005-03,2005-03-01,29.319,289.37164
2005-03,2005-03-01,29.319,289.5467
2005-04,2005-04-01,29.569,292.5755
2005-04,2005-04-01,29.569,292.68347
2005-04,2005-04-01,29.319,293.1905
2005-04,2005-04-01,29.319,293.29056
2005-05,2005-05-01,29.569,295.815
2005-05,2005-05-01,29.569,295.97623
2005-05,2005-05-01,29.319,296.52347
2005-05,2005-05-01,29.319,296.65863
2005-06,2005-06-01,29.569,300.4785
2005-06,2005-06-01,29.569,300.54803
2005-06,2005-06-01,29.319,301.2633
2005-06,2005-06-01,29.319,301.29675
2005-07,2005-07-01,29.569,301.41425
2005-07,2005-07-01,29.569,301.6468
2005-07,2005-07-01,29.319,302.17786
2005-07,2005-07-01,29.319,302.38605
2005-08,2005-08-01,29.569,301.29962
2005-08,2005-08-01,29.569,301.63318
2005-08,2005-08-01,29.319,302.2692
2005-08,2005-08-01,29.319,302.59787
2005-09,2005-09-01,29.569,301.34262
2005-09,2005-09-01,29.569,301.70435
2005-09,2005-09-01,29.319,302.3286
2005-09,2005-09-01,29.319,302.50366
2005-10,2005-10-01,29.569,294.03888
2005-10,2005-10-01,29.569,294.5055
2005-10,2005-10-01,29.319,295.0738
2005-10,2005-10-01,29.319,295.3658
2005-11,2005-11-01,29.569,290.13315
2005-11,2005-11-01,29.569,290.54233
2005-11,2005-11-01,29.319,291.13303
2005-11,2005-11-01,29.319,291.3582
2005-12,2005-12-01,29.569,284.13605
2005-12,2005-12-01,29.569,284.40936
2005-12,2005-12-01,29.319,284.978
2005-12,2005-12-01,29.319,285.11163
2006-01,2006-01-01,29.569,287.1155
2006-01,2006-01-01,29.569,287.43762
2006-01,2006-01-01,29.319,287.89096
2006-01,2006-01-01,29.319,288.07025
2006-02,2006-02-01,29.569,285.40204
2006-02,2006-02-01,29.569,285.59717
2006-02,2006-02-01,29.319,286.3185
2006-02,2006-02-01,29.319,286.4345
2006-03,2006-03-01,29.569,291.65012
2006-03,2006-03-01,29.569,291.88733
2006-03,2006-03-01,29.319,292.62424
2006-03,2006-03-01,29.319,292.7237
2006-04,2006-04-01,29.569,296.06616
2006-04,2006-04-01,29.569,296.26996
2006-04,2006-04-01,29.319,296.9749
2006-04,2006-04-01,29.319,297.06445
2006-05,2006-05-01,29.569,298.2669
2006-05,2006-05-01,29.569,298.50983
2006-05,2006-05-01,29.319,299.1197
2006-05,2006-05-01,29.319,299.24246
2006-06,2006-06-01,29.569,300.89838
2006-06,2006-06-01,29.569,300.9187
2006-06,2006-06-01,29.319,301.6516
2006-06,2006-06-01,29.319,301.55344
2006-07,2006-07-01,29.569,300.93317
2006-07,2006-07-01,29.569,301.30206
2006-07,2006-07-01,29.319,301.52856
2006-07,2006-07-01,29.319,301.69525
2006-08,2006-08-01,29.569,302.6059
2006-08,2006-08-01,29.569,302.9577
2006-08,2006-08-01,29.319,303.36182
2006-08,2006-08-01,29.319,303.54364
2006-09,2006-09-01,29.569,298.53204
2006-09,2006-09-01,29.569,298.88184
2006-09,2006-09-01,29.319,299.56104
2006-09,2006-09-01,29.319,299.73752
2006-10,2006-10-01,29.569,294.9632
2006-10,2006-10-01,29.569,295.2085
2006-10,2006-10-01,29.319,295.76215
2006-10,2006-10-01,29.319,295.885
2006-11,2006-11-01,29.569,290.2355
2006-11,2006-11-01,29.569,290.47244
2006-11,2006-11-01,29.319,291.16455
2006-11,2006-11-01,29.319,291.32764
2006-12,2006-12-01,29.569,284.7425
2006-12,2006-12-01,29.569,285.0773
2006-12,2006-12-01,29.319,285.53018
2006-12,2006-12-01,29.319,285.7792
2007-01,2007-01-01,29.569,281.40607
2007-01,2007-01-01,29.569,281.61694
2007-01,2007-01-01,29.319,282.18716
2007-01,2007-01-01,29.319,282.31982
2007-02,2007-02-01,29.569,285.01398
2007-02,2007-02-01,29.569,285.12503
2007-02,2007-02-01,29.319,285.72986
2007-02,2007-02-01,29.319,285.7588
2007-03,2007-03-01,29.569,291.0652
2007-03,2007-03-01,29.569,291.3326
2007-03,2007-03-01,29.319,291.95966
2007-03,2007-03-01,29.319,292.06683
2007-04,2007-04-01,29.569,291.13275
2007-04,2007-04-01,29.569,291.3617
2007-04,2007-04-01,29.319,291.945
2007-04,2007-04-01,29.319,292.09433
2007-05,2007-05-01,29.569,295.9178
2007-05,2007-05-01,29.569,296.21155
2007-05,2007-05-01,29.319,296.70087
2007-05,2007-05-01,29.319,296.91742
2007-06,2007-06-01,29.569,298.78253
2007-06,2007-06-01,29.569,299.1653
2007-06,2007-06-01,29.319,299.6043
2007-06,2007-06-01,29.319,299.9503
2007-07,2007-07-01,29.569,298.4357
2007-07,2007-07-01,29.569,298.72595
2007-07,2007-07-01,29.319,299.06564
2007-07,2007-07-01,29.319,299.29315
2007-08,2007-08-01,29.569,300.076
2007-08,2007-08-01,29.569,300.40497
2007-08,2007-08-01,29.319,300.70068
2007-08,2007-08-01,29.319,300.94513
2007-09,2007-09-01,29.569,298.07407
2007-09,2007-09-01,29.569,298.51456
2007-09,2007-09-01,29.319,298.96014
2007-09,2007-09-01,29.319,299.35294
2007-10,2007-10-01,29.569,294.20798
2007-10,2007-10-01,29.569,294.5535
2007-10,2007-10-01,29.319,295.17578
2007-10,2007-10-01,29.319,295.51663
2007-11,2007-11-01,29.569,288.67828
2007-11,2007-11-01,29.569,289.0498
2007-11,2007-11-01,29.319,289.6643
2007-11,2007-11-01,29.319,289.95697
2007-12,2007-12-01,29.569,285.46808
2007-12,2007-12-01,29.569,285.83002
2007-12,2007-12-01,29.319,286.46948
2007-12,2007-12-01,29.319,286.76886
2008-01,2008-01-01,29.569,282.93628
2008-01,2008-01-01,29.569,283.2059
2008-01,2008-01-01,29.319,283.77536
2008-01,2008-01-01,29.319,283.9709
2008-02,2008-02-01,29.569,288.1388
2008-02,2008-02-01,29.569,288.2619
2008-02,2008-02-01,29.319,289.0005
2008-02,2008-02-01,29.319,289.0701
2008-03,2008-03-01,29.569,290.0268
2008-03,2008-03-01,29.569,290.03528
2008-03,2008-03-01,29.319,290.82584
2008-03,2008-03-01,29.319,290.7862
2008-04,2008-04-01,29.569,293.88153
2008-04,2008-04-01,29.569,293.97998
2008-04,2008-04-01,29.319,294.84003
2008-04,2008-04-01,29.319,294.8678
2008-05,2008-05-01,29.569,298.44522
2008-05,2008-05-01,29.569,298.54352
2008-05,2008-05-01,29.319,299.28076
2008-05,2008-05-01,29.319,299.28754
2008-06,2008-06-01,29.569,301.93195
2008-06,2008-06-01,29.569,302.07013
2008-06,2008-06-01,29.319,302.77277
2008-06,2008-06-01,29.319,302.80243
2008-07,2008-07-01,29.569,300.98047
2008-07,2008-07-01,29.569,301.09882
2008-07,2008-07-01,29.319,301.61304
2008-07,2008-07-01,29.319,301.59265
2008-08,2008-08-01,29.569,301.06378
2008-08,2008-08-01,29.569,301.28613
2008-08,2008-08-01,29.319,301.82617
2008-08,2008-08-01,29.319,301.91785
2008-09,2008-09-01,29.569,298.8615
2008-09,2008-09-01,29.569,299.09766
2008-09,2008-09-01,29.319,299.81345
2008-09,2008-09-01,29.319,299.84064
2008-10,2008-10-01,29.569,293.7066
2008-10,2008-10-01,29.569,293.93896
2008-10,2008-10-01,29.319,294.7216
2008-10,2008-10-01,29.319,294.77716
2008-11,2008-11-01,29.569,289.36923
2008-11,2008-11-01,29.569,289.6754
2008-11,2008-11-01,29.319,290.40472
2008-11,2008-11-01,29.319,290.55615
2008-12,2008-12-01,29.569,284.7086
2008-12,2008-12-01,29.569,284.9456
2008-12,2008-12-01,29.319,285.5706
2008-12,2008-12-01,29.319,285.72842
2009-01,2009-01-01,29.569,284.69916
