valid_time,time,latitude,t2m
2000-01,2000-01-01,9.846,292.9864
2000-01,2000-01-01,9.846,289.34998
2000-02,2000-02-01,9.846,293.41968
2000-02,2000-02-01,9.846,289.565
2000-03,2000-03-01,9.846,294.02075
2000-03,2000-03-01,9.846,290.4535
2000-04,2000-04-01,9.846,294.64508
2000-04,2000-04-01,9.846,291.19012
2000-05,2000-05-01,9.846,294.4427
2000-05,2000-05-01,9.846,291.37006
2000-06,2000-06-01,9.846,294.0644
2000-06,2000-06-01,9.846,291.0592
2000-07,2000-07-01,9.846,294.05286
2000-07,2000-07-01,9.846,290.966
2000-08,2000-08-01,9.846,294.0893
2000-08,2000-08-01,9.846,291.05243
2000-09,2000-09-01,9.846,293.4792
2000-09,2000-09-01,9.846,290.67932
2000-10,2000-10-01,9.846,293.9768
2000-10,2000-10-01,9.846,290.93243
2000-11,2000-11-01,9.846,293.6366
2000-11,2000-11-01,9.846,290.55255
2000-12,2000-12-01,9.846,293.71783
2000-12,2000-12-01,9.846,290.30206
2001-01,2001-01-01,9.846,293.2386
2001-01,2001-01-01,9.846,289.56323
2001-02,2001-02-01,9.846,294.20862
2001-02,2001-02-01,9.846,290.3792
2001-03,2001-03-01,9.846,294.60516
2001-03,2001-03-01,9.846,291.06116
2001-04,2001-04-01,9.846,295.00653
2001-04,2001-04-01,9.846,291.31592
2001-05,2001-05-01,9.846,294.9834
2001-05,2001-05-01,9.846,291.9173
2001-06,2001-06-01,9.846,294.31805
2001-06,2001-06-01,9.846,291.22357
2001-07,2001-07-01,9.846,294.06567
2001-07,2001-07-01,9.846,291.01105
2001-08,2001-08-01,9.846,294.47247
2001-08,2001-08-01,9.846,291.52002
2001-09,2001-09-01,9.846,293.5324
2001-09,2001-09-01,9.846,290.63654
2001-10,2001-10-01,9.846,293.9013
2001-10,2001-10-01,9.846,291.02417
2001-11,2001-11-01,9.846,293.77472
2001-11,2001-11-01,9.846,290.71265
2001-12,2001-12-01,9.846,293.94373
2001-12,2001-12-01,9.846,290.77124
2002-01,2002-01-01,9.846,293.94818
2002-01,2002-01-01,9.846,290.38684
2002-02,2002-02-01,9.846,294.39423
2002-02,2002-02-01,9.846,290.66266
2002-03,2002-03-01,9.846,295.37543
2002-03,2002-03-01,9.846,291.57434
2002-04,2002-04-01,9.846,295.56427
2002-04,2002-04-01,9.846,292.03937
2002-05,2002-05-01,9.846,295.44348
2002-05,2002-05-01,9.846,292.27625
2002-06,2002-06-01,9.846,294.917
2002-06,2002-06-01,9.846,292.0202
2002-07,2002-07-01,9.846,294.80847
2002-07,2002-07-01,9.846,291.8335
2002-08,2002-08-01,9.846,294.7444
2002-08,2002-08-01,9.846,291.7597
2002-09,2002-09-01,9.846,294.37506
2002-09,2002-09-01,9.846,291.52234
2002-10,2002-10-01,9.846,294.1352
2002-10,2002-10-01,9.846,291.2552
2002-11,2002-11-01,9.846,294.27222
2002-11,2002-11-01,9.846,291.0517
2002-12,2002-12-01,9.846,294.68463
2002-12,2002-12-01,9.846,291.18243
2003-01,2003-01-01,9.846,294.91278
2003-01,2003-01-01,9.846,291.1131
2003-02,2003-02-01,9.846,295.14966
2003-02,2003-02-01,9.846,291.5824
2003-03,2003-03-01,9.846,295.07355
2003-03,2003-03-01,9.846,291.70166
2003-04,2003-04-01,9.846,295.3233
2003-04,2003-04-01,9.846,292.05817
2003-05,2003-05-01,9.846,294.81097
2003-05,2003-05-01,9.846,291.87054
2003-06,2003-06-01,9.846,294.26764
2003-06,2003-06-01,9.846,291.3841
2003-07,2003-07-01,9.846,294.46893
2003-07,2003-07-01,9.846,291.4395
2003-08,2003-08-01,9.846,294.20752
2003-08,2003-08-01,9.846,291.2295
2003-09,2003-09-01,9.846,294.13568
2003-09,2003-09-01,9.846,291.31335
2003-10,2003-10-01,9.846,294.14606
2003-10,2003-10-01,9.846,291.39954
2003-11,2003-11-01,9.846,294.1117
2003-11,2003-11-01,9.846,291.1189
2003-12,2003-12-01,9.846,294.06055
2003-12,2003-12-01,9.846,290.6673
2004-01,2004-01-01,9.846,294.07483
2004-01,2004-01-01,9.846,290.47742
2004-02,2004-02-01,9.846,294.69513
2004-02,2004-02-01,9.846,291.13806
2004-03,2004-03-01,9.846,295.65192
2004-03,2004-03-01,9.846,291.9519
