valid_time,time,latitude,t2m
2000-01,2000-01-01,-33.408,294.92676
2000-01,2000-01-01,-33.408,292.11127
2000-01,2000-01-01,-33.658,295.102
2000-01,2000-01-01,-33.658,292.1504
2000-02,2000-02-01,-33.408,293.414
2000-02,2000-02-01,-33.408,290.6267
2000-02,2000-02-01,-33.658,293.58185
2000-02,2000-02-01,-33.658,290.53156
2000-03,2000-03-01,-33.408,292.2489
2000-03,2000-03-01,-33.408,289.27448
2000-03,2000-03-01,-33.658,292.2129
2000-03,2000-03-01,-33.658,289.097
2000-04,2000-04-01,-33.408,288.8849
2000-04,2000-04-01,-33.408,286.48682
2000-04,2000-04-01,-33.658,288.74957
2000-04,2000-04-01,-33.658,286.2439
2000-05,2000-05-01,-33.408,284.54236
2000-05,2000-05-01,-33.408,280.69897
2000-05,2000-05-01,-33.658,284.45837
2000-05,2000-05-01,-33.658,280.3108
2000-06,2000-06-01,-33.408,282.05896
2000-06,2000-06-01,-33.408,278.39172
2000-06,2000-06-01,-33.658,282.0432
2000-06,2000-06-01,-33.658,277.65747
2000-07,2000-07-01,-33.408,282.2649
2000-07,2000-07-01,-33.408,277.92163
2000-07,2000-07-01,-33.658,281.88367
2000-07,2000-07-01,-33.658,277.1537
2000-08,2000-08-01,-33.408,283.6687
2000-08,2000-08-01,-33.408,279.74487
2000-08,2000-08-01,-33.658,283.46045
2000-08,2000-08-01,-33.658,279.04126
2000-09,2000-09-01,-33.408,284.49243
2000-09,2000-09-01,-33.408,280.54248
2000-09,2000-09-01,-33.658,284.41235
2000-09,2000-09-01,-33.658,279.9026
2000-10,2000-10-01,-33.408,287.87744
2000-10,2000-10-01,-33.408,284.687
2000-10,2000-10-01,-33.658,287.81995
2000-10,2000-10-01,-33.658,284.0058
2000-11,2000-11-01,-33.408,290.3208
2000-11,2000-11-01,-33.408,286.77985
2000-11,2000-11-01,-33.658,290.4477
2000-11,2000-11-01,-33.658,286.62036
2000-12,2000-12-01,-33.408,293.9895
2000-12,2000-12-01,-33.408,290.85168
2000-12,2000-12-01,-33.658,294.04767
2000-12,2000-12-01,-33.658,290.7307
2001-01,2001-01-01,-33.408,293.80164
2001-01,2001-01-01,-33.408,291.06354
2001-01,2001-01-01,-33.658,293.87573
2001-01,2001-01-01,-33.658,291.02423
2001-02,2001-02-01,-33.408,294.52197
2001-02,2001-02-01,-33.408,292.24152
2001-02,2001-02-01,-33.658,294.4792
2001-02,2001-02-01,-33.658,292.18036
2001-03,2001-03-01,-33.408,292.26538
2001-03,2001-03-01,-33.408,289.6684
2001-03,2001-03-01,-33.658,292.2641
