valid_time,time,latitude,t2m
2000-01,2000-01-01,18.375,295.15588
2000-01,2000-01-01,18.375,296.5677
2000-01,2000-01-01,18.375,296.75406
2000-02,2000-02-01,18.375,295.7358
2000-02,2000-02-01,18.375,297.01294
2000-02,2000-02-01,18.375,297.07138
2000-03,2000-03-01,18.375,295.9666
2000-03,2000-03-01,18.375,297.12808
2000-03,2000-03-01,18.375,297.0764
2000-04,2000-04-01,18.375,297.1765
2000-04,2000-04-01,18.375,298.25687
2000-04,2000-04-01,18.375,298.21875
2000-05,2000-05-01,18.375,297.8828
2000-05,2000-05-01,18.375,298.88593
2000-05,2000-05-01,18.375,298.89755
2000-06,2000-06-01,18.375,298.7473
2000-06,2000-06-01,18.375,299.88617
2000-06,2000-06-01,18.375,299.98862
2000-07,2000-07-01,18.375,299.1038
2000-07,2000-07-01,18.375,300.23102
2000-07,2000-07-01,18.375,300.2897
2000-08,2000-08-01,18.375,299.13104
2000-08,2000-08-01,18.375,300.29813
2000-08,2000-08-01,18.375,300.4243
2000-09,2000-09-01,18.375,298.50693
2000-09,2000-09-01,18.375,299.7493
2000-09,2000-09-01,18.375,299.9404
2000-10,2000-10-01,18.375,298.14484
2000-10,2000-10-01,18.375,299.34567
2000-10,2000-10-01,18.375,299.55453
2000-11,2000-11-01,18.375,297.69144
2000-11,2000-11-01,18.375,298.92453
2000-11,2000-11-01,18.375,299.06512
2000-12,2000-12-01,18.375,296.63956
2000-12,2000-12-01,18.375,298.14368
2000-12,2000-12-01,18.375,298.52655
2001-01,2001-01-01,18.375,295.94922
2001-01,2001-01-01,18.375,297.36954
2001-01,2001-01-01,18.375,297.61032
2001-02,2001-02-01,18.375,296.1628
2001-02,2001-02-01,18.375,297.62732
2001-02,2001-02-01,18.375,297.83685
2001-03,2001-03-01,18.375,296.6028
2001-03,2001-03-01,18.375,297.9813
2001-03,2001-03-01,18.375,298.10928
2001-04,2001-04-01,18.375,296.99933
2001-04,2001-04-01,18.375,298.2383
2001-04,2001-04-01,18.375,298.35944
2001-05,2001-05-01,18.375,297.85953
2001-05,2001-05-01,18.375,299.09546
2001-05,2001-05-01,18.375,299.23993
2001-06,2001-06-01,18.375,298.574
2001-06,2001-06-01,18.375,299.93164
2001-06,2001-06-01,18.375,300.12384
2001-07,2001-07-01,18.375,298.93076
2001-07,2001-07-01,18.375,300.22632
2001-07,2001-07-01,18.375,300.39816
2001-08,2001-08-01,18.375,299.14096
2001-08,2001-08-01,18.375,300.4168
2001-08,2001-08-01,18.375,300.65866
2001-09,2001-09-01,18.375,298.83737
2001-09,2001-09-01,18.375,300.1527
2001-09,2001-09-01,18.375,300.39618
2001-10,2001-10-01,18.375,298.2973
2001-10,2001-10-01,18.375,299.69623
2001-10,2001-10-01,18.375,299.96597
2001-11,2001-11-01,18.375,297.54105
2001-11,2001-11-01,18.375,298.9279
2001-11,2001-11-01,18.375,299.0332
2001-12,2001-12-01,18.375,296.9437
2001-12,2001-12-01,18.375,298.30563
2001-12,2001-12-01,18.375,298.50284
2002-01,2002-01-01,18.375,296.8589
2002-01,2002-01-01,18.375,298.26697
2002-01,2002-01-01,18.375,298.44287
2002-02,2002-02-01,18.375,296.35
2002-02,2002-02-01,18.375,297.7879
2002-02,2002-02-01,18.375,297.89874
2002-03,2002-03-01,18.375,296.86957
2002-03,2002-03-01,18.375,298.0545
2002-03,2002-03-01,18.375,298.02786
2002-04,2002-04-01,18.375,297.1237
2002-04,2002-04-01,18.375,298.27505
2002-04,2002-04-01,18.375,298.2954
2002-05,2002-05-01,18.375,298.0925
2002-05,2002-05-01,18.375,299.3521
2002-05,2002-05-01,18.375,299.44766
2002-06,2002-06-01,18.375,298.3474
2002-06,2002-06-01,18.375,299.70557
2002-06,2002-06-01,18.375,299.96567
2002-07,2002-07-01,18.375,298.9752
2002-07,2002-07-01,18.375,300.30017
2002-07,2002-07-01,18.375,300.42435
2002-08,2002-08-01,18.375,298.96423
2002-08,2002-08-01,18.375,300.29684
2002-08,2002-08-01,18.375,300.48688
2002-09,2002-09-01,18.375,298.56168
2002-09,2002-09-01,18.375,300.04132
2002-09,2002-09-01,18.375,300.3806
2002-10,2002-10-01,18.375,298.1381
2002-10,2002-10-01,18.375,299.6075
2002-10,2002-10-01,18.375,299.95712
2002-11,2002-11-01,18.375,298.13864
2002-11,2002-11-01,18.375,299.5288
2002-11,2002-11-01,18.375,299.80542
2002-12,2002-12-01,18.375,297.05527
2002-12,2002-12-01,18.375,298.68204
2002-12,2002-12-01,18.375,299.04468
2003-01,2003-01-01,18.375,296.44482
2003-01,2003-01-01,18.375,297.98923
2003-01,2003-01-01,18.375,298.33264
2003-02,2003-02-01,18.375,296.52695
2003-02,2003-02-01,18.375,298.17755
2003-02,2003-02-01,18.375,298.5016
2003-03,2003-03-01,18.375,297.4367
2003-03,2003-03-01,18.375,298.72366
2003-03,2003-03-01,18.375,298.78323
2003-04,2003-04-01,18.375,297.5112
2003-04,2003-04-01,18.375,298.7294
2003-04,2003-04-01,18.375,298.82336
2003-05,2003-05-01,18.375,298.21283
2003-05,2003-05-01,18.375,299.645
2003-05,2003-05-01,18.375,299.84775
2003-06,2003-06-01,18.375,298.17157
2003-06,2003-06-01,18.375,299.6021
2003-06,2003-06-01,18.375,299.88135
2003-07,2003-07-01,18.375,298.6191
2003-07,2003-07-01,18.375,300.05527
2003-07,2003-07-01,18.375,300.33408
2003-08,2003-08-01,18.375,298.5941
2003-08,2003-08-01,18.375,299.91028
2003-08,2003-08-01,18.375,300.17798
2003-09,2003-09-01,18.375,298.9187
2003-09,2003-09-01,18.375,300.26648
2003-09,2003-09-01,18.375,300.5172
2003-10,2003-10-01,18.375,298.5739
2003-10,2003-10-01,18.375,299.91397
2003-10,2003-10-01,18.375,300.11942
2003-11,2003-11-01,18.375,297.7942
2003-11,2003-11-01,18.375,299.11295
2003-11,2003-11-01,18.375,299.33704
2003-12,2003-12-01,18.375,296.44168
2003-12,2003-12-01,18.375,297.9643
2003-12,2003-12-01,18.375,298.33978
2004-01,2004-01-01,18.375,295.87308
2004-01,2004-01-01,18.375,297.2475
2004-01,2004-01-01,18.375,297.43942
2004-02,2004-02-01,18.375,296.38235
2004-02,2004-02-01,18.375,297.80173
2004-02,2004-02-01,18.375,297.9875
2004-03,2004-03-01,18.375,296.51855
2004-03,2004-03-01,18.375,297.84433
2004-03,2004-03-01,18.375,297.95926
2004-04,2004-04-01,18.375,297.44644
2004-04,2004-04-01,18.375,298.6379
2004-04,2004-04-01,18.375,298.67453
2004-05,2004-05-01,18.375,297.82285
2004-05,2004-05-01,18.375,299.0549
2004-05,2004-05-01,18.375,299.18164
2004-06,2004-06-01,18.375,298.6617
2004-06,2004-06-01,18.375,300.10257
2004-06,2004-06-01,18.375,300.3735
2004-07,2004-07-01,18.375,298.60556
2004-07,2004-07-01,18.375,299.9749
2004-07,2004-07-01,18.375,300.24615
2004-08,2004-08-01,18.375,299.00717
2004-08,2004-08-01,18.375,300.36664
2004-08,2004-08-01,18.375,300.6165
2004-09,2004-09-01,18.375,298.71237
2004-09,2004-09-01,18.375,299.96194
2004-09,2004-09-01,18.375,300.13782
2004-10,2004-10-01,18.375,298.6072
2004-10,2004-10-01,18.375,299.79797
2004-10,2004-10-01,18.375,299.8761
2004-11,2004-11-01,18.375,297.03275
2004-11,2004-11-01,18.375,298.36484
2004-11,2004-11-01,18.375,298.6026
2004-12,2004-12-01,18.375,297.11877
2004-12,2004-12-01,18.375,298.38733
2004-12,2004-12-01,18.375,298.46838
2005-01,2005-01-01,18.375,295.8397
2005-01,2005-01-01,18.375,297.19067
2005-01,2005-01-01,18.375,297.39957
2005-02,2005-02-01,18.375,295.68378
2005-02,2005-02-01,18.375,296.9962
2005-02,2005-02-01,18.375,297.02075
2005-03,2005-03-01,18.375,297.60965
2005-03,2005-03-01,18.375,298.69736
2005-03,2005-03-01,18.375,298.61237
2005-04,2005-04-01,18.375,298.35602
2005-04,2005-04-01,18.375,299.3447
2005-04,2005-04-01,18.375,299.2514
2005-05,2005-05-01,18.375,298.82913
2005-05,2005-05-01,18.375,299.87695
2005-05,2005-05-01,18.375,299.87408
2005-06,2005-06-01,18.375,298.85843
2005-06,2005-06-01,18.375,300.13626
2005-06,2005-06-01,18.375,300.34982
2005-07,2005-07-01,18.375,298.94952
2005-07,2005-07-01,18.375,300.28934
2005-07,2005-07-01,18.375,300.5631
2005-08,2005-08-01,18.375,299.07413
2005-08,2005-08-01,18.375,300.3866
2005-08,2005-08-01,18.375,300.6773
2005-09,2005-09-01,18.375,299.37186
2005-09,2005-09-01,18.375,300.67374
2005-09,2005-09-01,18.375,300.8949
2005-10,2005-10-01,18.375,298.33713
2005-10,2005-10-01,18.375,299.6844
2005-10,2005-10-01,18.375,299.9488
2005-11,2005-11-01,18.375,297.80978
2005-11,2005-11-01,18.375,299.09875
2005-11,2005-11-01,18.375,299.36215
2005-12,2005-12-01,18.375,296.62906
2005-12,2005-12-01,18.375,298.05017
2005-12,2005-12-01,18.375,298.37723
2006-01,2006-01-01,18.375,296.01062
2006-01,2006-01-01,18.375,297.5944
2006-01,2006-01-01,18.375,297.95352
2006-02,2006-02-01,18.375,296.42392
2006-02,2006-02-01,18.375,297.83395
2006-02,2006-02-01,18.375,297.9935
2006-03,2006-03-01,18.375,296.98276
2006-03,2006-03-01,18.375,298.1315
2006-03,2006-03-01,18.375,298.08127
2006-04,2006-04-01,18.375,297.39105
2006-04,2006-04-01,18.375,298.42273
2006-04,2006-04-01,18.375,298.41666
2006-05,2006-05-01,18.375,298.429
2006-05,2006-05-01,18.375,299.5493
2006-05,2006-05-01,18.375,299.57535
2006-06,2006-06-01,18.375,298.81418
2006-06,2006-06-01,18.375,300.18127
2006-06,2006-06-01,18.375,300.41437
2006-07,2006-07-01,18.375,298.51834
2006-07,2006-07-01,18.375,299.92368
2006-07,2006-07-01,18.375,300.281
2006-08,2006-08-01,18.375,298.86807
2006-08,2006-08-01,18.375,300.14963
2006-08,2006-08-01,18.375,300.42984
2006-09,2006-09-01,18.375,299.20828
2006-09,2006-09-01,18.375,300.4554
2006-09,2006-09-01,18.375,300.6442
2006-10,2006-10-01,18.375,299.10797
2006-10,2006-10-01,18.375,300.4325
2006-10,2006-10-01,18.375,300.61264
2006-11,2006-11-01,18.375,298.0813
2006-11,2006-11-01,18.375,299.44025
2006-11,2006-11-01,18.375,299.6816
2006-12,2006-12-01,18.375,297.2671
2006-12,2006-12-01,18.375,298.7387
2006-12,2006-12-01,18.375,299.0993
2007-01,2007-01-01,18.375,296.38037
2007-01,2007-01-01,18.375,297.89224
2007-01,2007-01-01,18.375,298.249
2007-02,2007-02-01,18.375,297.0632
2007-02,2007-02-01,18.375,298.332
2007-02,2007-02-01,18.375,298.4394
2007-03,2007-03-01,18.375,296.95673
2007-03,2007-03-01,18.375,298.17303
2007-03,2007-03-01,18.375,298.3067
2007-04,2007-04-01,18.375,297.9021
2007-04,2007-04-01,18.375,298.89294
2007-04,2007-04-01,18.375,298.86758
2007-05,2007-05-01,18.375,298.71017
2007-05,2007-05-01,18.375,299.8788
2007-05,2007-05-01,18.375,299.88474
2007-06,2007-06-01,18.375,299.19077
2007-06,2007-06-01,18.375,300.39618
2007-06,2007-06-01,18.375,300.51694
2007-07,2007-07-01,18.375,299.27066
2007-07,2007-07-01,18.375,300.4358
2007-07,2007-07-01,18.375,300.60855
2007-08,2007-08-01,18.375,299.02414
2007-08,2007-08-01,18.375,300.23123
2007-08,2007-08-01,18.375,300.39722
2007-09,2007-09-01,18.375,298.7677
2007-09,2007-09-01,18.375,300.08664
2007-09,2007-09-01,18.375,300.35413
2007-10,2007-10-01,18.375,298.14166
2007-10,2007-10-01,18.375,299.4823
2007-10,2007-10-01,18.375,299.768
2007-11,2007-11-01,18.375,297.58664
2007-11,2007-11-01,18.375,298.87582
2007-11,2007-11-01,18.375,299.1495
2007-12,2007-12-01,18.375,296.47617
2007-12,2007-12-01,18.375,297.9692
2007-12,2007-12-01,18.375,298.37875
2008-01,2008-01-01,18.375,295.58762
2008-01,2008-01-01,18.375,297.10904
2008-01,2008-01-01,18.375,297.46872
2008-02,2008-02-01,18.375,295.9653
2008-02,2008-02-01,18.375,297.46985
2008-02,2008-02-01,18.375,297.7686
2008-03,2008-03-01,18.375,296.1924
2008-03,2008-03-01,18.375,297.52335
2008-03,2008-03-01,18.375,297.7073
2008-04,2008-04-01,18.375,296.79248
2008-04,2008-04-01,18.375,297.9291
2008-04,2008-04-01,18.375,298.04993
2008-05,2008-05-01,18.375,297.92053
2008-05,2008-05-01,18.375,299.0521
2008-05,2008-05-01,18.375,299.14523
2008-06,2008-06-01,18.375,298.6417
2008-06,2008-06-01,18.375,299.77847
2008-06,2008-06-01,18.375,299.9017
2008-07,2008-07-01,18.375,299.37845
2008-07,2008-07-01,18.375,300.4043
2008-07,2008-07-01,18.375,300.4305
2008-08,2008-08-01,18.375,299.52554
2008-08,2008-08-01,18.375,300.61136
2008-08,2008-08-01,18.375,300.66647
2008-09,2008-09-01,18.375,298.92184
2008-09,2008-09-01,18.375,300.0859
2008-09,2008-09-01,18.375,300.233
2008-10,2008-10-01,18.375,298.4447
2008-10,2008-10-01,18.375,299.66623
2008-10,2008-10-01,18.375,299.87445
2008-11,2008-11-01,18.375,297.3179
2008-11,2008-11-01,18.375,298.6181
2008-11,2008-11-01,18.375,298.88385
2008-12,2008-12-01,18.375,296.36868
2008-12,2008-12-01,18.375,297.76907
2008-12,2008-12-01,18.375,298.04465
2009-01,2009-01-01,18.375,296.4054
2009-01,2009-01-01,18.375,297.73166
2009-01,2009-01-01,18.375,297.92084
2009-02,2009-02-01,18.375,295.78632
2009-02,2009-02-01,18.375,297.08392
2009-02,2009-02-01,18.375,297.26077
2009-03,2009-03-01,18.375,295.678
