valid_time,time,latitude,t2m
2000-01,2000-01-01,42.956,266.7953
2000-01,2000-01-01,42.956,267.8905
2000-02,2000-02-01,42.956,266.15604
2000-02,2000-02-01,42.956,267.30545
2000-03,2000-03-01,42.956,270.29843
2000-03,2000-03-01,42.956,271.40054
2000-04,2000-04-01,42.956,276.7962
2000-04,2000-04-01,42.956,277.60797
2000-05,2000-05-01,42.956,284.84344
2000-05,2000-05-01,42.956,285.61365
2000-06,2000-06-01,42.956,287.86905
2000-06,2000-06-01,42.956,288.5374
2000-07,2000-07-01,42.956,293.33746
2000-07,2000-07-01,42.956,293.81683
2000-08,2000-08-01,42.956,294.61542
2000-08,2000-08-01,42.956,295.29556
2000-09,2000-09-01,42.956,289.71774
2000-09,2000-09-01,42.956,290.7625
2000-10,2000-10-01,42.956,281.96692
2000-10,2000-10-01,42.956,283.4434
2000-11,2000-11-01,42.956,273.74866
2000-11,2000-11-01,42.956,275.4457
2000-12,2000-12-01,42.956,267.4146
2000-12,2000-12-01,42.956,268.94232
2001-01,2001-01-01,42.956,263.89688
2001-01,2001-01-01,42.956,265.22336
2001-02,2001-02-01,42.956,263.80096
2001-02,2001-02-01,42.956,265.3893
2001-03,2001-03-01,42.956,270.4331
2001-03,2001-03-01,42.956,271.5899
2001-04,2001-04-01,42.956,278.61548
2001-04,2001-04-01,42.956,279.63904
2001-05,2001-05-01,42.956,284.0944
2001-05,2001-05-01,42.956,284.5226
2001-06,2001-06-01,42.956,287.64288
2001-06,2001-06-01,42.956,288.33307
2001-07,2001-07-01,42.956,291.9607
2001-07,2001-07-01,42.956,292.34433
2001-08,2001-08-01,42.956,292.06717
2001-08,2001-08-01,42.956,292.62234
2001-09,2001-09-01,42.956,287.84756
2001-09,2001-09-01,42.956,288.9406
2001-10,2001-10-01,42.956,282.73804
2001-10,2001-10-01,42.956,283.87958
2001-11,2001-11-01,42.956,275.55148
2001-11,2001-11-01,42.956,276.79468
2001-12,2001-12-01,42.956,265.93948
2001-12,2001-12-01,42.956,267.52515
2002-01,2002-01-01,42.956,267.1296
2002-01,2002-01-01,42.956,268.341
2002-02,2002-02-01,42.956,269.3104
2002-02,2002-02-01,42.956,270.41248
2002-03,2002-03-01,42.956,272.7814
2002-03,2002-03-01,42.956,273.82037
2002-04,2002-04-01,42.956,280.21884
2002-04,2002-04-01,42.956,280.94434
2002-05,2002-05-01,42.956,284.54413
2002-05,2002-05-01,42.956,285.1737
2002-06,2002-06-01,42.956,286.73022
2002-06,2002-06-01,42.956,287.3832
2002-07,2002-07-01,42.956,291.70755
2002-07,2002-07-01,42.956,291.967
2002-08,2002-08-01,42.956,291.2195
2002-08,2002-08-01,42.956,291.97464
2002-09,2002-09-01,42.956,288.40524
2002-09,2002-09-01,42.956,289.5576
2002-10,2002-10-01,42.956,282.45786
2002-10,2002-10-01,42.956,283.8676
2002-11,2002-11-01,42.956,272.96326
2002-11,2002-11-01,42.956,274.90045
2002-12,2002-12-01,42.956,266.3638
2002-12,2002-12-01,42.956,268.12378
2003-01,2003-01-01,42.956,266.2351
2003-01,2003-01-01,42.956,267.4604
2003-02,2003-02-01,42.956,266.34177
2003-02,2003-02-01,42.956,267.52393
2003-03,2003-03-01,42.956,271.02652
2003-03,2003-03-01,42.956,271.9505
2003-04,2003-04-01,42.956,278.66895
2003-04,2003-04-01,42.956,279.52505
2003-05,2003-05-01,42.956,283.9005
2003-05,2003-05-01,42.956,284.12335
2003-06,2003-06-01,42.956,287.78946
2003-06,2003-06-01,42.956,288.1284
2003-07,2003-07-01,42.956,288.79718
2003-07,2003-07-01,42.956,289.22888
2003-08,2003-08-01,42.956,291.78058
2003-08,2003-08-01,42.956,292.2917
2003-09,2003-09-01,42.956,288.2788
2003-09,2003-09-01,42.956,289.29904
2003-10,2003-10-01,42.956,281.91608
2003-10,2003-10-01,42.956,283.32544
2003-11,2003-11-01,42.956,276.55884
2003-11,2003-11-01,42.956,277.86484
2003-12,2003-12-01,42.956,270.36304
2003-12,2003-12-01,42.956,271.8414
2004-01,2004-01-01,42.956,266.98163
2004-01,2004-01-01,42.956,268.29666
2004-02,2004-02-01,42.956,268.76044
2004-02,2004-02-01,42.956,270.0288
2004-03,2004-03-01,42.956,270.68915
2004-03,2004-03-01,42.956,271.88763
2004-04,2004-04-01,42.956,277.15723
2004-04,2004-04-01,42.956,278.32953
2004-05,2004-05-01,42.956,284.40155
2004-05,2004-05-01,42.956,284.86682
2004-06,2004-06-01,42.956,288.7534
2004-06,2004-06-01,42.956,289.46402
2004-07,2004-07-01,42.956,292.30524
2004-07,2004-07-01,42.956,292.81107
2004-08,2004-08-01,42.956,292.42926
2004-08,2004-08-01,42.956,293.33685
2004-09,2004-09-01,42.956,288.65323
2004-09,2004-09-01,42.956,289.78766
2004-10,2004-10-01,42.956,282.63617
2004-10,2004-10-01,42.956,283.96625
2004-11,2004-11-01,42.956,277.6559
2004-11,2004-11-01,42.956,278.7365
2004-12,2004-12-01,42.956,269.10574
2004-12,2004-12-01,42.956,270.6189
2005-01,2005-01-01,42.956,265.6631
2005-01,2005-01-01,42.956,266.9608
2005-02,2005-02-01,42.956,265.2207
2005-02,2005-02-01,42.956,266.65875
2005-03,2005-03-01,42.956,270.1106
2005-03,2005-03-01,42.956,271.26526
2005-04,2005-04-01,42.956,276.7923
2005-04,2005-04-01,42.956,277.6581
2005-05,2005-05-01,42.956,280.91638
2005-05,2005-05-01,42.956,281.90247
2005-06,2005-06-01,42.956,288.546
2005-06,2005-06-01,42.956,288.87158
2005-07,2005-07-01,42.956,290.68536
2005-07,2005-07-01,42.956,291.2464
2005-08,2005-08-01,42.956,294.24905
2005-08,2005-08-01,42.956,294.94086
2005-09,2005-09-01,42.956,289.20963
2005-09,2005-09-01,42.956,290.3144
2005-10,2005-10-01,42.956,283.03424
2005-10,2005-10-01,42.956,284.4345
2005-11,2005-11-01,42.956,275.89307
2005-11,2005-11-01,42.956,277.2071
2005-12,2005-12-01,42.956,267.10126
2005-12,2005-12-01,42.956,268.63782
2006-01,2006-01-01,42.956,264.6074
2006-01,2006-01-01,42.956,266.14456
2006-02,2006-02-01,42.956,266.35046
2006-02,2006-02-01,42.956,267.85928
2006-03,2006-03-01,42.956,271.2556
2006-03,2006-03-01,42.956,272.53674
2006-04,2006-04-01,42.956,275.62897
2006-04,2006-04-01,42.956,276.7879
2006-05,2006-05-01,42.956,283.51868
2006-05,2006-05-01,42.956,284.1829
2006-06,2006-06-01,42.956,286.54538
2006-06,2006-06-01,42.956,287.00467
2006-07,2006-07-01,42.956,291.06042
2006-07,2006-07-01,42.956,291.56018
2006-08,2006-08-01,42.956,294.9757
2006-08,2006-08-01,42.956,295.52972
2006-09,2006-09-01,42.956,288.90167
2006-09,2006-09-01,42.956,290.04846
2006-10,2006-10-01,42.956,282.09384
2006-10,2006-10-01,42.956,283.36334
2006-11,2006-11-01,42.956,276.40207
2006-11,2006-11-01,42.956,277.78354
2006-12,2006-12-01,42.956,269.50003
2006-12,2006-12-01,42.956,271.0088
2007-01,2007-01-01,42.956,267.293
2007-01,2007-01-01,42.956,268.6176
2007-02,2007-02-01,42.956,268.261
2007-02,2007-02-01,42.956,269.3366
2007-03,2007-03-01,42.956,270.75705
2007-03,2007-03-01,42.956,272.00446
2007-04,2007-04-01,42.956,276.67368
2007-04,2007-04-01,42.956,277.71356
2007-05,2007-05-01,42.956,283.4264
2007-05,2007-05-01,42.956,284.29242
2007-06,2007-06-01,42.956,289.4604
2007-06,2007-06-01,42.956,290.0766
2007-07,2007-07-01,42.956,290.39954
2007-07,2007-07-01,42.956,291.00507
2007-08,2007-08-01,42.956,294.3342
2007-08,2007-08-01,42.956,295.0246
2007-09,2007-09-01,42.956,289.74026
2007-09,2007-09-01,42.956,290.83148
2007-10,2007-10-01,42.956,282.1833
2007-10,2007-10-01,42.956,283.6311
2007-11,2007-11-01,42.956,274.1131
2007-11,2007-11-01,42.956,275.88632
2007-12,2007-12-01,42.956,268.87488
2007-12,2007-12-01,42.956,270.7845
2008-01,2008-01-01,42.956,264.17294
