valid_time,time,latitude,t2m
2000-01,2000-01-01,47.809,277.78174
2000-01,2000-01-01,47.809,277.67072
2000-01,2000-01-01,47.809,276.95355
2000-01,2000-01-01,47.559,277.86285
2000-01,2000-01-01,47.559,277.83527
2000-01,2000-01-01,47.559,277.07355
2000-01,2000-01-01,47.309,277.85364
2000-01,2000-01-01,47.309,277.52875
2000-01,2000-01-01,47.309,276.2207
2000-01,2000-01-01,47.059,277.04175
2000-01,2000-01-01,47.059,276.15344
2000-01,2000-01-01,47.059,274.75073
2000-02,2000-02-01,47.809,279.43005
2000-02,2000-02-01,47.809,279.43433
2000-02,2000-02-01,47.809,278.9074
2000-02,2000-02-01,47.559,279.59357
2000-02,2000-02-01,47.559,279.5495
2000-02,2000-02-01,47.559,278.97174
2000-02,2000-02-01,47.309,279.55145
2000-02,2000-02-01,47.309,279.24316
2000-02,2000-02-01,47.309,278.22003
2000-02,2000-02-01,47.059,278.9616
2000-02,2000-02-01,47.059,278.2146
2000-02,2000-02-01,47.059,277.0287
2000-03,2000-03-01,47.809,280.12872
2000-03,2000-03-01,47.809,280.23846
2000-03,2000-03-01,47.809,279.81757
2000-03,2000-03-01,47.559,280.43573
2000-03,2000-03-01,47.559,280.47595
2000-03,2000-03-01,47.559,279.9419
2000-03,2000-03-01,47.309,280.5285
2000-03,2000-03-01,47.309,280.20392
2000-03,2000-03-01,47.309,279.0459
2000-03,2000-03-01,47.059,279.9378
2000-03,2000-03-01,47.059,279.02838
2000-03,2000-03-01,47.059,277.69684
2000-04,2000-04-01,47.809,282.78912
2000-04,2000-04-01,47.809,283.05383
2000-04,2000-04-01,47.809,282.92987
2000-04,2000-04-01,47.559,283.3429
2000-04,2000-04-01,47.559,283.57098
2000-04,2000-04-01,47.559,283.3199
2000-04,2000-04-01,47.309,283.67987
2000-04,2000-04-01,47.309,283.50854
2000-04,2000-04-01,47.309,282.66248
2000-04,2000-04-01,47.059,283.4156
2000-04,2000-04-01,47.059,282.7021
2000-04,2000-04-01,47.059,281.56586
2000-05,2000-05-01,47.809,284.23438
2000-05,2000-05-01,47.809,284.3639
2000-05,2000-05-01,47.809,284.35712
2000-05,2000-05-01,47.559,285.0534
2000-05,2000-05-01,47.559,285.24475
2000-05,2000-05-01,47.559,284.99695
2000-05,2000-05-01,47.309,285.42944
2000-05,2000-05-01,47.309,285.24292
2000-05,2000-05-01,47.309,284.20905
2000-05,2000-05-01,47.059,284.96747
2000-05,2000-05-01,47.059,284.19586
2000-05,2000-05-01,47.059,282.9745
2000-06,2000-06-01,47.809,287.53662
2000-06,2000-06-01,47.809,287.5056
2000-06,2000-06-01,47.809,287.5844
2000-06,2000-06-01,47.559,288.65076
2000-06,2000-06-01,47.559,288.67316
2000-06,2000-06-01,47.559,288.45123
2000-06,2000-06-01,47.309,289.0033
2000-06,2000-06-01,47.309,288.74103
2000-06,2000-06-01,47.309,287.83765
2000-06,2000-06-01,47.059,288.39417
2000-06,2000-06-01,47.059,287.70728
2000-06,2000-06-01,47.059,286.7406
2000-07,2000-07-01,47.809,289.0882
2000-07,2000-07-01,47.809,289.0735
2000-07,2000-07-01,47.809,289.04132
2000-07,2000-07-01,47.559,290.43427
2000-07,2000-07-01,47.559,290.39105
2000-07,2000-07-01,47.559,290.0345
2000-07,2000-07-01,47.309,290.87146
2000-07,2000-07-01,47.309,290.5396
2000-07,2000-07-01,47.309,289.46362
2000-07,2000-07-01,47.059,290.2458
2000-07,2000-07-01,47.059,289.45215
2000-07,2000-07-01,47.059,288.32617
2000-08,2000-08-01,47.809,289.43445
2000-08,2000-08-01,47.809,289.31104
2000-08,2000-08-01,47.809,289.10895
2000-08,2000-08-01,47.559,290.83295
2000-08,2000-08-01,47.559,290.66962
2000-08,2000-08-01,47.559,290.1789
2000-08,2000-08-01,47.309,291.14465
2000-08,2000-08-01,47.309,290.76685
2000-08,2000-08-01,47.309,289.66547
2000-08,2000-08-01,47.059,290.31635
2000-08,2000-08-01,47.059,289.52155
2000-08,2000-08-01,47.059,288.3955
2000-09,2000-09-01,47.809,288.07153
2000-09,2000-09-01,47.809,287.83752
2000-09,2000-09-01,47.809,287.31354
2000-09,2000-09-01,47.559,289.07147
2000-09,2000-09-01,47.559,288.70215
2000-09,2000-09-01,47.559,287.96204
2000-09,2000-09-01,47.309,289.2331
2000-09,2000-09-01,47.309,288.65552
2000-09,2000-09-01,47.309,287.36694
2000-09,2000-09-01,47.059,288.3916
2000-09,2000-09-01,47.059,287.35938
2000-09,2000-09-01,47.059,286.052
2000-10,2000-10-01,47.809,284.2635
2000-10,2000-10-01,47.809,284.0125
2000-10,2000-10-01,47.809,283.47052
2000-10,2000-10-01,47.559,285.00574
2000-10,2000-10-01,47.559,284.68616
2000-10,2000-10-01,47.559,283.97205
2000-10,2000-10-01,47.309,285.2171
2000-10,2000-10-01,47.309,284.7027
2000-10,2000-10-01,47.309,283.42474
2000-10,2000-10-01,47.059,284.3255
2000-10,2000-10-01,47.059,283.3963
2000-10,2000-10-01,47.059,282.11102
2000-11,2000-11-01,47.809,279.60583
2000-11,2000-11-01,47.809,279.10413
2000-11,2000-11-01,47.809,278.09442
2000-11,2000-11-01,47.559,280.02374
2000-11,2000-11-01,47.559,279.43793
2000-11,2000-11-01,47.559,278.3034
2000-11,2000-11-01,47.309,280.0689
2000-11,2000-11-01,47.309,279.34326
2000-11,2000-11-01,47.309,277.7804
2000-11,2000-11-01,47.059,278.99792
2000-11,2000-11-01,47.059,277.9621
2000-11,2000-11-01,47.059,276.38354
2000-12,2000-12-01,47.809,278.49158
2000-12,2000-12-01,47.809,278.13184
2000-12,2000-12-01,47.809,277.22223
2000-12,2000-12-01,47.559,278.61102
2000-12,2000-12-01,47.559,278.2763
2000-12,2000-12-01,47.559,277.34692
2000-12,2000-12-01,47.309,278.6621
2000-12,2000-12-01,47.309,278.2025
2000-12,2000-12-01,47.309,277.06195
2000-12,2000-12-01,47.059,278.0551
2000-12,2000-12-01,47.059,277.3692
2000-12,2000-12-01,47.059,276.1703
2001-01,2001-01-01,47.809,279.35223
2001-01,2001-01-01,47.809,279.21118
2001-01,2001-01-01,47.809,278.6386
2001-01,2001-01-01,47.559,279.4297
2001-01,2001-01-01,47.559,279.27545
2001-01,2001-01-01,47.559,278.64508
2001-01,2001-01-01,47.309,279.28925
2001-01,2001-01-01,47.309,278.98822
2001-01,2001-01-01,47.309,278.06006
2001-01,2001-01-01,47.059,278.63617
2001-01,2001-01-01,47.059,278.10413
2001-01,2001-01-01,47.059,277.0346
2001-02,2001-02-01,47.809,278.3214
2001-02,2001-02-01,47.809,278.23163
2001-02,2001-02-01,47.809,277.63422
2001-02,2001-02-01,47.559,278.61328
2001-02,2001-02-01,47.559,278.4361
2001-02,2001-02-01,47.559,277.76453
2001-02,2001-02-01,47.309,278.66882
2001-02,2001-02-01,47.309,278.28186
2001-02,2001-02-01,47.309,277.1407
2001-02,2001-02-01,47.059,278.0346
2001-02,2001-02-01,47.059,277.21887
2001-02,2001-02-01,47.059,275.91852
2001-03,2001-03-01,47.809,280.43573
2001-03,2001-03-01,47.809,280.58386
2001-03,2001-03-01,47.809,280.2613
2001-03,2001-03-01,47.559,280.7646
2001-03,2001-03-01,47.559,280.83594
2001-03,2001-03-01,47.559,280.43903
2001-03,2001-03-01,47.309,280.89008
2001-03,2001-03-01,47.309,280.63452
2001-03,2001-03-01,47.309,279.73132
2001-03,2001-03-01,47.059,280.43573
2001-03,2001-03-01,47.059,279.6977
2001-03,2001-03-01,47.059,278.5702
2001-04,2001-04-01,47.809,281.37854
2001-04,2001-04-01,47.809,281.5373
2001-04,2001-04-01,47.809,281.36584
2001-04,2001-04-01,47.559,281.82422
2001-04,2001-04-01,47.559,281.98334
2001-04,2001-04-01,47.559,281.6607
2001-04,2001-04-01,47.309,282.04065
2001-04,2001-04-01,47.309,281.78503
2001-04,2001-04-01,47.309,280.75317
2001-04,2001-04-01,47.059,281.5421
2001-04,2001-04-01,47.059,280.7303
2001-04,2001-04-01,47.059,279.4591
2001-05,2001-05-01,47.809,284.53204
2001-05,2001-05-01,47.809,284.60953
2001-05,2001-05-01,47.809,284.7908
2001-05,2001-05-01,47.559,285.43262
2001-05,2001-05-01,47.559,285.45514
2001-05,2001-05-01,47.559,285.4352
2001-05,2001-05-01,47.309,285.78027
2001-05,2001-05-01,47.309,285.45566
2001-05,2001-05-01,47.309,284.7911
2001-05,2001-05-01,47.059,285.36618
2001-05,2001-05-01,47.059,284.74988
2001-05,2001-05-01,47.059,283.8735
2001-06,2001-06-01,47.809,286.20184
2001-06,2001-06-01,47.809,286.21014
2001-06,2001-06-01,47.809,286.1006
2001-06,2001-06-01,47.559,287.388
2001-06,2001-06-01,47.559,287.3064
2001-06,2001-06-01,47.559,286.9021
2001-06,2001-06-01,47.309,287.7262
2001-06,2001-06-01,47.309,287.33002
2001-06,2001-06-01,47.309,286.16223
2001-06,2001-06-01,47.059,286.8993
2001-06,2001-06-01,47.059,286.04846
2001-06,2001-06-01,47.059,284.81805
2001-07,2001-07-01,47.809,289.10895
2001-07,2001-07-01,47.809,289.18433
2001-07,2001-07-01,47.809,289.09424
2001-07,2001-07-01,47.559,290.3474
2001-07,2001-07-01,47.559,290.30798
2001-07,2001-07-01,47.559,289.93695
2001-07,2001-07-01,47.309,290.48242
2001-07,2001-07-01,47.309,290.19623
2001-07,2001-07-01,47.309,289.22412
2001-07,2001-07-01,47.059,289.5597
2001-07,2001-07-01,47.059,288.89423
2001-07,2001-07-01,47.059,287.89575
2001-08,2001-08-01,47.809,290.04333
2001-08,2001-08-01,47.809,289.97217
2001-08,2001-08-01,47.809,289.99512
2001-08,2001-08-01,47.559,291.30353
2001-08,2001-08-01,47.559,291.2505
2001-08,2001-08-01,47.559,290.97125
2001-08,2001-08-01,47.309,291.521
