valid_time,time,latitude,t2m
2000-01,2000-01-01,-7.028,296.5133
2000-01,2000-01-01,-7.028,297.92914
2000-01,2000-01-01,-7.028,298.31366
2000-01,2000-01-01,-7.278,294.6278
2000-01,2000-01-01,-7.278,295.9087
2000-01,2000-01-01,-7.278,296.74554
2000-02,2000-02-01,-7.028,296.75476
2000-02,2000-02-01,-7.028,298.19824
2000-02,2000-02-01,-7.028,298.77948
2000-02,2000-02-01,-7.278,295.06555
2000-02,2000-02-01,-7.278,296.35852
2000-02,2000-02-01,-7.278,297.17114
2000-03,2000-03-01,-7.028,296.90778
2000-03,2000-03-01,-7.028,298.20868
2000-03,2000-03-01,-7.028,298.8073
2000-03,2000-03-01,-7.278,294.91595
2000-03,2000-03-01,-7.278,296.1928
2000-03,2000-03-01,-7.278,297.10126
2000-04,2000-04-01,-7.028,297.1306
2000-04,2000-04-01,-7.028,298.48492
2000-04,2000-04-01,-7.028,299.20593
2000-04,2000-04-01,-7.278,295.22156
2000-04,2000-04-01,-7.278,296.58636
2000-04,2000-04-01,-7.278,297.55225
2000-05,2000-05-01,-7.028,297.60742
2000-05,2000-05-01,-7.028,298.96155
2000-05,2000-05-01,-7.028,299.63074
2000-05,2000-05-01,-7.278,295.48694
2000-05,2000-05-01,-7.278,296.89136
2000-05,2000-05-01,-7.278,297.87488
2000-06,2000-06-01,-7.028,297.17676
2000-06,2000-06-01,-7.028,298.5608
2000-06,2000-06-01,-7.028,298.94946
2000-06,2000-06-01,-7.278,294.65344
2000-06,2000-06-01,-7.278,296.10852
2000-06,2000-06-01,-7.278,297.11414
2000-07,2000-07-01,-7.028,297.26172
2000-07,2000-07-01,-7.028,299.0691
2000-07,2000-07-01,-7.028,300.1079
2000-07,2000-07-01,-7.278,294.6139
2000-07,2000-07-01,-7.278,296.38
2000-07,2000-07-01,-7.278,297.72803
2000-08,2000-08-01,-7.028,296.88428
2000-08,2000-08-01,-7.028,298.86646
2000-08,2000-08-01,-7.028,300.05945
2000-08,2000-08-01,-7.278,294.0747
2000-08,2000-08-01,-7.278,296.1023
2000-08,2000-08-01,-7.278,297.51123
2000-09,2000-09-01,-7.028,297.62524
2000-09,2000-09-01,-7.028,299.47607
2000-09,2000-09-01,-7.028,300.86548
2000-09,2000-09-01,-7.278,294.74658
2000-09,2000-09-01,-7.278,296.72656
2000-09,2000-09-01,-7.278,298.30408
2000-10,2000-10-01,-7.028,297.23376
2000-10,2000-10-01,-7.028,298.88904
2000-10,2000-10-01,-7.028,299.76636
2000-10,2000-10-01,-7.278,294.75647
2000-10,2000-10-01,-7.278,296.43506
2000-10,2000-10-01,-7.278,297.8236
2000-11,2000-11-01,-7.028,297.06885
2000-11,2000-11-01,-7.028,298.54553
2000-11,2000-11-01,-7.028,299.13525
2000-11,2000-11-01,-7.278,294.9348
2000-11,2000-11-01,-7.278,296.38367
2000-11,2000-11-01,-7.278,297.46265
2000-12,2000-12-01,-7.028,297.30432
2000-12,2000-12-01,-7.028,298.59985
2000-12,2000-12-01,-7.028,299.24463
2000-12,2000-12-01,-7.278,295.02527
2000-12,2000-12-01,-7.278,296.44458
2000-12,2000-12-01,-7.278,297.51196
2001-01,2001-01-01,-7.028,296.7575
2001-01,2001-01-01,-7.028,298.09314
2001-01,2001-01-01,-7.028,298.57263
2001-01,2001-01-01,-7.278,294.78418
2001-01,2001-01-01,-7.278,296.0539
2001-01,2001-01-01,-7.278,296.93475
2001-02,2001-02-01,-7.028,296.61145
2001-02,2001-02-01,-7.028,298.05756
2001-02,2001-02-01,-7.028,298.59497
2001-02,2001-02-01,-7.278,294.60223
2001-02,2001-02-01,-7.278,295.90503
2001-02,2001-02-01,-7.278,296.859
2001-03,2001-03-01,-7.028,296.78833
2001-03,2001-03-01,-7.028,298.04437
2001-03,2001-03-01,-7.028,298.54517
2001-03,2001-03-01,-7.278,294.8153
2001-03,2001-03-01,-7.278,296.094
2001-03,2001-03-01,-7.278,296.97906
2001-04,2001-04-01,-7.028,297.21924
2001-04,2001-04-01,-7.028,298.63635
2001-04,2001-04-01,-7.028,299.1775
2001-04,2001-04-01,-7.278,294.98657
2001-04,2001-04-01,-7.278,296.40063
2001-04,2001-04-01,-7.278,297.4458
2001-05,2001-05-01,-7.028,297.69287
2001-05,2001-05-01,-7.028,299.2871
2001-05,2001-05-01,-7.028,299.99536
2001-05,2001-05-01,-7.278,295.05444
2001-05,2001-05-01,-7.278,296.63757
2001-05,2001-05-01,-7.278,297.96484
2001-06,2001-06-01,-7.028,296.97144
2001-06,2001-06-01,-7.028,298.4757
2001-06,2001-06-01,-7.028,299.20593
2001-06,2001-06-01,-7.278,294.4724
2001-06,2001-06-01,-7.278,295.94824
2001-06,2001-06-01,-7.278,297.2035
2001-07,2001-07-01,-7.028,296.71423
2001-07,2001-07-01,-7.028,298.50513
2001-07,2001-07-01,-7.028,299.54468
2001-07,2001-07-01,-7.278,293.81885
2001-07,2001-07-01,-7.278,295.59338
2001-07,2001-07-01,-7.278,297.11975
2001-08,2001-08-01,-7.028,296.786
2001-08,2001-08-01,-7.028,298.6931
2001-08,2001-08-01,-7.028,299.9464
2001-08,2001-08-01,-7.278,293.91235
2001-08,2001-08-01,-7.278,295.80212
2001-08,2001-08-01,-7.278,297.28333
2001-09,2001-09-01,-7.028,297.50623
2001-09,2001-09-01,-7.028,299.39185
2001-09,2001-09-01,-7.028,300.8452
2001-09,2001-09-01,-7.278,294.84363
2001-09,2001-09-01,-7.278,296.76624
2001-09,2001-09-01,-7.278,298.36584
2001-10,2001-10-01,-7.028,297.05188
2001-10,2001-10-01,-7.028,298.64746
2001-10,2001-10-01,-7.028,299.33008
