valid_time,time,latitude,t2m
2000-01,2000-01-01,37.55,271.2288
2000-01,2000-01-01,37.55,270.9787
2000-01,2000-01-01,37.55,270.69415
2000-01,2000-01-01,37.3,272.3106
2000-01,2000-01-01,37.3,271.80948
2000-01,2000-01-01,37.3,271.34424
2000-01,2000-01-01,37.05,272.64224
2000-01,2000-01-01,37.05,272.1135
2000-01,2000-01-01,37.05,271.72183
2000-02,2000-02-01,37.55,271.7479
2000-02,2000-02-01,37.55,271.48962
2000-02,2000-02-01,37.55,271.13153
2000-02,2000-02-01,37.3,272.40125
2000-02,2000-02-01,37.3,271.9786
2000-02,2000-02-01,37.3,271.53613
2000-02,2000-02-01,37.05,272.442
2000-02,2000-02-01,37.05,271.93622
2000-02,2000-02-01,37.05,271.72937
2000-03,2000-03-01,37.55,277.99796
2000-03,2000-03-01,37.55,278.28073
2000-03,2000-03-01,37.55,278.26947
2000-03,2000-03-01,37.3,277.61328
2000-03,2000-03-01,37.3,278.1186
2000-03,2000-03-01,37.3,278.45517
2000-03,2000-03-01,37.05,277.9605
2000-03,2000-03-01,37.05,278.43246
2000-03,2000-03-01,37.05,278.63782
2000-04,2000-04-01,37.55,283.36133
2000-04,2000-04-01,37.55,283.92395
2000-04,2000-04-01,37.55,284.01624
2000-04,2000-04-01,37.3,282.1754
2000-04,2000-04-01,37.3,283.3459
2000-04,2000-04-01,37.3,284.21808
2000-04,2000-04-01,37.05,283.0216
2000-04,2000-04-01,37.05,284.31195
2000-04,2000-04-01,37.05,284.72815
2000-05,2000-05-01,37.55,288.19043
2000-05,2000-05-01,37.55,289.1416
2000-05,2000-05-01,37.55,289.69678
2000-05,2000-05-01,37.3,286.39844
2000-05,2000-05-01,37.3,288.1225
2000-05,2000-05-01,37.3,289.59918
2000-05,2000-05-01,37.05,287.55664
2000-05,2000-05-01,37.05,289.4311
2000-05,2000-05-01,37.05,290.19592
2000-06,2000-06-01,37.55,294.20563
2000-06,2000-06-01,37.55,295.1255
2000-06,2000-06-01,37.55,295.65533
2000-06,2000-06-01,37.3,291.98212
2000-06,2000-06-01,37.3,293.72266
2000-06,2000-06-01,37.3,295.20984
2000-06,2000-06-01,37.05,293.0561
2000-06,2000-06-01,37.05,294.89142
2000-06,2000-06-01,37.05,295.54828
2000-07,2000-07-01,37.55,297.96985
2000-07,2000-07-01,37.55,298.6516
2000-07,2000-07-01,37.55,298.9505
2000-07,2000-07-01,37.3,296.41095
2000-07,2000-07-01,37.3,297.7608
2000-07,2000-07-01,37.3,298.8673
2000-07,2000-07-01,37.05,297.4369
2000-07,2000-07-01,37.05,298.88074
2000-07,2000-07-01,37.05,299.23755
2000-08,2000-08-01,37.55,298.80786
2000-08,2000-08-01,37.55,298.91068
2000-08,2000-08-01,37.55,298.65253
2000-08,2000-08-01,37.3,297.95746
2000-08,2000-08-01,37.3,298.50555
2000-08,2000-08-01,37.3,298.76385
