valid_time,time,latitude,t2m
2000-01,2000-01-01,31.392,277.46307
2000-01,2000-01-01,31.392,277.66537
2000-01,2000-01-01,31.392,277.89627
2000-01,2000-01-01,31.392,278.37924
2000-01,2000-01-01,31.142,277.6606
2000-01,2000-01-01,31.142,277.86404
2000-01,2000-01-01,31.142,278.13953
2000-01,2000-01-01,31.142,278.5943
2000-01,2000-01-01,30.892,277.91766
2000-01,2000-01-01,30.892,278.10788
2000-01,2000-01-01,30.892,278.43567
2000-01,2000-01-01,30.892,278.82962
2000-02,2000-02-01,31.392,277.32858
2000-02,2000-02-01,31.392,277.37878
2000-02,2000-02-01,31.392,277.49973
2000-02,2000-02-01,31.392,277.60287
2000-02,2000-02-01,31.142,277.56787
2000-02,2000-02-01,31.142,277.55307
2000-02,2000-02-01,31.142,277.67828
2000-02,2000-02-01,31.142,277.74194
2000-02,2000-02-01,30.892,277.81873
2000-02,2000-02-01,30.892,277.79562
2000-02,2000-02-01,30.892,277.84528
2000-02,2000-02-01,30.892,277.86963
2000-03,2000-03-01,31.392,283.71848
2000-03,2000-03-01,31.392,283.6513
2000-03,2000-03-01,31.392,283.60892
2000-03,2000-03-01,31.392,283.169
2000-03,2000-03-01,31.142,283.89984
2000-03,2000-03-01,31.142,283.81998
2000-03,2000-03-01,31.142,283.73428
2000-03,2000-03-01,31.142,283.2431
2000-03,2000-03-01,30.892,284.024
2000-03,2000-03-01,30.892,283.89023
2000-03,2000-03-01,30.892,283.50516
2000-03,2000-03-01,30.892,283.01108
2000-04,2000-04-01,31.392,288.96005
2000-04,2000-04-01,31.392,288.79578
2000-04,2000-04-01,31.392,288.59213
2000-04,2000-04-01,31.392,287.92075
2000-04,2000-04-01,31.142,289.13223
2000-04,2000-04-01,31.142,288.9478
2000-04,2000-04-01,31.142,288.7159
2000-04,2000-04-01,31.142,287.9781
2000-04,2000-04-01,30.892,289.2049
2000-04,2000-04-01,30.892,288.9823
2000-04,2000-04-01,30.892,288.38483
2000-04,2000-04-01,30.892,287.63705
2000-05,2000-05-01,31.392,294.51324
2000-05,2000-05-01,31.392,294.2466
2000-05,2000-05-01,31.392,293.9453
2000-05,2000-05-01,31.392,293.15778
2000-05,2000-05-01,31.142,294.62466
2000-05,2000-05-01,31.142,294.36765
2000-05,2000-05-01,31.142,294.0257
2000-05,2000-05-01,31.142,293.2169
2000-05,2000-05-01,30.892,294.65616
2000-05,2000-05-01,30.892,294.3561
2000-05,2000-05-01,30.892,293.6851
2000-05,2000-05-01,30.892,292.92307
2000-06,2000-06-01,31.392,297.99792
2000-06,2000-06-01,31.392,297.893
2000-06,2000-06-01,31.392,297.69363
2000-06,2000-06-01,31.392,296.86777
2000-06,2000-06-01,31.142,298.14484
2000-06,2000-06-01,31.142,298.00674
2000-06,2000-06-01,31.142,297.77597
2000-06,2000-06-01,31.142,296.94516
2000-06,2000-06-01,30.892,298.21927
2000-06,2000-06-01,30.892,298.0363
2000-06,2000-06-01,30.892,297.48053
2000-06,2000-06-01,30.892,296.71344
2000-07,2000-07-01,31.392,301.9839
2000-07,2000-07-01,31.392,301.9627
2000-07,2000-07-01,31.392,301.81277
2000-07,2000-07-01,31.392,301.04755
2000-07,2000-07-01,31.142,302.08087
2000-07,2000-07-01,31.142,301.95264
2000-07,2000-07-01,31.142,301.79123
2000-07,2000-07-01,31.142,301.0133
