valid_time,time,latitude,t2m
2000-01,2000-01-01,41.865,254.97444
2000-01,2000-01-01,41.865,255.07474
2000-01,2000-01-01,41.615,255.40117
2000-01,2000-01-01,41.615,255.58621
2000-02,2000-02-01,41.865,262.45993
2000-02,2000-02-01,41.865,262.41028
2000-02,2000-02-01,41.615,262.8707
2000-02,2000-02-01,41.615,262.84967
2000-03,2000-03-01,41.865,275.6799
2000-03,2000-03-01,41.865,275.53912
2000-03,2000-03-01,41.615,275.96017
2000-03,2000-03-01,41.615,275.7992
2000-04,2000-04-01,41.865,283.56232
2000-04,2000-04-01,41.865,283.2393
2000-04,2000-04-01,41.615,283.5974
2000-04,2000-04-01,41.615,283.24
2000-05,2000-05-01,41.865,291.5877
2000-05,2000-05-01,41.865,291.3905
2000-05,2000-05-01,41.615,291.5164
2000-05,2000-05-01,41.615,291.29095
2000-06,2000-06-01,41.865,298.65106
2000-06,2000-06-01,41.865,298.5074
2000-06,2000-06-01,41.615,298.70197
2000-06,2000-06-01,41.615,298.54114
2000-07,2000-07-01,41.865,300.0929
2000-07,2000-07-01,41.865,299.89755
2000-07,2000-07-01,41.615,300.11542
2000-07,2000-07-01,41.615,299.90106
2000-08,2000-08-01,41.865,298.48245
2000-08,2000-08-01,41.865,298.3602
2000-08,2000-08-01,41.615,298.5299
2000-08,2000-08-01,41.615,298.38828
2000-09,2000-09-01,41.865,292.70554
2000-09,2000-09-01,41.865,292.59845
2000-09,2000-09-01,41.615,292.83124
2000-09,2000-09-01,41.615,292.69482
2000-10,2000-10-01,41.865,282.12598
2000-10,2000-10-01,41.865,281.9724
2000-10,2000-10-01,41.615,282.3036
2000-10,2000-10-01,41.615,282.11023
2000-11,2000-11-01,41.865,271.1727
2000-11,2000-11-01,41.865,271.19318
2000-11,2000-11-01,41.615,271.89963
2000-11,2000-11-01,41.615,271.90897
2000-12,2000-12-01,41.865,264.29706
2000-12,2000-12-01,41.865,264.09418
2000-12,2000-12-01,41.615,264.9068
2000-12,2000-12-01,41.615,264.67987
2001-01,2001-01-01,41.865,255.89694
2001-01,2001-01-01,41.865,255.41165
2001-01,2001-01-01,41.615,256.5173
2001-01,2001-01-01,41.615,256.08667
2001-02,2001-02-01,41.865,263.97534
2001-02,2001-02-01,41.865,263.28418
2001-02,2001-02-01,41.615,264.59445
2001-02,2001-02-01,41.615,263.86136
2001-03,2001-03-01,41.865,273.98972
2001-03,2001-03-01,41.865,273.88843
2001-03,2001-03-01,41.615,274.25916
2001-03,2001-03-01,41.615,274.1425
2001-04,2001-04-01,41.865,284.65274
2001-04,2001-04-01,41.865,284.55878
2001-04,2001-04-01,41.615,284.81137
2001-04,2001-04-01,41.615,284.70145
2001-05,2001-05-01,41.865,292.7669
2001-05,2001-05-01,41.865,292.6637
2001-05,2001-05-01,41.615,292.78708
2001-05,2001-05-01,41.615,292.64612
2001-06,2001-06-01,41.865,297.60138
2001-06,2001-06-01,41.865,297.59924
2001-06,2001-06-01,41.615,297.51447
2001-06,2001-06-01,41.615,297.48218
2001-07,2001-07-01,41.865,298.79282
2001-07,2001-07-01,41.865,298.71164
2001-07,2001-07-01,41.615,298.9071
2001-07,2001-07-01,41.615,298.8117
2001-08,2001-08-01,41.865,296.50735
2001-08,2001-08-01,41.865,296.43872
2001-08,2001-08-01,41.615,296.612
2001-08,2001-08-01,41.615,296.52618
