valid_time,time,latitude,t2m
2000-01,2000-01-01,1.504,298.67908
2000-01,2000-01-01,1.504,298.70193
2000-01,2000-01-01,1.254,298.7697
2000-01,2000-01-01,1.254,298.77682
2000-02,2000-02-01,1.504,299.23453
2000-02,2000-02-01,1.504,299.27515
2000-02,2000-02-01,1.254,299.24576
2000-02,2000-02-01,1.254,299.251
2000-03,2000-03-01,1.504,299.81424
2000-03,2000-03-01,1.504,299.87817
2000-03,2000-03-01,1.254,299.93857
2000-03,2000-03-01,1.254,299.9125
2000-04,2000-04-01,1.504,300.08728
2000-04,2000-04-01,1.504,300.14163
2000-04,2000-04-01,1.254,300.38306
2000-04,2000-04-01,1.254,300.39343
2000-05,2000-05-01,1.504,300.74402
2000-05,2000-05-01,1.504,300.75034
2000-05,2000-05-01,1.254,301.1333
2000-05,2000-05-01,1.254,301.13586
2000-06,2000-06-01,1.504,300.02408
2000-06,2000-06-01,1.504,300.00397
2000-06,2000-06-01,1.254,300.45673
2000-06,2000-06-01,1.254,300.44687
2000-07,2000-07-01,1.504,300.21667
2000-07,2000-07-01,1.504,300.12427
2000-07,2000-07-01,1.254,300.40182
2000-07,2000-07-01,1.254,300.37698
2000-08,2000-08-01,1.504,299.74664
2000-08,2000-08-01,1.504,299.68805
2000-08,2000-08-01,1.254,300.029
2000-08,2000-08-01,1.254,300.00616
2000-09,2000-09-01,1.504,299.7462
2000-09,2000-09-01,1.504,299.79852
2000-09,2000-09-01,1.254,300.14514
2000-09,2000-09-01,1.254,300.13077
2000-10,2000-10-01,1.504,300.10016
2000-10,2000-10-01,1.504,300.10297
2000-10,2000-10-01,1.254,300.44867
2000-10,2000-10-01,1.254,300.45715
2000-11,2000-11-01,1.504,299.5972
2000-11,2000-11-01,1.504,299.6253
2000-11,2000-11-01,1.254,299.83255
2000-11,2000-11-01,1.254,299.8221
2000-12,2000-12-01,1.504,299.47644
2000-12,2000-12-01,1.504,299.45877
2000-12,2000-12-01,1.254,299.66104
2000-12,2000-12-01,1.254,299.62384
2001-01,2001-01-01,1.504,298.96927
2001-01,2001-01-01,1.504,298.99054
2001-01,2001-01-01,1.254,299.23047
2001-01,2001-01-01,1.254,299.2082
2001-02,2001-02-01,1.504,299.18054
2001-02,2001-02-01,1.504,299.16037
2001-02,2001-02-01,1.254,299.36536
2001-02,2001-02-01,1.254,299.3457
2001-03,2001-03-01,1.504,299.9401
2001-03,2001-03-01,1.504,299.97693
2001-03,2001-03-01,1.254,300.02188
2001-03,2001-03-01,1.254,300.00552
2001-04,2001-04-01,1.504,300.15237
2001-04,2001-04-01,1.504,300.1813
2001-04,2001-04-01,1.254,300.24884
2001-04,2001-04-01,1.254,300.22986
2001-05,2001-05-01,1.504,300.74
2001-05,2001-05-01,1.504,300.74005
2001-05,2001-05-01,1.254,301.04077
2001-05,2001-05-01,1.254,301.03555
2001-06,2001-06-01,1.504,300.42996
2001-06,2001-06-01,1.504,300.418
2001-06,2001-06-01,1.254,300.86603
2001-06,2001-06-01,1.254,300.8803
2001-07,2001-07-01,1.504,300.29498
2001-07,2001-07-01,1.504,300.2175
2001-07,2001-07-01,1.254,300.6784
2001-07,2001-07-01,1.254,300.66666
2001-08,2001-08-01,1.504,300.18997
2001-08,2001-08-01,1.504,300.15128
2001-08,2001-08-01,1.254,300.53076
2001-08,2001-08-01,1.254,300.5314
2001-09,2001-09-01,1.504,299.97974
2001-09,2001-09-01,1.504,299.98895
2001-09,2001-09-01,1.254,300.13538
2001-09,2001-09-01,1.254,300.12943
2001-10,2001-10-01,1.504,300.06635
2001-10,2001-10-01,1.504,300.0589
2001-10,2001-10-01,1.254,300.434
2001-10,2001-10-01,1.254,300.4483
2001-11,2001-11-01,1.504,299.4845
2001-11,2001-11-01,1.504,299.51056
2001-11,2001-11-01,1.254,299.83032
2001-11,2001-11-01,1.254,299.85492
2001-12,2001-12-01,1.504,299.16714
2001-12,2001-12-01,1.504,299.1424
2001-12,2001-12-01,1.254,299.4272
2001-12,2001-12-01,1.254,299.4193
2002-01,2002-01-01,1.504,299.062
2002-01,2002-01-01,1.504,299.03848
2002-01,2002-01-01,1.254,299.01395
2002-01,2002-01-01,1.254,298.99316
2002-02,2002-02-01,1.504,299.37854
2002-02,2002-02-01,1.504,299.30304
2002-02,2002-02-01,1.254,299.50098
2002-02,2002-02-01,1.254,299.48404
2002-03,2002-03-01,1.504,300.02173
2002-03,2002-03-01,1.504,300.01404
2002-03,2002-03-01,1.254,300.1122
2002-03,2002-03-01,1.254,300.13174
2002-04,2002-04-01,1.504,300.4148
2002-04,2002-04-01,1.504,300.46872
2002-04,2002-04-01,1.254,300.56213
2002-04,2002-04-01,1.254,300.59918
2002-05,2002-05-01,1.504,300.93164
2002-05,2002-05-01,1.504,300.9248
2002-05,2002-05-01,1.254,301.04752
2002-05,2002-05-01,1.254,301.05588
2002-06,2002-06-01,1.504,300.57986
2002-06,2002-06-01,1.504,300.51346
2002-06,2002-06-01,1.254,300.88913
2002-06,2002-06-01,1.254,300.84735
2002-07,2002-07-01,1.504,300.44342
2002-07,2002-07-01,1.504,300.40057
2002-07,2002-07-01,1.254,300.61404
2002-07,2002-07-01,1.254,300.63876
2002-08,2002-08-01,1.504,300.05466
2002-08,2002-08-01,1.504,300.0291
2002-08,2002-08-01,1.254,300.68298
2002-08,2002-08-01,1.254,300.6693
2002-09,2002-09-01,1.504,299.82526
2002-09,2002-09-01,1.504,299.85077
2002-09,2002-09-01,1.254,300.39716
2002-09,2002-09-01,1.254,300.4095
2002-10,2002-10-01,1.504,300.1006
2002-10,2002-10-01,1.504,300.17926
2002-10,2002-10-01,1.254,300.67932
2002-10,2002-10-01,1.254,300.68713
2002-11,2002-11-01,1.504,299.75137
2002-11,2002-11-01,1.504,299.805
2002-11,2002-11-01,1.254,300.09283
2002-11,2002-11-01,1.254,300.11227
2002-12,2002-12-01,1.504,299.73868
2002-12,2002-12-01,1.504,299.75827
2002-12,2002-12-01,1.254,299.74426
2002-12,2002-12-01,1.254,299.7376
2003-01,2003-01-01,1.504,299.23297
2003-01,2003-01-01,1.504,299.2268
2003-01,2003-01-01,1.254,299.35605
2003-01,2003-01-01,1.254,299.3742
2003-02,2003-02-01,1.504,299.61618
2003-02,2003-02-01,1.504,299.59857
