valid_time,time,latitude,t2m
2000-01,2000-01-01,24.617,290.8534
2000-01,2000-01-01,24.367,290.9158
2000-01,2000-01-01,24.117,291.03857
2000-02,2000-02-01,24.617,292.18695
2000-02,2000-02-01,24.367,292.41235
2000-02,2000-02-01,24.117,292.77612
2000-03,2000-03-01,24.617,296.96213
2000-03,2000-03-01,24.367,297.4001
2000-03,2000-03-01,24.117,298.01376
2000-04,2000-04-01,24.617,299.6029
2000-04,2000-04-01,24.367,300.16446
2000-04,2000-04-01,24.117,300.7634
2000-05,2000-05-01,24.617,300.82373
2000-05,2000-05-01,24.367,301.091
2000-05,2000-05-01,24.117,301.38376
2000-06,2000-06-01,24.617,301.81973
2000-06,2000-06-01,24.367,301.91968
2000-06,2000-06-01,24.117,302.0183
2000-07,2000-07-01,24.617,302.07886
2000-07,2000-07-01,24.367,302.00867
2000-07,2000-07-01,24.117,301.93134
2000-08,2000-08-01,24.617,302.13025
2000-08,2000-08-01,24.367,302.17786
2000-08,2000-08-01,24.117,302.18042
2000-09,2000-09-01,24.617,300.8298
2000-09,2000-09-01,24.367,300.92044
2000-09,2000-09-01,24.117,301.0097
2000-10,2000-10-01,24.617,300.1484
2000-10,2000-10-01,24.367,300.2764
2000-10,2000-10-01,24.117,300.43372
2000-11,2000-11-01,24.617,296.5056
2000-11,2000-11-01,24.367,296.63562
2000-11,2000-11-01,24.117,296.90936
2000-12,2000-12-01,24.617,292.10266
2000-12,2000-12-01,24.367,292.1626
2000-12,2000-12-01,24.117,292.25986
2001-01,2001-01-01,24.617,289.9233
2001-01,2001-01-01,24.367,289.91162
2001-01,2001-01-01,24.117,290.01413
2001-02,2001-02-01,24.617,294.12598
2001-02,2001-02-01,24.367,294.2003
2001-02,2001-02-01,24.117,294.44772
2001-03,2001-03-01,24.617,298.28415
2001-03,2001-03-01,24.367,298.45398
2001-03,2001-03-01,24.117,298.7976
2001-04,2001-04-01,24.617,300.94077
2001-04,2001-04-01,24.367,301.26807
2001-04,2001-04-01,24.117,301.6286
2001-05,2001-05-01,24.617,300.4637
2001-05,2001-05-01,24.367,300.5814
2001-05,2001-05-01,24.117,300.72632
2001-06,2001-06-01,24.617,301.2664
2001-06,2001-06-01,24.367,301.27338
2001-06,2001-06-01,24.117,301.28235
2001-07,2001-07-01,24.617,302.06735
2001-07,2001-07-01,24.367,302.0021
2001-07,2001-07-01,24.117,301.9244
2001-08,2001-08-01,24.617,302.51553
2001-08,2001-08-01,24.367,302.54688
2001-08,2001-08-01,24.117,302.54648
2001-09,2001-09-01,24.617,301.55505
2001-09,2001-09-01,24.367,301.6596
2001-09,2001-09-01,24.117,301.74326
2001-10,2001-10-01,24.617,300.0583
2001-10,2001-10-01,24.367,300.20752
2001-10,2001-10-01,24.117,300.36572
2001-11,2001-11-01,24.617,296.91003
2001-11,2001-11-01,24.367,296.99432
2001-11,2001-11-01,24.117,297.2083
2001-12,2001-12-01,24.617,291.7421
2001-12,2001-12-01,24.367,291.76633
2001-12,2001-12-01,24.117,291.91458
2002-01,2002-01-01,24.617,291.57745
2002-01,2002-01-01,24.367,291.69583
2002-01,2002-01-01,24.117,291.90387
2002-02,2002-02-01,24.617,294.24625
2002-02,2002-02-01,24.367,294.3374
2002-02,2002-02-01,24.117,294.55414
2002-03,2002-03-01,24.617,298.03473
2002-03,2002-03-01,24.367,298.2533
2002-03,2002-03-01,24.117,298.6001
2002-04,2002-04-01,24.617,299.07822
2002-04,2002-04-01,24.367,299.59927
2002-04,2002-04-01,24.117,300.1247
2002-05,2002-05-01,24.617,300.23035
2002-05,2002-05-01,24.367,300.43286
2002-05,2002-05-01,24.117,300.7091
2002-06,2002-06-01,24.617,301.1724
2002-06,2002-06-01,24.367,301.22104
2002-06,2002-06-01,24.117,301.3059
2002-07,2002-07-01,24.617,301.777
2002-07,2002-07-01,24.367,301.92487
2002-07,2002-07-01,24.117,302.0514
2002-08,2002-08-01,24.617,301.7261
2002-08,2002-08-01,24.367,301.74966
2002-08,2002-08-01,24.117,301.76364
2002-09,2002-09-01,24.617,301.52103
2002-09,2002-09-01,24.367,301.605
2002-09,2002-09-01,24.117,301.67496
2002-10,2002-10-01,24.617,299.6483
2002-10,2002-10-01,24.367,299.79987
2002-10,2002-10-01,24.117,300.02512
2002-11,2002-11-01,24.617,296.0908
2002-11,2002-11-01,24.367,296.1119
2002-11,2002-11-01,24.117,296.28107
2002-12,2002-12-01,24.617,292.31067
2002-12,2002-12-01,24.367,292.34143
2002-12,2002-12-01,24.117,292.49918
2003-01,2003-01-01,24.617,288.61603
2003-01,2003-01-01,24.367,288.62195
2003-01,2003-01-01,24.117,288.71234
2003-02,2003-02-01,24.617,293.75098
2003-02,2003-02-01,24.367,293.84396
2003-02,2003-02-01,24.117,294.06128
2003-03,2003-03-01,24.617,296.4824
2003-03,2003-03-01,24.367,296.66068
2003-03,2003-03-01,24.117,296.978
2003-04,2003-04-01,24.617,300.44098
2003-04,2003-04-01,24.367,300.89362
2003-04,2003-04-01,24.117,301.3379
2003-05,2003-05-01,24.617,301.9548
2003-05,2003-05-01,24.367,302.22086
2003-05,2003-05-01,24.117,302.45496
2003-06,2003-06-01,24.617,301.08887
2003-06,2003-06-01,24.367,301.27368
2003-06,2003-06-01,24.117,301.43512
2003-07,2003-07-01,24.617,302.32108
2003-07,2003-07-01,24.367,302.35217
2003-07,2003-07-01,24.117,302.3621
2003-08,2003-08-01,24.617,302.55737
2003-08,2003-08-01,24.367,302.5628
2003-08,2003-08-01,24.117,302.5452
2003-09,2003-09-01,24.617,301.60046
2003-09,2003-09-01,24.367,301.67612
2003-09,2003-09-01,24.117,301.736
2003-10,2003-10-01,24.617,300.0116
2003-10,2003-10-01,24.367,300.2184
2003-10,2003-10-01,24.117,300.47107
2003-11,2003-11-01,24.617,295.88782
2003-11,2003-11-01,24.367,295.98773
2003-11,2003-11-01,24.117,296.23468
2003-12,2003-12-01,24.617,292.59827
2003-12,2003-12-01,24.367,292.54214
2003-12,2003-12-01,24.117,292.53207
2004-01,2004-01-01,24.617,290.266
2004-01,2004-01-01,24.367,290.32434
2004-01,2004-01-01,24.117,290.44553
2004-02,2004-02-01,24.617,293.99878
2004-02,2004-02-01,24.367,294.04294
2004-02,2004-02-01,24.117,294.1729
2004-03,2004-03-01,24.617,299.9246
2004-03,2004-03-01,24.367,300.07306
2004-03,2004-03-01,24.117,300.26352
2004-04,2004-04-01,24.617,299.6916
2004-04,2004-04-01,24.367,300.18768
2004-04,2004-04-01,24.117,300.60748
2004-05,2004-05-01,24.617,302.85883
2004-05,2004-05-01,24.367,303.10062
2004-05,2004-05-01,24.117,303.3147
2004-06,2004-06-01,24.617,301.44846
2004-06,2004-06-01,24.367,301.56195
2004-06,2004-06-01,24.117,301.71368
2004-07,2004-07-01,24.617,301.62494
2004-07,2004-07-01,24.367,301.74496
2004-07,2004-07-01,24.117,301.83676
2004-08,2004-08-01,24.617,302.19165
2004-08,2004-08-01,24.367,302.20584
2004-08,2004-08-01,24.117,302.178
2004-09,2004-09-01,24.617,300.8329
2004-09,2004-09-01,24.367,300.8973
2004-09,2004-09-01,24.117,300.97687
2004-10,2004-10-01,24.617,299.28943
2004-10,2004-10-01,24.367,299.44037
2004-10,2004-10-01,24.117,299.62338
2004-11,2004-11-01,24.617,296.0703
2004-11,2004-11-01,24.367,296.21686
2004-11,2004-11-01,24.117,296.38974
2004-12,2004-12-01,24.617,293.14856
2004-12,2004-12-01,24.367,293.30658
2004-12,2004-12-01,24.117,293.44702
2005-01,2005-01-01,24.617,291.06348
2005-01,2005-01-01,24.367,291.08002
2005-01,2005-01-01,24.117,291.23236
2005-02,2005-02-01,24.617,295.14282
2005-02,2005-02-01,24.367,295.2151
2005-02,2005-02-01,24.117,295.42188
2005-03,2005-03-01,24.617,298.96494
2005-03,2005-03-01,24.367,299.19586
2005-03,2005-03-01,24.117,299.4662
2005-04,2005-04-01,24.617,301.2895
2005-04,2005-04-01,24.367,301.58606
2005-04,2005-04-01,24.117,301.818
2005-05,2005-05-01,24.617,300.77533
2005-05,2005-05-01,24.367,301.187
2005-05,2005-05-01,24.117,301.628
2005-06,2005-06-01,24.617,302.65814
2005-06,2005-06-01,24.367,302.89178
2005-06,2005-06-01,24.117,303.08035
2005-07,2005-07-01,24.617,301.8021
2005-07,2005-07-01,24.367,301.76874
2005-07,2005-07-01,24.117,301.7431
2005-08,2005-08-01,24.617,302.18665
2005-08,2005-08-01,24.367,302.24557
2005-08,2005-08-01,24.117,302.26248
2005-09,2005-09-01,24.617,302.17953
2005-09,2005-09-01,24.367,302.20154
2005-09,2005-09-01,24.117,302.19113
2005-10,2005-10-01,24.617,299.4951
2005-10,2005-10-01,24.367,299.68808
2005-10,2005-10-01,24.117,299.90875
2005-11,2005-11-01,24.617,296.018
2005-11,2005-11-01,24.367,296.09683
2005-11,2005-11-01,24.117,296.2286
2005-12,2005-12-01,24.617,292.83353
2005-12,2005-12-01,24.367,292.88107
2005-12,2005-12-01,24.117,292.94748
2006-01,2006-01-01,24.617,290.99692
2006-01,2006-01-01,24.367,291.02524
2006-01,2006-01-01,24.117,291.1534
2006-02,2006-02-01,24.617,296.93845
2006-02,2006-02-01,24.367,297.0263
2006-02,2006-02-01,24.117,297.1798
2006-03,2006-03-01,24.617,299.193
2006-03,2006-03-01,24.367,299.4361
2006-03,2006-03-01,24.117,299.70447
2006-04,2006-04-01,24.617,300.3697
2006-04,2006-04-01,24.367,300.78815
2006-04,2006-04-01,24.117,301.23242
2006-05,2006-05-01,24.617,301.64597
2006-05,2006-05-01,24.367,301.80258
2006-05,2006-05-01,24.117,301.97488
2006-06,2006-06-01,24.617,302.13998
2006-06,2006-06-01,24.367,302.2946
2006-06,2006-06-01,24.117,302.43857
2006-07,2006-07-01,24.617,302.38416
2006-07,2006-07-01,24.367,302.3064
2006-07,2006-07-01,24.117,302.229
2006-08,2006-08-01,24.617,302.28323
2006-08,2006-08-01,24.367,302.18958
2006-08,2006-08-01,24.117,302.0871
2006-09,2006-09-01,24.617,301.55283
2006-09,2006-09-01,24.367,301.63354
2006-09,2006-09-01,24.117,301.70328
2006-10,2006-10-01,24.617,300.40872
2006-10,2006-10-01,24.367,300.5417
2006-10,2006-10-01,24.117,300.7273
2006-11,2006-11-01,24.617,296.05176
2006-11,2006-11-01,24.367,296.30402
2006-11,2006-11-01,24.117,296.6098
2006-12,2006-12-01,24.617,292.76343
2006-12,2006-12-01,24.367,292.87433
2006-12,2006-12-01,24.117,293.01947
2007-01,2007-01-01,24.617,290.09702
2007-01,2007-01-01,24.367,290.1037
2007-01,2007-01-01,24.117,290.27222
2007-02,2007-02-01,24.617,293.59686
2007-02,2007-02-01,24.367,293.65106
2007-02,2007-02-01,24.117,293.91406
2007-03,2007-03-01,24.617,297.19748
2007-03,2007-03-01,24.367,297.36768
2007-03,2007-03-01,24.117,297.60965
2007-04,2007-04-01,24.617,300.8676
2007-04,2007-04-01,24.367,301.21735
2007-04,2007-04-01,24.117,301.52856
2007-05,2007-05-01,24.617,303.1371
2007-05,2007-05-01,24.367,303.1667
2007-05,2007-05-01,24.117,303.2779
2007-06,2007-06-01,24.617,301.8112
2007-06,2007-06-01,24.367,301.92325
2007-06,2007-06-01,24.117,302.05756
2007-07,2007-07-01,24.617,301.74432
2007-07,2007-07-01,24.367,301.7081
2007-07,2007-07-01,24.117,301.66788
2007-08,2007-08-01,24.617,302.59494
2007-08,2007-08-01,24.367,302.59515
2007-08,2007-08-01,24.117,302.55322
2007-09,2007-09-01,24.617,301.61703
2007-09,2007-09-01,24.367,301.66092
2007-09,2007-09-01,24.117,301.6838
2007-10,2007-10-01,24.617,300.15515
2007-10,2007-10-01,24.367,300.28616
2007-10,2007-10-01,24.117,300.46606
2007-11,2007-11-01,24.617,296.69263
2007-11,2007-11-01,24.367,296.739
2007-11,2007-11-01,24.117,296.85593
2007-12,2007-12-01,24.617,291.99826
2007-12,2007-12-01,24.367,291.97662
2007-12,2007-12-01,24.117,292.07996
2008-01,2008-01-01,24.617,291.15518
2008-01,2008-01-01,24.367,291.19608
2008-01,2008-01-01,24.117,291.34808
2008-02,2008-02-01,24.617,292.58817
2008-02,2008-02-01,24.367,292.74976
2008-02,2008-02-01,24.117,292.9774
2008-03,2008-03-01,24.617,298.99542
2008-03,2008-03-01,24.367,299.49887
2008-03,2008-03-01,24.117,299.83887
2008-04,2008-04-01,24.617,301.87885
2008-04,2008-04-01,24.367,302.28217
2008-04,2008-04-01,24.117,302.51056
