valid_time,time,latitude,t2m
2000-01,2000-01-01,38.67,273.59204
2000-01,2000-01-01,38.67,273.57205
2000-01,2000-01-01,38.42,273.9939
2000-01,2000-01-01,38.42,274.02356
2000-02,2000-02-01,38.67,278.70078
2000-02,2000-02-01,38.67,278.73026
2000-02,2000-02-01,38.42,278.92755
2000-02,2000-02-01,38.42,279.04456
2000-03,2000-03-01,38.67,282.39212
2000-03,2000-03-01,38.67,282.49286
2000-03,2000-03-01,38.42,282.5994
2000-03,2000-03-01,38.42,282.77588
2000-04,2000-04-01,38.67,286.03122
2000-04,2000-04-01,38.67,286.08914
2000-04,2000-04-01,38.42,286.17038
2000-04,2000-04-01,38.42,286.28162
2000-05,2000-05-01,38.67,293.35757
2000-05,2000-05-01,38.67,293.42725
2000-05,2000-05-01,38.42,293.353
2000-05,2000-05-01,38.42,293.52673
2000-06,2000-06-01,38.67,295.7673
2000-06,2000-06-01,38.67,295.97827
2000-06,2000-06-01,38.42,295.7996
2000-06,2000-06-01,38.42,296.15735
2000-07,2000-07-01,38.67,297.83173
2000-07,2000-07-01,38.67,297.91974
2000-07,2000-07-01,38.42,297.90875
2000-07,2000-07-01,38.42,298.12723
2000-08,2000-08-01,38.67,299.1066
2000-08,2000-08-01,38.67,299.1525
2000-08,2000-08-01,38.42,299.11163
2000-08,2000-08-01,38.42,299.26712
2000-09,2000-09-01,38.67,293.50516
2000-09,2000-09-01,38.67,293.59225
2000-09,2000-09-01,38.42,293.5747
2000-09,2000-09-01,38.42,293.68948
2000-10,2000-10-01,38.67,288.85278
2000-10,2000-10-01,38.67,288.95026
2000-10,2000-10-01,38.42,289.11542
2000-10,2000-10-01,38.42,289.25702
2000-11,2000-11-01,38.67,278.25885
2000-11,2000-11-01,38.67,278.42288
2000-11,2000-11-01,38.42,278.5385
2000-11,2000-11-01,38.42,278.76312
2000-12,2000-12-01,38.67,267.4145
2000-12,2000-12-01,38.67,267.4654
2000-12,2000-12-01,38.42,267.70892
2000-12,2000-12-01,38.42,267.79706
2001-01,2001-01-01,38.67,271.8851
2001-01,2001-01-01,38.67,271.9291
2001-01,2001-01-01,38.42,272.27612
2001-01,2001-01-01,38.42,272.32068
2001-02,2001-02-01,38.67,275.10657
2001-02,2001-02-01,38.67,275.24896
2001-02,2001-02-01,38.42,275.64166
2001-02,2001-02-01,38.42,275.77557
2001-03,2001-03-01,38.67,278.01413
2001-03,2001-03-01,38.67,278.0744
2001-03,2001-03-01,38.42,278.24197
2001-03,2001-03-01,38.42,278.39252
2001-04,2001-04-01,38.67,290.13776
2001-04,2001-04-01,38.67,290.21786
2001-04,2001-04-01,38.42,290.23065
2001-04,2001-04-01,38.42,290.42676
2001-05,2001-05-01,38.67,292.89893
2001-05,2001-05-01,38.67,293.0153
2001-05,2001-05-01,38.42,292.8829
2001-05,2001-05-01,38.42,293.1514
2001-06,2001-06-01,38.67,295.8336
2001-06,2001-06-01,38.67,296.0081
