valid_time,time,latitude,t2m
2000-01,2000-01-01,-7.219,299.45032
2000-01,2000-01-01,-7.219,299.797
2000-01,2000-01-01,-7.469,297.94092
2000-01,2000-01-01,-7.469,299.02466
2000-01,2000-01-01,-7.719,295.16992
2000-01,2000-01-01,-7.719,296.51196
2000-01,2000-01-01,-7.969,295.04028
2000-01,2000-01-01,-7.969,294.32324
2000-01,2000-01-01,-8.219000000000001,297.7262
2000-01,2000-01-01,-8.219000000000001,296.82324
2000-02,2000-02-01,-7.219,299.67664
2000-02,2000-02-01,-7.219,300.0421
2000-02,2000-02-01,-7.469,298.20068
2000-02,2000-02-01,-7.469,299.33752
2000-02,2000-02-01,-7.719,295.44592
2000-02,2000-02-01,-7.719,296.79126
2000-02,2000-02-01,-7.969,295.43213
2000-02,2000-02-01,-7.969,294.61633
2000-02,2000-02-01,-8.219000000000001,298.1172
2000-02,2000-02-01,-8.219000000000001,297.17078
2000-03,2000-03-01,-7.219,299.90784
2000-03,2000-03-01,-7.219,300.32397
2000-03,2000-03-01,-7.469,298.3412
2000-03,2000-03-01,-7.469,299.50647
2000-03,2000-03-01,-7.719,295.4513
2000-03,2000-03-01,-7.719,296.88416
2000-03,2000-03-01,-7.969,295.29053
2000-03,2000-03-01,-7.969,294.64917
2000-03,2000-03-01,-8.219000000000001,297.97522
2000-03,2000-03-01,-8.219000000000001,297.11792
2000-04,2000-04-01,-7.219,300.19763
2000-04,2000-04-01,-7.219,300.67004
2000-04,2000-04-01,-7.469,298.5824
2000-04,2000-04-01,-7.469,299.7467
2000-04,2000-04-01,-7.719,295.7234
2000-04,2000-04-01,-7.719,297.10767
2000-04,2000-04-01,-7.969,295.4419
2000-04,2000-04-01,-7.969,294.83667
2000-04,2000-04-01,-8.219000000000001,297.9784
2000-04,2000-04-01,-8.219000000000001,297.14343
2000-05,2000-05-01,-7.219,300.49036
2000-05,2000-05-01,-7.219,301.07117
2000-05,2000-05-01,-7.469,298.8202
2000-05,2000-05-01,-7.469,300.09314
2000-05,2000-05-01,-7.719,295.76404
2000-05,2000-05-01,-7.719,297.23132
2000-05,2000-05-01,-7.969,295.34607
2000-05,2000-05-01,-7.969,294.7229
2000-05,2000-05-01,-8.219000000000001,297.83105
2000-05,2000-05-01,-8.219000000000001,296.91614
2000-06,2000-06-01,-7.219,299.66748
2000-06,2000-06-01,-7.219,300.54102
2000-06,2000-06-01,-7.469,298.0923
2000-06,2000-06-01,-7.469,299.76917
2000-06,2000-06-01,-7.719,295.00293
2000-06,2000-06-01,-7.719,296.65625
2000-06,2000-06-01,-7.969,294.31628
2000-06,2000-06-01,-7.969,293.71533
2000-06,2000-06-01,-8.219000000000001,296.49292
2000-06,2000-06-01,-8.219000000000001,295.52466
2000-07,2000-07-01,-7.219,299.5957
2000-07,2000-07-01,-7.219,300.4884
2000-07,2000-07-01,-7.469,298.04834
2000-07,2000-07-01,-7.469,299.99365
2000-07,2000-07-01,-7.719,294.76282
2000-07,2000-07-01,-7.719,296.64014
2000-07,2000-07-01,-7.969,293.83765
2000-07,2000-07-01,-7.969,293.38843
2000-07,2000-07-01,-8.219000000000001,296.08594
2000-07,2000-07-01,-8.219000000000001,295.05298
2000-08,2000-08-01,-7.219,300.0077
2000-08,2000-08-01,-7.219,300.7362
2000-08,2000-08-01,-7.469,298.4884
2000-08,2000-08-01,-7.469,300.24512
2000-08,2000-08-01,-7.719,295.03125
2000-08,2000-08-01,-7.719,296.88855
2000-08,2000-08-01,-7.969,293.92285
2000-08,2000-08-01,-7.969,293.32422
2000-08,2000-08-01,-8.219000000000001,295.99536
2000-08,2000-08-01,-8.219000000000001,294.8396
2000-09,2000-09-01,-7.219,300.94067
2000-09,2000-09-01,-7.219,301.64478
2000-09,2000-09-01,-7.469,299.3789
2000-09,2000-09-01,-7.469,301.06213
2000-09,2000-09-01,-7.719,295.6289
2000-09,2000-09-01,-7.719,297.62952
2000-09,2000-09-01,-7.969,294.92566
2000-09,2000-09-01,-7.969,294.463
2000-09,2000-09-01,-8.219000000000001,297.0332
