valid_time,time,latitude,t2m
2000-01,2000-01-01,31.546,276.74515
2000-01,2000-01-01,31.546,276.8545
2000-01,2000-01-01,31.546,276.95038
2000-01,2000-01-01,31.546,277.18726
2000-01,2000-01-01,31.546,277.4268
2000-01,2000-01-01,31.296,277.08307
2000-01,2000-01-01,31.296,277.23138
2000-01,2000-01-01,31.296,277.27423
2000-01,2000-01-01,31.296,277.39523
2000-01,2000-01-01,31.296,277.62848
2000-01,2000-01-01,31.046,277.22787
2000-01,2000-01-01,31.046,277.4531
2000-01,2000-01-01,31.046,277.55554
2000-01,2000-01-01,31.046,277.6638
2000-01,2000-01-01,31.046,277.8198
2000-02,2000-02-01,31.546,277.54584
2000-02,2000-02-01,31.546,277.38788
2000-02,2000-02-01,31.546,277.2236
2000-02,2000-02-01,31.546,277.21463
2000-02,2000-02-01,31.546,277.23718
2000-02,2000-02-01,31.296,277.91357
2000-02,2000-02-01,31.296,277.79248
2000-02,2000-02-01,31.296,277.57837
2000-02,2000-02-01,31.296,277.44083
2000-02,2000-02-01,31.296,277.42233
2000-02,2000-02-01,31.046,277.98413
2000-02,2000-02-01,31.046,277.9237
2000-02,2000-02-01,31.046,277.85602
2000-02,2000-02-01,31.046,277.73328
2000-02,2000-02-01,31.046,277.6538
2000-03,2000-03-01,31.546,284.0905
2000-03,2000-03-01,31.546,283.90915
2000-03,2000-03-01,31.546,283.77914
2000-03,2000-03-01,31.546,283.67487
2000-03,2000-03-01,31.546,283.57025
2000-03,2000-03-01,31.296,284.28122
2000-03,2000-03-01,31.296,284.13208
2000-03,2000-03-01,31.296,283.99677
2000-03,2000-03-01,31.296,283.87225
2000-03,2000-03-01,31.296,283.7523
2000-03,2000-03-01,31.046,284.28223
2000-03,2000-03-01,31.046,284.15222
2000-03,2000-03-01,31.046,284.17453
2000-03,2000-03-01,31.046,284.0656
2000-03,2000-03-01,31.046,283.9242
2000-04,2000-04-01,31.546,289.87173
2000-04,2000-04-01,31.546,289.56525
2000-04,2000-04-01,31.546,289.24277
2000-04,2000-04-01,31.546,289.00067
2000-04,2000-04-01,31.546,288.78677
2000-04,2000-04-01,31.296,290.1368
2000-04,2000-04-01,31.296,289.81458
2000-04,2000-04-01,31.296,289.47412
2000-04,2000-04-01,31.296,289.17957
2000-04,2000-04-01,31.296,288.93716
2000-04,2000-04-01,31.046,290.11688
2000-04,2000-04-01,31.046,289.78992
2000-04,2000-04-01,31.046,289.64313
2000-04,2000-04-01,31.046,289.37482
2000-04,2000-04-01,31.046,289.1148
2000-05,2000-05-01,31.546,295.32742
2000-05,2000-05-01,31.546,295.04318
2000-05,2000-05-01,31.546,294.8282
2000-05,2000-05-01,31.546,294.57812
2000-05,2000-05-01,31.546,294.30307
2000-05,2000-05-01,31.296,295.40167
2000-05,2000-05-01,31.296,295.13654
2000-05,2000-05-01,31.296,294.9361
2000-05,2000-05-01,31.296,294.7078
2000-05,2000-05-01,31.296,294.42822
2000-05,2000-05-01,31.046,295.44318
2000-05,2000-05-01,31.046,295.15625
2000-05,2000-05-01,31.046,295.0985
2000-05,2000-05-01,31.046,294.8733
2000-05,2000-05-01,31.046,294.5459
2000-06,2000-06-01,31.546,298.49008
2000-06,2000-06-01,31.546,298.29904
2000-06,2000-06-01,31.546,298.1327
2000-06,2000-06-01,31.546,298.00293
