valid_time,time,latitude,t2m
2000-01,2000-01-01,-23.565,295.02786
2000-01,2000-01-01,-23.565,295.3855
2000-01,2000-01-01,-23.565,295.4398
2000-01,2000-01-01,-23.565,295.60254
2000-01,2000-01-01,-23.815,294.9227
2000-01,2000-01-01,-23.815,295.66562
2000-01,2000-01-01,-23.815,296.5107
2000-01,2000-01-01,-23.815,296.78485
2000-02,2000-02-01,-23.565,294.63995
2000-02,2000-02-01,-23.565,294.93268
2000-02,2000-02-01,-23.565,294.95856
2000-02,2000-02-01,-23.565,295.15228
2000-02,2000-02-01,-23.815,294.59186
2000-02,2000-02-01,-23.815,295.25888
2000-02,2000-02-01,-23.815,295.99017
2000-02,2000-02-01,-23.815,296.34387
2000-03,2000-03-01,-23.565,294.0235
2000-03,2000-03-01,-23.565,294.2763
2000-03,2000-03-01,-23.565,294.24542
2000-03,2000-03-01,-23.565,294.38226
2000-03,2000-03-01,-23.815,293.76645
2000-03,2000-03-01,-23.815,294.41104
2000-03,2000-03-01,-23.815,295.1292
2000-03,2000-03-01,-23.815,295.49094
2000-04,2000-04-01,-23.565,293.10193
2000-04,2000-04-01,-23.565,293.40842
2000-04,2000-04-01,-23.565,293.39444
2000-04,2000-04-01,-23.565,293.4177
2000-04,2000-04-01,-23.815,292.85696
2000-04,2000-04-01,-23.815,293.49792
2000-04,2000-04-01,-23.815,294.22998
2000-04,2000-04-01,-23.815,294.6056
2000-05,2000-05-01,-23.565,290.41534
2000-05,2000-05-01,-23.565,290.8625
2000-05,2000-05-01,-23.565,290.85626
2000-05,2000-05-01,-23.565,290.81268
2000-05,2000-05-01,-23.815,290.22467
2000-05,2000-05-01,-23.815,290.98682
2000-05,2000-05-01,-23.815,291.77905
2000-05,2000-05-01,-23.815,292.22656
2000-06,2000-06-01,-23.565,290.79855
2000-06,2000-06-01,-23.565,291.11765
2000-06,2000-06-01,-23.565,291.03857
2000-06,2000-06-01,-23.565,290.61298
2000-06,2000-06-01,-23.815,290.73257
2000-06,2000-06-01,-23.815,291.2314
2000-06,2000-06-01,-23.815,291.88263
2000-06,2000-06-01,-23.815,292.12613
2000-07,2000-07-01,-23.565,287.55914
2000-07,2000-07-01,-23.565,287.92157
2000-07,2000-07-01,-23.565,287.97473
2000-07,2000-07-01,-23.565,287.87408
2000-07,2000-07-01,-23.815,287.34625
2000-07,2000-07-01,-23.815,287.96204
2000-07,2000-07-01,-23.815,288.7484
2000-07,2000-07-01,-23.815,289.36786
2000-08,2000-08-01,-23.565,289.48868
2000-08,2000-08-01,-23.565,289.6441
2000-08,2000-08-01,-23.565,289.66986
2000-08,2000-08-01,-23.565,289.68314
2000-08,2000-08-01,-23.815,289.00052
2000-08,2000-08-01,-23.815,289.4687
2000-08,2000-08-01,-23.815,290.1316
2000-08,2000-08-01,-23.815,290.3395
2000-09,2000-09-01,-23.565,290.76526
2000-09,2000-09-01,-23.565,290.97763
2000-09,2000-09-01,-23.565,290.91373
2000-09,2000-09-01,-23.565,291.0401
2000-09,2000-09-01,-23.815,290.3786
2000-09,2000-09-01,-23.815,290.92407
2000-09,2000-09-01,-23.815,291.50348
2000-09,2000-09-01,-23.815,291.69214
2000-10,2000-10-01,-23.565,294.6668
2000-10,2000-10-01,-23.565,294.87463
2000-10,2000-10-01,-23.565,294.7544
2000-10,2000-10-01,-23.565,294.66037
2000-10,2000-10-01,-23.815,293.91473
2000-10,2000-10-01,-23.815,294.3486
2000-10,2000-10-01,-23.815,294.8092
2000-10,2000-10-01,-23.815,294.71524
2000-11,2000-11-01,-23.565,293.56915
2000-11,2000-11-01,-23.565,293.82687
2000-11,2000-11-01,-23.565,293.8167
2000-11,2000-11-01,-23.565,293.9168
2000-11,2000-11-01,-23.815,293.19098
2000-11,2000-11-01,-23.815,293.81274
2000-11,2000-11-01,-23.815,294.4484
2000-11,2000-11-01,-23.815,294.60098
2000-12,2000-12-01,-23.565,294.60132
2000-12,2000-12-01,-23.565,294.9314
2000-12,2000-12-01,-23.565,294.98688
2000-12,2000-12-01,-23.565,295.1428
2000-12,2000-12-01,-23.815,294.5136
2000-12,2000-12-01,-23.815,295.20755
2000-12,2000-12-01,-23.815,295.97766
2000-12,2000-12-01,-23.815,296.18796
2001-01,2001-01-01,-23.565,296.00568
2001-01,2001-01-01,-23.565,296.38986
2001-01,2001-01-01,-23.565,296.384
2001-01,2001-01-01,-23.565,296.47052
2001-01,2001-01-01,-23.815,295.9459
2001-01,2001-01-01,-23.815,296.689
2001-01,2001-01-01,-23.815,297.50803
2001-01,2001-01-01,-23.815,297.65527
2001-02,2001-02-01,-23.565,296.12308
2001-02,2001-02-01,-23.565,296.53003
2001-02,2001-02-01,-23.565,296.58405
2001-02,2001-02-01,-23.565,296.6896
2001-02,2001-02-01,-23.815,296.15076
2001-02,2001-02-01,-23.815,296.9253
2001-02,2001-02-01,-23.815,297.73184
2001-02,2001-02-01,-23.815,298.11246
2001-03,2001-03-01,-23.565,295.5914
2001-03,2001-03-01,-23.565,295.89655
2001-03,2001-03-01,-23.565,295.87357
2001-03,2001-03-01,-23.565,295.99237
2001-03,2001-03-01,-23.815,295.52582
2001-03,2001-03-01,-23.815,296.20786
2001-03,2001-03-01,-23.815,296.96567
2001-03,2001-03-01,-23.815,297.22424
2001-04,2001-04-01,-23.565,294.70477
2001-04,2001-04-01,-23.565,295.02423
2001-04,2001-04-01,-23.565,294.94006
2001-04,2001-04-01,-23.565,294.8933
