valid_time,time,latitude,t2m
2000-01,2000-01-01,36.206,274.68506
2000-01,2000-01-01,36.206,277.7154
2000-01,2000-01-01,36.206,278.1729
2000-02,2000-02-01,36.206,271.96106
2000-02,2000-02-01,36.206,275.8877
2000-02,2000-02-01,36.206,276.49133
2000-03,2000-03-01,36.206,276.34888
2000-03,2000-03-01,36.206,279.73828
2000-03,2000-03-01,36.206,280.29584
2000-04,2000-04-01,36.206,282.48438
2000-04,2000-04-01,36.206,285.10883
2000-04,2000-04-01,36.206,285.62653
2000-05,2000-05-01,36.206,288.65546
2000-05,2000-05-01,36.206,290.82037
2000-05,2000-05-01,36.206,291.44086
2000-06,2000-06-01,36.206,291.84778
2000-06,2000-06-01,36.206,293.8747
2000-06,2000-06-01,36.206,294.5362
2000-07,2000-07-01,36.206,296.3438
2000-07,2000-07-01,36.206,298.5169
2000-07,2000-07-01,36.206,299.2473
2000-08,2000-08-01,36.206,296.58466
2000-08,2000-08-01,36.206,298.9176
2000-08,2000-08-01,36.206,299.79877
2000-09,2000-09-01,36.206,293.35553
2000-09,2000-09-01,36.206,295.69745
2000-09,2000-09-01,36.206,296.55127
2000-10,2000-10-01,36.206,286.99072
2000-10,2000-10-01,36.206,289.14124
2000-10,2000-10-01,36.206,289.80786
2000-11,2000-11-01,36.206,281.50488
2000-11,2000-11-01,36.206,283.765
2000-11,2000-11-01,36.206,284.26544
2000-12,2000-12-01,36.206,276.32965
2000-12,2000-12-01,36.206,278.96997
2000-12,2000-12-01,36.206,279.21765
2001-01,2001-01-01,36.206,270.9616
2001-01,2001-01-01,36.206,273.8139
2001-01,2001-01-01,36.206,274.15295
2001-02,2001-02-01,36.206,273.0645
2001-02,2001-02-01,36.206,276.00146
2001-02,2001-02-01,36.206,276.5556
2001-03,2001-03-01,36.206,276.28583
2001-03,2001-03-01,36.206,279.54053
2001-03,2001-03-01,36.206,280.14105
2001-04,2001-04-01,36.206,283.36566
2001-04,2001-04-01,36.206,285.94653
2001-04,2001-04-01,36.206,286.7229
2001-05,2001-05-01,36.206,288.56665
2001-05,2001-05-01,36.206,290.81555
2001-05,2001-05-01,36.206,291.4544
2001-06,2001-06-01,36.206,292.24408
2001-06,2001-06-01,36.206,294.263
2001-06,2001-06-01,36.206,294.86823
2001-07,2001-07-01,36.206,297.36603
2001-07,2001-07-01,36.206,299.6446
2001-07,2001-07-01,36.206,300.56244
2001-08,2001-08-01,36.206,294.94745
2001-08,2001-08-01,36.206,297.15808
2001-08,2001-08-01,36.206,298.01813
2001-09,2001-09-01,36.206,291.76617
2001-09,2001-09-01,36.206,294.00128
2001-09,2001-09-01,36.206,294.83002
2001-10,2001-10-01,36.206,286.59918
2001-10,2001-10-01,36.206,288.8697
2001-10,2001-10-01,36.206,289.59784
2001-11,2001-11-01,36.206,280.51617
2001-11,2001-11-01,36.206,283.0371
2001-11,2001-11-01,36.206,283.4995
2001-12,2001-12-01,36.206,275.00977
2001-12,2001-12-01,36.206,278.23596
2001-12,2001-12-01,36.206,278.51923
2002-01,2002-01-01,36.206,273.4231
2002-01,2002-01-01,36.206,276.8824
2002-01,2002-01-01,36.206,277.37817
2002-02,2002-02-01,36.206,274.2577
2002-02,2002-02-01,36.206,277.62793
2002-02,2002-02-01,36.206,278.46204
2002-03,2002-03-01,36.206,279.49847
2002-03,2002-03-01,36.206,282.29437
2002-03,2002-03-01,36.206,282.81995
2002-04,2002-04-01,36.206,284.6145
2002-04,2002-04-01,36.206,286.81146
2002-04,2002-04-01,36.206,287.3205
2002-05,2002-05-01,36.206,287.39722
2002-05,2002-05-01,36.206,289.576
2002-05,2002-05-01,36.206,290.2093
2002-06,2002-06-01,36.206,290.64606
2002-06,2002-06-01,36.206,292.8299
2002-06,2002-06-01,36.206,293.60278
2002-07,2002-07-01,36.206,297.2483
2002-07,2002-07-01,36.206,299.20508
2002-07,2002-07-01,36.206,299.87433
2002-08,2002-08-01,36.206,296.43384
2002-08,2002-08-01,36.206,298.76642
2002-08,2002-08-01,36.206,299.75256
2002-09,2002-09-01,36.206,291.57196
2002-09,2002-09-01,36.206,293.81244
2002-09,2002-09-01,36.206,294.63287
2002-10,2002-10-01,36.206,286.74628
2002-10,2002-10-01,36.206,289.1676
2002-10,2002-10-01,36.206,289.84143
2002-11,2002-11-01,36.206,278.7292
2002-11,2002-11-01,36.206,281.32904
2002-11,2002-11-01,36.206,281.58234
2002-12,2002-12-01,36.206,273.9334
2002-12,2002-12-01,36.206,276.92523
2002-12,2002-12-01,36.206,277.39703
2003-01,2003-01-01,36.206,271.35095
2003-01,2003-01-01,36.206,274.76514
2003-01,2003-01-01,36.206,275.6527
2003-02,2003-02-01,36.206,273.3692
2003-02,2003-02-01,36.206,276.40894
2003-02,2003-02-01,36.206,277.1795
2003-03,2003-03-01,36.206,275.77533
2003-03,2003-03-01,36.206,278.97168
2003-03,2003-03-01,36.206,279.63074
2003-04,2003-04-01,36.206,283.1482
2003-04,2003-04-01,36.206,285.62628
2003-04,2003-04-01,36.206,286.174
2003-05,2003-05-01,36.206,287.89868
2003-05,2003-05-01,36.206,289.998
2003-05,2003-05-01,36.206,290.67474
2003-06,2003-06-01,36.206,292.08014
2003-06,2003-06-01,36.206,294.18726
2003-06,2003-06-01,36.206,294.8891
2003-07,2003-07-01,36.206,292.5199
2003-07,2003-07-01,36.206,294.26636
2003-07,2003-07-01,36.206,294.88678
2003-08,2003-08-01,36.206,295.53802
2003-08,2003-08-01,36.206,297.32843
2003-08,2003-08-01,36.206,297.91815
2003-09,2003-09-01,36.206,292.91278
2003-09,2003-09-01,36.206,294.99298
2003-09,2003-09-01,36.206,295.7058
2003-10,2003-10-01,36.206,285.69684
2003-10,2003-10-01,36.206,288.06763
2003-10,2003-10-01,36.206,288.74878
2003-11,2003-11-01,36.206,282.97815
2003-11,2003-11-01,36.206,285.23376
2003-11,2003-11-01,36.206,285.76044
2003-12,2003-12-01,36.206,276.12946
2003-12,2003-12-01,36.206,278.7787
2003-12,2003-12-01,36.206,279.01343
2004-01,2004-01-01,36.206,272.80627
2004-01,2004-01-01,36.206,275.96375
2004-01,2004-01-01,36.206,276.6776
2004-02,2004-02-01,36.206,275.4583
2004-02,2004-02-01,36.206,278.6137
2004-02,2004-02-01,36.206,279.01892
2004-03,2004-03-01,36.206,278.22632
2004-03,2004-03-01,36.206,280.64795
2004-03,2004-03-01,36.206,280.94067
2004-04,2004-04-01,36.206,285.16125
2004-04,2004-04-01,36.206,287.33417
2004-04,2004-04-01,36.206,287.65472
2004-05,2004-05-01,36.206,289.0567
2004-05,2004-05-01,36.206,291.0124
2004-05,2004-05-01,36.206,291.57373
2004-06,2004-06-01,36.206,293.1385
2004-06,2004-06-01,36.206,295.06543
2004-06,2004-06-01,36.206,295.63068
2004-07,2004-07-01,36.206,297.17493
2004-07,2004-07-01,36.206,299.34753
2004-07,2004-07-01,36.206,300.11877
2004-08,2004-08-01,36.206,295.74725
2004-08,2004-08-01,36.206,298.01965
2004-08,2004-08-01,36.206,298.96796
2004-09,2004-09-01,36.206,293.53168
2004-09,2004-09-01,36.206,295.62842
2004-09,2004-09-01,36.206,296.5066
2004-10,2004-10-01,36.206,286.27875
2004-10,2004-10-01,36.206,288.45862
2004-10,2004-10-01,36.206,289.08142
2004-11,2004-11-01,36.206,283.0852
2004-11,2004-11-01,36.206,285.50653
2004-11,2004-11-01,36.206,286.06396
2004-12,2004-12-01,36.206,277.43988
2004-12,2004-12-01,36.206,279.85382
2004-12,2004-12-01,36.206,280.06262
2005-01,2005-01-01,36.206,273.93732
2005-01,2005-01-01,36.206,276.35895
2005-01,2005-01-01,36.206,276.354
2005-02,2005-02-01,36.206,274.43048
2005-02,2005-02-01,36.206,276.96722
2005-02,2005-02-01,36.206,276.98224
2005-03,2005-03-01,36.206,277.0813
2005-03,2005-03-01,36.206,279.4369
2005-03,2005-03-01,36.206,279.7176
2005-04,2005-04-01,36.206,284.4472
2005-04,2005-04-01,36.206,286.476
2005-04,2005-04-01,36.206,286.69592
2005-05,2005-05-01,36.206,287.18982
2005-05,2005-05-01,36.206,289.25067
2005-05,2005-05-01,36.206,289.86133
2005-06,2005-06-01,36.206,292.9328
2005-06,2005-06-01,36.206,295.047
2005-06,2005-06-01,36.206,295.69122
2005-07,2005-07-01,36.206,295.20984
2005-07,2005-07-01,36.206,296.99414
2005-07,2005-07-01,36.206,297.55707
2005-08,2005-08-01,36.206,296.89374
2005-08,2005-08-01,36.206,299.05322
2005-08,2005-08-01,36.206,299.80157
2005-09,2005-09-01,36.206,293.61353
2005-09,2005-09-01,36.206,295.71307
2005-09,2005-09-01,36.206,296.4809
2005-10,2005-10-01,36.206,287.80774
2005-10,2005-10-01,36.206,289.97668
2005-10,2005-10-01,36.206,290.69287
2005-11,2005-11-01,36.206,280.68213
2005-11,2005-11-01,36.206,283.17548
2005-11,2005-11-01,36.206,283.5578
2005-12,2005-12-01,36.206,273.76447
2005-12,2005-12-01,36.206,276.45355
2005-12,2005-12-01,36.206,276.6422
2006-01,2006-01-01,36.206,273.72186
2006-01,2006-01-01,36.206,276.24896
2006-01,2006-01-01,36.206,276.46857
2006-02,2006-02-01,36.206,275.32513
2006-02,2006-02-01,36.206,277.92657
2006-02,2006-02-01,36.206,278.04822
2006-03,2006-03-01,36.206,277.84406
2006-03,2006-03-01,36.206,280.36963
2006-03,2006-03-01,36.206,280.78314
2006-04,2006-04-01,36.206,282.6864
2006-04,2006-04-01,36.206,285.05432
2006-04,2006-04-01,36.206,285.42993
2006-05,2006-05-01,36.206,288.351
2006-05,2006-05-01,36.206,290.3125
2006-05,2006-05-01,36.206,290.76575
2006-06,2006-06-01,36.206,291.86945
2006-06,2006-06-01,36.206,293.86188
2006-06,2006-06-01,36.206,294.5407
2006-07,2006-07-01,36.206,294.92273
2006-07,2006-07-01,36.206,296.74506
2006-07,2006-07-01,36.206,297.3105
2006-08,2006-08-01,36.206,296.79993
2006-08,2006-08-01,36.206,298.86456
2006-08,2006-08-01,36.206,299.49774
2006-09,2006-09-01,36.206,292.2165
2006-09,2006-09-01,36.206,294.47803
2006-09,2006-09-01,36.206,295.32867
2006-10,2006-10-01,36.206,288.14526
2006-10,2006-10-01,36.206,290.4405
2006-10,2006-10-01,36.206,291.03888
2006-11,2006-11-01,36.206,282.10358
2006-11,2006-11-01,36.206,284.60645
2006-11,2006-11-01,36.206,285.12012
2006-12,2006-12-01,36.206,277.0929
2006-12,2006-12-01,36.206,279.6667
2006-12,2006-12-01,36.206,279.89642
2007-01,2007-01-01,36.206,275.51428
2007-01,2007-01-01,36.206,277.93396
2007-01,2007-01-01,36.206,278.0736
2007-02,2007-02-01,36.206,276.62476
2007-02,2007-02-01,36.206,278.9146
2007-02,2007-02-01,36.206,279.11346
2007-03,2007-03-01,36.206,278.6582
2007-03,2007-03-01,36.206,281.07227
2007-03,2007-03-01,36.206,281.46362
2007-04,2007-04-01,36.206,282.33643
2007-04,2007-04-01,36.206,284.58698
2007-04,2007-04-01,36.206,285.06903
2007-05,2007-05-01,36.206,288.32532
2007-05,2007-05-01,36.206,290.38873
2007-05,2007-05-01,36.206,290.9616
2007-06,2007-06-01,36.206,291.90765
2007-06,2007-06-01,36.206,294.1513
2007-06,2007-06-01,36.206,295.0006
2007-07,2007-07-01,36.206,293.72412
2007-07,2007-07-01,36.206,295.51733
2007-07,2007-07-01,36.206,296.14868
2007-08,2007-08-01,36.206,297.4308
2007-08,2007-08-01,36.206,299.68982
2007-08,2007-08-01,36.206,300.63562
2007-09,2007-09-01,36.206,294.1383
2007-09,2007-09-01,36.206,296.12372
2007-09,2007-09-01,36.206,296.85986
2007-10,2007-10-01,36.206,287.06433
2007-10,2007-10-01,36.206,289.37445
