valid_time,time,latitude,t2m
2000-01,2000-01-01,39.747,266.1051
2000-01,2000-01-01,39.747,265.23206
2000-01,2000-01-01,39.747,264.44257
2000-01,2000-01-01,39.497,267.0334
2000-01,2000-01-01,39.497,266.7119
2000-01,2000-01-01,39.497,266.30005
2000-02,2000-02-01,39.747,271.30713
2000-02,2000-02-01,39.747,270.826
2000-02,2000-02-01,39.747,270.50778
2000-02,2000-02-01,39.497,271.70392
2000-02,2000-02-01,39.497,271.4599
2000-02,2000-02-01,39.497,271.27765
2000-03,2000-03-01,39.747,280.35266
2000-03,2000-03-01,39.747,279.80258
2000-03,2000-03-01,39.747,279.34152
2000-03,2000-03-01,39.497,280.81522
2000-03,2000-03-01,39.497,280.47092
2000-03,2000-03-01,39.497,280.29825
2000-04,2000-04-01,39.747,287.65863
2000-04,2000-04-01,39.747,287.03467
2000-04,2000-04-01,39.747,286.51468
2000-04,2000-04-01,39.497,288.0331
2000-04,2000-04-01,39.497,287.62262
2000-04,2000-04-01,39.497,287.38043
2000-05,2000-05-01,39.747,293.53137
2000-05,2000-05-01,39.747,293.00247
2000-05,2000-05-01,39.747,292.52658
2000-05,2000-05-01,39.497,293.0615
2000-05,2000-05-01,39.497,292.76993
2000-05,2000-05-01,39.497,292.7063
2000-06,2000-06-01,39.747,299.56784
2000-06,2000-06-01,39.747,299.01004
2000-06,2000-06-01,39.747,298.54303
2000-06,2000-06-01,39.497,299.3294
2000-06,2000-06-01,39.497,299.09784
2000-06,2000-06-01,39.497,299.14716
2000-07,2000-07-01,39.747,302.18243
2000-07,2000-07-01,39.747,301.80273
2000-07,2000-07-01,39.747,301.42365
2000-07,2000-07-01,39.497,302.27448
2000-07,2000-07-01,39.497,302.1533
2000-07,2000-07-01,39.497,302.15872
2000-08,2000-08-01,39.747,299.1698
2000-08,2000-08-01,39.747,298.99835
2000-08,2000-08-01,39.747,298.90857
2000-08,2000-08-01,39.497,299.42908
2000-08,2000-08-01,39.497,299.46912
2000-08,2000-08-01,39.497,299.66565
2000-09,2000-09-01,39.747,295.08304
2000-09,2000-09-01,39.747,294.8308
2000-09,2000-09-01,39.747,294.52136
2000-09,2000-09-01,39.497,295.52985
2000-09,2000-09-01,39.497,295.43042
2000-09,2000-09-01,39.497,295.34882
2000-10,2000-10-01,39.747,285.81955
2000-10,2000-10-01,39.747,285.55344
2000-10,2000-10-01,39.747,285.37933
2000-10,2000-10-01,39.497,286.5122
2000-10,2000-10-01,39.497,286.45364
2000-10,2000-10-01,39.497,286.26593
2000-11,2000-11-01,39.747,275.96976
2000-11,2000-11-01,39.747,275.83926
2000-11,2000-11-01,39.747,275.7713
2000-11,2000-11-01,39.497,276.89673
2000-11,2000-11-01,39.497,276.93027
2000-11,2000-11-01,39.497,276.8068
2000-12,2000-12-01,39.747,271.41565
2000-12,2000-12-01,39.747,271.22202
2000-12,2000-12-01,39.747,271.13556
2000-12,2000-12-01,39.497,272.43585
2000-12,2000-12-01,39.497,272.33276
2000-12,2000-12-01,39.497,272.0689
2001-01,2001-01-01,39.747,267.5318
2001-01,2001-01-01,39.747,267.07684
2001-01,2001-01-01,39.747,266.75537
2001-01,2001-01-01,39.497,268.1808
2001-01,2001-01-01,39.497,267.90305
2001-01,2001-01-01,39.497,267.5509
2001-02,2001-02-01,39.747,271.6544
2001-02,2001-02-01,39.747,271.23526
2001-02,2001-02-01,39.747,270.89932
2001-02,2001-02-01,39.497,271.92548
2001-02,2001-02-01,39.497,271.6448
2001-02,2001-02-01,39.497,271.39606
2001-03,2001-03-01,39.747,279.23508
2001-03,2001-03-01,39.747,278.7948
2001-03,2001-03-01,39.747,278.42404
2001-03,2001-03-01,39.497,279.7614
2001-03,2001-03-01,39.497,279.49646
2001-03,2001-03-01,39.497,279.41232
2001-04,2001-04-01,39.747,287.76315
2001-04,2001-04-01,39.747,287.2837
2001-04,2001-04-01,39.747,286.8452
2001-04,2001-04-01,39.497,287.51135
2001-04,2001-04-01,39.497,287.24805
2001-04,2001-04-01,39.497,287.27585
2001-05,2001-05-01,39.747,295.96918
2001-05,2001-05-01,39.747,295.42755
2001-05,2001-05-01,39.747,294.9228
2001-05,2001-05-01,39.497,295.56577
2001-05,2001-05-01,39.497,295.25476
2001-05,2001-05-01,39.497,295.33917
2001-06,2001-06-01,39.747,298.87677
2001-06,2001-06-01,39.747,298.39078
2001-06,2001-06-01,39.747,297.98462
2001-06,2001-06-01,39.497,298.82275
2001-06,2001-06-01,39.497,298.5722
2001-06,2001-06-01,39.497,298.56506
2001-07,2001-07-01,39.747,299.78885
2001-07,2001-07-01,39.747,299.50012
2001-07,2001-07-01,39.747,299.32574
2001-07,2001-07-01,39.497,300.10587
2001-07,2001-07-01,39.497,299.85648
2001-07,2001-07-01,39.497,299.79108
2001-08,2001-08-01,39.747,298.39606
2001-08,2001-08-01,39.747,298.1166
2001-08,2001-08-01,39.747,297.9615
2001-08,2001-08-01,39.497,298.63702
2001-08,2001-08-01,39.497,298.4618
2001-08,2001-08-01,39.497,298.3979
2001-09,2001-09-01,39.747,293.59662
2001-09,2001-09-01,39.747,293.27847
2001-09,2001-09-01,39.747,293.04214
2001-09,2001-09-01,39.497,294.41666
2001-09,2001-09-01,39.497,294.2338
2001-09,2001-09-01,39.497,293.97046
2001-10,2001-10-01,39.747,287.2242
2001-10,2001-10-01,39.747,287.0055
2001-10,2001-10-01,39.747,286.80185
2001-10,2001-10-01,39.497,287.93524
2001-10,2001-10-01,39.497,287.85757
2001-10,2001-10-01,39.497,287.63098
2001-11,2001-11-01,39.747,277.27112
2001-11,2001-11-01,39.747,277.20593
2001-11,2001-11-01,39.747,277.193
2001-11,2001-11-01,39.497,278.15417
2001-11,2001-11-01,39.497,278.11694
2001-11,2001-11-01,39.497,277.89758
2001-12,2001-12-01,39.747,269.7186
2001-12,2001-12-01,39.747,269.53076
2001-12,2001-12-01,39.747,269.51324
2001-12,2001-12-01,39.497,270.40317
2001-12,2001-12-01,39.497,270.2682
2001-12,2001-12-01,39.497,270.00345
2002-01,2002-01-01,39.747,272.57056
2002-01,2002-01-01,39.747,272.3409
2002-01,2002-01-01,39.747,272.20786
2002-01,2002-01-01,39.497,273.25482
2002-01,2002-01-01,39.497,273.03995
2002-01,2002-01-01,39.497,272.66714
2002-02,2002-02-01,39.747,275.57748
2002-02,2002-02-01,39.747,275.3709
2002-02,2002-02-01,39.747,275.19635
2002-02,2002-02-01,39.497,276.50308
2002-02,2002-02-01,39.497,276.26328
2002-02,2002-02-01,39.497,275.91583
2002-03,2002-03-01,39.747,282.3365
2002-03,2002-03-01,39.747,282.01614
2002-03,2002-03-01,39.747,281.78754
2002-03,2002-03-01,39.497,282.94638
2002-03,2002-03-01,39.497,282.65656
2002-03,2002-03-01,39.497,282.42404
2002-04,2002-04-01,39.747,287.40475
2002-04,2002-04-01,39.747,287.04114
2002-04,2002-04-01,39.747,286.76376
2002-04,2002-04-01,39.497,287.70123
2002-04,2002-04-01,39.497,287.47766
2002-04,2002-04-01,39.497,287.3362
2002-05,2002-05-01,39.747,295.04742
2002-05,2002-05-01,39.747,294.51508
2002-05,2002-05-01,39.747,294.03723
2002-05,2002-05-01,39.497,294.7359
2002-05,2002-05-01,39.497,294.36533
2002-05,2002-05-01,39.497,294.21198
2002-06,2002-06-01,39.747,296.8869
2002-06,2002-06-01,39.747,296.4525
2002-06,2002-06-01,39.747,296.07993
2002-06,2002-06-01,39.497,296.78702
2002-06,2002-06-01,39.497,296.5846
2002-06,2002-06-01,39.497,296.56085
2002-07,2002-07-01,39.747,300.4629
2002-07,2002-07-01,39.747,300.21664
2002-07,2002-07-01,39.747,300.02774
2002-07,2002-07-01,39.497,300.4841
2002-07,2002-07-01,39.497,300.4663
2002-07,2002-07-01,39.497,300.57916
2002-08,2002-08-01,39.747,298.81
2002-08,2002-08-01,39.747,298.5749
2002-08,2002-08-01,39.747,298.42444
2002-08,2002-08-01,39.497,299.16516
2002-08,2002-08-01,39.497,299.1293
2002-08,2002-08-01,39.497,299.08615
2002-09,2002-09-01,39.747,293.753
2002-09,2002-09-01,39.747,293.7563
2002-09,2002-09-01,39.747,293.77148
2002-09,2002-09-01,39.497,294.44754
2002-09,2002-09-01,39.497,294.60873
2002-09,2002-09-01,39.497,294.6402
2002-10,2002-10-01,39.747,284.09082
2002-10,2002-10-01,39.747,283.95813
2002-10,2002-10-01,39.747,283.8424
2002-10,2002-10-01,39.497,284.79443
2002-10,2002-10-01,39.497,284.7481
2002-10,2002-10-01,39.497,284.51965
2002-11,2002-11-01,39.747,275.28067
2002-11,2002-11-01,39.747,275.15353
2002-11,2002-11-01,39.747,275.14117
2002-11,2002-11-01,39.497,276.14978
2002-11,2002-11-01,39.497,276.0604
2002-11,2002-11-01,39.497,275.78848
2002-12,2002-12-01,39.747,269.9551
2002-12,2002-12-01,39.747,269.71225
2002-12,2002-12-01,39.747,269.57504
2002-12,2002-12-01,39.497,270.62988
2002-12,2002-12-01,39.497,270.47363
2002-12,2002-12-01,39.497,270.1787
2003-01,2003-01-01,39.747,269.27484
2003-01,2003-01-01,39.747,268.99304
2003-01,2003-01-01,39.747,268.83014
2003-01,2003-01-01,39.497,269.71545
2003-01,2003-01-01,39.497,269.5543
2003-01,2003-01-01,39.497,269.27698
2003-02,2003-02-01,39.747,273.65735
2003-02,2003-02-01,39.747,273.35925
2003-02,2003-02-01,39.747,273.08905
2003-02,2003-02-01,39.497,273.95312
2003-02,2003-02-01,39.497,273.6917
2003-02,2003-02-01,39.497,273.34015
2003-03,2003-03-01,39.747,278.94406
2003-03,2003-03-01,39.747,278.66608
2003-03,2003-03-01,39.747,278.42496
2003-03,2003-03-01,39.497,279.17993
2003-03,2003-03-01,39.497,279.0043
2003-03,2003-03-01,39.497,278.843
2003-04,2003-04-01,39.747,288.5445
2003-04,2003-04-01,39.747,288.20605
2003-04,2003-04-01,39.747,287.88916
2003-04,2003-04-01,39.497,288.6611
2003-04,2003-04-01,39.497,288.42432
2003-04,2003-04-01,39.497,288.29572
2003-05,2003-05-01,39.747,294.57074
2003-05,2003-05-01,39.747,294.20984
2003-05,2003-05-01,39.747,293.86
2003-05,2003-05-01,39.497,294.33527
2003-05,2003-05-01,39.497,294.09433
2003-05,2003-05-01,39.497,294.04767
2003-06,2003-06-01,39.747,297.2166
2003-06,2003-06-01,39.747,296.8205
2003-06,2003-06-01,39.747,296.47937
2003-06,2003-06-01,39.497,297.4188
2003-06,2003-06-01,39.497,297.181
2003-06,2003-06-01,39.497,297.09964
2003-07,2003-07-01,39.747,298.69653
2003-07,2003-07-01,39.747,298.43048
2003-07,2003-07-01,39.747,298.26413
2003-07,2003-07-01,39.497,299.04346
2003-07,2003-07-01,39.497,298.96088
2003-07,2003-07-01,39.497,298.9893
2003-08,2003-08-01,39.747,298.56567
2003-08,2003-08-01,39.747,298.23874
2003-08,2003-08-01,39.747,298.05194
2003-08,2003-08-01,39.497,298.87518
2003-08,2003-08-01,39.497,298.71918
2003-08,2003-08-01,39.497,298.59943
2003-09,2003-09-01,39.747,293.68353
2003-09,2003-09-01,39.747,293.5183
2003-09,2003-09-01,39.747,293.45154
2003-09,2003-09-01,39.497,294.12936
2003-09,2003-09-01,39.497,294.14853
2003-09,2003-09-01,39.497,294.12225
