valid_time,time,latitude,t2m
2000-01,2000-01-01,41.36,275.21744
2000-01,2000-01-01,41.36,274.48575
2000-01,2000-01-01,41.11,276.11093
2000-01,2000-01-01,41.11,275.57602
2000-02,2000-02-01,41.36,275.05762
2000-02,2000-02-01,41.36,273.9052
2000-02,2000-02-01,41.11,275.82773
2000-02,2000-02-01,41.11,274.85767
2000-03,2000-03-01,41.36,281.68814
2000-03,2000-03-01,41.36,280.72812
2000-03,2000-03-01,41.11,282.36273
2000-03,2000-03-01,41.11,281.4973
2000-04,2000-04-01,41.36,291.5222
2000-04,2000-04-01,41.36,290.38477
2000-04,2000-04-01,41.11,292.1921
2000-04,2000-04-01,41.11,291.14615
2000-05,2000-05-01,41.36,295.5539
2000-05,2000-05-01,41.36,294.33362
2000-05,2000-05-01,41.11,296.39526
2000-05,2000-05-01,41.11,295.28265
2000-06,2000-06-01,41.36,299.7998
2000-06,2000-06-01,41.36,298.39246
2000-06,2000-06-01,41.11,300.43726
2000-06,2000-06-01,41.11,299.1488
2000-07,2000-07-01,41.36,302.08902
2000-07,2000-07-01,41.36,300.74976
2000-07,2000-07-01,41.11,302.4801
2000-07,2000-07-01,41.11,301.27277
2000-08,2000-08-01,41.36,300.89096
2000-08,2000-08-01,41.36,299.52493
2000-08,2000-08-01,41.11,301.1417
2000-08,2000-08-01,41.11,299.91312
2000-09,2000-09-01,41.36,294.79276
2000-09,2000-09-01,41.36,293.68094
2000-09,2000-09-01,41.11,295.31326
2000-09,2000-09-01,41.11,294.29074
2000-10,2000-10-01,41.36,284.73685
2000-10,2000-10-01,41.36,284.20334
2000-10,2000-10-01,41.11,285.29932
2000-10,2000-10-01,41.11,284.84326
2000-11,2000-11-01,41.36,279.05728
2000-11,2000-11-01,41.36,278.40762
2000-11,2000-11-01,41.11,279.6437
2000-11,2000-11-01,41.11,279.09924
2000-12,2000-12-01,41.36,277.22464
2000-12,2000-12-01,41.36,276.64862
2000-12,2000-12-01,41.11,277.82172
2000-12,2000-12-01,41.11,277.37436
2001-01,2001-01-01,41.36,271.3202
2001-01,2001-01-01,41.36,270.74753
2001-01,2001-01-01,41.11,271.74567
2001-01,2001-01-01,41.11,271.29684
2001-02,2001-02-01,41.36,276.9176
2001-02,2001-02-01,41.36,275.94254
2001-02,2001-02-01,41.11,277.7091
2001-02,2001-02-01,41.11,276.87637
2001-03,2001-03-01,41.36,283.80527
2001-03,2001-03-01,41.36,283.0463
2001-03,2001-03-01,41.11,284.4636
2001-03,2001-03-01,41.11,283.80252
2001-04,2001-04-01,41.36,289.5501
2001-04,2001-04-01,41.36,288.79276
2001-04,2001-04-01,41.11,290.263
2001-04,2001-04-01,41.11,289.58914
2001-05,2001-05-01,41.36,298.02173
2001-05,2001-05-01,41.36,296.8318
2001-05,2001-05-01,41.11,298.86755
2001-05,2001-05-01,41.11,297.80298
2001-06,2001-06-01,41.36,301.5728
2001-06,2001-06-01,41.36,300.28046
2001-06,2001-06-01,41.11,302.21176
2001-06,2001-06-01,41.11,301.08252
2001-07,2001-07-01,41.36,300.28876
2001-07,2001-07-01,41.36,299.07584
2001-07,2001-07-01,41.11,300.80988
2001-07,2001-07-01,41.11,299.71075
2001-08,2001-08-01,41.36,299.14664
2001-08,2001-08-01,41.36,297.9347
2001-08,2001-08-01,41.11,299.44724
2001-08,2001-08-01,41.11,298.35028
2001-09,2001-09-01,41.36,292.94537
2001-09,2001-09-01,41.36,291.79413
2001-09,2001-09-01,41.11,293.3496
2001-09,2001-09-01,41.11,292.31964
2001-10,2001-10-01,41.36,285.74146
2001-10,2001-10-01,41.36,285.3877
2001-10,2001-10-01,41.11,286.37375
2001-10,2001-10-01,41.11,286.08966
2001-11,2001-11-01,41.36,282.29474
2001-11,2001-11-01,41.36,281.96393
2001-11,2001-11-01,41.11,282.9525
2001-11,2001-11-01,41.11,282.71045
2001-12,2001-12-01,41.36,276.46915
2001-12,2001-12-01,41.36,275.97244
2001-12,2001-12-01,41.11,277.2246
2001-12,2001-12-01,41.11,276.85425
2002-01,2002-01-01,41.36,276.28824
2002-01,2002-01-01,41.36,275.3004
2002-01,2002-01-01,41.11,276.83102
2002-01,2002-01-01,41.11,276.0082
2002-02,2002-02-01,41.36,277.12222
2002-02,2002-02-01,41.36,276.35437
2002-02,2002-02-01,41.11,278.1286
2002-02,2002-02-01,41.11,277.48526
2002-03,2002-03-01,41.36,283.73907
2002-03,2002-03-01,41.36,283.0123
2002-03,2002-03-01,41.11,284.41855
2002-03,2002-03-01,41.11,283.79782
2002-04,2002-04-01,41.36,287.1512
2002-04,2002-04-01,41.36,286.60184
2002-04,2002-04-01,41.11,287.71918
2002-04,2002-04-01,41.11,287.2331
2002-05,2002-05-01,41.36,292.0656
2002-05,2002-05-01,41.36,291.3342
2002-05,2002-05-01,41.11,292.64355
2002-05,2002-05-01,41.11,291.99304
2002-06,2002-06-01,41.36,297.51352
2002-06,2002-06-01,41.36,296.65237
2002-06,2002-06-01,41.11,298.10123
2002-06,2002-06-01,41.11,297.38843
2002-07,2002-07-01,41.36,300.32712
2002-07,2002-07-01,41.36,299.4114
2002-07,2002-07-01,41.11,300.66498
2002-07,2002-07-01,41.11,299.8658
2002-08,2002-08-01,41.36,299.74164
2002-08,2002-08-01,41.36,298.80292
2002-08,2002-08-01,41.11,299.65546
2002-08,2002-08-01,41.11,298.84985
2002-09,2002-09-01,41.36,294.71185
2002-09,2002-09-01,41.36,293.8703
2002-09,2002-09-01,41.11,294.58777
2002-09,2002-09-01,41.11,293.83392
2002-10,2002-10-01,41.36,289.95
2002-10,2002-10-01,41.36,289.2634
2002-10,2002-10-01,41.11,290.10327
2002-10,2002-10-01,41.11,289.48267
2002-11,2002-11-01,41.36,282.60052
2002-11,2002-11-01,41.36,282.13443
2002-11,2002-11-01,41.11,282.94598
2002-11,2002-11-01,41.11,282.5389
2002-12,2002-12-01,41.36,270.29736
2002-12,2002-12-01,41.36,270.29034
2002-12,2002-12-01,41.11,270.11145
2002-12,2002-12-01,41.11,270.31433
2003-01,2003-01-01,41.36,276.88324
2003-01,2003-01-01,41.36,276.62234
2003-01,2003-01-01,41.11,277.36005
2003-01,2003-01-01,41.11,277.27692
2003-02,2003-02-01,41.36,277.27597
2003-02,2003-02-01,41.36,276.57288
2003-02,2003-02-01,41.11,278.08734
2003-02,2003-02-01,41.11,277.50723
2003-03,2003-03-01,41.36,281.22644
2003-03,2003-03-01,41.36,280.51367
2003-03,2003-03-01,41.11,281.8099
2003-03,2003-03-01,41.11,281.20645
2003-04,2003-04-01,41.36,286.17194
2003-04,2003-04-01,41.36,285.48154
2003-04,2003-04-01,41.11,286.73218
2003-04,2003-04-01,41.11,286.1504
2003-05,2003-05-01,41.36,291.41632
2003-05,2003-05-01,41.36,290.59198
2003-05,2003-05-01,41.11,291.92328
2003-05,2003-05-01,41.11,291.19586
2003-06,2003-06-01,41.36,296.7971
2003-06,2003-06-01,41.36,296.00922
2003-06,2003-06-01,41.11,297.27173
2003-06,2003-06-01,41.11,296.60727
2003-07,2003-07-01,41.36,300.58554
2003-07,2003-07-01,41.36,299.6523
2003-07,2003-07-01,41.11,300.81036
2003-07,2003-07-01,41.11,300.0211
2003-08,2003-08-01,41.36,299.49518
2003-08,2003-08-01,41.36,298.46518
2003-08,2003-08-01,41.11,299.59232
2003-08,2003-08-01,41.11,298.68604
2003-09,2003-09-01,41.36,294.2854
2003-09,2003-09-01,41.36,293.37155
2003-09,2003-09-01,41.11,294.49466
2003-09,2003-09-01,41.11,293.6614
2003-10,2003-10-01,41.36,288.6218
2003-10,2003-10-01,41.36,287.96365
2003-10,2003-10-01,41.11,289.01114
2003-10,2003-10-01,41.11,288.44568
2003-11,2003-11-01,41.36,280.3841
2003-11,2003-11-01,41.36,279.6799
2003-11,2003-11-01,41.11,280.93152
2003-11,2003-11-01,41.11,280.3199
2003-12,2003-12-01,41.36,273.53662
2003-12,2003-12-01,41.36,273.21207
2003-12,2003-12-01,41.11,274.55872
2003-12,2003-12-01,41.11,274.31375
2004-01,2004-01-01,41.36,277.4636
2004-01,2004-01-01,41.36,276.77386
2004-01,2004-01-01,41.11,277.96902
2004-01,2004-01-01,41.11,277.39673
2004-02,2004-02-01,41.36,279.88647
2004-02,2004-02-01,41.36,279.26312
2004-02,2004-02-01,41.11,280.6276
2004-02,2004-02-01,41.11,280.12762
