valid_time,time,latitude,t2m
2000-01,2000-01-01,-7.182,294.98108
2000-01,2000-01-01,-7.182,296.23395
2000-01,2000-01-01,-7.432,296.1106
2000-01,2000-01-01,-7.432,297.38507
2000-02,2000-02-01,-7.182,295.36517
2000-02,2000-02-01,-7.182,296.63324
2000-02,2000-02-01,-7.432,296.4784
2000-02,2000-02-01,-7.432,297.76782
2000-03,2000-03-01,-7.182,295.39734
2000-03,2000-03-01,-7.182,296.59235
2000-03,2000-03-01,-7.432,296.46588
2000-03,2000-03-01,-7.432,297.6734
2000-04,2000-04-01,-7.182,295.5692
2000-04,2000-04-01,-7.182,296.79663
2000-04,2000-04-01,-7.432,296.59216
2000-04,2000-04-01,-7.432,297.82996
2000-05,2000-05-01,-7.182,295.86804
2000-05,2000-05-01,-7.182,297.0785
2000-05,2000-05-01,-7.432,296.71362
2000-05,2000-05-01,-7.432,297.96686
2000-06,2000-06-01,-7.182,295.0552
2000-06,2000-06-01,-7.182,296.03815
2000-06,2000-06-01,-7.432,295.79758
2000-06,2000-06-01,-7.432,296.85388
2000-07,2000-07-01,-7.182,295.12338
2000-07,2000-07-01,-7.182,295.9325
2000-07,2000-07-01,-7.432,295.4089
2000-07,2000-07-01,-7.432,296.44962
2000-08,2000-08-01,-7.182,294.1569
2000-08,2000-08-01,-7.182,294.95663
2000-08,2000-08-01,-7.432,294.29654
2000-08,2000-08-01,-7.432,295.3223
2000-09,2000-09-01,-7.182,294.75284
2000-09,2000-09-01,-7.182,295.7242
2000-09,2000-09-01,-7.432,295.11462
2000-09,2000-09-01,-7.432,296.22372
2000-10,2000-10-01,-7.182,295.26624
2000-10,2000-10-01,-7.182,296.32797
2000-10,2000-10-01,-7.432,295.82532
2000-10,2000-10-01,-7.432,297.01355
2000-11,2000-11-01,-7.182,295.35883
2000-11,2000-11-01,-7.182,296.411
2000-11,2000-11-01,-7.432,296.17337
2000-11,2000-11-01,-7.432,297.29324
2000-12,2000-12-01,-7.182,295.6694
2000-12,2000-12-01,-7.182,296.81537
2000-12,2000-12-01,-7.432,296.3862
2000-12,2000-12-01,-7.432,297.61725
2001-01,2001-01-01,-7.182,295.23285
2001-01,2001-01-01,-7.182,296.4046
2001-01,2001-01-01,-7.432,296.27032
2001-01,2001-01-01,-7.432,297.4602
2001-02,2001-02-01,-7.182,294.88483
2001-02,2001-02-01,-7.182,296.0985
2001-02,2001-02-01,-7.432,295.8772
2001-02,2001-02-01,-7.432,297.10632
2001-03,2001-03-01,-7.182,295.1756
2001-03,2001-03-01,-7.182,296.40784
2001-03,2001-03-01,-7.432,296.25378
2001-03,2001-03-01,-7.432,297.51532
2001-04,2001-04-01,-7.182,295.46448
2001-04,2001-04-01,-7.182,296.63348
2001-04,2001-04-01,-7.432,296.39282
2001-04,2001-04-01,-7.432,297.58893
2001-05,2001-05-01,-7.182,295.69318
2001-05,2001-05-01,-7.182,296.872
2001-05,2001-05-01,-7.432,296.5254
2001-05,2001-05-01,-7.432,297.70563
2001-06,2001-06-01,-7.182,294.943
2001-06,2001-06-01,-7.182,296.1537
2001-06,2001-06-01,-7.432,295.8053
2001-06,2001-06-01,-7.432,297.03027
2001-07,2001-07-01,-7.182,294.24615
2001-07,2001-07-01,-7.182,295.45905
2001-07,2001-07-01,-7.432,294.95126
2001-07,2001-07-01,-7.432,296.159
2001-08,2001-08-01,-7.182,294.18158
2001-08,2001-08-01,-7.182,295.13327
2001-08,2001-08-01,-7.432,294.51822
