valid_time,time,latitude,t2m
2000-01,2000-01-01,-6.817,299.38815
2000-01,2000-01-01,-6.817,299.29312
2000-01,2000-01-01,-7.067,298.21432
2000-01,2000-01-01,-7.067,297.89682
2000-02,2000-02-01,-6.817,299.57904
2000-02,2000-02-01,-6.817,299.49463
2000-02,2000-02-01,-7.067,298.56033
2000-02,2000-02-01,-7.067,298.25116
2000-03,2000-03-01,-6.817,299.8286
2000-03,2000-03-01,-6.817,299.77094
2000-03,2000-03-01,-7.067,298.62048
2000-03,2000-03-01,-7.067,298.3643
2000-04,2000-04-01,-6.817,300.1895
2000-04,2000-04-01,-6.817,300.13678
2000-04,2000-04-01,-7.067,298.90292
2000-04,2000-04-01,-7.067,298.67575
2000-05,2000-05-01,-6.817,300.50363
2000-05,2000-05-01,-6.817,300.45135
2000-05,2000-05-01,-7.067,299.23248
2000-05,2000-05-01,-7.067,299.05475
2000-06,2000-06-01,-6.817,299.67688
2000-06,2000-06-01,-6.817,299.72745
2000-06,2000-06-01,-7.067,298.1501
2000-06,2000-06-01,-7.067,298.06165
2000-07,2000-07-01,-6.817,299.88373
2000-07,2000-07-01,-6.817,299.83875
2000-07,2000-07-01,-7.067,298.39423
2000-07,2000-07-01,-7.067,298.23016
2000-08,2000-08-01,-6.817,299.45883
2000-08,2000-08-01,-6.817,299.4532
2000-08,2000-08-01,-7.067,297.7071
2000-08,2000-08-01,-7.067,297.57593
2000-09,2000-09-01,-6.817,300.27026
2000-09,2000-09-01,-6.817,300.2279
2000-09,2000-09-01,-7.067,298.4585
2000-09,2000-09-01,-7.067,298.24957
2000-10,2000-10-01,-6.817,300.45035
2000-10,2000-10-01,-6.817,300.28964
2000-10,2000-10-01,-7.067,298.83804
2000-10,2000-10-01,-7.067,298.52493
2000-11,2000-11-01,-6.817,299.7572
2000-11,2000-11-01,-6.817,299.6639
2000-11,2000-11-01,-7.067,298.40475
2000-11,2000-11-01,-7.067,298.16116
2000-12,2000-12-01,-6.817,300.2802
2000-12,2000-12-01,-6.817,300.284
2000-12,2000-12-01,-7.067,298.84796
2000-12,2000-12-01,-7.067,298.64093
2001-01,2001-01-01,-6.817,299.6277
2001-01,2001-01-01,-6.817,299.55338
