valid_time,time,latitude,t2m
2000-01,2000-01-01,35.729,274.23853
2000-01,2000-01-01,35.729,273.02368
2000-01,2000-01-01,35.729,270.89465
2000-01,2000-01-01,35.729,269.76807
2000-01,2000-01-01,35.479,275.91064
2000-01,2000-01-01,35.479,276.2671
2000-01,2000-01-01,35.479,276.34253
2000-01,2000-01-01,35.479,276.18335
2000-02,2000-02-01,35.729,274.59277
2000-02,2000-02-01,35.729,273.56238
2000-02,2000-02-01,35.729,271.56958
2000-02,2000-02-01,35.729,270.41748
2000-02,2000-02-01,35.479,276.79968
2000-02,2000-02-01,35.479,277.35876
2000-02,2000-02-01,35.479,277.53418
2000-02,2000-02-01,35.479,277.48767
2000-03,2000-03-01,35.729,281.04773
2000-03,2000-03-01,35.729,279.80298
2000-03,2000-03-01,35.729,277.75806
2000-03,2000-03-01,35.729,276.3811
2000-03,2000-03-01,35.479,283.44568
2000-03,2000-03-01,35.479,283.5144
2000-03,2000-03-01,35.479,283.42493
2000-03,2000-03-01,35.479,283.2124
2000-04,2000-04-01,35.729,291.07837
2000-04,2000-04-01,35.729,290.20886
2000-04,2000-04-01,35.729,288.68518
2000-04,2000-04-01,35.729,287.443
2000-04,2000-04-01,35.479,293.3109
2000-04,2000-04-01,35.479,293.79102
2000-04,2000-04-01,35.479,293.7926
2000-04,2000-04-01,35.479,293.46838
2000-05,2000-05-01,35.729,295.92102
2000-05,2000-05-01,35.729,295.6411
2000-05,2000-05-01,35.729,294.76135
2000-05,2000-05-01,35.729,293.5901
2000-05,2000-05-01,35.479,298.0376
2000-05,2000-05-01,35.479,298.8484
2000-05,2000-05-01,35.479,299.14734
2000-05,2000-05-01,35.479,298.83118
2000-06,2000-06-01,35.729,299.265
2000-06,2000-06-01,35.729,299.06555
2000-06,2000-06-01,35.729,298.1178
2000-06,2000-06-01,35.729,296.79468
2000-06,2000-06-01,35.479,300.9944
2000-06,2000-06-01,35.479,301.95178
2000-06,2000-06-01,35.479,302.46313
2000-06,2000-06-01,35.479,302.2047
2000-07,2000-07-01,35.729,302.12866
2000-07,2000-07-01,35.729,301.66406
2000-07,2000-07-01,35.729,300.46594
2000-07,2000-07-01,35.729,299.03735
2000-07,2000-07-01,35.479,303.84363
2000-07,2000-07-01,35.479,304.48462
2000-07,2000-07-01,35.479,304.65344
2000-07,2000-07-01,35.479,304.2621
2000-08,2000-08-01,35.729,301.8744
2000-08,2000-08-01,35.729,301.40784
2000-08,2000-08-01,35.729,300.41663
2000-08,2000-08-01,35.729,299.05615
2000-08,2000-08-01,35.479,303.61987
2000-08,2000-08-01,35.479,304.22754
2000-08,2000-08-01,35.479,304.4419
2000-08,2000-08-01,35.479,304.0536
2000-09,2000-09-01,35.729,297.1682
2000-09,2000-09-01,35.729,296.9193
2000-09,2000-09-01,35.729,296.177
2000-09,2000-09-01,35.729,295.05054
2000-09,2000-09-01,35.479,298.92236
2000-09,2000-09-01,35.479,299.7235
2000-09,2000-09-01,35.479,300.13306
2000-09,2000-09-01,35.479,299.90112
2000-10,2000-10-01,35.729,287.38538
