valid_time,time,latitude,t2m
2000-01,2000-01-01,32.095,286.2033
2000-01,2000-01-01,32.095,284.09906
2000-01,2000-01-01,31.845,285.70074
2000-01,2000-01-01,31.845,283.86377
2000-02,2000-02-01,32.095,286.78668
2000-02,2000-02-01,32.095,284.85144
2000-02,2000-02-01,31.845,286.25726
2000-02,2000-02-01,31.845,284.57025
2000-03,2000-03-01,32.095,287.83264
2000-03,2000-03-01,32.095,286.38312
2000-03,2000-03-01,31.845,287.3978
2000-03,2000-03-01,31.845,286.2121
2000-04,2000-04-01,32.095,292.48413
2000-04,2000-04-01,32.095,292.2126
2000-04,2000-04-01,31.845,292.54114
2000-04,2000-04-01,31.845,292.51285
2000-05,2000-05-01,32.095,294.33838
2000-05,2000-05-01,32.095,294.15054
2000-05,2000-05-01,31.845,294.4332
2000-05,2000-05-01,31.845,294.36926
2000-06,2000-06-01,32.095,297.85913
2000-06,2000-06-01,32.095,297.78372
2000-06,2000-06-01,31.845,297.89243
2000-06,2000-06-01,31.845,297.93588
2000-07,2000-07-01,32.095,300.5903
2000-07,2000-07-01,32.095,300.693
2000-07,2000-07-01,31.845,300.68964
2000-07,2000-07-01,31.845,300.9659
2000-08,2000-08-01,32.095,299.93878
2000-08,2000-08-01,32.095,299.52594
2000-08,2000-08-01,31.845,299.90854
2000-08,2000-08-01,31.845,299.5091
2000-09,2000-09-01,32.095,298.7672
2000-09,2000-09-01,32.095,298.04953
2000-09,2000-09-01,31.845,298.57574
2000-09,2000-09-01,31.845,297.96686
2000-10,2000-10-01,32.095,295.7045
2000-10,2000-10-01,32.095,294.4351
2000-10,2000-10-01,31.845,295.31018
2000-10,2000-10-01,31.845,294.12918
2000-11,2000-11-01,32.095,293.22968
2000-11,2000-11-01,32.095,291.0899
2000-11,2000-11-01,31.845,292.65533
2000-11,2000-11-01,31.845,290.92108
2000-12,2000-12-01,32.095,289.23236
2000-12,2000-12-01,32.095,287.0066
2000-12,2000-12-01,31.845,288.6092
2000-12,2000-12-01,31.845,286.7373
2001-01,2001-01-01,32.095,288.00018
2001-01,2001-01-01,32.095,285.75244
2001-01,2001-01-01,31.845,287.4331
2001-01,2001-01-01,31.845,285.57074
2001-02,2001-02-01,32.095,287.78278
2001-02,2001-02-01,32.095,285.96307
2001-02,2001-02-01,31.845,287.22662
2001-02,2001-02-01,31.845,285.5575
2001-03,2001-03-01,32.095,291.85617
2001-03,2001-03-01,32.095,291.3418
2001-03,2001-03-01,31.845,291.7107
2001-03,2001-03-01,31.845,291.20615
2001-04,2001-04-01,32.095,292.97668
2001-04,2001-04-01,32.095,292.65652
2001-04,2001-04-01,31.845,292.96478
2001-04,2001-04-01,31.845,292.62653
2001-05,2001-05-01,32.095,294.9084
2001-05,2001-05-01,32.095,294.79803
2001-05,2001-05-01,31.845,294.97214
2001-05,2001-05-01,31.845,294.7667
2001-06,2001-06-01,32.095,297.6332
2001-06,2001-06-01,32.095,297.69492
2001-06,2001-06-01,31.845,297.64102
2001-06,2001-06-01,31.845,297.80005
2001-07,2001-07-01,32.095,299.4735
2001-07,2001-07-01,32.095,299.42917
2001-07,2001-07-01,31.845,299.51102
2001-07,2001-07-01,31.845,299.48853
2001-08,2001-08-01,32.095,300.41174
2001-08,2001-08-01,32.095,300.0021
2001-08,2001-08-01,31.845,300.3005
2001-08,2001-08-01,31.845,299.93884
2001-09,2001-09-01,32.095,298.90875
2001-09,2001-09-01,32.095,298.07556
