valid_time,time,latitude,t2m
2000-01,2000-01-01,39.185,268.52365
2000-01,2000-01-01,39.185,268.21994
2000-01,2000-01-01,38.935,268.6313
2000-01,2000-01-01,38.935,268.48706
2000-02,2000-02-01,39.185,272.89484
2000-02,2000-02-01,39.185,272.59235
2000-02,2000-02-01,38.935,272.8667
2000-02,2000-02-01,38.935,272.56833
2000-03,2000-03-01,39.185,282.27927
2000-03,2000-03-01,39.185,281.99017
2000-03,2000-03-01,38.935,282.3944
2000-03,2000-03-01,38.935,281.97516
2000-04,2000-04-01,39.185,289.5266
2000-04,2000-04-01,39.185,289.28918
2000-04,2000-04-01,38.935,289.6266
2000-04,2000-04-01,38.935,289.28625
2000-05,2000-05-01,39.185,294.94897
2000-05,2000-05-01,39.185,294.47217
2000-05,2000-05-01,38.935,294.81073
2000-05,2000-05-01,38.935,294.11066
2000-06,2000-06-01,39.185,300.84476
2000-06,2000-06-01,39.185,300.48804
2000-06,2000-06-01,38.935,300.6332
2000-06,2000-06-01,38.935,300.07925
2000-07,2000-07-01,39.185,303.00226
2000-07,2000-07-01,39.185,302.97617
2000-07,2000-07-01,38.935,302.8225
2000-07,2000-07-01,38.935,302.74826
2000-08,2000-08-01,39.185,299.9824
2000-08,2000-08-01,39.185,299.95966
2000-08,2000-08-01,38.935,299.9947
2000-08,2000-08-01,38.935,299.91983
2000-09,2000-09-01,39.185,295.93338
2000-09,2000-09-01,39.185,295.9936
2000-09,2000-09-01,38.935,295.86197
2000-09,2000-09-01,38.935,295.9617
2000-10,2000-10-01,39.185,286.90396
2000-10,2000-10-01,39.185,286.98785
2000-10,2000-10-01,38.935,287.05777
2000-10,2000-10-01,38.935,287.23032
2000-11,2000-11-01,39.185,277.2876
2000-11,2000-11-01,39.185,277.4333
2000-11,2000-11-01,38.935,277.5833
2000-11,2000-11-01,38.935,277.85162
2000-12,2000-12-01,39.185,273.25797
2000-12,2000-12-01,39.185,273.2407
2000-12,2000-12-01,38.935,273.55576
2000-12,2000-12-01,38.935,273.72473
2001-01,2001-01-01,39.185,269.0998
2001-01,2001-01-01,39.185,268.9986
2001-01,2001-01-01,38.935,269.3017
2001-01,2001-01-01,38.935,269.33154
2001-02,2001-02-01,39.185,272.97913
2001-02,2001-02-01,39.185,272.71924
2001-02,2001-02-01,38.935,273.1267
2001-02,2001-02-01,38.935,272.7504
2001-03,2001-03-01,39.185,281.49448
2001-03,2001-03-01,39.185,281.24823
2001-03,2001-03-01,38.935,281.82062
2001-03,2001-03-01,38.935,281.4202
2001-04,2001-04-01,39.185,288.78967
2001-04,2001-04-01,39.185,288.56256
2001-04,2001-04-01,38.935,288.8359
2001-04,2001-04-01,38.935,288.39923
2001-05,2001-05-01,39.185,297.5024
2001-05,2001-05-01,39.185,297.29047
2001-05,2001-05-01,38.935,297.47775
2001-05,2001-05-01,38.935,297.0757
2001-06,2001-06-01,39.185,300.2156
2001-06,2001-06-01,39.185,300.0759
2001-06,2001-06-01,38.935,300.2687
2001-06,2001-06-01,38.935,299.9579
2001-07,2001-07-01,39.185,301.02905
2001-07,2001-07-01,39.185,301.0261
2001-07,2001-07-01,38.935,301.0206
2001-07,2001-07-01,38.935,300.84515
2001-08,2001-08-01,39.185,299.74243
2001-08,2001-08-01,39.185,299.6367
2001-08,2001-08-01,38.935,299.69534
2001-08,2001-08-01,38.935,299.57657
2001-09,2001-09-01,39.185,295.1922
2001-09,2001-09-01,39.185,295.171
2001-09,2001-09-01,38.935,295.10333
2001-09,2001-09-01,38.935,295.16382
2001-10,2001-10-01,39.185,288.47232
2001-10,2001-10-01,39.185,288.45483
2001-10,2001-10-01,38.935,288.60358
2001-10,2001-10-01,38.935,288.69028
2001-11,2001-11-01,39.185,279.0445
2001-11,2001-11-01,39.185,279.04608
2001-11,2001-11-01,38.935,279.19443
2001-11,2001-11-01,38.935,279.36295
2001-12,2001-12-01,39.185,270.94608
2001-12,2001-12-01,39.185,270.86652
2001-12,2001-12-01,38.935,271.00452
2001-12,2001-12-01,38.935,271.0882
2002-01,2002-01-01,39.185,273.90497
2002-01,2002-01-01,39.185,273.75436
2002-01,2002-01-01,38.935,273.9667
2002-01,2002-01-01,38.935,273.87952
2002-02,2002-02-01,39.185,277.51675
2002-02,2002-02-01,39.185,277.31256
2002-02,2002-02-01,38.935,277.78162
2002-02,2002-02-01,38.935,277.59033
2002-03,2002-03-01,39.185,283.83884
2002-03,2002-03-01,39.185,283.68753
2002-03,2002-03-01,38.935,283.88635
2002-03,2002-03-01,38.935,283.70233
2002-04,2002-04-01,39.185,288.54913
2002-04,2002-04-01,39.185,288.38443
2002-04,2002-04-01,38.935,288.60883
2002-04,2002-04-01,38.935,288.37427
2002-05,2002-05-01,39.185,295.51025
2002-05,2002-05-01,39.185,295.29285
2002-05,2002-05-01,38.935,295.22003
2002-05,2002-05-01,38.935,294.84436
2002-06,2002-06-01,39.185,297.92358
2002-06,2002-06-01,39.185,297.7318
2002-06,2002-06-01,38.935,297.9699
2002-06,2002-06-01,38.935,297.5928
2002-07,2002-07-01,39.185,301.07956
2002-07,2002-07-01,39.185,300.9799
2002-07,2002-07-01,38.935,301.05722
2002-07,2002-07-01,38.935,300.89334
2002-08,2002-08-01,39.185,299.62103
2002-08,2002-08-01,39.185,299.56418
2002-08,2002-08-01,38.935,299.59073
2002-08,2002-08-01,38.935,299.5541
2002-09,2002-09-01,39.185,294.13995
2002-09,2002-09-01,39.185,294.26587
2002-09,2002-09-01,38.935,294.15823
2002-09,2002-09-01,38.935,294.346
2002-10,2002-10-01,39.185,285.03857
2002-10,2002-10-01,39.185,285.10114
2002-10,2002-10-01,38.935,285.32434
2002-10,2002-10-01,38.935,285.46075
2002-11,2002-11-01,39.185,276.65677
2002-11,2002-11-01,39.185,276.7334
2002-11,2002-11-01,38.935,276.8539
2002-11,2002-11-01,38.935,277.0846
2002-12,2002-12-01,39.185,271.08148
2002-12,2002-12-01,39.185,271.09238
2002-12,2002-12-01,38.935,271.11685
2002-12,2002-12-01,38.935,271.33612
2003-01,2003-01-01,39.185,270.54974
2003-01,2003-01-01,39.185,270.32852
2003-01,2003-01-01,38.935,270.4254
2003-01,2003-01-01,38.935,270.30164
2003-02,2003-02-01,39.185,274.86154
2003-02,2003-02-01,39.185,274.59412
2003-02,2003-02-01,38.935,274.89426
2003-02,2003-02-01,38.935,274.57788
2003-03,2003-03-01,39.185,279.90497
2003-03,2003-03-01,39.185,279.73428
2003-03,2003-03-01,38.935,280.04132
2003-03,2003-03-01,38.935,279.74005
2003-04,2003-04-01,39.185,289.5492
2003-04,2003-04-01,39.185,289.5109
2003-04,2003-04-01,38.935,289.49835
2003-04,2003-04-01,38.935,289.36807
2003-05,2003-05-01,39.185,295.33963
2003-05,2003-05-01,39.185,295.26135
2003-05,2003-05-01,38.935,295.37988
2003-05,2003-05-01,38.935,295.10138
2003-06,2003-06-01,39.185,298.58337
2003-06,2003-06-01,39.185,298.4096
2003-06,2003-06-01,38.935,298.5265
2003-06,2003-06-01,38.935,298.1849
2003-07,2003-07-01,39.185,300.09534
2003-07,2003-07-01,39.185,299.8813
2003-07,2003-07-01,38.935,299.8574
2003-07,2003-07-01,38.935,299.61484
2003-08,2003-08-01,39.185,299.55182
2003-08,2003-08-01,39.185,299.4346
2003-08,2003-08-01,38.935,299.23917
2003-08,2003-08-01,38.935,299.20358
2003-09,2003-09-01,39.185,294.72592
2003-09,2003-09-01,39.185,294.63583
2003-09,2003-09-01,38.935,294.71747
2003-09,2003-09-01,38.935,294.69992
