valid_time,time,latitude,t2m
2000-01,2000-01-01,33.181,286.51733
2000-01,2000-01-01,33.181,285.32782
2000-01,2000-01-01,33.181,284.10028
2000-01,2000-01-01,32.931,286.62
2000-01,2000-01-01,32.931,286.04834
2000-01,2000-01-01,32.931,285.15265
2000-01,2000-01-01,32.681,287.08777
2000-01,2000-01-01,32.681,286.6875
2000-01,2000-01-01,32.681,285.99182
2000-01,2000-01-01,32.431,287.38202
2000-01,2000-01-01,32.431,287.13275
2000-01,2000-01-01,32.431,286.49615
2000-02,2000-02-01,33.181,286.44812
2000-02,2000-02-01,33.181,285.1714
2000-02,2000-02-01,33.181,283.38696
2000-02,2000-02-01,32.931,286.91064
2000-02,2000-02-01,32.931,286.2163
2000-02,2000-02-01,32.931,284.69983
2000-02,2000-02-01,32.681,287.29968
2000-02,2000-02-01,32.681,286.734
2000-02,2000-02-01,32.681,285.52832
2000-02,2000-02-01,32.431,287.52368
2000-02,2000-02-01,32.431,287.10974
2000-02,2000-02-01,32.431,286.02405
2000-03,2000-03-01,33.181,286.61554
2000-03,2000-03-01,33.181,285.672
2000-03,2000-03-01,33.181,284.3908
2000-03,2000-03-01,32.931,286.41266
2000-03,2000-03-01,32.931,286.14832
2000-03,2000-03-01,32.931,285.25464
2000-03,2000-03-01,32.681,286.51343
2000-03,2000-03-01,32.681,286.29242
2000-03,2000-03-01,32.681,285.60645
2000-03,2000-03-01,32.431,286.6291
2000-03,2000-03-01,32.431,286.2979
2000-03,2000-03-01,32.431,285.69073
2000-04,2000-04-01,33.181,288.8526
2000-04,2000-04-01,33.181,288.4444
2000-04,2000-04-01,33.181,287.8037
2000-04,2000-04-01,32.931,288.3703
2000-04,2000-04-01,32.931,288.63754
2000-04,2000-04-01,32.931,288.40738
2000-04,2000-04-01,32.681,288.3427
2000-04,2000-04-01,32.681,288.63672
2000-04,2000-04-01,32.681,288.67145
2000-04,2000-04-01,32.431,288.37854
2000-04,2000-04-01,32.431,288.24887
2000-04,2000-04-01,32.431,288.359
2000-05,2000-05-01,33.181,290.36353
2000-05,2000-05-01,33.181,290.61615
2000-05,2000-05-01,33.181,290.73468
2000-05,2000-05-01,32.931,289.35144
2000-05,2000-05-01,32.931,290.35712
2000-05,2000-05-01,32.931,290.96344
2000-05,2000-05-01,32.681,289.0174
2000-05,2000-05-01,32.681,289.98053
2000-05,2000-05-01,32.681,290.94092
2000-05,2000-05-01,32.431,288.85602
2000-05,2000-05-01,32.431,289.04565
2000-05,2000-05-01,32.431,290.0647
2000-06,2000-06-01,33.181,292.35345
2000-06,2000-06-01,33.181,292.95898
2000-06,2000-06-01,33.181,293.60638
2000-06,2000-06-01,32.931,291.0476
2000-06,2000-06-01,32.931,292.25116
2000-06,2000-06-01,32.931,293.41235
2000-06,2000-06-01,32.681,290.55365
2000-06,2000-06-01,32.681,291.67743
