valid_time,time,latitude,t2m
2000-01,2000-01-01,36.173,277.5116
2000-01,2000-01-01,36.173,278.01636
2000-01,2000-01-01,36.173,278.54272
2000-01,2000-01-01,36.173,278.64673
2000-01,2000-01-01,36.173,278.87317
2000-01,2000-01-01,35.923,275.45886
2000-01,2000-01-01,35.923,277.6941
2000-01,2000-01-01,35.923,278.89563
2000-01,2000-01-01,35.923,279.27307
2000-01,2000-01-01,35.923,279.41052
2000-01,2000-01-01,35.673,274.9237
2000-01,2000-01-01,35.673,277.67627
2000-01,2000-01-01,35.673,279.26196
2000-01,2000-01-01,35.673,279.97168
2000-01,2000-01-01,35.673,280.18262
2000-01,2000-01-01,35.423,276.56714
2000-01,2000-01-01,35.423,279.13013
2000-01,2000-01-01,35.423,280.6571
2000-01,2000-01-01,35.423,280.68628
2000-01,2000-01-01,35.423,280.7063
2000-01,2000-01-01,35.173,278.77478
2000-01,2000-01-01,35.173,281.2981
2000-01,2000-01-01,35.173,282.20105
2000-01,2000-01-01,35.173,281.9154
2000-01,2000-01-01,35.173,281.68665
2000-02,2000-02-01,36.173,275.688
2000-02,2000-02-01,36.173,276.33276
2000-02,2000-02-01,36.173,276.9087
2000-02,2000-02-01,36.173,276.89404
2000-02,2000-02-01,36.173,277.00708
2000-02,2000-02-01,35.923,273.52612
2000-02,2000-02-01,35.923,275.98413
2000-02,2000-02-01,35.923,277.18298
2000-02,2000-02-01,35.923,277.4524
2000-02,2000-02-01,35.923,277.47498
2000-02,2000-02-01,35.673,272.776
2000-02,2000-02-01,35.673,275.88452
2000-02,2000-02-01,35.673,277.53503
2000-02,2000-02-01,35.673,278.16394
2000-02,2000-02-01,35.673,278.20325
2000-02,2000-02-01,35.423,274.51538
2000-02,2000-02-01,35.423,277.2621
2000-02,2000-02-01,35.423,278.87036
2000-02,2000-02-01,35.423,278.84607
2000-02,2000-02-01,35.423,278.67896
2000-02,2000-02-01,35.173,276.79968
2000-02,2000-02-01,35.173,279.40894
2000-02,2000-02-01,35.173,280.27173
2000-02,2000-02-01,35.173,279.90417
2000-02,2000-02-01,35.173,279.49548
2000-03,2000-03-01,36.173,279.55957
2000-03,2000-03-01,36.173,280.16406
2000-03,2000-03-01,36.173,280.6931
2000-03,2000-03-01,36.173,280.76294
2000-03,2000-03-01,36.173,280.93555
2000-03,2000-03-01,35.923,277.70447
2000-03,2000-03-01,35.923,279.9491
2000-03,2000-03-01,35.923,281.114
2000-03,2000-03-01,35.923,281.3335
2000-03,2000-03-01,35.923,281.37915
2000-03,2000-03-01,35.673,277.15137
2000-03,2000-03-01,35.673,279.8756
2000-03,2000-03-01,35.673,281.29053
2000-03,2000-03-01,35.673,281.78955
2000-03,2000-03-01,35.673,281.8263
2000-03,2000-03-01,35.423,278.8916
2000-03,2000-03-01,35.423,280.96204
2000-03,2000-03-01,35.423,282.2135
2000-03,2000-03-01,35.423,282.24963
2000-03,2000-03-01,35.423,282.05884
2000-03,2000-03-01,35.173,280.60242
2000-03,2000-03-01,35.173,282.52832
2000-03,2000-03-01,35.173,283.21265
2000-03,2000-03-01,35.173,283.03064
2000-03,2000-03-01,35.173,282.7832
2000-04,2000-04-01,36.173,284.958
2000-04,2000-04-01,36.173,285.51733
2000-04,2000-04-01,36.173,286.10962
2000-04,2000-04-01,36.173,286.33276
2000-04,2000-04-01,36.173,286.49023
2000-04,2000-04-01,35.923,283.44897
2000-04,2000-04-01,35.923,285.41138
2000-04,2000-04-01,35.923,286.60107
2000-04,2000-04-01,35.923,286.79688
2000-04,2000-04-01,35.923,286.80188
2000-04,2000-04-01,35.673,282.9983
2000-04,2000-04-01,35.673,285.2953
2000-04,2000-04-01,35.673,286.49768
2000-04,2000-04-01,35.673,286.84033
2000-04,2000-04-01,35.673,286.9021
2000-04,2000-04-01,35.423,284.22412
2000-04,2000-04-01,35.423,285.73315
2000-04,2000-04-01,35.423,286.69495
2000-04,2000-04-01,35.423,287.01465
2000-04,2000-04-01,35.423,286.89087
2000-04,2000-04-01,35.173,285.26428
2000-04,2000-04-01,35.173,286.46082
2000-04,2000-04-01,35.173,287.00317
2000-04,2000-04-01,35.173,287.30664
2000-04,2000-04-01,35.173,287.47168
2000-05,2000-05-01,36.173,290.65723
2000-05,2000-05-01,36.173,291.3357
2000-05,2000-05-01,36.173,291.8191
2000-05,2000-05-01,36.173,291.91882
2000-05,2000-05-01,36.173,291.87463
2000-05,2000-05-01,35.923,289.3271
2000-05,2000-05-01,35.923,291.2099
2000-05,2000-05-01,35.923,292.27625
2000-05,2000-05-01,35.923,292.25513
2000-05,2000-05-01,35.923,292.03888
2000-05,2000-05-01,35.673,288.9652
2000-05,2000-05-01,35.673,291.0263
2000-05,2000-05-01,35.673,291.98157
2000-05,2000-05-01,35.673,292.0664
2000-05,2000-05-01,35.673,291.96545
2000-05,2000-05-01,35.423,289.98083
2000-05,2000-05-01,35.423,290.92188
2000-05,2000-05-01,35.423,291.55035
2000-05,2000-05-01,35.423,291.96637
2000-05,2000-05-01,35.423,291.7804
2000-05,2000-05-01,35.173,290.41968
2000-05,2000-05-01,35.173,290.86554
2000-05,2000-05-01,35.173,291.14807
2000-05,2000-05-01,35.173,291.6629
2000-05,2000-05-01,35.173,292.04913
2000-06,2000-06-01,36.173,293.719
2000-06,2000-06-01,36.173,294.43256
2000-06,2000-06-01,36.173,294.8647
2000-06,2000-06-01,36.173,294.891
2000-06,2000-06-01,36.173,294.83215
2000-06,2000-06-01,35.923,292.45734
2000-06,2000-06-01,35.923,294.2149
2000-06,2000-06-01,35.923,295.1283
2000-06,2000-06-01,35.923,295.0534
2000-06,2000-06-01,35.923,294.82275
2000-06,2000-06-01,35.673,292.0401
2000-06,2000-06-01,35.673,293.9463
2000-06,2000-06-01,35.673,294.7824
2000-06,2000-06-01,35.673,294.82812
2000-06,2000-06-01,35.673,294.7068
2000-06,2000-06-01,35.423,292.97522
2000-06,2000-06-01,35.423,293.82794
2000-06,2000-06-01,35.423,294.36206
2000-06,2000-06-01,35.423,294.67706
2000-06,2000-06-01,35.423,294.50323
