valid_time,time,latitude,t2m
2000-01,2000-01-01,43.925,265.97607
2000-01,2000-01-01,43.925,266.39697
2000-01,2000-01-01,43.925,266.6754
2000-01,2000-01-01,43.925,267.00635
2000-01,2000-01-01,43.925,267.2013
2000-01,2000-01-01,43.675,266.59534
2000-01,2000-01-01,43.675,267.3319
2000-01,2000-01-01,43.675,268.3711
2000-01,2000-01-01,43.675,269.3645
2000-01,2000-01-01,43.675,269.67188
2000-01,2000-01-01,43.425,267.26245
2000-01,2000-01-01,43.425,268.47424
2000-01,2000-01-01,43.425,269.70764
2000-01,2000-01-01,43.425,270.16028
2000-01,2000-01-01,43.425,270.3075
2000-01,2000-01-01,43.175,267.60205
2000-01,2000-01-01,43.175,268.51697
2000-01,2000-01-01,43.175,269.52698
2000-01,2000-01-01,43.175,269.33752
2000-01,2000-01-01,43.175,269.40564
2000-02,2000-02-01,43.925,269.54236
2000-02,2000-02-01,43.925,269.82922
2000-02,2000-02-01,43.925,269.97183
2000-02,2000-02-01,43.925,269.77725
2000-02,2000-02-01,43.925,269.7388
2000-02,2000-02-01,43.675,270.03006
2000-02,2000-02-01,43.675,270.35684
2000-02,2000-02-01,43.675,270.75455
2000-02,2000-02-01,43.675,270.50784
2000-02,2000-02-01,43.675,270.47986
2000-02,2000-02-01,43.425,270.63577
2000-02,2000-02-01,43.425,270.9591
2000-02,2000-02-01,43.425,271.2235
2000-02,2000-02-01,43.425,271.1822
2000-02,2000-02-01,43.425,271.23038
2000-02,2000-02-01,43.175,271.00198
2000-02,2000-02-01,43.175,271.11346
2000-02,2000-02-01,43.175,271.23547
2000-02,2000-02-01,43.175,271.29163
2000-02,2000-02-01,43.175,271.53894
2000-03,2000-03-01,43.925,276.43115
2000-03,2000-03-01,43.925,276.72888
2000-03,2000-03-01,43.925,276.81085
2000-03,2000-03-01,43.925,276.17493
2000-03,2000-03-01,43.925,275.92413
2000-03,2000-03-01,43.675,276.9328
2000-03,2000-03-01,43.675,277.01978
2000-03,2000-03-01,43.675,276.85095
2000-03,2000-03-01,43.675,275.52313
2000-03,2000-03-01,43.675,275.10767
2000-03,2000-03-01,43.425,277.39368
2000-03,2000-03-01,43.425,277.11774
2000-03,2000-03-01,43.425,276.65088
2000-03,2000-03-01,43.425,276.01068
2000-03,2000-03-01,43.425,275.7229
2000-03,2000-03-01,43.175,277.56262
2000-03,2000-03-01,43.175,277.06732
2000-03,2000-03-01,43.175,276.63556
2000-03,2000-03-01,43.175,276.59033
2000-03,2000-03-01,43.175,276.65387
2000-04,2000-04-01,43.925,278.2835
2000-04,2000-04-01,43.925,278.77722
2000-04,2000-04-01,43.925,279.1128
2000-04,2000-04-01,43.925,278.66467
2000-04,2000-04-01,43.925,278.57208
2000-04,2000-04-01,43.675,278.77728
2000-04,2000-04-01,43.675,278.98438
2000-04,2000-04-01,43.675,278.9569
2000-04,2000-04-01,43.675,277.8376
2000-04,2000-04-01,43.675,277.51776
2000-04,2000-04-01,43.425,279.273
2000-04,2000-04-01,43.425,279.0241
2000-04,2000-04-01,43.425,278.67596
2000-04,2000-04-01,43.425,278.16333
2000-04,2000-04-01,43.425,277.86835
2000-04,2000-04-01,43.175,279.60895
2000-04,2000-04-01,43.175,279.26727
2000-04,2000-04-01,43.175,278.9248
2000-04,2000-04-01,43.175,279.11334
2000-04,2000-04-01,43.175,279.0711
2000-05,2000-05-01,43.925,286.1173
2000-05,2000-05-01,43.925,286.50708
2000-05,2000-05-01,43.925,286.6588
2000-05,2000-05-01,43.925,285.82825
2000-05,2000-05-01,43.925,285.55872
2000-05,2000-05-01,43.675,286.70483
2000-05,2000-05-01,43.675,286.70325
2000-05,2000-05-01,43.675,286.22296
2000-05,2000-05-01,43.675,284.24365
2000-05,2000-05-01,43.675,283.65442
2000-05,2000-05-01,43.425,287.21844
2000-05,2000-05-01,43.425,286.53217
2000-05,2000-05-01,43.425,285.6283
2000-05,2000-05-01,43.425,284.7981
2000-05,2000-05-01,43.425,284.4491
2000-05,2000-05-01,43.175,287.61902
2000-05,2000-05-01,43.175,287.08044
2000-05,2000-05-01,43.175,286.52075
2000-05,2000-05-01,43.175,286.77032
2000-05,2000-05-01,43.175,286.55573
2000-06,2000-06-01,43.925,289.904
2000-06,2000-06-01,43.925,290.3258
2000-06,2000-06-01,43.925,290.48114
2000-06,2000-06-01,43.925,290.0257
2000-06,2000-06-01,43.925,289.90204
2000-06,2000-06-01,43.675,290.5995
2000-06,2000-06-01,43.675,290.8006
2000-06,2000-06-01,43.675,290.6374
2000-06,2000-06-01,43.675,289.6657
2000-06,2000-06-01,43.675,289.36896
2000-06,2000-06-01,43.425,291.22015
2000-06,2000-06-01,43.425,291.0832
2000-06,2000-06-01,43.425,290.7965
2000-06,2000-06-01,43.425,290.40143
2000-06,2000-06-01,43.425,290.21686
2000-06,2000-06-01,43.175,291.7567
2000-06,2000-06-01,43.175,291.7235
2000-06,2000-06-01,43.175,291.70392
2000-06,2000-06-01,43.175,291.81616
2000-06,2000-06-01,43.175,291.5813
2000-07,2000-07-01,43.925,290.94495
2000-07,2000-07-01,43.925,291.5174
2000-07,2000-07-01,43.925,291.976
2000-07,2000-07-01,43.925,292.08344
2000-07,2000-07-01,43.925,292.2699
2000-07,2000-07-01,43.675,291.5915
2000-07,2000-07-01,43.675,292.1582
2000-07,2000-07-01,43.675,292.69843
2000-07,2000-07-01,43.675,292.95502
2000-07,2000-07-01,43.675,293.11548
2000-07,2000-07-01,43.425,292.23425
2000-07,2000-07-01,43.425,292.79346
2000-07,2000-07-01,43.425,293.33972
2000-07,2000-07-01,43.425,293.5495
2000-07,2000-07-01,43.425,293.64514
2000-07,2000-07-01,43.175,292.7589
2000-07,2000-07-01,43.175,293.29138
2000-07,2000-07-01,43.175,293.81293
2000-07,2000-07-01,43.175,293.88318
2000-07,2000-07-01,43.175,293.76318
2000-08,2000-08-01,43.925,291.07587
2000-08,2000-08-01,43.925,291.60333
2000-08,2000-08-01,43.925,292.0348
2000-08,2000-08-01,43.925,292.3604
2000-08,2000-08-01,43.925,292.636
2000-08,2000-08-01,43.675,291.73407
2000-08,2000-08-01,43.675,292.3902
2000-08,2000-08-01,43.675,293.11078
2000-08,2000-08-01,43.675,293.85577
2000-08,2000-08-01,43.675,294.13324
2000-08,2000-08-01,43.425,292.38763
2000-08,2000-08-01,43.425,293.27026
2000-08,2000-08-01,43.425,294.07294
2000-08,2000-08-01,43.425,294.46515
2000-08,2000-08-01,43.425,294.54102
2000-08,2000-08-01,43.175,292.84216
2000-08,2000-08-01,43.175,293.57117
2000-08,2000-08-01,43.175,294.14148
2000-08,2000-08-01,43.175,294.14813
2000-08,2000-08-01,43.175,294.04163
2000-09,2000-09-01,43.925,287.07483
2000-09,2000-09-01,43.925,287.56012
2000-09,2000-09-01,43.925,287.9336
2000-09,2000-09-01,43.925,288.33972
2000-09,2000-09-01,43.925,288.61224
2000-09,2000-09-01,43.675,287.64166
2000-09,2000-09-01,43.675,288.3363
2000-09,2000-09-01,43.675,289.1463
2000-09,2000-09-01,43.675,290.17706
2000-09,2000-09-01,43.675,290.49402
2000-09,2000-09-01,43.425,288.3155
2000-09,2000-09-01,43.425,289.3864
2000-09,2000-09-01,43.425,290.3557
2000-09,2000-09-01,43.425,290.8211
2000-09,2000-09-01,43.425,290.85425
2000-09,2000-09-01,43.175,288.8125
2000-09,2000-09-01,43.175,289.68988
2000-09,2000-09-01,43.175,290.26837
2000-09,2000-09-01,43.175,290.28668
2000-09,2000-09-01,43.175,290.15607
2000-10,2000-10-01,43.925,282.41583
2000-10,2000-10-01,43.925,282.76825
2000-10,2000-10-01,43.925,283.0088
2000-10,2000-10-01,43.925,283.39862
2000-10,2000-10-01,43.925,283.62964
2000-10,2000-10-01,43.675,282.90222
2000-10,2000-10-01,43.675,283.50598
2000-10,2000-10-01,43.675,284.28174
2000-10,2000-10-01,43.675,285.29303
2000-10,2000-10-01,43.675,285.57
2000-10,2000-10-01,43.425,283.4563
2000-10,2000-10-01,43.425,284.49164
2000-10,2000-10-01,43.425,285.4969
2000-10,2000-10-01,43.425,285.93
2000-10,2000-10-01,43.425,285.9292
2000-10,2000-10-01,43.175,283.76764
2000-10,2000-10-01,43.175,284.61267
2000-10,2000-10-01,43.175,285.31763
2000-10,2000-10-01,43.175,285.2791
2000-10,2000-10-01,43.175,285.1563
2000-11,2000-11-01,43.925,274.93665
2000-11,2000-11-01,43.925,275.47925
2000-11,2000-11-01,43.925,275.87634
2000-11,2000-11-01,43.925,276.2091
2000-11,2000-11-01,43.925,276.45862
2000-11,2000-11-01,43.675,275.5592
2000-11,2000-11-01,43.675,276.3329
2000-11,2000-11-01,43.675,277.31506
2000-11,2000-11-01,43.675,278.33105
2000-11,2000-11-01,43.675,278.63794
2000-11,2000-11-01,43.425,276.21155
