valid_time,time,latitude,t2m
2000-01,2000-01-01,32.759,284.33438
2000-01,2000-01-01,32.759,284.26617
2000-02,2000-02-01,32.759,285.53293
2000-02,2000-02-01,32.759,285.45844
2000-03,2000-03-01,32.759,289.33533
2000-03,2000-03-01,32.759,289.26764
2000-04,2000-04-01,32.759,293.19196
2000-04,2000-04-01,32.759,293.0428
2000-05,2000-05-01,32.759,296.89838
2000-05,2000-05-01,32.759,296.8611
2000-06,2000-06-01,32.759,297.61154
2000-06,2000-06-01,32.759,297.54446
2000-07,2000-07-01,32.759,300.30923
2000-07,2000-07-01,32.759,300.206
2000-08,2000-08-01,32.759,300.2885
2000-08,2000-08-01,32.759,300.20358
2000-09,2000-09-01,32.759,299.66354
2000-09,2000-09-01,32.759,299.65723
2000-10,2000-10-01,32.759,295.86005
2000-10,2000-10-01,32.759,295.8549
2000-11,2000-11-01,32.759,292.33377
2000-11,2000-11-01,32.759,292.51294
2000-12,2000-12-01,32.759,289.17322
2000-12,2000-12-01,32.759,289.235
2001-01,2001-01-01,32.759,287.35843
2001-01,2001-01-01,32.759,287.46515
2001-02,2001-02-01,32.759,287.11774
2001-02,2001-02-01,32.759,287.13483
2001-03,2001-03-01,32.759,291.87585
2001-03,2001-03-01,32.759,291.94525
2001-04,2001-04-01,32.759,291.1382
2001-04,2001-04-01,32.759,291.00784
2001-05,2001-05-01,32.759,296.5925
2001-05,2001-05-01,32.759,296.58145
2001-06,2001-06-01,32.759,298.35965
2001-06,2001-06-01,32.759,298.25165
2001-07,2001-07-01,32.759,301.78024
2001-07,2001-07-01,32.759,301.72043
2001-08,2001-08-01,32.759,300.4265
2001-08,2001-08-01,32.759,300.25195
2001-09,2001-09-01,32.759,300.78156
2001-09,2001-09-01,32.759,300.80453
2001-10,2001-10-01,32.759,297.69296
2001-10,2001-10-01,32.759,297.58728
2001-11,2001-11-01,32.759,292.49033
2001-11,2001-11-01,32.759,292.44763
2001-12,2001-12-01,32.759,287.09225
2001-12,2001-12-01,32.759,286.98428
2002-01,2002-01-01,32.759,285.042
2002-01,2002-01-01,32.759,284.97995
2002-02,2002-02-01,32.759,287.39276
2002-02,2002-02-01,32.759,287.4266
2002-03,2002-03-01,32.759,290.19534
2002-03,2002-03-01,32.759,290.2109
2002-04,2002-04-01,32.759,292.78818
2002-04,2002-04-01,32.759,292.72205
2002-05,2002-05-01,32.759,296.1423
2002-05,2002-05-01,32.759,296.14822
2002-06,2002-06-01,32.759,298.36145
2002-06,2002-06-01,32.759,298.28094
2002-07,2002-07-01,32.759,301.8664
2002-07,2002-07-01,32.759,301.94586
2002-08,2002-08-01,32.759,302.01712
2002-08,2002-08-01,32.759,301.9567
2002-09,2002-09-01,32.759,300.11743
2002-09,2002-09-01,32.759,300.0349
2002-10,2002-10-01,32.759,295.63733
2002-10,2002-10-01,32.759,295.6003
2002-11,2002-11-01,32.759,291.66537
2002-11,2002-11-01,32.759,291.70816
2002-12,2002-12-01,32.759,287.54895
2002-12,2002-12-01,32.759,287.56003
2003-01,2003-01-01,32.759,287.33704
2003-01,2003-01-01,32.759,287.30234
2003-02,2003-02-01,32.759,285.3492
2003-02,2003-02-01,32.759,285.3107
2003-03,2003-03-01,32.759,287.21417
2003-03,2003-03-01,32.759,287.12436
2003-04,2003-04-01,32.759,292.03485
2003-04,2003-04-01,32.759,292.0004
2003-05,2003-05-01,32.759,295.83163
2003-05,2003-05-01,32.759,295.5685
2003-06,2003-06-01,32.759,299.25238
2003-06,2003-06-01,32.759,299.16437
2003-07,2003-07-01,32.759,302.18094
2003-07,2003-07-01,32.759,302.12213
2003-08,2003-08-01,32.759,301.56638
2003-08,2003-08-01,32.759,301.40814
2003-09,2003-09-01,32.759,300.41733
2003-09,2003-09-01,32.759,300.40628
2003-10,2003-10-01,32.759,299.441
2003-10,2003-10-01,32.759,299.51593
2003-11,2003-11-01,32.759,293.31873
2003-11,2003-11-01,32.759,293.31122
2003-12,2003-12-01,32.759,287.68634
2003-12,2003-12-01,32.759,287.6656
2004-01,2004-01-01,32.759,286.26065
2004-01,2004-01-01,32.759,286.24423
2004-02,2004-02-01,32.759,288.29227
2004-02,2004-02-01,32.759,288.35236
2004-03,2004-03-01,32.759,290.09326
2004-03,2004-03-01,32.759,290.09833
2004-04,2004-04-01,32.759,292.4947
2004-04,2004-04-01,32.759,292.4105
2004-05,2004-05-01,32.759,294.88342
2004-05,2004-05-01,32.759,294.72778
2004-06,2004-06-01,32.759,298.8953
2004-06,2004-06-01,32.759,298.87253
2004-07,2004-07-01,32.759,299.78683
2004-07,2004-07-01,32.759,299.6642
2004-08,2004-08-01,32.759,301.89984
2004-08,2004-08-01,32.759,301.86923
2004-09,2004-09-01,32.759,298.23306
2004-09,2004-09-01,32.759,298.09814
2004-10,2004-10-01,32.759,297.94638
2004-10,2004-10-01,32.759,297.9931
2004-11,2004-11-01,32.759,291.15738
2004-11,2004-11-01,32.759,291.082
2004-12,2004-12-01,32.759,288.3514
2004-12,2004-12-01,32.759,288.45624
2005-01,2005-01-01,32.759,285.10324
2005-01,2005-01-01,32.759,285.06583
2005-02,2005-02-01,32.759,285.64798
2005-02,2005-02-01,32.759,285.59665
2005-03,2005-03-01,32.759,289.5085
2005-03,2005-03-01,32.759,289.57718
2005-04,2005-04-01,32.759,292.23566
2005-04,2005-04-01,32.759,292.24893
2005-05,2005-05-01,32.759,296.06836
2005-05,2005-05-01,32.759,296.13776
2005-06,2005-06-01,32.759,298.3841
2005-06,2005-06-01,32.759,298.3357
2005-07,2005-07-01,32.759,301.6546
2005-07,2005-07-01,32.759,301.7138
2005-08,2005-08-01,32.759,301.46283
2005-08,2005-08-01,32.759,301.48254
2005-09,2005-09-01,32.759,300.3505
2005-09,2005-09-01,32.759,300.3621
2005-10,2005-10-01,32.759,297.3841
2005-10,2005-10-01,32.759,297.25427
2005-11,2005-11-01,32.759,292.3656
2005-11,2005-11-01,32.759,292.34232
2005-12,2005-12-01,32.759,286.61633
2005-12,2005-12-01,32.759,286.65402
2006-01,2006-01-01,32.759,285.07727
2006-01,2006-01-01,32.759,285.0644
2006-02,2006-02-01,32.759,286.30148
2006-02,2006-02-01,32.759,286.33685
2006-03,2006-03-01,32.759,289.6481
2006-03,2006-03-01,32.759,289.6989
2006-04,2006-04-01,32.759,293.38193
2006-04,2006-04-01,32.759,293.34872
2006-05,2006-05-01,32.759,296.76865
2006-05,2006-05-01,32.759,296.69028
2006-06,2006-06-01,32.759,299.25717
2006-06,2006-06-01,32.759,299.2276
2006-07,2006-07-01,32.759,300.29956
2006-07,2006-07-01,32.759,300.21484
2006-08,2006-08-01,32.759,302.2044
2006-08,2006-08-01,32.759,302.22147
2006-09,2006-09-01,32.759,299.38593
2006-09,2006-09-01,32.759,299.24588
2006-10,2006-10-01,32.759,297.2492
2006-10,2006-10-01,32.759,297.10138
2006-11,2006-11-01,32.759,291.61166
2006-11,2006-11-01,32.759,291.43076
2006-12,2006-12-01,32.759,288.41602
2006-12,2006-12-01,32.759,288.34604
2007-01,2007-01-01,32.759,288.01788
2007-01,2007-01-01,32.759,288.00806
2007-02,2007-02-01,32.759,288.34766
2007-02,2007-02-01,32.759,288.2616
2007-03,2007-03-01,32.759,289.21103
2007-03,2007-03-01,32.759,289.1245
2007-04,2007-04-01,32.759,292.97406
2007-04,2007-04-01,32.759,292.7357
2007-05,2007-05-01,32.759,295.56287
2007-05,2007-05-01,32.759,295.39838
2007-06,2007-06-01,32.759,301.09412
2007-06,2007-06-01,32.759,301.25684
2007-07,2007-07-01,32.759,299.66913
2007-07,2007-07-01,32.759,299.60455
2007-08,2007-08-01,32.759,302.34058
2007-08,2007-08-01,32.759,302.2928
2007-09,2007-09-01,32.759,300.48587
2007-09,2007-09-01,32.759,300.35306
2007-10,2007-10-01,32.759,296.40585
2007-10,2007-10-01,32.759,296.41138
2007-11,2007-11-01,32.759,291.1783
2007-11,2007-11-01,32.759,291.22238
2007-12,2007-12-01,32.759,286.93097
2007-12,2007-12-01,32.759,286.89557
2008-01,2008-01-01,32.759,286.4017
2008-01,2008-01-01,32.759,286.3102
2008-02,2008-02-01,32.759,286.27338
2008-02,2008-02-01,32.759,286.21362
2008-03,2008-03-01,32.759,289.74597
2008-03,2008-03-01,32.759,289.7031
2008-04,2008-04-01,32.759,293.45758
2008-04,2008-04-01,32.759,293.44046
2008-05,2008-05-01,32.759,297.45807
2008-05,2008-05-01,32.759,297.309
2008-06,2008-06-01,32.759,298.52545
2008-06,2008-06-01,32.759,298.4542
2008-07,2008-07-01,32.759,302.1592
2008-07,2008-07-01,32.759,302.1169
2008-08,2008-08-01,32.759,301.3863
2008-08,2008-08-01,32.759,301.18655
2008-09,2008-09-01,32.759,300.84738
2008-09,2008-09-01,32.759,300.7376
2008-10,2008-10-01,32.759,297.74353
2008-10,2008-10-01,32.759,297.70428
2008-11,2008-11-01,32.759,291.85626
2008-11,2008-11-01,32.759,291.97916
2008-12,2008-12-01,32.759,286.84753
2008-12,2008-12-01,32.759,286.9052
2009-01,2009-01-01,32.759,287.517
2009-01,2009-01-01,32.759,287.5705
2009-02,2009-02-01,32.759,286.856
2009-02,2009-02-01,32.759,286.76334
2009-03,2009-03-01,32.759,289.34003
2009-03,2009-03-01,32.759,289.3676
2009-04,2009-04-01,32.759,292.0691
2009-04,2009-04-01,32.759,291.96085
2009-05,2009-05-01,32.759,295.35062
2009-05,2009-05-01,32.759,295.1493
2009-06,2009-06-01,32.759,299.55942
2009-06,2009-06-01,32.759,299.4999
2009-07,2009-07-01,32.759,301.42825
2009-07,2009-07-01,32.759,301.26587
2009-08,2009-08-01,32.759,302.5739
2009-08,2009-08-01,32.759,302.45193
2009-09,2009-09-01,32.759,300.30484
2009-09,2009-09-01,32.759,300.22925
2009-10,2009-10-01,32.759,295.7221
2009-10,2009-10-01,32.759,295.55948
2009-11,2009-11-01,32.759,291.06323
2009-11,2009-11-01,32.759,291.01022
2009-12,2009-12-01,32.759,290.05884
2009-12,2009-12-01,32.759,290.10577
2010-01,2010-01-01,32.759,287.86398
2010-01,2010-01-01,32.759,287.8678
2010-02,2010-02-01,32.759,290.28775
2010-02,2010-02-01,32.759,290.3094
2010-03,2010-03-01,32.759,291.42883
2010-03,2010-03-01,32.759,291.4906
2010-04,2010-04-01,32.759,293.26834
2010-04,2010-04-01,32.759,293.2337
2010-05,2010-05-01,32.759,296.18158
2010-05,2010-05-01,32.759,296.197
2010-06,2010-06-01,32.759,299.74603
2010-06,2010-06-01,32.759,299.8781
2010-07,2010-07-01,32.759,300.95633
2010-07,2010-07-01,32.759,300.91995
2010-08,2010-08-01,32.759,301.52673
2010-08,2010-08-01,32.759,301.41147
2010-09,2010-09-01,32.759,299.63342
2010-09,2010-09-01,32.759,299.5451
2010-10,2010-10-01,32.759,296.72418
2010-10,2010-10-01,32.759,296.63986
2010-11,2010-11-01,32.759,292.99384
2010-11,2010-11-01,32.759,293.0039
2010-12,2010-12-01,32.759,289.2541
2010-12,2010-12-01,32.759,289.34464
2011-01,2011-01-01,32.759,287.2027
2011-01,2011-01-01,32.759,287.25327
2011-02,2011-02-01,32.759,286.735
2011-02,2011-02-01,32.759,286.69812
2011-03,2011-03-01,32.759,288.8473
2011-03,2011-03-01,32.759,288.77448
2011-04,2011-04-01,32.759,292.44836
2011-04,2011-04-01,32.759,292.15912
2011-05,2011-05-01,32.759,295.07632
2011-05,2011-05-01,32.759,294.8296
2011-06,2011-06-01,32.759,298.34167
2011-06,2011-06-01,32.759,298.16843
2011-07,2011-07-01,32.759,302.96564
2011-07,2011-07-01,32.759,302.66766
2011-08,2011-08-01,32.759,301.44342
2011-08,2011-08-01,32.759,301.0437
2011-09,2011-09-01,32.759,300.97528
2011-09,2011-09-01,32.759,300.70676
2011-10,2011-10-01,32.759,294.818
2011-10,2011-10-01,32.759,294.71417
2011-11,2011-11-01,32.759,291.9086
2011-11,2011-11-01,32.759,291.89258
2011-12,2011-12-01,32.759,287.51538
2011-12,2011-12-01,32.759,287.40063
2012-01,2012-01-01,32.759,285.27057
2012-01,2012-01-01,32.759,285.12473
2012-02,2012-02-01,32.759,284.33115
2012-02,2012-02-01,32.759,284.17798
2012-03,2012-03-01,32.759,287.97223
2012-03,2012-03-01,32.759,287.8069
