valid_time,time,latitude,t2m
2000-01,2000-01-01,32.353,285.2975
2000-01,2000-01-01,32.353,283.7782
2000-01,2000-01-01,32.103,285.07867
2000-01,2000-01-01,32.103,284.1713
2000-02,2000-02-01,32.353,287.004
2000-02,2000-02-01,32.353,285.2443
2000-02,2000-02-01,32.103,286.68637
2000-02,2000-02-01,32.103,285.7179
2000-03,2000-03-01,32.353,288.3316
2000-03,2000-03-01,32.353,286.53806
2000-03,2000-03-01,32.103,287.93777
2000-03,2000-03-01,32.103,287.03546
2000-04,2000-04-01,32.353,294.81497
2000-04,2000-04-01,32.353,292.8985
2000-04,2000-04-01,32.103,294.3431
2000-04,2000-04-01,32.103,293.23663
2000-05,2000-05-01,32.353,300.50568
2000-05,2000-05-01,32.353,298.70172
2000-05,2000-05-01,32.103,300.0406
2000-05,2000-05-01,32.103,299.05273
2000-06,2000-06-01,32.353,303.0835
2000-06,2000-06-01,32.353,300.86597
2000-06,2000-06-01,32.103,302.34875
2000-06,2000-06-01,32.103,301.1787
2000-07,2000-07-01,32.353,305.04498
2000-07,2000-07-01,32.353,302.49048
2000-07,2000-07-01,32.103,304.11804
2000-07,2000-07-01,32.103,302.8214
2000-08,2000-08-01,32.353,302.48962
2000-08,2000-08-01,32.353,299.95892
2000-08,2000-08-01,32.103,301.58636
2000-08,2000-08-01,32.103,300.255
2000-09,2000-09-01,32.353,302.6515
2000-09,2000-09-01,32.353,300.1176
2000-09,2000-09-01,32.103,301.71326
2000-09,2000-09-01,32.103,300.2589
2000-10,2000-10-01,32.353,293.05164
2000-10,2000-10-01,32.353,290.96313
2000-10,2000-10-01,32.103,292.46857
2000-10,2000-10-01,32.103,291.44135
2000-11,2000-11-01,32.353,283.7894
2000-11,2000-11-01,32.353,282.0774
2000-11,2000-11-01,32.103,283.40918
2000-11,2000-11-01,32.103,282.50833
2000-12,2000-12-01,32.353,284.48898
2000-12,2000-12-01,32.353,282.7784
2000-12,2000-12-01,32.103,284.13052
2000-12,2000-12-01,32.103,283.03198
2001-01,2001-01-01,32.353,281.82965
2001-01,2001-01-01,32.353,279.7613
2001-01,2001-01-01,32.103,281.5113
2001-01,2001-01-01,32.103,280.3764
2001-02,2001-02-01,32.353,284.13882
2001-02,2001-02-01,32.353,282.26562
2001-02,2001-02-01,32.103,283.70615
2001-02,2001-02-01,32.103,282.6862
2001-03,2001-03-01,32.353,288.7938
2001-03,2001-03-01,32.353,286.8133
2001-03,2001-03-01,32.103,288.30707
2001-03,2001-03-01,32.103,287.1702
2001-04,2001-04-01,32.353,292.21332
2001-04,2001-04-01,32.353,290.1565
2001-04,2001-04-01,32.103,291.8105
2001-04,2001-04-01,32.103,290.67462
2001-05,2001-05-01,32.353,300.35797
2001-05,2001-05-01,32.353,298.24054
