valid_time,time,latitude,t2m
2000-01,2000-01-01,36.913,283.74963
2000-01,2000-01-01,36.913,284.4267
2000-01,2000-01-01,36.663,282.6436
2000-01,2000-01-01,36.663,283.19254
2000-02,2000-02-01,36.913,285.65173
2000-02,2000-02-01,36.913,285.76263
2000-02,2000-02-01,36.663,285.08826
2000-02,2000-02-01,36.663,285.2874
2000-03,2000-03-01,36.913,287.72342
2000-03,2000-03-01,36.913,287.2815
2000-03,2000-03-01,36.663,287.6518
2000-03,2000-03-01,36.663,287.4103
2000-04,2000-04-01,36.913,290.3292
2000-04,2000-04-01,36.913,289.53214
2000-04,2000-04-01,36.663,290.68692
2000-04,2000-04-01,36.663,290.1646
2000-05,2000-05-01,36.913,294.33008
2000-05,2000-05-01,36.913,292.9699
2000-05,2000-05-01,36.663,295.1421
2000-05,2000-05-01,36.663,294.18158
2000-06,2000-06-01,36.913,296.99646
2000-06,2000-06-01,36.913,295.58002
2000-06,2000-06-01,36.663,297.78564
2000-06,2000-06-01,36.663,296.80365
2000-07,2000-07-01,36.913,300.05835
2000-07,2000-07-01,36.913,298.33374
2000-07,2000-07-01,36.663,301.14404
2000-07,2000-07-01,36.663,299.8385
2000-08,2000-08-01,36.913,300.41864
2000-08,2000-08-01,36.913,299.17993
2000-08,2000-08-01,36.663,301.34076
2000-08,2000-08-01,36.663,300.35992
2000-09,2000-09-01,36.913,297.5686
2000-09,2000-09-01,36.913,296.95944
2000-09,2000-09-01,36.663,297.88547
2000-09,2000-09-01,36.663,297.36838
2000-10,2000-10-01,36.913,293.57977
2000-10,2000-10-01,36.913,293.3939
2000-10,2000-10-01,36.663,293.25864
2000-10,2000-10-01,36.663,293.22803
2000-11,2000-11-01,36.913,290.59863
2000-11,2000-11-01,36.913,290.78128
2000-11,2000-11-01,36.663,289.9792
2000-11,2000-11-01,36.663,290.1476
2000-12,2000-12-01,36.913,287.34988
2000-12,2000-12-01,36.913,287.99435
2000-12,2000-12-01,36.663,286.43008
2000-12,2000-12-01,36.663,286.85355
2001-01,2001-01-01,36.913,285.78323
2001-01,2001-01-01,36.913,286.3745
2001-01,2001-01-01,36.663,284.84763
2001-01,2001-01-01,36.663,285.25632
2001-02,2001-02-01,36.913,285.65005
2001-02,2001-02-01,36.913,285.93365
2001-02,2001-02-01,36.663,284.91254
2001-02,2001-02-01,36.663,285.20273
2001-03,2001-03-01,36.913,289.9284
2001-03,2001-03-01,36.913,289.24127
2001-03,2001-03-01,36.663,290.0277
2001-03,2001-03-01,36.663,289.5861
2001-04,2001-04-01,36.913,289.0453
2001-04,2001-04-01,36.913,288.54108
2001-04,2001-04-01,36.663,289.24268
2001-04,2001-04-01,36.663,288.9262
2001-05,2001-05-01,36.913,293.12616
2001-05,2001-05-01,36.913,291.91943
2001-05,2001-05-01,36.663,293.6269
2001-05,2001-05-01,36.663,292.88147
2001-06,2001-06-01,36.913,297.5313
2001-06,2001-06-01,36.913,295.71442
2001-06,2001-06-01,36.663,298.5633
2001-06,2001-06-01,36.663,297.21228
2001-07,2001-07-01,36.913,299.75488
2001-07,2001-07-01,36.913,298.0456
2001-07,2001-07-01,36.663,300.76587
2001-07,2001-07-01,36.663,299.42285
2001-08,2001-08-01,36.913,299.99432
2001-08,2001-08-01,36.913,298.79843
2001-08,2001-08-01,36.663,300.69208
2001-08,2001-08-01,36.663,299.79492
2001-09,2001-09-01,36.913,297.45392
2001-09,2001-09-01,36.913,296.6726
2001-09,2001-09-01,36.663,297.66992
2001-09,2001-09-01,36.663,297.07812
