valid_time,time,latitude,t2m
2000-01,2000-01-01,49.351,276.3015
2000-01,2000-01-01,49.351,274.35254
2000-01,2000-01-01,49.351,273.3562
2000-01,2000-01-01,49.101,277.89258
2000-01,2000-01-01,49.101,276.40625
2000-01,2000-01-01,49.101,275.90308
2000-02,2000-02-01,49.351,277.771
2000-02,2000-02-01,49.351,275.83252
2000-02,2000-02-01,49.351,274.9519
2000-02,2000-02-01,49.101,279.3689
2000-02,2000-02-01,49.101,277.99402
2000-02,2000-02-01,49.101,277.5995
2000-03,2000-03-01,49.351,278.6764
2000-03,2000-03-01,49.351,277.6474
2000-03,2000-03-01,49.351,277.0385
2000-03,2000-03-01,49.101,280.2801
2000-03,2000-03-01,49.101,279.6931
2000-03,2000-03-01,49.101,279.43292
2000-04,2000-04-01,49.351,281.36896
2000-04,2000-04-01,49.351,280.71973
2000-04,2000-04-01,49.351,280.20636
2000-04,2000-04-01,49.101,283.07214
2000-04,2000-04-01,49.101,282.79114
2000-04,2000-04-01,49.101,282.69104
2000-05,2000-05-01,49.351,283.02722
2000-05,2000-05-01,49.351,282.2641
2000-05,2000-05-01,49.351,281.76526
2000-05,2000-05-01,49.101,284.69672
2000-05,2000-05-01,49.101,284.35052
2000-05,2000-05-01,49.101,284.3437
2000-06,2000-06-01,49.351,286.99258
2000-06,2000-06-01,49.351,286.72568
2000-06,2000-06-01,49.351,286.55472
2000-06,2000-06-01,49.101,288.22583
2000-06,2000-06-01,49.101,288.10217
2000-06,2000-06-01,49.101,288.1342
2000-07,2000-07-01,49.351,288.84076
2000-07,2000-07-01,49.351,288.27466
2000-07,2000-07-01,49.351,288.08978
2000-07,2000-07-01,49.101,289.95053
2000-07,2000-07-01,49.101,289.67752
2000-07,2000-07-01,49.101,289.73236
2000-08,2000-08-01,49.351,289.00812
2000-08,2000-08-01,49.351,288.21808
2000-08,2000-08-01,49.351,287.8595
2000-08,2000-08-01,49.101,289.9521
2000-08,2000-08-01,49.101,289.47095
2000-08,2000-08-01,49.101,289.40424
2000-09,2000-09-01,49.351,287.40167
2000-09,2000-09-01,49.351,286.38287
2000-09,2000-09-01,49.351,285.87756
2000-09,2000-09-01,49.101,288.43866
2000-09,2000-09-01,49.101,287.75275
2000-09,2000-09-01,49.101,287.59058
2000-10,2000-10-01,49.351,283.69318
2000-10,2000-10-01,49.351,282.4848
2000-10,2000-10-01,49.351,281.85626
2000-10,2000-10-01,49.101,284.72516
2000-10,2000-10-01,49.101,283.8598
2000-10,2000-10-01,49.101,283.6692
2000-11,2000-11-01,49.351,278.93494
2000-11,2000-11-01,49.351,277.0653
2000-11,2000-11-01,49.351,275.963
2000-11,2000-11-01,49.101,280.1411
2000-11,2000-11-01,49.101,278.7035
2000-11,2000-11-01,49.101,278.20215
2000-12,2000-12-01,49.351,277.1278
2000-12,2000-12-01,49.351,274.95825
2000-12,2000-12-01,49.351,273.88184
2000-12,2000-12-01,49.101,278.5022
2000-12,2000-12-01,49.101,276.76416
2000-12,2000-12-01,49.101,276.15942
2001-01,2001-01-01,49.351,278.29907
2001-01,2001-01-01,49.351,276.92188
2001-01,2001-01-01,49.351,276.03296
2001-01,2001-01-01,49.101,279.4453
2001-01,2001-01-01,49.101,278.3877
2001-01,2001-01-01,49.101,277.89276
2001-02,2001-02-01,49.351,277.0592
2001-02,2001-02-01,49.351,275.2704
2001-02,2001-02-01,49.351,274.30457
2001-02,2001-02-01,49.101,278.51233
2001-02,2001-02-01,49.101,277.21472
2001-02,2001-02-01,49.101,276.79626
2001-03,2001-03-01,49.351,278.8203
2001-03,2001-03-01,49.351,277.78064
2001-03,2001-03-01,49.351,277.20807
2001-03,2001-03-01,49.101,280.40375
2001-03,2001-03-01,49.101,279.78778
2001-03,2001-03-01,49.101,279.61444
2001-04,2001-04-01,49.351,280.25513
2001-04,2001-04-01,49.351,279.56995
2001-04,2001-04-01,49.351,279.11542
2001-04,2001-04-01,49.101,281.8015
2001-04,2001-04-01,49.101,281.55078
2001-04,2001-04-01,49.101,281.49615
2001-05,2001-05-01,49.351,283.52344
2001-05,2001-05-01,49.351,282.98523
2001-05,2001-05-01,49.351,282.6394
2001-05,2001-05-01,49.101,285.19855
2001-05,2001-05-01,49.101,285.06683
2001-05,2001-05-01,49.101,285.14813
2001-06,2001-06-01,49.351,285.81287
2001-06,2001-06-01,49.351,285.19342
2001-06,2001-06-01,49.351,284.85132
2001-06,2001-06-01,49.101,287.14935
2001-06,2001-06-01,49.101,286.7824
2001-06,2001-06-01,49.101,286.69806
2001-07,2001-07-01,49.351,288.89932
2001-07,2001-07-01,49.351,288.31485
2001-07,2001-07-01,49.351,288.06503
2001-07,2001-07-01,49.101,289.96637
2001-07,2001-07-01,49.101,289.6412
2001-07,2001-07-01,49.101,289.58688
2001-08,2001-08-01,49.351,289.43658
2001-08,2001-08-01,49.351,289.0539
2001-08,2001-08-01,49.351,288.89517
2001-08,2001-08-01,49.101,290.04114
2001-08,2001-08-01,49.101,289.93732
2001-08,2001-08-01,49.101,290.16782
2001-09,2001-09-01,49.351,287.63025
2001-09,2001-09-01,49.351,286.79626
2001-09,2001-09-01,49.351,286.39636
2001-09,2001-09-01,49.101,288.32812
2001-09,2001-09-01,49.101,287.74036
2001-09,2001-09-01,49.101,287.72214
2001-10,2001-10-01,49.351,282.5722
2001-10,2001-10-01,49.351,281.30225
2001-10,2001-10-01,49.351,280.53815
2001-10,2001-10-01,49.101,283.89825
2001-10,2001-10-01,49.101,283.0744
2001-10,2001-10-01,49.101,282.84906
2001-11,2001-11-01,49.351,280.28998
2001-11,2001-11-01,49.351,278.98065
2001-11,2001-11-01,49.351,278.16956
2001-11,2001-11-01,49.101,281.575
2001-11,2001-11-01,49.101,280.7035
2001-11,2001-11-01,49.101,280.38367
2001-12,2001-12-01,49.351,277.14734
2001-12,2001-12-01,49.351,275.26538
2001-12,2001-12-01,49.351,274.21045
2001-12,2001-12-01,49.101,278.6266
2001-12,2001-12-01,49.101,277.2306
2001-12,2001-12-01,49.101,276.6953
2002-01,2002-01-01,49.351,277.04724
2002-01,2002-01-01,49.351,275.48907
2002-01,2002-01-01,49.351,274.62396
2002-01,2002-01-01,49.101,278.5337
2002-01,2002-01-01,49.101,277.4486
2002-01,2002-01-01,49.101,277.06592
2002-02,2002-02-01,49.351,277.5354
2002-02,2002-02-01,49.351,275.91943
2002-02,2002-02-01,49.351,275.0948
2002-02,2002-02-01,49.101,279.00037
2002-02,2002-02-01,49.101,277.8719
2002-02,2002-02-01,49.101,277.4701
2002-03,2002-03-01,49.351,276.49072
2002-03,2002-03-01,49.351,274.854
2002-03,2002-03-01,49.351,274.07288
2002-03,2002-03-01,49.101,278.25476
2002-03,2002-03-01,49.101,277.12573
2002-03,2002-03-01,49.101,276.79333
2002-04,2002-04-01,49.351,280.38422
2002-04,2002-04-01,49.351,279.74182
2002-04,2002-04-01,49.351,279.26923
2002-04,2002-04-01,49.101,282.02124
2002-04,2002-04-01,49.101,281.74884
2002-04,2002-04-01,49.101,281.62665
2002-05,2002-05-01,49.351,282.90143
2002-05,2002-05-01,49.351,282.06482
2002-05,2002-05-01,49.351,281.5558
2002-05,2002-05-01,49.101,284.69122
2002-05,2002-05-01,49.101,284.24115
2002-05,2002-05-01,49.101,284.11664
2002-06,2002-06-01,49.351,287.4939
2002-06,2002-06-01,49.351,287.38324
2002-06,2002-06-01,49.351,287.324
2002-06,2002-06-01,49.101,288.6265
2002-06,2002-06-01,49.101,288.68564
2002-06,2002-06-01,49.101,288.76004
2002-07,2002-07-01,49.351,289.69165
2002-07,2002-07-01,49.351,289.31345
2002-07,2002-07-01,49.351,289.19498
2002-07,2002-07-01,49.101,290.67886
2002-07,2002-07-01,49.101,290.54926
2002-07,2002-07-01,49.101,290.58145
2002-08,2002-08-01,49.351,289.75558
2002-08,2002-08-01,49.351,289.30212
2002-08,2002-08-01,49.351,289.0693
2002-08,2002-08-01,49.101,290.47757
2002-08,2002-08-01,49.101,290.415
2002-08,2002-08-01,49.101,290.47635
2002-09,2002-09-01,49.351,287.39142
2002-09,2002-09-01,49.351,286.38184
2002-09,2002-09-01,49.351,285.84894
2002-09,2002-09-01,49.101,288.28992
2002-09,2002-09-01,49.101,287.68445
2002-09,2002-09-01,49.101,287.5719
2002-10,2002-10-01,49.351,283.3003
2002-10,2002-10-01,49.351,281.8888
2002-10,2002-10-01,49.351,281.0755
2002-10,2002-10-01,49.101,284.23212
2002-10,2002-10-01,49.101,283.1424
2002-10,2002-10-01,49.101,282.82227
2002-11,2002-11-01,49.351,280.99725
2002-11,2002-11-01,49.351,279.4469
2002-11,2002-11-01,49.351,278.526
2002-11,2002-11-01,49.101,282.10742
2002-11,2002-11-01,49.101,280.94836
2002-11,2002-11-01,49.101,280.523
2002-12,2002-12-01,49.351,278.6112
2002-12,2002-12-01,49.351,276.96326
2002-12,2002-12-01,49.351,276.02716
2002-12,2002-12-01,49.101,279.86127
2002-12,2002-12-01,49.101,278.67487
2002-12,2002-12-01,49.101,278.20056
2003-01,2003-01-01,49.351,279.2719
2003-01,2003-01-01,49.351,277.96826
2003-01,2003-01-01,49.351,277.1297
2003-01,2003-01-01,49.101,280.55188
2003-01,2003-01-01,49.101,279.57153
2003-01,2003-01-01,49.101,279.11285
2003-02,2003-02-01,49.351,278.08167
2003-02,2003-02-01,49.351,276.40564
2003-02,2003-02-01,49.351,275.46228
2003-02,2003-02-01,49.101,279.51587
2003-02,2003-02-01,49.101,278.1582
2003-02,2003-02-01,49.101,277.6161
2003-03,2003-03-01,49.351,278.96997
2003-03,2003-03-01,49.351,277.9666
2003-03,2003-03-01,49.351,277.29974
2003-03,2003-03-01,49.101,280.68658
2003-03,2003-03-01,49.101,280.1355
2003-03,2003-03-01,49.101,279.89795
2003-04,2003-04-01,49.351,280.45087
2003-04,2003-04-01,49.351,279.75232
2003-04,2003-04-01,49.351,279.33307
2003-04,2003-04-01,49.101,282.1031
2003-04,2003-04-01,49.101,281.81732
2003-04,2003-04-01,49.101,281.8188
2003-05,2003-05-01,49.351,283.54004
2003-05,2003-05-01,49.351,282.88354
2003-05,2003-05-01,49.351,282.495
2003-05,2003-05-01,49.101,285.1455
2003-05,2003-05-01,49.101,284.86194
2003-05,2003-05-01,49.101,284.86053
2003-06,2003-06-01,49.351,288.1061
2003-06,2003-06-01,49.351,287.9325
2003-06,2003-06-01,49.351,287.8509
2003-06,2003-06-01,49.101,289.37683
2003-06,2003-06-01,49.101,289.47644
2003-06,2003-06-01,49.101,289.4882
2003-07,2003-07-01,49.351,290.48877
2003-07,2003-07-01,49.351,290.13232
2003-07,2003-07-01,49.351,289.99426
2003-07,2003-07-01,49.101,291.56076
2003-07,2003-07-01,49.101,291.4576
2003-07,2003-07-01,49.101,291.437
2003-08,2003-08-01,49.351,290.60715
2003-08,2003-08-01,49.351,289.83215
2003-08,2003-08-01,49.351,289.49152
2003-08,2003-08-01,49.101,291.3058
2003-08,2003-08-01,49.101,290.88617
2003-08,2003-08-01,49.101,290.88965
2003-09,2003-09-01,49.351,288.218
2003-09,2003-09-01,49.351,287.52625
2003-09,2003-09-01,49.351,287.1847
2003-09,2003-09-01,49.101,288.8385
2003-09,2003-09-01,49.101,288.56348
2003-09,2003-09-01,49.101,288.72202
2003-10,2003-10-01,49.351,284.2212
2003-10,2003-10-01,49.351,283.24255
2003-10,2003-10-01,49.351,282.6565
2003-10,2003-10-01,49.101,285.2115
2003-10,2003-10-01,49.101,284.61517
2003-10,2003-10-01,49.101,284.6123
2003-11,2003-11-01,49.351,278.02625
2003-11,2003-11-01,49.351,276.01135
2003-11,2003-11-01,49.351,275.03223
2003-11,2003-11-01,49.101,279.53357
2003-11,2003-11-01,49.101,277.97388
2003-11,2003-11-01,49.101,277.44116
2003-12,2003-12-01,49.351,277.5652
2003-12,2003-12-01,49.351,275.8656
2003-12,2003-12-01,49.351,274.97986
2003-12,2003-12-01,49.101,278.98584
2003-12,2003-12-01,49.101,277.75793
2003-12,2003-12-01,49.101,277.31213
2004-01,2004-01-01,49.351,276.7433
2004-01,2004-01-01,49.351,275.2174
2004-01,2004-01-01,49.351,274.34344
2004-01,2004-01-01,49.101,278.1325
2004-01,2004-01-01,49.101,277.02496
2004-01,2004-01-01,49.101,276.55133
2004-02,2004-02-01,49.351,278.47827
2004-02,2004-02-01,49.351,277.37152
2004-02,2004-02-01,49.351,276.64978
2004-02,2004-02-01,49.101,279.75934
2004-02,2004-02-01,49.101,279.02576
2004-02,2004-02-01,49.101,278.70642
2004-03,2004-03-01,49.351,279.88965
2004-03,2004-03-01,49.351,279.2115
2004-03,2004-03-01,49.351,278.7436
2004-03,2004-03-01,49.101,281.4287
2004-03,2004-03-01,49.101,281.11444
2004-03,2004-03-01,49.101,281.04883
2004-04,2004-04-01,49.351,282.73517
2004-04,2004-04-01,49.351,282.03662
2004-04,2004-04-01,49.351,281.73578
2004-04,2004-04-01,49.101,284.25818
2004-04,2004-04-01,49.101,283.8858
2004-04,2004-04-01,49.101,283.87286
2004-05,2004-05-01,49.351,285.21936
2004-05,2004-05-01,49.351,284.662
2004-05,2004-05-01,49.351,284.46222
2004-05,2004-05-01,49.101,286.5205
2004-05,2004-05-01,49.101,286.1595
2004-05,2004-05-01,49.101,286.09235
2004-06,2004-06-01,49.351,288.467
2004-06,2004-06-01,49.351,288.2134
2004-06,2004-06-01,49.351,288.16797
2004-06,2004-06-01,49.101,289.43018
2004-06,2004-06-01,49.101,289.43137
2004-06,2004-06-01,49.101,289.50122
2004-07,2004-07-01,49.351,291.0566
2004-07,2004-07-01,49.351,290.87952
2004-07,2004-07-01,49.351,290.77664
2004-07,2004-07-01,49.101,291.72568
2004-07,2004-07-01,49.101,291.95337
2004-07,2004-07-01,49.101,292.15982
2004-08,2004-08-01,49.351,291.01752
2004-08,2004-08-01,49.351,290.575
2004-08,2004-08-01,49.351,290.38983
2004-08,2004-08-01,49.101,291.38675
2004-08,2004-08-01,49.101,291.30505
2004-08,2004-08-01,49.101,291.594
2004-09,2004-09-01,49.351,286.53986
2004-09,2004-09-01,49.351,285.55908
2004-09,2004-09-01,49.351,285.06342
2004-09,2004-09-01,49.101,287.46808
2004-09,2004-09-01,49.101,286.8083
2004-09,2004-09-01,49.101,286.73712
2004-10,2004-10-01,49.351,283.6958
2004-10,2004-10-01,49.351,282.44647
2004-10,2004-10-01,49.351,281.81342
2004-10,2004-10-01,49.101,284.935
2004-10,2004-10-01,49.101,283.9923
2004-10,2004-10-01,49.101,283.76526
2004-11,2004-11-01,49.351,279.83417
2004-11,2004-11-01,49.351,278.3806
2004-11,2004-11-01,49.351,277.5622
2004-11,2004-11-01,49.101,281.16827
2004-11,2004-11-01,49.101,279.99347
2004-11,2004-11-01,49.101,279.54724
2004-12,2004-12-01,49.351,278.23022
2004-12,2004-12-01,49.351,276.75208
2004-12,2004-12-01,49.351,275.8531
2004-12,2004-12-01,49.101,279.71448
2004-12,2004-12-01,49.101,278.52423
2004-12,2004-12-01,49.101,278.02112
2005-01,2005-01-01,49.351,276.85046
2005-01,2005-01-01,49.351,275.1266
2005-01,2005-01-01,49.351,274.1322
2005-01,2005-01-01,49.101,278.15234
2005-01,2005-01-01,49.101,276.94922
2005-01,2005-01-01,49.101,276.6228
2005-02,2005-02-01,49.351,278.10706
2005-02,2005-02-01,49.351,276.521
2005-02,2005-02-01,49.351,275.3935
2005-02,2005-02-01,49.101,279.17407
2005-02,2005-02-01,49.101,277.81122
2005-02,2005-02-01,49.101,277.305
2005-03,2005-03-01,49.351,280.09497
2005-03,2005-03-01,49.351,279.26868
2005-03,2005-03-01,49.351,278.7923
2005-03,2005-03-01,49.101,281.58844
2005-03,2005-03-01,49.101,281.15503
2005-03,2005-03-01,49.101,281.07343
2005-04,2005-04-01,49.351,281.6192
2005-04,2005-04-01,49.351,280.99884
2005-04,2005-04-01,49.351,280.58002
2005-04,2005-04-01,49.101,283.1693
2005-04,2005-04-01,49.101,282.9345
2005-04,2005-04-01,49.101,282.92926
2005-05,2005-05-01,49.351,285.58792
2005-05,2005-05-01,49.351,285.4132
2005-05,2005-05-01,49.351,285.3638
2005-05,2005-05-01,49.101,286.8206
2005-05,2005-05-01,49.101,286.88235
2005-05,2005-05-01,49.101,287.048
2005-06,2005-06-01,49.351,286.69843
2005-06,2005-06-01,49.351,286.08112
2005-06,2005-06-01,49.351,285.77075
2005-06,2005-06-01,49.101,287.98218
2005-06,2005-06-01,49.101,287.58826
2005-06,2005-06-01,49.101,287.4784
2005-07,2005-07-01,49.351,289.57776
2005-07,2005-07-01,49.351,289.14758
2005-07,2005-07-01,49.351,288.94446
2005-07,2005-07-01,49.101,290.5946
2005-07,2005-07-01,49.101,290.4346
2005-07,2005-07-01,49.101,290.43454
2005-08,2005-08-01,49.351,290.99243
2005-08,2005-08-01,49.351,290.27994
2005-08,2005-08-01,49.351,290.02893
2005-08,2005-08-01,49.101,291.56653
2005-08,2005-08-01,49.101,291.16583
2005-08,2005-08-01,49.101,291.2335
