valid_time,time,latitude,t2m
2000-01,2000-01-01,48.293,271.35938
2000-01,2000-01-01,48.293,271.5479
2000-01,2000-01-01,48.043,271.26947
2000-01,2000-01-01,48.043,271.58417
2000-02,2000-02-01,48.293,277.36334
2000-02,2000-02-01,48.293,277.4213
2000-02,2000-02-01,48.043,276.9664
2000-02,2000-02-01,48.043,277.4104
2000-03,2000-03-01,48.293,278.88354
2000-03,2000-03-01,48.293,279.05478
2000-03,2000-03-01,48.043,278.49188
2000-03,2000-03-01,48.043,279.13446
2000-04,2000-04-01,48.293,286.12842
2000-04,2000-04-01,48.293,286.48538
2000-04,2000-04-01,48.043,285.7262
2000-04,2000-04-01,48.043,286.45844
2000-05,2000-05-01,48.293,289.85266
2000-05,2000-05-01,48.293,290.27032
2000-05,2000-05-01,48.043,289.29553
2000-05,2000-05-01,48.043,290.12158
2000-06,2000-06-01,48.293,292.80255
2000-06,2000-06-01,48.293,293.25137
2000-06,2000-06-01,48.043,292.30023
2000-06,2000-06-01,48.043,293.18777
2000-07,2000-07-01,48.293,291.2942
2000-07,2000-07-01,48.293,291.6258
2000-07,2000-07-01,48.043,290.77957
2000-07,2000-07-01,48.043,291.59265
2000-08,2000-08-01,48.293,293.99384
2000-08,2000-08-01,48.293,294.37097
2000-08,2000-08-01,48.043,293.53207
2000-08,2000-08-01,48.043,294.344
2000-09,2000-09-01,48.293,287.91797
2000-09,2000-09-01,48.293,288.23883
2000-09,2000-09-01,48.043,287.49564
2000-09,2000-09-01,48.043,288.2401
2000-10,2000-10-01,48.293,285.66968
2000-10,2000-10-01,48.293,286.00952
2000-10,2000-10-01,48.043,285.3526
2000-10,2000-10-01,48.043,285.93292
2000-11,2000-11-01,48.293,279.85294
2000-11,2000-11-01,48.293,280.5077
2000-11,2000-11-01,48.043,279.89026
2000-11,2000-11-01,48.043,280.7422
2000-12,2000-12-01,48.293,274.83374
2000-12,2000-12-01,48.293,274.98785
2000-12,2000-12-01,48.043,274.6797
2000-12,2000-12-01,48.043,275.1052
2001-01,2001-01-01,48.293,273.05365
2001-01,2001-01-01,48.293,273.29272
2001-01,2001-01-01,48.043,272.88116
2001-01,2001-01-01,48.043,273.38275
2001-02,2001-02-01,48.293,275.66443
2001-02,2001-02-01,48.293,275.8278
2001-02,2001-02-01,48.043,275.34167
2001-02,2001-02-01,48.043,275.9931
2001-03,2001-03-01,48.293,279.65698
2001-03,2001-03-01,48.293,279.8228
2001-03,2001-03-01,48.043,279.54688
2001-03,2001-03-01,48.043,280.07507
2001-04,2001-04-01,48.293,282.10577
2001-04,2001-04-01,48.293,282.41742
2001-04,2001-04-01,48.043,281.70117
2001-04,2001-04-01,48.043,282.4425
2001-05,2001-05-01,48.293,289.701
2001-05,2001-05-01,48.293,290.06262
2001-05,2001-05-01,48.043,289.30255
2001-05,2001-05-01,48.043,290.1092
2001-06,2001-06-01,48.293,289.81342
2001-06,2001-06-01,48.293,290.13293
2001-06,2001-06-01,48.043,289.28476
2001-06,2001-06-01,48.043,290.18735
2001-07,2001-07-01,48.293,293.47534
2001-07,2001-07-01,48.293,293.71118
2001-07,2001-07-01,48.043,292.85355
2001-07,2001-07-01,48.043,293.7118
2001-08,2001-08-01,48.293,294.17264
2001-08,2001-08-01,48.293,294.43518
2001-08,2001-08-01,48.043,293.76556
2001-08,2001-08-01,48.043,294.65582
2001-09,2001-09-01,48.293,286.2912
2001-09,2001-09-01,48.293,286.6079
2001-09,2001-09-01,48.043,285.82605
2001-09,2001-09-01,48.043,286.61874
2001-10,2001-10-01,48.293,285.86496
2001-10,2001-10-01,48.293,286.0767
2001-10,2001-10-01,48.043,285.8183
2001-10,2001-10-01,48.043,286.32916
2001-11,2001-11-01,48.293,276.6203
2001-11,2001-11-01,48.293,276.68765
2001-11,2001-11-01,48.043,276.32144
2001-11,2001-11-01,48.043,276.77258
2001-12,2001-12-01,48.293,271.1289
2001-12,2001-12-01,48.293,271.16095
2001-12,2001-12-01,48.043,270.6684
2001-12,2001-12-01,48.043,271.19275
2002-01,2002-01-01,48.293,274.27234
2002-01,2002-01-01,48.293,274.1556
2002-01,2002-01-01,48.043,274.01767
2002-01,2002-01-01,48.043,274.34882
2002-02,2002-02-01,48.293,278.66455
2002-02,2002-02-01,48.293,278.68954
2002-02,2002-02-01,48.043,278.43744
2002-02,2002-02-01,48.043,278.70505
2002-03,2002-03-01,48.293,279.69073
2002-03,2002-03-01,48.293,279.93292
2002-03,2002-03-01,48.043,279.4745
2002-03,2002-03-01,48.043,280.02667
2002-04,2002-04-01,48.293,282.70242
2002-04,2002-04-01,48.293,282.93365
2002-04,2002-04-01,48.043,282.21136
2002-04,2002-04-01,48.043,282.91187
2002-05,2002-05-01,48.293,290.2549
2002-05,2002-05-01,48.293,290.60144
2002-05,2002-05-01,48.043,289.6204
2002-05,2002-05-01,48.043,290.46252
2002-06,2002-06-01,48.293,293.12323
2002-06,2002-06-01,48.293,293.31335
2002-06,2002-06-01,48.043,292.64185
2002-06,2002-06-01,48.043,293.3163
2002-07,2002-07-01,48.293,294.24753
2002-07,2002-07-01,48.293,294.63394
2002-07,2002-07-01,48.043,293.57047
2002-07,2002-07-01,48.043,294.49756
2002-08,2002-08-01,48.293,293.24548
2002-08,2002-08-01,48.293,293.57816
2002-08,2002-08-01,48.043,292.56223
2002-08,2002-08-01,48.043,293.39465
2002-09,2002-09-01,48.293,287.36084
2002-09,2002-09-01,48.293,287.62177
2002-09,2002-09-01,48.043,286.7349
2002-09,2002-09-01,48.043,287.52335
2002-10,2002-10-01,48.293,282.0755
2002-10,2002-10-01,48.293,282.2804
2002-10,2002-10-01,48.043,281.9416
2002-10,2002-10-01,48.043,282.4947
2002-11,2002-11-01,48.293,280.22192
2002-11,2002-11-01,48.293,280.56784
2002-11,2002-11-01,48.043,280.18796
2002-11,2002-11-01,48.043,280.80078
2002-12,2002-12-01,48.293,272.1659
2002-12,2002-12-01,48.293,272.17
2002-12,2002-12-01,48.043,272.35565
2002-12,2002-12-01,48.043,272.5442
2003-01,2003-01-01,48.293,272.07382
2003-01,2003-01-01,48.293,272.15698
2003-01,2003-01-01,48.043,272.2053
2003-01,2003-01-01,48.043,272.50903
2003-02,2003-02-01,48.293,271.1548
2003-02,2003-02-01,48.293,271.48474
2003-02,2003-02-01,48.043,270.578
2003-02,2003-02-01,48.043,271.46448
2003-03,2003-03-01,48.293,278.9192
2003-03,2003-03-01,48.293,279.02927
2003-03,2003-03-01,48.043,278.80457
2003-03,2003-03-01,48.043,279.25098
2003-04,2003-04-01,48.293,282.4931
2003-04,2003-04-01,48.293,282.78644
2003-04,2003-04-01,48.043,282.03424
2003-04,2003-04-01,48.043,282.7856
2003-05,2003-05-01,48.293,290.50305
2003-05,2003-05-01,48.293,290.76733
2003-05,2003-05-01,48.043,289.9267
2003-05,2003-05-01,48.043,290.70996
2003-06,2003-06-01,48.293,294.78055
2003-06,2003-06-01,48.293,295.09088
2003-06,2003-06-01,48.043,294.38364
2003-06,2003-06-01,48.043,295.2528
2003-07,2003-07-01,48.293,294.2025
2003-07,2003-07-01,48.293,294.41586
2003-07,2003-07-01,48.043,293.7025
2003-07,2003-07-01,48.043,294.53986
2003-08,2003-08-01,48.293,296.06055
2003-08,2003-08-01,48.293,296.30658
2003-08,2003-08-01,48.043,295.7901
2003-08,2003-08-01,48.043,296.68213
2003-09,2003-09-01,48.293,288.16418
2003-09,2003-09-01,48.293,288.57538
2003-09,2003-09-01,48.043,287.81604
2003-09,2003-09-01,48.043,288.64752
2003-10,2003-10-01,48.293,280.4519
2003-10,2003-10-01,48.293,280.7507
2003-10,2003-10-01,48.043,279.9593
2003-10,2003-10-01,48.043,280.68573
2003-11,2003-11-01,48.293,279.45172
2003-11,2003-11-01,48.293,279.76813
2003-11,2003-11-01,48.043,279.2475
2003-11,2003-11-01,48.043,279.76562
2003-12,2003-12-01,48.293,273.87854
2003-12,2003-12-01,48.293,274.06854
2003-12,2003-12-01,48.043,273.5299
2003-12,2003-12-01,48.043,274.04816
2004-01,2004-01-01,48.293,271.3651
2004-01,2004-01-01,48.293,271.21808
2004-01,2004-01-01,48.043,271.0141
2004-01,2004-01-01,48.043,271.27344
2004-02,2004-02-01,48.293,276.1187
2004-02,2004-02-01,48.293,276.1647
2004-02,2004-02-01,48.043,275.74387
2004-02,2004-02-01,48.043,276.21304
2004-03,2004-03-01,48.293,277.09808
2004-03,2004-03-01,48.293,277.38898
2004-03,2004-03-01,48.043,276.64087
2004-03,2004-03-01,48.043,277.3926
2004-04,2004-04-01,48.293,284.17554
2004-04,2004-04-01,48.293,284.4144
2004-04,2004-04-01,48.043,283.65137
2004-04,2004-04-01,48.043,284.3052
2004-05,2004-05-01,48.293,286.6118
2004-05,2004-05-01,48.293,286.859
2004-05,2004-05-01,48.043,286.0006
2004-05,2004-05-01,48.043,286.76184
2004-06,2004-06-01,48.293,290.39282
2004-06,2004-06-01,48.293,290.6791
2004-06,2004-06-01,48.043,290.02856
2004-06,2004-06-01,48.043,290.774
2004-07,2004-07-01,48.293,292.49805
2004-07,2004-07-01,48.293,292.88553
2004-07,2004-07-01,48.043,292.00665
2004-07,2004-07-01,48.043,292.86908
2004-08,2004-08-01,48.293,293.55746
2004-08,2004-08-01,48.293,293.9849
2004-08,2004-08-01,48.043,292.7693
2004-08,2004-08-01,48.043,293.80872
2004-09,2004-09-01,48.293,288.31012
2004-09,2004-09-01,48.293,288.67947
2004-09,2004-09-01,48.043,287.78168
2004-09,2004-09-01,48.043,288.6574
2004-10,2004-10-01,48.293,284.14774
2004-10,2004-10-01,48.293,284.53223
2004-10,2004-10-01,48.043,283.95148
2004-10,2004-10-01,48.043,284.58643
2004-11,2004-11-01,48.293,278.70734
2004-11,2004-11-01,48.293,278.98032
2004-11,2004-11-01,48.043,278.2663
2004-11,2004-11-01,48.043,278.93488
2004-12,2004-12-01,48.293,273.75778
2004-12,2004-12-01,48.293,273.98154
2004-12,2004-12-01,48.043,273.7278
2004-12,2004-12-01,48.043,274.09143
2005-01,2005-01-01,48.293,274.37704
2005-01,2005-01-01,48.293,274.4017
2005-01,2005-01-01,48.043,274.18405
2005-01,2005-01-01,48.043,274.53986
2005-02,2005-02-01,48.293,271.22803
2005-02,2005-02-01,48.293,271.3919
2005-02,2005-02-01,48.043,271.0722
2005-02,2005-02-01,48.043,271.5792
2005-03,2005-03-01,48.293,276.18994
2005-03,2005-03-01,48.293,276.43942
2005-03,2005-03-01,48.043,276.12418
2005-03,2005-03-01,48.043,276.69147
2005-04,2005-04-01,48.293,283.7026
2005-04,2005-04-01,48.293,284.04517
2005-04,2005-04-01,48.043,283.33145
2005-04,2005-04-01,48.043,284.0991
2005-05,2005-05-01,48.293,288.1952
2005-05,2005-05-01,48.293,288.56705
2005-05,2005-05-01,48.043,287.88354
2005-05,2005-05-01,48.043,288.70105
2005-06,2005-06-01,48.293,291.28275
2005-06,2005-06-01,48.293,291.75168
2005-06,2005-06-01,48.043,291.0397
2005-06,2005-06-01,48.043,292.11334
2005-07,2005-07-01,48.293,293.06213
2005-07,2005-07-01,48.293,293.39392
2005-07,2005-07-01,48.043,292.57828
2005-07,2005-07-01,48.043,293.46396
2005-08,2005-08-01,48.293,291.26135
2005-08,2005-08-01,48.293,291.60104
2005-08,2005-08-01,48.043,290.61853
2005-08,2005-08-01,48.043,291.50128
2005-09,2005-09-01,48.293,289.1967
2005-09,2005-09-01,48.293,289.54852
2005-09,2005-09-01,48.043,288.6991
2005-09,2005-09-01,48.043,289.49838
2005-10,2005-10-01,48.293,283.63593
2005-10,2005-10-01,48.293,283.86362
2005-10,2005-10-01,48.043,283.3844
2005-10,2005-10-01,48.043,283.852
2005-11,2005-11-01,48.293,276.90063
2005-11,2005-11-01,48.293,277.11002
2005-11,2005-11-01,48.043,276.50226
2005-11,2005-11-01,48.043,277.13025
2005-12,2005-12-01,48.293,273.3329
2005-12,2005-12-01,48.293,273.49243
2005-12,2005-12-01,48.043,273.01166
2005-12,2005-12-01,48.043,273.6963
2006-01,2006-01-01,48.293,268.17154
2006-01,2006-01-01,48.293,268.2541
2006-01,2006-01-01,48.043,268.7435
2006-01,2006-01-01,48.043,269.2973
2006-02,2006-02-01,48.293,272.03003
2006-02,2006-02-01,48.293,272.03372
2006-02,2006-02-01,48.043,272.18243
2006-02,2006-02-01,48.043,272.6111
2006-03,2006-03-01,48.293,276.2563
2006-03,2006-03-01,48.293,276.43622
2006-03,2006-03-01,48.043,276.30127
2006-03,2006-03-01,48.043,276.826
2006-04,2006-04-01,48.293,283.97803
2006-04,2006-04-01,48.293,284.3717
2006-04,2006-04-01,48.043,283.6797
2006-04,2006-04-01,48.043,284.50455
2006-05,2006-05-01,48.293,287.54028
2006-05,2006-05-01,48.293,287.8194
2006-05,2006-05-01,48.043,287.10657
2006-05,2006-05-01,48.043,287.85645
2006-06,2006-06-01,48.293,291.4597
2006-06,2006-06-01,48.293,291.86542
2006-06,2006-06-01,48.043,291.0461
2006-06,2006-06-01,48.043,292.0109
2006-07,2006-07-01,48.293,295.83542
2006-07,2006-07-01,48.293,296.41556
2006-07,2006-07-01,48.043,295.3424
2006-07,2006-07-01,48.043,296.58768
2006-08,2006-08-01,48.293,290.3716
2006-08,2006-08-01,48.293,290.74316
2006-08,2006-08-01,48.043,289.9604
2006-08,2006-08-01,48.043,290.8449
2006-09,2006-09-01,48.293,290.7409
2006-09,2006-09-01,48.293,291.00842
2006-09,2006-09-01,48.043,290.29694
2006-09,2006-09-01,48.043,291.0393
2006-10,2006-10-01,48.293,285.33588
2006-10,2006-10-01,48.293,285.7751
2006-10,2006-10-01,48.043,285.1105
2006-10,2006-10-01,48.043,285.88715
2006-11,2006-11-01,48.293,280.26678
2006-11,2006-11-01,48.293,280.59604
2006-11,2006-11-01,48.043,279.88593
2006-11,2006-11-01,48.043,280.5251
2006-12,2006-12-01,48.293,275.98566
2006-12,2006-12-01,48.293,276.28717
2006-12,2006-12-01,48.043,275.96133
2006-12,2006-12-01,48.043,276.3896
2007-01,2007-01-01,48.293,278.47522
2007-01,2007-01-01,48.293,278.53937
2007-01,2007-01-01,48.043,278.20474
2007-01,2007-01-01,48.043,278.5898
2007-02,2007-02-01,48.293,278.05612
2007-02,2007-02-01,48.293,278.24973
2007-02,2007-02-01,48.043,277.9176
2007-02,2007-02-01,48.043,278.47128
2007-03,2007-03-01,48.293,280.5022
2007-03,2007-03-01,48.293,280.76843
2007-03,2007-03-01,48.043,280.11493
2007-03,2007-03-01,48.043,280.8255
2007-04,2007-04-01,48.293,285.68378
2007-04,2007-04-01,48.293,285.9405
2007-04,2007-04-01,48.043,285.46277
2007-04,2007-04-01,48.043,286.15305
2007-05,2007-05-01,48.293,289.3158
2007-05,2007-05-01,48.293,289.73682
2007-05,2007-05-01,48.043,288.82886
2007-05,2007-05-01,48.043,289.76486
2007-06,2007-06-01,48.293,293.65787
2007-06,2007-06-01,48.293,293.97653
2007-06,2007-06-01,48.043,293.03204
2007-06,2007-06-01,48.043,294.11707
2007-07,2007-07-01,48.293,294.62756
2007-07,2007-07-01,48.293,294.9421
2007-07,2007-07-01,48.043,293.93317
2007-07,2007-07-01,48.043,295.09628
2007-08,2007-08-01,48.293,293.4709
2007-08,2007-08-01,48.293,293.9358
2007-08,2007-08-01,48.043,292.73462
2007-08,2007-08-01,48.043,293.83612
2007-09,2007-09-01,48.293,286.54877
2007-09,2007-09-01,48.293,286.87616
2007-09,2007-09-01,48.043,286.0462
2007-09,2007-09-01,48.043,286.7967
2007-10,2007-10-01,48.293,281.94434
2007-10,2007-10-01,48.293,282.27496
2007-10,2007-10-01,48.043,281.47516
2007-10,2007-10-01,48.043,282.21246
2007-11,2007-11-01,48.293,276.4212
2007-11,2007-11-01,48.293,276.6447
2007-11,2007-11-01,48.043,276.04648
2007-11,2007-11-01,48.043,276.77307
2007-12,2007-12-01,48.293,273.49072
2007-12,2007-12-01,48.293,273.54285
2007-12,2007-12-01,48.043,273.14493
2007-12,2007-12-01,48.043,273.57562
2008-01,2008-01-01,48.293,275.9997
2008-01,2008-01-01,48.293,276.21964
2008-01,2008-01-01,48.043,275.95807
2008-01,2008-01-01,48.043,276.36102
2008-02,2008-02-01,48.293,276.89078
2008-02,2008-02-01,48.293,277.04077
