valid_time,time,latitude,t2m
2000-01,2000-01-01,36.733,277.53412
2000-01,2000-01-01,36.733,277.74365
2000-02,2000-02-01,36.733,280.77563
2000-02,2000-02-01,36.733,280.45615
2000-03,2000-03-01,36.733,285.33917
2000-03,2000-03-01,36.733,285.08932
2000-04,2000-04-01,36.733,287.73242
2000-04,2000-04-01,36.733,287.52472
2000-05,2000-05-01,36.733,294.20804
2000-05,2000-05-01,36.733,293.90445
2000-06,2000-06-01,36.733,297.24152
2000-06,2000-06-01,36.733,297.0436
2000-07,2000-07-01,36.733,297.3469
2000-07,2000-07-01,36.733,297.43045
2000-08,2000-08-01,36.733,297.11124
2000-08,2000-08-01,36.733,297.21268
2000-09,2000-09-01,36.733,294.43625
2000-09,2000-09-01,36.733,294.7586
2000-10,2000-10-01,36.733,288.9664
2000-10,2000-10-01,36.733,289.22668
2000-11,2000-11-01,36.733,282.61493
2000-11,2000-11-01,36.733,282.9195
2000-12,2000-12-01,36.733,276.40564
2000-12,2000-12-01,36.733,276.89258
2001-01,2001-01-01,36.733,277.55786
2001-01,2001-01-01,36.733,277.3843
2001-02,2001-02-01,36.733,280.6659
2001-02,2001-02-01,36.733,280.43588
2001-03,2001-03-01,36.733,281.92438
2001-03,2001-03-01,36.733,281.77402
2001-04,2001-04-01,36.733,288.3157
2001-04,2001-04-01,36.733,287.91742
2001-05,2001-05-01,36.733,292.6129
2001-05,2001-05-01,36.733,292.31903
2001-06,2001-06-01,36.733,297.67868
2001-06,2001-06-01,36.733,297.52924
2001-07,2001-07-01,36.733,297.533
2001-07,2001-07-01,36.733,297.58215
2001-08,2001-08-01,36.733,298.73874
2001-08,2001-08-01,36.733,298.72687
2001-09,2001-09-01,36.733,294.1934
2001-09,2001-09-01,36.733,294.48303
2001-10,2001-10-01,36.733,289.1234
2001-10,2001-10-01,36.733,289.293
2001-11,2001-11-01,36.733,286.7934
2001-11,2001-11-01,36.733,286.822
2001-12,2001-12-01,36.733,283.37457
2001-12,2001-12-01,36.733,283.67786
2002-01,2002-01-01,36.733,280.22015
2002-01,2002-01-01,36.733,280.2929
2002-02,2002-02-01,36.733,280.90463
2002-02,2002-02-01,36.733,280.97775
2002-03,2002-03-01,36.733,284.34308
2002-03,2002-03-01,36.733,284.15897
2002-04,2002-04-01,36.733,290.0846
2002-04,2002-04-01,36.733,289.81116
2002-05,2002-05-01,36.733,292.3847
2002-05,2002-05-01,36.733,292.11533
2002-06,2002-06-01,36.733,297.5586
2002-06,2002-06-01,36.733,297.29095
2002-07,2002-07-01,36.733,299.4931
2002-07,2002-07-01,36.733,299.39447
2002-08,2002-08-01,36.733,298.88654
2002-08,2002-08-01,36.733,298.86002
2002-09,2002-09-01,36.733,295.91263
2002-09,2002-09-01,36.733,296.16043
2002-10,2002-10-01,36.733,290.6319
2002-10,2002-10-01,36.733,291.065
2002-11,2002-11-01,36.733,283.18268
2002-11,2002-11-01,36.733,283.54932
2002-12,2002-12-01,36.733,278.54495
2002-12,2002-12-01,36.733,278.92856
2003-01,2003-01-01,36.733,275.09583
