valid_time,time,latitude,t2m
2000-01,2000-01-01,52.316,272.41742
2000-01,2000-01-01,52.316,272.3731
2000-01,2000-01-01,52.066,272.38406
2000-01,2000-01-01,52.066,272.37555
2000-02,2000-02-01,52.316,275.74564
2000-02,2000-02-01,52.316,275.68927
2000-02,2000-02-01,52.066,275.75302
2000-02,2000-02-01,52.066,275.73993
2000-03,2000-03-01,52.316,276.73694
2000-03,2000-03-01,52.316,276.6914
2000-03,2000-03-01,52.066,276.74432
2000-03,2000-03-01,52.066,276.75092
2000-04,2000-04-01,52.316,285.92725
2000-04,2000-04-01,52.316,285.92712
2000-04,2000-04-01,52.066,285.829
2000-04,2000-04-01,52.066,285.91138
2000-05,2000-05-01,52.316,288.85153
2000-05,2000-05-01,52.316,288.89035
2000-05,2000-05-01,52.066,288.82312
2000-05,2000-05-01,52.066,288.9965
2000-06,2000-06-01,52.316,290.82578
2000-06,2000-06-01,52.316,290.8945
2000-06,2000-06-01,52.066,290.93494
2000-06,2000-06-01,52.066,291.19843
2000-07,2000-07-01,52.316,289.90546
2000-07,2000-07-01,52.316,289.95123
2000-07,2000-07-01,52.066,289.87683
2000-07,2000-07-01,52.066,290.02786
2000-08,2000-08-01,52.316,291.55225
2000-08,2000-08-01,52.316,291.578
2000-08,2000-08-01,52.066,291.5792
2000-08,2000-08-01,52.066,291.69125
2000-09,2000-09-01,52.316,285.32034
2000-09,2000-09-01,52.316,285.27426
2000-09,2000-09-01,52.066,285.27008
2000-09,2000-09-01,52.066,285.29886
2000-10,2000-10-01,52.316,285.12958
2000-10,2000-10-01,52.316,285.0589
2000-10,2000-10-01,52.066,285.16592
2000-10,2000-10-01,52.066,285.152
2000-11,2000-11-01,52.316,279.57318
2000-11,2000-11-01,52.316,279.57727
2000-11,2000-11-01,52.066,279.67117
2000-11,2000-11-01,52.066,279.68918
2000-12,2000-12-01,52.316,274.92642
2000-12,2000-12-01,52.316,274.9051
2000-12,2000-12-01,52.066,274.9873
2000-12,2000-12-01,52.066,274.99393
2001-01,2001-01-01,52.316,272.98874
2001-01,2001-01-01,52.316,272.98248
2001-01,2001-01-01,52.066,273.0075
2001-01,2001-01-01,52.066,272.9999
2001-02,2001-02-01,52.316,272.93018
2001-02,2001-02-01,52.316,272.87454
2001-02,2001-02-01,52.066,272.9903
2001-02,2001-02-01,52.066,272.88965
2001-03,2001-03-01,52.316,275.48087
2001-03,2001-03-01,52.316,275.4871
