valid_time,time,latitude,t2m
2000-01,2000-01-01,39.186,273.73206
2000-01,2000-01-01,39.186,273.78592
2000-01,2000-01-01,39.186,273.80768
2000-01,2000-01-01,39.186,273.97568
2000-01,2000-01-01,38.936,274.29572
2000-01,2000-01-01,38.936,274.37103
2000-01,2000-01-01,38.936,274.38492
2000-01,2000-01-01,38.936,274.61954
2000-01,2000-01-01,38.686,274.85535
2000-01,2000-01-01,38.686,274.97656
2000-01,2000-01-01,38.686,274.99393
2000-01,2000-01-01,38.686,275.12567
2000-02,2000-02-01,39.186,277.3639
2000-02,2000-02-01,39.186,277.3292
2000-02,2000-02-01,39.186,277.30933
2000-02,2000-02-01,39.186,277.24554
2000-02,2000-02-01,38.936,277.66138
2000-02,2000-02-01,38.936,277.6407
2000-02,2000-02-01,38.936,277.62836
2000-02,2000-02-01,38.936,277.64807
2000-02,2000-02-01,38.686,277.89896
2000-02,2000-02-01,38.686,277.88486
2000-02,2000-02-01,38.686,277.86627
2000-02,2000-02-01,38.686,277.7912
2000-03,2000-03-01,39.186,282.574
2000-03,2000-03-01,39.186,282.66306
2000-03,2000-03-01,39.186,282.79117
2000-03,2000-03-01,39.186,282.86978
2000-03,2000-03-01,38.936,283.00485
2000-03,2000-03-01,38.936,283.10278
2000-03,2000-03-01,38.936,283.2622
2000-03,2000-03-01,38.936,283.3925
2000-03,2000-03-01,38.686,283.46368
2000-03,2000-03-01,38.686,283.57474
2000-03,2000-03-01,38.686,283.72366
2000-03,2000-03-01,38.686,283.6884
2000-04,2000-04-01,39.186,284.98044
2000-04,2000-04-01,39.186,285.03845
2000-04,2000-04-01,39.186,285.1034
2000-04,2000-04-01,39.186,285.21597
2000-04,2000-04-01,38.936,285.3726
2000-04,2000-04-01,38.936,285.44724
2000-04,2000-04-01,38.936,285.59592
2000-04,2000-04-01,38.936,285.7487
2000-04,2000-04-01,38.686,285.82678
2000-04,2000-04-01,38.686,285.94806
2000-04,2000-04-01,38.686,286.08762
2000-04,2000-04-01,38.686,286.0696
2000-05,2000-05-01,39.186,291.97266
2000-05,2000-05-01,39.186,292.05978
2000-05,2000-05-01,39.186,292.19702
2000-05,2000-05-01,39.186,292.22888
2000-05,2000-05-01,38.936,292.40353
2000-05,2000-05-01,38.936,292.50064
2000-05,2000-05-01,38.936,292.6317
2000-05,2000-05-01,38.936,292.753
2000-05,2000-05-01,38.686,292.923
2000-05,2000-05-01,38.686,293.00702
2000-05,2000-05-01,38.686,293.12045
2000-05,2000-05-01,38.686,293.01895
2000-06,2000-06-01,39.186,295.94775
2000-06,2000-06-01,39.186,296.05396
2000-06,2000-06-01,39.186,296.16635
2000-06,2000-06-01,39.186,296.24915
2000-06,2000-06-01,38.936,296.3042
2000-06,2000-06-01,38.936,296.4259
2000-06,2000-06-01,38.936,296.55005
2000-06,2000-06-01,38.936,296.67993
2000-06,2000-06-01,38.686,296.7729
2000-06,2000-06-01,38.686,296.82312
2000-06,2000-06-01,38.686,296.93286
2000-06,2000-06-01,38.686,296.86832
2000-07,2000-07-01,39.186,295.65714
2000-07,2000-07-01,39.186,295.89636
2000-07,2000-07-01,39.186,296.09238
2000-07,2000-07-01,39.186,296.25082
2000-07,2000-07-01,38.936,295.89722
2000-07,2000-07-01,38.936,296.15607
2000-07,2000-07-01,38.936,296.3062
2000-07,2000-07-01,38.936,296.5334
2000-07,2000-07-01,38.686,296.2382
2000-07,2000-07-01,38.686,296.36316
2000-07,2000-07-01,38.686,296.50946
2000-07,2000-07-01,38.686,296.64032
2000-08,2000-08-01,39.186,295.75018
2000-08,2000-08-01,39.186,295.9574
2000-08,2000-08-01,39.186,296.07822
2000-08,2000-08-01,39.186,296.23846
2000-08,2000-08-01,38.936,296.11667
2000-08,2000-08-01,38.936,296.35962
2000-08,2000-08-01,38.936,296.4656
2000-08,2000-08-01,38.936,296.63864
2000-08,2000-08-01,38.686,296.39423
2000-08,2000-08-01,38.686,296.5539
2000-08,2000-08-01,38.686,296.67194
2000-08,2000-08-01,38.686,296.759
2000-09,2000-09-01,39.186,291.63354
2000-09,2000-09-01,39.186,291.86203
2000-09,2000-09-01,39.186,291.9863
2000-09,2000-09-01,39.186,292.18817
2000-09,2000-09-01,38.936,291.94614
2000-09,2000-09-01,38.936,292.2072
2000-09,2000-09-01,38.936,292.34045
2000-09,2000-09-01,38.936,292.62567
2000-09,2000-09-01,38.686,292.22308
2000-09,2000-09-01,38.686,292.4994
2000-09,2000-09-01,38.686,292.6625
2000-09,2000-09-01,38.686,292.86914
2000-10,2000-10-01,39.186,287.09628
2000-10,2000-10-01,39.186,287.28207
2000-10,2000-10-01,39.186,287.4259
2000-10,2000-10-01,39.186,287.55246
2000-10,2000-10-01,38.936,287.4732
2000-10,2000-10-01,38.936,287.68555
2000-10,2000-10-01,38.936,287.6821
2000-10,2000-10-01,38.936,287.96405
2000-10,2000-10-01,38.686,287.77808
2000-10,2000-10-01,38.686,287.96176
2000-10,2000-10-01,38.686,287.9919
2000-10,2000-10-01,38.686,288.1587
2000-11,2000-11-01,39.186,279.66617
2000-11,2000-11-01,39.186,279.94095
2000-11,2000-11-01,39.186,280.17
2000-11,2000-11-01,39.186,280.4425
2000-11,2000-11-01,38.936,280.07886
2000-11,2000-11-01,38.936,280.3899
2000-11,2000-11-01,38.936,280.52127
2000-11,2000-11-01,38.936,280.8941
2000-11,2000-11-01,38.686,280.4751
2000-11,2000-11-01,38.686,280.81088
2000-11,2000-11-01,38.686,280.97128
2000-11,2000-11-01,38.686,281.21582
2000-12,2000-12-01,39.186,271.55573
2000-12,2000-12-01,39.186,271.9167
2000-12,2000-12-01,39.186,272.33087
2000-12,2000-12-01,39.186,272.73608
2000-12,2000-12-01,38.936,272.04297
2000-12,2000-12-01,38.936,272.42688
2000-12,2000-12-01,38.936,272.76685
2000-12,2000-12-01,38.936,273.3034
2000-12,2000-12-01,38.686,272.67377
2000-12,2000-12-01,38.686,273.06146
2000-12,2000-12-01,38.686,273.40063
2000-12,2000-12-01,38.686,273.7779
2001-01,2001-01-01,39.186,273.46603
2001-01,2001-01-01,39.186,273.78555
2001-01,2001-01-01,39.186,274.1121
2001-01,2001-01-01,39.186,274.31656
2001-01,2001-01-01,38.936,274.08896
2001-01,2001-01-01,38.936,274.42905
2001-01,2001-01-01,38.936,274.5906
2001-01,2001-01-01,38.936,274.83472
2001-01,2001-01-01,38.686,274.7088
2001-01,2001-01-01,38.686,274.78473
2001-01,2001-01-01,38.686,274.91995
2001-01,2001-01-01,38.686,274.9804
2001-02,2001-02-01,39.186,276.99692
2001-02,2001-02-01,39.186,277.02744
2001-02,2001-02-01,39.186,277.06363
2001-02,2001-02-01,39.186,277.13312
2001-02,2001-02-01,38.936,277.47302
2001-02,2001-02-01,38.936,277.5129
2001-02,2001-02-01,38.936,277.61743
2001-02,2001-02-01,38.936,277.76215
2001-02,2001-02-01,38.686,278.00848
2001-02,2001-02-01,38.686,278.09656
2001-02,2001-02-01,38.686,278.20197
2001-02,2001-02-01,38.686,278.19406
2001-03,2001-03-01,39.186,277.87173
2001-03,2001-03-01,39.186,278.0574
2001-03,2001-03-01,39.186,278.20105
2001-03,2001-03-01,39.186,278.42313
2001-03,2001-03-01,38.936,278.40875
2001-03,2001-03-01,38.936,278.60526
2001-03,2001-03-01,38.936,278.7475
2001-03,2001-03-01,38.936,279.0227
2001-03,2001-03-01,38.686,278.9927
2001-03,2001-03-01,38.686,279.17874
2001-03,2001-03-01,38.686,279.32703
2001-03,2001-03-01,38.686,279.44193
2001-04,2001-04-01,39.186,286.38312
2001-04,2001-04-01,39.186,286.36908
2001-04,2001-04-01,39.186,286.3905
2001-04,2001-04-01,39.186,286.38007
2001-04,2001-04-01,38.936,286.74136
2001-04,2001-04-01,38.936,286.73187
2001-04,2001-04-01,38.936,286.84155
2001-04,2001-04-01,38.936,286.85834
2001-04,2001-04-01,38.686,287.12805
2001-04,2001-04-01,38.686,287.1645
2001-04,2001-04-01,38.686,287.262
2001-04,2001-04-01,38.686,287.0885
2001-05,2001-05-01,39.186,290.85062
2001-05,2001-05-01,39.186,291.04324
2001-05,2001-05-01,39.186,291.15997
2001-05,2001-05-01,39.186,291.23523
2001-05,2001-05-01,38.936,291.1754
2001-05,2001-05-01,38.936,291.38263
2001-05,2001-05-01,38.936,291.49615
2001-05,2001-05-01,38.936,291.69385
