valid_time,time,latitude,t2m
2000-01,2000-01-01,27.955,281.3175
2000-01,2000-01-01,27.955,282.0611
2000-01,2000-01-01,27.705,282.01486
2000-01,2000-01-01,27.705,282.5599
2000-02,2000-02-01,27.955,280.36334
2000-02,2000-02-01,27.955,280.99167
2000-02,2000-02-01,27.705,280.8718
2000-02,2000-02-01,27.705,281.333
2000-03,2000-03-01,27.955,285.32666
2000-03,2000-03-01,27.955,285.4762
2000-03,2000-03-01,27.705,285.7103
2000-03,2000-03-01,27.705,285.68787
2000-04,2000-04-01,27.955,289.60864
2000-04,2000-04-01,27.955,289.25146
2000-04,2000-04-01,27.705,289.88068
2000-04,2000-04-01,27.705,289.32135
2000-05,2000-05-01,27.955,295.0072
2000-05,2000-05-01,27.955,294.59375
2000-05,2000-05-01,27.705,295.31128
2000-05,2000-05-01,27.705,294.725
2000-06,2000-06-01,27.955,297.61475
2000-06,2000-06-01,27.955,297.57294
2000-06,2000-06-01,27.705,298.0014
2000-06,2000-06-01,27.705,297.83685
2000-07,2000-07-01,27.955,300.23883
2000-07,2000-07-01,27.955,300.3287
2000-07,2000-07-01,27.705,300.6651
2000-07,2000-07-01,27.705,300.55292
2000-08,2000-08-01,27.955,299.98636
2000-08,2000-08-01,27.955,300.4223
2000-08,2000-08-01,27.705,300.56818
2000-08,2000-08-01,27.705,300.77222
2000-09,2000-09-01,27.955,297.38025
2000-09,2000-09-01,27.955,298.09988
2000-09,2000-09-01,27.705,298.0281
2000-09,2000-09-01,27.705,298.5721
2000-10,2000-10-01,27.955,293.82425
2000-10,2000-10-01,27.955,294.60013
2000-10,2000-10-01,27.705,294.51132
2000-10,2000-10-01,27.705,295.1264
2000-11,2000-11-01,27.955,287.669
2000-11,2000-11-01,27.955,288.8359
2000-11,2000-11-01,27.705,288.57416
2000-11,2000-11-01,27.705,289.5206
2000-12,2000-12-01,27.955,284.41922
2000-12,2000-12-01,27.955,285.57278
2000-12,2000-12-01,27.705,285.20044
2000-12,2000-12-01,27.705,286.23175
2001-01,2001-01-01,27.955,281.96967
2001-01,2001-01-01,27.955,283.09863
2001-01,2001-01-01,27.705,282.77814
2001-01,2001-01-01,27.705,283.75708
2001-02,2001-02-01,27.955,283.0012
2001-02,2001-02-01,27.955,283.36334
2001-02,2001-02-01,27.705,283.45648
2001-02,2001-02-01,27.705,283.63144
2001-03,2001-03-01,27.955,286.19705
2001-03,2001-03-01,27.955,285.87985
2001-03,2001-03-01,27.705,286.43304
2001-03,2001-03-01,27.705,285.96362
2001-04,2001-04-01,27.955,289.70563
2001-04,2001-04-01,27.955,289.67664
2001-04,2001-04-01,27.705,289.98837
2001-04,2001-04-01,27.705,289.79803
2001-05,2001-05-01,27.955,294.5973
2001-05,2001-05-01,27.955,294.43787
2001-05,2001-05-01,27.705,294.86343
2001-05,2001-05-01,27.705,294.55798
2001-06,2001-06-01,27.955,298.17505
2001-06,2001-06-01,27.955,298.2999
