valid_time,time,latitude,t2m
2000-01,2000-01-01,30.619,275.77545
2000-01,2000-01-01,30.619,275.94397
2000-01,2000-01-01,30.369,276.11774
2000-01,2000-01-01,30.369,276.30286
2000-02,2000-02-01,30.619,279.36328
2000-02,2000-02-01,30.619,279.45712
2000-02,2000-02-01,30.369,279.5361
2000-02,2000-02-01,30.369,279.63144
2000-03,2000-03-01,30.619,286.59686
2000-03,2000-03-01,30.619,286.70078
2000-03,2000-03-01,30.369,286.73724
2000-03,2000-03-01,30.369,286.8127
2000-04,2000-04-01,30.619,291.3729
2000-04,2000-04-01,30.619,291.4576
2000-04,2000-04-01,30.369,291.41025
2000-04,2000-04-01,30.369,291.5205
2000-05,2000-05-01,30.619,296.9995
2000-05,2000-05-01,30.619,297.19073
2000-05,2000-05-01,30.369,297.1881
2000-05,2000-05-01,30.369,297.4134
2000-06,2000-06-01,30.619,299.72665
2000-06,2000-06-01,30.619,299.87915
2000-06,2000-06-01,30.369,299.86475
2000-06,2000-06-01,30.369,300.01404
2000-07,2000-07-01,30.619,303.23138
2000-07,2000-07-01,30.619,303.48773
2000-07,2000-07-01,30.369,303.4706
2000-07,2000-07-01,30.369,303.7472
2000-08,2000-08-01,30.619,301.40375
2000-08,2000-08-01,30.619,301.6514
2000-08,2000-08-01,30.369,301.56757
2000-08,2000-08-01,30.369,301.81216
2000-09,2000-09-01,30.619,297.07715
2000-09,2000-09-01,30.619,297.33087
2000-09,2000-09-01,30.369,297.17975
2000-09,2000-09-01,30.369,297.43204
2000-10,2000-10-01,30.619,290.61
2000-10,2000-10-01,30.619,290.8192
2000-10,2000-10-01,30.369,290.8574
2000-10,2000-10-01,30.369,291.07504
2000-11,2000-11-01,30.619,282.90945
2000-11,2000-11-01,30.619,283.03473
2000-11,2000-11-01,30.369,283.10046
2000-11,2000-11-01,30.369,283.24005
2000-12,2000-12-01,30.619,280.37146
2000-12,2000-12-01,30.619,280.51837
2000-12,2000-12-01,30.369,280.6347
2000-12,2000-12-01,30.369,280.7721
2001-01,2001-01-01,30.619,277.64
2001-01,2001-01-01,30.619,277.83643
2001-01,2001-01-01,30.369,277.98108
2001-01,2001-01-01,30.369,278.18173
2001-02,2001-02-01,30.619,280.14722
2001-02,2001-02-01,30.619,280.30112
2001-02,2001-02-01,30.369,280.4022
2001-02,2001-02-01,30.369,280.5687
2001-03,2001-03-01,30.619,286.1256
2001-03,2001-03-01,30.619,286.26044
2001-03,2001-03-01,30.369,286.34576
2001-03,2001-03-01,30.369,286.51727
2001-04,2001-04-01,30.619,290.2692
2001-04,2001-04-01,30.619,290.44678
2001-04,2001-04-01,30.369,290.414
2001-04,2001-04-01,30.369,290.6122
2001-05,2001-05-01,30.619,296.78558
2001-05,2001-05-01,30.619,297.0901
2001-05,2001-05-01,30.369,296.99286
2001-05,2001-05-01,30.369,297.2644
2001-06,2001-06-01,30.619,299.63205
2001-06,2001-06-01,30.619,299.76968
2001-06,2001-06-01,30.369,299.8133
2001-06,2001-06-01,30.369,299.92355
2001-07,2001-07-01,30.619,303.93054
2001-07,2001-07-01,30.619,304.11972
2001-07,2001-07-01,30.369,304.178
2001-07,2001-07-01,30.369,304.28635
2001-08,2001-08-01,30.619,300.9746
2001-08,2001-08-01,30.619,301.10663
2001-08,2001-08-01,30.369,301.18512
2001-08,2001-08-01,30.369,301.25232
2001-09,2001-09-01,30.619,298.7355
2001-09,2001-09-01,30.619,298.82806
2001-09,2001-09-01,30.369,298.8473
2001-09,2001-09-01,30.369,298.84772
2001-10,2001-10-01,30.619,292.25543
2001-10,2001-10-01,30.619,292.30353
2001-10,2001-10-01,30.369,292.4771
2001-10,2001-10-01,30.369,292.5374
2001-11,2001-11-01,30.619,285.79285
2001-11,2001-11-01,30.619,285.9662
2001-11,2001-11-01,30.369,286.19287
2001-11,2001-11-01,30.369,286.3363
2001-12,2001-12-01,30.619,277.6596
2001-12,2001-12-01,30.619,277.82324
2001-12,2001-12-01,30.369,277.89993
2001-12,2001-12-01,30.369,278.06152
2002-01,2002-01-01,30.619,280.6742
2002-01,2002-01-01,30.619,280.8213
2002-01,2002-01-01,30.369,281.04865
2002-01,2002-01-01,30.369,281.21442
2002-02,2002-02-01,30.619,282.89996
2002-02,2002-02-01,30.619,283.0235
2002-02,2002-02-01,30.369,283.1117
2002-02,2002-02-01,30.369,283.24918
2002-03,2002-03-01,30.619,287.16916
2002-03,2002-03-01,30.619,287.24533
2002-03,2002-03-01,30.369,287.38626
2002-03,2002-03-01,30.369,287.4675
2002-04,2002-04-01,30.619,290.158
2002-04,2002-04-01,30.619,290.27777
2002-04,2002-04-01,30.369,290.38867
2002-04,2002-04-01,30.369,290.55923
2002-05,2002-05-01,30.619,293.62408
2002-05,2002-05-01,30.619,293.82593
2002-05,2002-05-01,30.369,293.7447
2002-05,2002-05-01,30.369,293.9328
2002-06,2002-06-01,30.619,301.01788
2002-06,2002-06-01,30.619,301.12357
2002-06,2002-06-01,30.369,301.19586
2002-06,2002-06-01,30.369,301.30975
2002-07,2002-07-01,30.619,301.85187
2002-07,2002-07-01,30.619,302.1668
2002-07,2002-07-01,30.369,302.06964
2002-07,2002-07-01,30.369,302.37897
2002-08,2002-08-01,30.619,300.65036
2002-08,2002-08-01,30.619,300.89777
2002-08,2002-08-01,30.369,300.79584
2002-08,2002-08-01,30.369,301.03998
2002-09,2002-09-01,30.619,297.29962
2002-09,2002-09-01,30.619,297.51346
2002-09,2002-09-01,30.369,297.4322
2002-09,2002-09-01,30.369,297.65778
2002-10,2002-10-01,30.619,291.99954
2002-10,2002-10-01,30.619,292.17853
2002-10,2002-10-01,30.369,292.19977
2002-10,2002-10-01,30.369,292.38116
2002-11,2002-11-01,30.619,285.63733
2002-11,2002-11-01,30.619,285.81958
2002-11,2002-11-01,30.369,285.9137
2002-11,2002-11-01,30.369,286.06854
2002-12,2002-12-01,30.619,278.4466
2002-12,2002-12-01,30.619,278.5921
2002-12,2002-12-01,30.369,278.65964
2002-12,2002-12-01,30.369,278.8599
2003-01,2003-01-01,30.619,278.2072
2003-01,2003-01-01,30.619,278.25424
2003-01,2003-01-01,30.369,278.49255
2003-01,2003-01-01,30.369,278.5696
2003-02,2003-02-01,30.619,280.22012
2003-02,2003-02-01,30.619,280.36426
2003-02,2003-02-01,30.369,280.5097
2003-02,2003-02-01,30.369,280.6891
2003-03,2003-03-01,30.619,284.05634
2003-03,2003-03-01,30.619,284.22046
2003-03,2003-03-01,30.369,284.25934
2003-03,2003-03-01,30.369,284.4649
2003-04,2003-04-01,30.619,289.67038
2003-04,2003-04-01,30.619,289.80307
2003-04,2003-04-01,30.369,289.91376
2003-04,2003-04-01,30.369,290.08026
2003-05,2003-05-01,30.619,295.46967
2003-05,2003-05-01,30.619,295.6557
2003-05,2003-05-01,30.369,295.64044
2003-05,2003-05-01,30.369,295.83368
2003-06,2003-06-01,30.619,299.86127
2003-06,2003-06-01,30.619,300.035
2003-06,2003-06-01,30.369,299.96207
2003-06,2003-06-01,30.369,300.11462
2003-07,2003-07-01,30.619,302.451
2003-07,2003-07-01,30.619,302.7577
2003-07,2003-07-01,30.369,302.83624
2003-07,2003-07-01,30.369,303.14825
2003-08,2003-08-01,30.619,301.5801
2003-08,2003-08-01,30.619,301.95245
2003-08,2003-08-01,30.369,302.00214
2003-08,2003-08-01,30.369,302.361
2003-09,2003-09-01,30.619,298.03464
2003-09,2003-09-01,30.619,298.3789
2003-09,2003-09-01,30.369,298.41003
2003-09,2003-09-01,30.369,298.71735
2003-10,2003-10-01,30.619,291.06107
2003-10,2003-10-01,30.619,291.15253
2003-10,2003-10-01,30.369,291.336
2003-10,2003-10-01,30.369,291.43134
2003-11,2003-11-01,30.619,285.04047
2003-11,2003-11-01,30.619,285.13007
2003-11,2003-11-01,30.369,285.30273
2003-11,2003-11-01,30.369,285.4201
2003-12,2003-12-01,30.619,278.98993
2003-12,2003-12-01,30.619,279.175
2003-12,2003-12-01,30.369,279.27188
2003-12,2003-12-01,30.369,279.45245
2004-01,2004-01-01,30.619,277.4763
2004-01,2004-01-01,30.619,277.59097
2004-01,2004-01-01,30.369,277.78168
2004-01,2004-01-01,30.369,277.8847
2004-02,2004-02-01,30.619,283.97644
2004-02,2004-02-01,30.619,284.1023
2004-02,2004-02-01,30.369,284.18402
2004-02,2004-02-01,30.369,284.32953
2004-03,2004-03-01,30.619,285.60254
2004-03,2004-03-01,30.619,285.58234
2004-03,2004-03-01,30.369,285.75012
2004-03,2004-03-01,30.369,285.79053
2004-04,2004-04-01,30.619,293.02075
2004-04,2004-04-01,30.619,293.04413
2004-04,2004-04-01,30.369,293.23953
2004-04,2004-04-01,30.369,293.33893
2004-05,2004-05-01,30.619,295.922
2004-05,2004-05-01,30.619,296.0334
2004-05,2004-05-01,30.369,296.1239
2004-05,2004-05-01,30.369,296.27667
2004-06,2004-06-01,30.619,298.4266
2004-06,2004-06-01,30.619,298.63672
2004-06,2004-06-01,30.369,298.6295
2004-06,2004-06-01,30.369,298.82837
2004-07,2004-07-01,30.619,302.4296
2004-07,2004-07-01,30.619,302.7378
2004-07,2004-07-01,30.369,302.67914
2004-07,2004-07-01,30.369,302.9947
2004-08,2004-08-01,30.619,300.43964
2004-08,2004-08-01,30.619,300.74115
2004-08,2004-08-01,30.369,300.69376
2004-08,2004-08-01,30.369,301.00537
2004-09,2004-09-01,30.619,297.21848
2004-09,2004-09-01,30.619,297.45938
2004-09,2004-09-01,30.369,297.54678
2004-09,2004-09-01,30.369,297.80695
2004-10,2004-10-01,30.619,291.47498
2004-10,2004-10-01,30.619,291.748
2004-10,2004-10-01,30.369,291.87787
2004-10,2004-10-01,30.369,292.15778
2004-11,2004-11-01,30.619,286.8152
2004-11,2004-11-01,30.619,287.06293
2004-11,2004-11-01,30.369,287.10117
2004-11,2004-11-01,30.369,287.3452
2004-12,2004-12-01,30.619,279.92755
2004-12,2004-12-01,30.619,280.1067
2004-12,2004-12-01,30.369,280.26306
2004-12,2004-12-01,30.369,280.43445
2005-01,2005-01-01,30.619,276.4234
2005-01,2005-01-01,30.619,276.53098
2005-01,2005-01-01,30.369,276.6069
2005-01,2005-01-01,30.369,276.73203
2005-02,2005-02-01,30.619,276.7287
2005-02,2005-02-01,30.619,276.89944
2005-02,2005-02-01,30.369,276.86954
2005-02,2005-02-01,30.369,277.0573
2005-03,2005-03-01,30.619,283.8262
2005-03,2005-03-01,30.619,283.9292
2005-03,2005-03-01,30.369,283.99072
2005-03,2005-03-01,30.369,284.10876
2005-04,2005-04-01,30.619,293.62042
2005-04,2005-04-01,30.619,293.70947
2005-04,2005-04-01,30.369,293.84558
2005-04,2005-04-01,30.369,293.9582
2005-05,2005-05-01,30.619,296.1493
2005-05,2005-05-01,30.619,296.3108
2005-05,2005-05-01,30.369,296.273
2005-05,2005-05-01,30.369,296.4184
2005-06,2005-06-01,30.619,301.04825
2005-06,2005-06-01,30.619,301.2305
2005-06,2005-06-01,30.369,301.14883
2005-06,2005-06-01,30.369,301.32712
2005-07,2005-07-01,30.619,303.05414
2005-07,2005-07-01,30.619,303.15912
2005-07,2005-07-01,30.369,303.29617
