valid_time,time,latitude,t2m
2000-01,2000-01-01,34.36,273.71878
2000-01,2000-01-01,34.36,273.73685
2000-01,2000-01-01,34.11,272.06033
2000-01,2000-01-01,34.11,271.98056
2000-02,2000-02-01,34.36,277.74176
2000-02,2000-02-01,34.36,277.70178
2000-02,2000-02-01,34.11,275.68018
2000-02,2000-02-01,34.11,275.5329
2000-03,2000-03-01,34.36,285.85522
2000-03,2000-03-01,34.36,285.96527
2000-03,2000-03-01,34.11,283.53833
2000-03,2000-03-01,34.11,283.50385
2000-04,2000-04-01,34.36,290.63287
2000-04,2000-04-01,34.36,290.65845
2000-04,2000-04-01,34.11,288.06256
2000-04,2000-04-01,34.11,287.95514
2000-05,2000-05-01,34.36,297.17682
2000-05,2000-05-01,34.36,297.33795
2000-05,2000-05-01,34.11,294.45557
2000-05,2000-05-01,34.11,294.43744
2000-06,2000-06-01,34.36,298.95044
2000-06,2000-06-01,34.36,299.16528
2000-06,2000-06-01,34.11,296.0777
2000-06,2000-06-01,34.11,296.12292
2000-07,2000-07-01,34.36,302.06525
2000-07,2000-07-01,34.36,302.29504
2000-07,2000-07-01,34.11,299.2378
2000-07,2000-07-01,34.11,299.24146
2000-08,2000-08-01,34.36,298.3734
2000-08,2000-08-01,34.36,298.56323
2000-08,2000-08-01,34.11,296.42963
2000-08,2000-08-01,34.11,296.45935
2000-09,2000-09-01,34.36,294.2475
2000-09,2000-09-01,34.36,294.4124
2000-09,2000-09-01,34.11,291.98016
2000-09,2000-09-01,34.11,291.9828
2000-10,2000-10-01,34.36,287.62314
2000-10,2000-10-01,34.36,287.7008
2000-10,2000-10-01,34.11,285.8003
2000-10,2000-10-01,34.11,285.75134
2000-11,2000-11-01,34.36,279.9784
2000-11,2000-11-01,34.36,279.9385
2000-11,2000-11-01,34.11,278.18677
2000-11,2000-11-01,34.11,278.02228
2000-12,2000-12-01,34.36,277.34033
2000-12,2000-12-01,34.36,277.1836
2000-12,2000-12-01,34.11,275.49664
2000-12,2000-12-01,34.11,275.2704
2001-01,2001-01-01,34.36,274.92978
2001-01,2001-01-01,34.36,274.86102
2001-01,2001-01-01,34.11,273.1749
2001-01,2001-01-01,34.11,272.97916
2001-02,2001-02-01,34.36,279.03223
2001-02,2001-02-01,34.36,279.0474
2001-02,2001-02-01,34.11,277.405
2001-02,2001-02-01,34.11,277.3057
2001-03,2001-03-01,34.36,285.4793
2001-03,2001-03-01,34.36,285.49493
2001-03,2001-03-01,34.11,283.4937
2001-03,2001-03-01,34.11,283.35724
2001-04,2001-04-01,34.36,289.08502
2001-04,2001-04-01,34.36,289.24017
2001-04,2001-04-01,34.11,286.66937
2001-04,2001-04-01,34.11,286.6554
2001-05,2001-05-01,34.36,296.42145
2001-05,2001-05-01,34.36,296.50916
2001-05,2001-05-01,34.11,293.43402
2001-05,2001-05-01,34.11,293.3424
2001-06,2001-06-01,34.36,300.15106
2001-06,2001-06-01,34.36,300.5547
2001-06,2001-06-01,34.11,296.9973
2001-06,2001-06-01,34.11,297.1974
2001-07,2001-07-01,34.36,302.81738
2001-07,2001-07-01,34.36,303.07202
2001-07,2001-07-01,34.11,299.68018
2001-07,2001-07-01,34.11,299.75275
2001-08,2001-08-01,34.36,299.71667
2001-08,2001-08-01,34.36,299.86462
2001-08,2001-08-01,34.11,297.11157
2001-08,2001-08-01,34.11,297.0539
2001-09,2001-09-01,34.36,293.71826
2001-09,2001-09-01,34.36,293.99432
2001-09,2001-09-01,34.11,291.7323
2001-09,2001-09-01,34.11,291.82568
2001-10,2001-10-01,34.36,289.12476
2001-10,2001-10-01,34.36,289.28998
2001-10,2001-10-01,34.11,287.49277
2001-10,2001-10-01,34.11,287.505
2001-11,2001-11-01,34.36,281.9965
2001-11,2001-11-01,34.36,281.97763
2001-11,2001-11-01,34.11,280.66647
2001-11,2001-11-01,34.11,280.52255
2001-12,2001-12-01,34.36,274.90466
2001-12,2001-12-01,34.36,274.73615
2001-12,2001-12-01,34.11,272.98663
2001-12,2001-12-01,34.11,272.66364
2002-01,2002-01-01,34.36,277.27252
2002-01,2002-01-01,34.36,277.16785
2002-01,2002-01-01,34.11,275.39984
2002-01,2002-01-01,34.11,275.18414
2002-02,2002-02-01,34.36,280.62097
2002-02,2002-02-01,34.36,280.7154
2002-02,2002-02-01,34.11,278.677
2002-02,2002-02-01,34.11,278.6446
2002-03,2002-03-01,34.36,285.9859
2002-03,2002-03-01,34.36,286.05414
2002-03,2002-03-01,34.11,283.77307
2002-03,2002-03-01,34.11,283.68707
2002-04,2002-04-01,34.36,290.17365
2002-04,2002-04-01,34.36,290.2235
2002-04,2002-04-01,34.11,287.5205
2002-04,2002-04-01,34.11,287.40112
2002-05,2002-05-01,34.36,293.5525
2002-05,2002-05-01,34.36,293.7287
2002-05,2002-05-01,34.11,291.12994
2002-05,2002-05-01,34.11,291.09955
2002-06,2002-06-01,34.36,301.162
2002-06,2002-06-01,34.36,301.4154
2002-06,2002-06-01,34.11,298.18726
2002-06,2002-06-01,34.11,298.26093
2002-07,2002-07-01,34.36,303.0359
2002-07,2002-07-01,34.36,303.54852
2002-07,2002-07-01,34.11,299.8875
2002-07,2002-07-01,34.11,300.185
2002-08,2002-08-01,34.36,299.67322
2002-08,2002-08-01,34.36,300.05304
2002-08,2002-08-01,34.11,297.25677
2002-08,2002-08-01,34.11,297.43262
2002-09,2002-09-01,34.36,294.5639
2002-09,2002-09-01,34.36,294.846
