valid_time,time,latitude,t2m
2000-01,2000-01-01,16.97,297.68597
2000-01,2000-01-01,16.97,297.8046
2000-01,2000-01-01,16.72,297.82083
2000-01,2000-01-01,16.72,297.97614
2000-02,2000-02-01,16.97,299.87268
2000-02,2000-02-01,16.97,299.91858
2000-02,2000-02-01,16.72,299.81778
2000-02,2000-02-01,16.72,299.96027
2000-03,2000-03-01,16.97,301.97577
2000-03,2000-03-01,16.97,302.07727
2000-03,2000-03-01,16.72,301.85022
2000-03,2000-03-01,16.72,301.84003
2000-04,2000-04-01,16.97,303.68365
2000-04,2000-04-01,16.97,303.51727
2000-04,2000-04-01,16.72,303.30157
2000-04,2000-04-01,16.72,303.14542
2000-05,2000-05-01,16.97,301.3179
2000-05,2000-05-01,16.97,301.34158
2000-05,2000-05-01,16.72,301.16354
2000-05,2000-05-01,16.72,301.39813
2000-06,2000-06-01,16.97,300.18103
2000-06,2000-06-01,16.97,300.27692
2000-06,2000-06-01,16.72,300.08926
2000-06,2000-06-01,16.72,300.3948
2000-07,2000-07-01,16.97,300.52502
2000-07,2000-07-01,16.97,300.58728
2000-07,2000-07-01,16.72,300.38147
2000-07,2000-07-01,16.72,300.6718
2000-08,2000-08-01,16.97,300.33362
2000-08,2000-08-01,16.97,300.4011
2000-08,2000-08-01,16.72,300.19855
2000-08,2000-08-01,16.72,300.49875
2000-09,2000-09-01,16.97,300.35876
2000-09,2000-09-01,16.97,300.41528
2000-09,2000-09-01,16.72,300.24005
2000-09,2000-09-01,16.72,300.51822
2000-10,2000-10-01,16.97,300.63632
2000-10,2000-10-01,16.97,300.7495
2000-10,2000-10-01,16.72,300.48975
2000-10,2000-10-01,16.72,300.84033
2000-11,2000-11-01,16.97,299.65173
2000-11,2000-11-01,16.97,299.69098
2000-11,2000-11-01,16.72,299.65964
2000-11,2000-11-01,16.72,299.87897
2000-12,2000-12-01,16.97,298.09656
2000-12,2000-12-01,16.97,298.3246
2000-12,2000-12-01,16.72,298.2196
2000-12,2000-12-01,16.72,298.5266
2001-01,2001-01-01,16.97,298.19568
2001-01,2001-01-01,16.97,298.3985
2001-01,2001-01-01,16.72,298.29947
2001-01,2001-01-01,16.72,298.50742
2001-02,2001-02-01,16.97,299.1639
2001-02,2001-02-01,16.97,299.30338
2001-02,2001-02-01,16.72,299.18295
2001-02,2001-02-01,16.72,299.2946
2001-03,2001-03-01,16.97,301.92197
2001-03,2001-03-01,16.97,302.09448
2001-03,2001-03-01,16.72,301.64615
2001-03,2001-03-01,16.72,301.81055
2001-04,2001-04-01,16.97,305.23413
2001-04,2001-04-01,16.97,305.40576
2001-04,2001-04-01,16.72,304.93915
2001-04,2001-04-01,16.72,304.73468
2001-05,2001-05-01,16.97,301.46768
2001-05,2001-05-01,16.97,301.4124
2001-05,2001-05-01,16.72,301.20407
2001-05,2001-05-01,16.72,301.35104
2001-06,2001-06-01,16.97,300.5295
2001-06,2001-06-01,16.97,300.59802
2001-06,2001-06-01,16.72,300.43433
2001-06,2001-06-01,16.72,300.72818
2001-07,2001-07-01,16.97,300.29062
2001-07,2001-07-01,16.97,300.34116
2001-07,2001-07-01,16.72,300.19708
2001-07,2001-07-01,16.72,300.48236
2001-08,2001-08-01,16.97,300.23917
2001-08,2001-08-01,16.97,300.33704
2001-08,2001-08-01,16.72,300.0712
2001-08,2001-08-01,16.72,300.3933
2001-09,2001-09-01,16.97,300.5953
2001-09,2001-09-01,16.97,300.64395
2001-09,2001-09-01,16.72,300.4708
2001-09,2001-09-01,16.72,300.72504
2001-10,2001-10-01,16.97,300.9812
2001-10,2001-10-01,16.97,301.13788
2001-10,2001-10-01,16.72,300.9261
2001-10,2001-10-01,16.72,301.279
2001-11,2001-11-01,16.97,298.87817
2001-11,2001-11-01,16.97,298.8575
2001-11,2001-11-01,16.72,298.75342
2001-11,2001-11-01,16.72,299.02362
2001-12,2001-12-01,16.97,298.79584
2001-12,2001-12-01,16.97,299.01743
2001-12,2001-12-01,16.72,298.9098
2001-12,2001-12-01,16.72,299.184
2002-01,2002-01-01,16.97,297.5913
2002-01,2002-01-01,16.97,297.6911
2002-01,2002-01-01,16.72,297.7544
2002-01,2002-01-01,16.72,297.92377
2002-02,2002-02-01,16.97,299.4904
2002-02,2002-02-01,16.97,299.74585
2002-02,2002-02-01,16.72,299.69385
2002-02,2002-02-01,16.72,299.99194
2002-03,2002-03-01,16.97,302.03815
2002-03,2002-03-01,16.97,302.15533
2002-03,2002-03-01,16.72,301.9643
2002-03,2002-03-01,16.72,301.9052
2002-04,2002-04-01,16.97,304.6492
2002-04,2002-04-01,16.97,304.64267
2002-04,2002-04-01,16.72,304.25696
2002-04,2002-04-01,16.72,304.016
2002-05,2002-05-01,16.97,302.78256
2002-05,2002-05-01,16.97,302.83456
2002-05,2002-05-01,16.72,302.53333
2002-05,2002-05-01,16.72,302.69247
2002-06,2002-06-01,16.97,300.9797
2002-06,2002-06-01,16.97,301.02307
2002-06,2002-06-01,16.72,300.89294
2002-06,2002-06-01,16.72,301.1659
2002-07,2002-07-01,16.97,300.6222
2002-07,2002-07-01,16.97,300.669
2002-07,2002-07-01,16.72,300.5742
2002-07,2002-07-01,16.72,300.85358
2002-08,2002-08-01,16.97,300.02155
2002-08,2002-08-01,16.97,300.08502
2002-08,2002-08-01,16.72,299.91275
2002-08,2002-08-01,16.72,300.22046
2002-09,2002-09-01,16.97,300.41095
2002-09,2002-09-01,16.97,300.4642
2002-09,2002-09-01,16.72,300.27994
2002-09,2002-09-01,16.72,300.55634
2002-10,2002-10-01,16.97,301.11072
2002-10,2002-10-01,16.97,301.0803
2002-10,2002-10-01,16.72,301.01077
2002-10,2002-10-01,16.72,301.29388
2002-11,2002-11-01,16.97,300.37543
2002-11,2002-11-01,16.97,300.44583
2002-11,2002-11-01,16.72,300.31143
2002-11,2002-11-01,16.72,300.6156
2002-12,2002-12-01,16.97,298.1224
2002-12,2002-12-01,16.97,298.28082
2002-12,2002-12-01,16.72,298.19214
2002-12,2002-12-01,16.72,298.58386
2003-01,2003-01-01,16.97,297.0813
2003-01,2003-01-01,16.97,297.09415
2003-01,2003-01-01,16.72,297.0514
2003-01,2003-01-01,16.72,297.32806
2003-02,2003-02-01,16.97,299.3168
2003-02,2003-02-01,16.97,299.42673
2003-02,2003-02-01,16.72,299.30826
2003-02,2003-02-01,16.72,299.54483
2003-03,2003-03-01,16.97,301.79828
2003-03,2003-03-01,16.97,301.98468
2003-03,2003-03-01,16.72,301.71973
2003-03,2003-03-01,16.72,301.84137
2003-04,2003-04-01,16.97,305.06012
2003-04,2003-04-01,16.97,305.0746
2003-04,2003-04-01,16.72,304.68262
2003-04,2003-04-01,16.72,304.4951
2003-05,2003-05-01,16.97,302.30487
2003-05,2003-05-01,16.97,302.40036
2003-05,2003-05-01,16.72,302.0822
2003-05,2003-05-01,16.72,302.3022
2003-06,2003-06-01,16.97,300.29044
2003-06,2003-06-01,16.97,300.39816
2003-06,2003-06-01,16.72,300.1906
2003-06,2003-06-01,16.72,300.53513
2003-07,2003-07-01,16.97,300.57867
2003-07,2003-07-01,16.97,300.66425
2003-07,2003-07-01,16.72,300.41916
2003-07,2003-07-01,16.72,300.7358
2003-08,2003-08-01,16.97,300.47223
2003-08,2003-08-01,16.97,300.54346
2003-08,2003-08-01,16.72,300.37454
2003-08,2003-08-01,16.72,300.66504
2003-09,2003-09-01,16.97,300.46057
2003-09,2003-09-01,16.97,300.54425
2003-09,2003-09-01,16.72,300.2983
2003-09,2003-09-01,16.72,300.6129
2003-10,2003-10-01,16.97,301.64334
2003-10,2003-10-01,16.97,301.70386
2003-10,2003-10-01,16.72,301.51288
2003-10,2003-10-01,16.72,301.81134
2003-11,2003-11-01,16.97,300.21753
2003-11,2003-11-01,16.97,300.32886
2003-11,2003-11-01,16.72,300.1943
2003-11,2003-11-01,16.72,300.53293
2003-12,2003-12-01,16.97,298.43936
2003-12,2003-12-01,16.97,298.31955
2003-12,2003-12-01,16.72,298.31934
2003-12,2003-12-01,16.72,298.42746
2004-01,2004-01-01,16.97,297.85052
2004-01,2004-01-01,16.97,297.9071
2004-01,2004-01-01,16.72,297.9576
2004-01,2004-01-01,16.72,298.15
2004-02,2004-02-01,16.97,299.42136
2004-02,2004-02-01,16.97,299.50073
2004-02,2004-02-01,16.72,299.3486
2004-02,2004-02-01,16.72,299.4602
2004-03,2004-03-01,16.97,302.83234
2004-03,2004-03-01,16.97,302.79346
2004-03,2004-03-01,16.72,302.4975
2004-03,2004-03-01,16.72,302.226
2004-04,2004-04-01,16.97,305.5677
2004-04,2004-04-01,16.97,305.66864
2004-04,2004-04-01,16.72,305.2533
2004-04,2004-04-01,16.72,304.97128
2004-05,2004-05-01,16.97,302.01398
2004-05,2004-05-01,16.97,302.0516
2004-05,2004-05-01,16.72,301.81763
2004-05,2004-05-01,16.72,302.0274
2004-06,2004-06-01,16.97,300.6631
2004-06,2004-06-01,16.97,300.78235
2004-06,2004-06-01,16.72,300.58105
2004-06,2004-06-01,16.72,300.90625
2004-07,2004-07-01,16.97,300.40396
2004-07,2004-07-01,16.97,300.46304
2004-07,2004-07-01,16.72,300.33646
2004-07,2004-07-01,16.72,300.6109
2004-08,2004-08-01,16.97,299.97327
2004-08,2004-08-01,16.97,300.08783
2004-08,2004-08-01,16.72,299.8528
2004-08,2004-08-01,16.72,300.1985
2004-09,2004-09-01,16.97,300.7205
2004-09,2004-09-01,16.97,300.7756
2004-09,2004-09-01,16.72,300.63394
2004-09,2004-09-01,16.72,300.93143
2004-10,2004-10-01,16.97,300.89066
2004-10,2004-10-01,16.97,300.96643
2004-10,2004-10-01,16.72,300.77435
2004-10,2004-10-01,16.72,301.08206
2004-11,2004-11-01,16.97,300.7315
2004-11,2004-11-01,16.97,300.78406
2004-11,2004-11-01,16.72,300.66306
2004-11,2004-11-01,16.72,300.8899
2004-12,2004-12-01,16.97,297.35837
2004-12,2004-12-01,16.97,297.3165
2004-12,2004-12-01,16.72,297.3364
2004-12,2004-12-01,16.72,297.46298
2005-01,2005-01-01,16.97,297.91913
2005-01,2005-01-01,16.97,298.01227
2005-01,2005-01-01,16.72,297.9067
2005-01,2005-01-01,16.72,298.06088
2005-02,2005-02-01,16.97,300.18378
2005-02,2005-02-01,16.97,300.37558
2005-02,2005-02-01,16.72,300.10364
2005-02,2005-02-01,16.72,300.2103
2005-03,2005-03-01,16.97,303.4193
2005-03,2005-03-01,16.97,303.51154
2005-03,2005-03-01,16.72,303.05618
2005-03,2005-03-01,16.72,302.95773
2005-04,2005-04-01,16.97,305.27097
2005-04,2005-04-01,16.97,305.37344
2005-04,2005-04-01,16.72,305.0102
2005-04,2005-04-01,16.72,304.89142
2005-05,2005-05-01,16.97,304.09082
2005-05,2005-05-01,16.97,304.01428
2005-05,2005-05-01,16.72,303.67514
2005-05,2005-05-01,16.72,303.75998
2005-06,2005-06-01,16.97,300.97995
2005-06,2005-06-01,16.97,301.0857
2005-06,2005-06-01,16.72,300.91357
2005-06,2005-06-01,16.72,301.22543
2005-07,2005-07-01,16.97,300.3801
2005-07,2005-07-01,16.97,300.4679
2005-07,2005-07-01,16.72,300.25146
2005-07,2005-07-01,16.72,300.56537
2005-08,2005-08-01,16.97,300.46252
2005-08,2005-08-01,16.97,300.52478
2005-08,2005-08-01,16.72,300.39722
2005-08,2005-08-01,16.72,300.6715
2005-09,2005-09-01,16.97,300.49994
2005-09,2005-09-01,16.97,300.56912
2005-09,2005-09-01,16.72,300.40845
2005-09,2005-09-01,16.72,300.69452
2005-10,2005-10-01,16.97,301.58838
2005-10,2005-10-01,16.97,301.6316
2005-10,2005-10-01,16.72,301.48495
2005-10,2005-10-01,16.72,301.75952
2005-11,2005-11-01,16.97,300.12616
2005-11,2005-11-01,16.97,300.2018
2005-11,2005-11-01,16.72,300.10254
2005-11,2005-11-01,16.72,300.4226
2005-12,2005-12-01,16.97,298.5777
2005-12,2005-12-01,16.97,298.77692
2005-12,2005-12-01,16.72,298.65753
2005-12,2005-12-01,16.72,298.98083
2006-01,2006-01-01,16.97,297.44937
2006-01,2006-01-01,16.97,297.5192
2006-01,2006-01-01,16.72,297.59064
2006-01,2006-01-01,16.72,297.76694
2006-02,2006-02-01,16.97,299.92053
2006-02,2006-02-01,16.97,300.17444
2006-02,2006-02-01,16.72,299.96652
2006-02,2006-02-01,16.72,300.33862
2006-03,2006-03-01,16.97,302.9146
2006-03,2006-03-01,16.97,303.0342
2006-03,2006-03-01,16.72,302.71832
2006-03,2006-03-01,16.72,302.7325
2006-04,2006-04-01,16.97,303.74896
2006-04,2006-04-01,16.97,303.78668
2006-04,2006-04-01,16.72,303.37054
2006-04,2006-04-01,16.72,303.40872
2006-05,2006-05-01,16.97,301.60916
2006-05,2006-05-01,16.97,301.66263
2006-05,2006-05-01,16.72,301.43524
2006-05,2006-05-01,16.72,301.7114
2006-06,2006-06-01,16.97,300.82877
2006-06,2006-06-01,16.97,300.9652
2006-06,2006-06-01,16.72,300.7571
2006-06,2006-06-01,16.72,301.11075
2006-07,2006-07-01,16.97,300.27463
2006-07,2006-07-01,16.97,300.33206
2006-07,2006-07-01,16.72,300.23364
2006-07,2006-07-01,16.72,300.51752
2006-08,2006-08-01,16.97,300.02954
2006-08,2006-08-01,16.97,300.12683
2006-08,2006-08-01,16.72,299.88025
2006-08,2006-08-01,16.72,300.21362
2006-09,2006-09-01,16.97,300.64496
2006-09,2006-09-01,16.97,300.71988
2006-09,2006-09-01,16.72,300.49664
2006-09,2006-09-01,16.72,300.8038
2006-10,2006-10-01,16.97,301.5172
2006-10,2006-10-01,16.97,301.53488
2006-10,2006-10-01,16.72,301.39404
2006-10,2006-10-01,16.72,301.64136
2006-11,2006-11-01,16.97,300.449
2006-11,2006-11-01,16.97,300.3746
2006-11,2006-11-01,16.72,300.38315
2006-11,2006-11-01,16.72,300.5078
2006-12,2006-12-01,16.97,297.49332
2006-12,2006-12-01,16.97,297.58524
2006-12,2006-12-01,16.72,297.54633
2006-12,2006-12-01,16.72,297.77344
2007-01,2007-01-01,16.97,296.8451
2007-01,2007-01-01,16.97,296.83813
2007-01,2007-01-01,16.72,296.98996
2007-01,2007-01-01,16.72,297.14908
2007-02,2007-02-01,16.97,299.56476
2007-02,2007-02-01,16.97,299.68896
2007-02,2007-02-01,16.72,299.55618
2007-02,2007-02-01,16.72,299.67914
2007-03,2007-03-01,16.97,302.1953
2007-03,2007-03-01,16.97,302.17194
2007-03,2007-03-01,16.72,301.8379
2007-03,2007-03-01,16.72,301.5833
2007-04,2007-04-01,16.97,305.28232
2007-04,2007-04-01,16.97,305.3357
2007-04,2007-04-01,16.72,304.89172
2007-04,2007-04-01,16.72,304.62622
2007-05,2007-05-01,16.97,301.36438
2007-05,2007-05-01,16.97,301.4474
2007-05,2007-05-01,16.72,301.19553
2007-05,2007-05-01,16.72,301.49112
2007-06,2007-06-01,16.97,301.50665
2007-06,2007-06-01,16.97,301.62488
2007-06,2007-06-01,16.72,301.41357
2007-06,2007-06-01,16.72,301.7611
2007-07,2007-07-01,16.97,300.4179
2007-07,2007-07-01,16.97,300.50763
2007-07,2007-07-01,16.72,300.32608
2007-07,2007-07-01,16.72,300.6194
