valid_time,time,latitude,t2m
2000-01,2000-01-01,37.573,270.5847
2000-01,2000-01-01,37.573,271.01074
2000-01,2000-01-01,37.323,269.73724
2000-01,2000-01-01,37.323,270.12732
2000-02,2000-02-01,37.573,271.44473
2000-02,2000-02-01,37.573,271.71143
2000-02,2000-02-01,37.323,270.90546
2000-02,2000-02-01,37.323,271.09393
2000-03,2000-03-01,37.573,278.87506
2000-03,2000-03-01,37.573,278.53964
2000-03,2000-03-01,37.323,278.96948
2000-03,2000-03-01,37.323,278.94452
2000-04,2000-04-01,37.573,284.96436
2000-04,2000-04-01,37.573,284.44873
2000-04,2000-04-01,37.323,285.35297
2000-04,2000-04-01,37.323,285.356
2000-05,2000-05-01,37.573,289.94925
2000-05,2000-05-01,37.573,289.4268
2000-05,2000-05-01,37.323,290.57315
2000-05,2000-05-01,37.323,290.58417
2000-06,2000-06-01,37.573,296.09485
2000-06,2000-06-01,37.573,295.6975
2000-06,2000-06-01,37.323,296.5351
2000-06,2000-06-01,37.323,296.64655
2000-07,2000-07-01,37.573,299.41364
2000-07,2000-07-01,37.573,299.2482
2000-07,2000-07-01,37.323,299.4351
2000-07,2000-07-01,37.323,299.51276
2000-08,2000-08-01,37.573,298.73373
2000-08,2000-08-01,37.573,298.8766
2000-08,2000-08-01,37.323,298.5011
2000-08,2000-08-01,37.323,298.71558
2000-09,2000-09-01,37.573,294.70886
2000-09,2000-09-01,37.573,295.1549
2000-09,2000-09-01,37.323,293.97906
2000-09,2000-09-01,37.323,294.2172
2000-10,2000-10-01,37.573,287.68173
2000-10,2000-10-01,37.573,288.26477
2000-10,2000-10-01,37.323,286.7982
2000-10,2000-10-01,37.323,287.04047
2000-11,2000-11-01,37.573,279.928
2000-11,2000-11-01,37.573,280.6119
2000-11,2000-11-01,37.323,278.79486
2000-11,2000-11-01,37.323,279.09995
2000-12,2000-12-01,37.573,275.19492
2000-12,2000-12-01,37.573,275.74347
2000-12,2000-12-01,37.323,274.08148
2000-12,2000-12-01,37.323,274.29376
2001-01,2001-01-01,37.573,270.9273
2001-01,2001-01-01,37.573,271.54254
2001-01,2001-01-01,37.323,269.9911
2001-01,2001-01-01,37.323,269.99048
2001-02,2001-02-01,37.573,273.01648
2001-02,2001-02-01,37.573,273.13068
2001-02,2001-02-01,37.323,272.85602
2001-02,2001-02-01,37.323,273.01672
2001-03,2001-03-01,37.573,277.6584
2001-03,2001-03-01,37.573,277.4769
2001-03,2001-03-01,37.323,277.62967
2001-03,2001-03-01,37.323,277.61243
2001-04,2001-04-01,37.573,284.07166
2001-04,2001-04-01,37.573,283.58917
2001-04,2001-04-01,37.323,284.40955
2001-04,2001-04-01,37.323,284.38553
2001-05,2001-05-01,37.573,292.04843
2001-05,2001-05-01,37.573,291.29697
2001-05,2001-05-01,37.323,292.69757
2001-05,2001-05-01,37.323,292.5254
2001-06,2001-06-01,37.573,296.3463
2001-06,2001-06-01,37.573,295.96112
2001-06,2001-06-01,37.323,296.75812
2001-06,2001-06-01,37.323,296.75568
2001-07,2001-07-01,37.573,298.51572
2001-07,2001-07-01,37.573,298.4584
2001-07,2001-07-01,37.323,298.62473
2001-07,2001-07-01,37.323,298.75034
2001-08,2001-08-01,37.573,297.84344
2001-08,2001-08-01,37.573,298.11865
2001-08,2001-08-01,37.323,297.64194
2001-08,2001-08-01,37.323,297.80316
2001-09,2001-09-01,37.573,294.20853
2001-09,2001-09-01,37.573,294.82693
2001-09,2001-09-01,37.323,293.40543
2001-09,2001-09-01,37.323,293.66205
2001-10,2001-10-01,37.573,288.85904
2001-10,2001-10-01,37.573,289.3901
2001-10,2001-10-01,37.323,288.00955
2001-10,2001-10-01,37.323,288.1841
2001-11,2001-11-01,37.573,280.92816
2001-11,2001-11-01,37.573,281.70203
2001-11,2001-11-01,37.323,279.42798
2001-11,2001-11-01,37.323,279.76538
2001-12,2001-12-01,37.573,274.05432
2001-12,2001-12-01,37.573,274.83612
2001-12,2001-12-01,37.323,272.73474
2001-12,2001-12-01,37.323,273.10907
2002-01,2002-01-01,37.573,274.132
2002-01,2002-01-01,37.573,274.56567
2002-01,2002-01-01,37.323,273.44003
2002-01,2002-01-01,37.323,273.57986
2002-02,2002-02-01,37.573,276.2447
2002-02,2002-02-01,37.573,276.3988
2002-02,2002-02-01,37.323,275.8352
2002-02,2002-02-01,37.323,275.8911
2002-03,2002-03-01,37.573,280.74097
2002-03,2002-03-01,37.573,280.46466
2002-03,2002-03-01,37.323,280.84457
2002-03,2002-03-01,37.323,280.93884
2002-04,2002-04-01,37.573,285.32855
2002-04,2002-04-01,37.573,285.10324
2002-04,2002-04-01,37.323,285.4449
2002-04,2002-04-01,37.323,285.55338
2002-05,2002-05-01,37.573,290.45386
2002-05,2002-05-01,37.573,290.21072
2002-05,2002-05-01,37.323,290.96942
2002-05,2002-05-01,37.323,290.89163
2002-06,2002-06-01,37.573,294.62064
2002-06,2002-06-01,37.573,294.30408
2002-06,2002-06-01,37.323,294.8646
2002-06,2002-06-01,37.323,294.8916
2002-07,2002-07-01,37.573,298.26306
2002-07,2002-07-01,37.573,298.19928
2002-07,2002-07-01,37.323,298.46082
2002-07,2002-07-01,37.323,298.49298
2002-08,2002-08-01,37.573,297.57455
2002-08,2002-08-01,37.573,297.7977
2002-08,2002-08-01,37.323,297.3117
2002-08,2002-08-01,37.323,297.41095
2002-09,2002-09-01,37.573,294.59946
2002-09,2002-09-01,37.573,295.0361
2002-09,2002-09-01,37.323,293.8511
2002-09,2002-09-01,37.323,294.006
2002-10,2002-10-01,37.573,286.33755
2002-10,2002-10-01,37.573,286.88474
2002-10,2002-10-01,37.323,285.2314
2002-10,2002-10-01,37.323,285.48526
2002-11,2002-11-01,37.573,278.8579
2002-11,2002-11-01,37.573,279.46686
2002-11,2002-11-01,37.323,277.53198
2002-11,2002-11-01,37.323,277.71548
2002-12,2002-12-01,37.573,274.10092
2002-12,2002-12-01,37.573,274.69495
2002-12,2002-12-01,37.323,273.10986
2002-12,2002-12-01,37.323,273.4067
2003-01,2003-01-01,37.573,270.6316
2003-01,2003-01-01,37.573,271.19183
2003-01,2003-01-01,37.323,269.66913
2003-01,2003-01-01,37.323,269.91678
2003-02,2003-02-01,37.573,273.90833
2003-02,2003-02-01,37.573,274.1039
2003-02,2003-02-01,37.323,273.5689
2003-02,2003-02-01,37.323,273.6596
2003-03,2003-03-01,37.573,277.61572
2003-03,2003-03-01,37.573,277.56726
2003-03,2003-03-01,37.323,277.64386
2003-03,2003-03-01,37.323,277.61548
2003-04,2003-04-01,37.573,284.78616
2003-04,2003-04-01,37.573,284.36478
2003-04,2003-04-01,37.323,285.19086
2003-04,2003-04-01,37.323,285.1228
2003-05,2003-05-01,37.573,290.24826
2003-05,2003-05-01,37.573,289.92877
2003-05,2003-05-01,37.323,290.63373
2003-05,2003-05-01,37.323,290.55826
2003-06,2003-06-01,37.573,294.50952
2003-06,2003-06-01,37.573,294.2464
2003-06,2003-06-01,37.323,294.75616
2003-06,2003-06-01,37.323,294.8001
2003-07,2003-07-01,37.573,296.70892
2003-07,2003-07-01,37.573,296.56754
2003-07,2003-07-01,37.323,296.65454
2003-07,2003-07-01,37.323,296.71027
2003-08,2003-08-01,37.573,297.3158
2003-08,2003-08-01,37.573,297.47186
2003-08,2003-08-01,37.323,297.26443
2003-08,2003-08-01,37.323,297.333
2003-09,2003-09-01,37.573,293.98926
2003-09,2003-09-01,37.573,294.34525
2003-09,2003-09-01,37.323,293.36053
2003-09,2003-09-01,37.323,293.52728
2003-10,2003-10-01,37.573,288.318
2003-10,2003-10-01,37.573,288.87296
2003-10,2003-10-01,37.323,287.23535
2003-10,2003-10-01,37.323,287.5071
2003-11,2003-11-01,37.573,280.98972
2003-11,2003-11-01,37.573,281.59872
2003-11,2003-11-01,37.323,279.9743
2003-11,2003-11-01,37.323,280.3425
2003-12,2003-12-01,37.573,275.2588
2003-12,2003-12-01,37.573,275.9273
2003-12,2003-12-01,37.323,274.07727
2003-12,2003-12-01,37.323,274.33417
2004-01,2004-01-01,37.573,272.1653
2004-01,2004-01-01,37.573,272.67108
2004-01,2004-01-01,37.323,271.1985
2004-01,2004-01-01,37.323,271.4111
2004-02,2004-02-01,37.573,275.51712
2004-02,2004-02-01,37.573,275.55402
2004-02,2004-02-01,37.323,274.98346
2004-02,2004-02-01,37.323,275.099
2004-03,2004-03-01,37.573,279.23895
2004-03,2004-03-01,37.573,278.98993
2004-03,2004-03-01,37.323,279.15048
2004-03,2004-03-01,37.323,279.16043
2004-04,2004-04-01,37.573,285.54752
2004-04,2004-04-01,37.573,284.84375
2004-04,2004-04-01,37.323,285.8784
2004-04,2004-04-01,37.323,285.7712
2004-05,2004-05-01,37.573,290.20126
2004-05,2004-05-01,37.573,289.6917
2004-05,2004-05-01,37.323,290.78778
2004-05,2004-05-01,37.323,290.7131
2004-06,2004-06-01,37.573,295.52048
2004-06,2004-06-01,37.573,295.19073
2004-06,2004-06-01,37.323,295.65652
2004-06,2004-06-01,37.323,295.70392
2004-07,2004-07-01,37.573,298.17203
2004-07,2004-07-01,37.573,298.1017
2004-07,2004-07-01,37.323,298.34445
