valid_time,time,latitude,t2m
2000-01,2000-01-01,-7.516,295.95935
2000-01,2000-01-01,-7.516,296.26355
2000-01,2000-01-01,-7.516,297.54706
2000-01,2000-01-01,-7.766,298.23187
2000-01,2000-01-01,-7.766,297.85986
2000-01,2000-01-01,-7.766,297.9104
2000-01,2000-01-01,-8.016,298.96893
2000-01,2000-01-01,-8.016,298.9757
2000-01,2000-01-01,-8.016,298.3916
2000-02,2000-02-01,-7.516,296.4095
2000-02,2000-02-01,-7.516,296.6864
2000-02,2000-02-01,-7.516,297.95483
2000-02,2000-02-01,-7.766,298.6015
2000-02,2000-02-01,-7.766,298.26385
2000-02,2000-02-01,-7.766,298.2929
2000-02,2000-02-01,-8.016,299.08575
2000-02,2000-02-01,-8.016,299.29895
2000-02,2000-02-01,-8.016,298.79028
2000-03,2000-03-01,-7.516,296.0379
2000-03,2000-03-01,-7.516,296.424
2000-03,2000-03-01,-7.516,297.83124
2000-03,2000-03-01,-7.766,298.1576
2000-03,2000-03-01,-7.766,297.9084
2000-03,2000-03-01,-7.766,298.07672
2000-03,2000-03-01,-8.016,298.77454
2000-03,2000-03-01,-8.016,299.01007
2000-03,2000-03-01,-8.016,298.48083
2000-04,2000-04-01,-7.516,296.39856
2000-04,2000-04-01,-7.516,296.80872
2000-04,2000-04-01,-7.516,298.25006
2000-04,2000-04-01,-7.766,298.55157
2000-04,2000-04-01,-7.766,298.2859
2000-04,2000-04-01,-7.766,298.46863
2000-04,2000-04-01,-8.016,299.17206
2000-04,2000-04-01,-8.016,299.39954
2000-04,2000-04-01,-8.016,298.85138
2000-05,2000-05-01,-7.516,296.5938
2000-05,2000-05-01,-7.516,297.05182
2000-05,2000-05-01,-7.516,298.51495
2000-05,2000-05-01,-7.766,298.79108
2000-05,2000-05-01,-7.766,298.56885
2000-05,2000-05-01,-7.766,298.83624
2000-05,2000-05-01,-8.016,299.6781
2000-05,2000-05-01,-8.016,299.8468
2000-05,2000-05-01,-8.016,299.23425
2000-06,2000-06-01,-7.516,295.6156
2000-06,2000-06-01,-7.516,296.11017
2000-06,2000-06-01,-7.516,297.6283
2000-06,2000-06-01,-7.766,297.71405
2000-06,2000-06-01,-7.766,297.55658
2000-06,2000-06-01,-7.766,297.83905
2000-06,2000-06-01,-8.016,298.89417
2000-06,2000-06-01,-8.016,298.74084
2000-06,2000-06-01,-8.016,298.04608
2000-07,2000-07-01,-7.516,295.37695
2000-07,2000-07-01,-7.516,296.2873
2000-07,2000-07-01,-7.516,298.42865
2000-07,2000-07-01,-7.766,297.48785
2000-07,2000-07-01,-7.766,297.7948
2000-07,2000-07-01,-7.766,298.31976
2000-07,2000-07-01,-8.016,299.02832
2000-07,2000-07-01,-8.016,298.85706
2000-07,2000-07-01,-8.016,298.03876
2000-08,2000-08-01,-7.516,294.66888
2000-08,2000-08-01,-7.516,295.53674
2000-08,2000-08-01,-7.516,297.8117
2000-08,2000-08-01,-7.766,296.72968
2000-08,2000-08-01,-7.766,297.02435
2000-08,2000-08-01,-7.766,297.6798
2000-08,2000-08-01,-8.016,297.95154
2000-08,2000-08-01,-8.016,298.06787
2000-08,2000-08-01,-8.016,297.38965
2000-09,2000-09-01,-7.516,295.43018
2000-09,2000-09-01,-7.516,296.3015
2000-09,2000-09-01,-7.516,298.64728
2000-09,2000-09-01,-7.766,297.64954
2000-09,2000-09-01,-7.766,297.97473
2000-09,2000-09-01,-7.766,298.63788
2000-09,2000-09-01,-8.016,298.48572
2000-09,2000-09-01,-8.016,299.00665
2000-09,2000-09-01,-8.016,298.3924
2000-10,2000-10-01,-7.516,295.69843
2000-10,2000-10-01,-7.516,296.43835
2000-10,2000-10-01,-7.516,298.32544
2000-10,2000-10-01,-7.766,297.9411
2000-10,2000-10-01,-7.766,298.04474
2000-10,2000-10-01,-7.766,298.51654
2000-10,2000-10-01,-8.016,298.78925
2000-10,2000-10-01,-8.016,299.33148
2000-10,2000-10-01,-8.016,298.8141
2000-11,2000-11-01,-7.516,296.11084
2000-11,2000-11-01,-7.516,296.5722
2000-11,2000-11-01,-7.516,298.05615
2000-11,2000-11-01,-7.766,298.28833
2000-11,2000-11-01,-7.766,298.02094
2000-11,2000-11-01,-7.766,298.2268
2000-11,2000-11-01,-8.016,298.96924
2000-11,2000-11-01,-8.016,299.12292
2000-11,2000-11-01,-8.016,298.57294
2000-12,2000-12-01,-7.516,295.95624
2000-12,2000-12-01,-7.516,296.57886
2000-12,2000-12-01,-7.516,298.2636
2000-12,2000-12-01,-7.766,298.16498
2000-12,2000-12-01,-7.766,298.0031
2000-12,2000-12-01,-7.766,298.31366
2000-12,2000-12-01,-8.016,299.24103
2000-12,2000-12-01,-8.016,299.29565
2000-12,2000-12-01,-8.016,298.65533
2001-01,2001-01-01,-7.516,295.9803
2001-01,2001-01-01,-7.516,296.37366
2001-01,2001-01-01,-7.516,297.77246
2001-01,2001-01-01,-7.766,298.2273
2001-01,2001-01-01,-7.766,297.9168
