valid_time,time,latitude,t2m
2000-01,2000-01-01,34.882,271.0443
2000-01,2000-01-01,34.882,270.9484
2000-01,2000-01-01,34.632,270.7973
2000-01,2000-01-01,34.632,270.97263
2000-02,2000-02-01,34.882,276.5063
2000-02,2000-02-01,34.882,276.53064
2000-02,2000-02-01,34.632,276.43005
2000-02,2000-02-01,34.632,276.62704
2000-03,2000-03-01,34.882,285.37842
2000-03,2000-03-01,34.882,285.58777
2000-03,2000-03-01,34.632,285.12164
2000-03,2000-03-01,34.632,285.47818
2000-04,2000-04-01,34.882,290.35388
2000-04,2000-04-01,34.882,290.61075
2000-04,2000-04-01,34.632,290.19107
2000-04,2000-04-01,34.632,290.60095
2000-05,2000-05-01,34.882,296.89868
2000-05,2000-05-01,34.882,296.97543
2000-05,2000-05-01,34.632,296.54337
2000-05,2000-05-01,34.632,296.9046
2000-06,2000-06-01,34.882,299.39963
2000-06,2000-06-01,34.882,299.4829
2000-06,2000-06-01,34.632,298.645
2000-06,2000-06-01,34.632,299.08417
2000-07,2000-07-01,34.882,300.70624
2000-07,2000-07-01,34.882,300.83124
2000-07,2000-07-01,34.632,300.2359
2000-07,2000-07-01,34.632,300.66898
2000-08,2000-08-01,34.882,299.2472
2000-08,2000-08-01,34.882,299.35132
2000-08,2000-08-01,34.632,298.79868
2000-08,2000-08-01,34.632,299.17084
2000-09,2000-09-01,34.882,294.7259
2000-09,2000-09-01,34.882,294.81024
2000-09,2000-09-01,34.632,294.30994
2000-09,2000-09-01,34.632,294.6751
2000-10,2000-10-01,34.882,287.54272
2000-10,2000-10-01,34.882,287.65155
2000-10,2000-10-01,34.632,287.10873
2000-10,2000-10-01,34.632,287.5299
2000-11,2000-11-01,34.882,280.03357
2000-11,2000-11-01,34.882,280.2787
2000-11,2000-11-01,34.632,279.80704
2000-11,2000-11-01,34.632,280.2232
2000-12,2000-12-01,34.882,277.14874
2000-12,2000-12-01,34.882,277.42792
2000-12,2000-12-01,34.632,277.11426
2000-12,2000-12-01,34.632,277.47363
2001-01,2001-01-01,34.882,272.22638
2001-01,2001-01-01,34.882,272.25983
2001-01,2001-01-01,34.632,272.0554
2001-01,2001-01-01,34.632,272.32794
2001-02,2001-02-01,34.882,276.20877
2001-02,2001-02-01,34.882,276.2007
2001-02,2001-02-01,34.632,276.02408
2001-02,2001-02-01,34.632,276.16855
2001-03,2001-03-01,34.882,284.53302
2001-03,2001-03-01,34.882,284.66937
2001-03,2001-03-01,34.632,284.35754
