valid_time,time,latitude,t2m
2000-01,2000-01-01,36.71,269.48257
2000-01,2000-01-01,36.71,269.51514
2000-01,2000-01-01,36.46,268.97192
2000-01,2000-01-01,36.46,268.78107
2000-02,2000-02-01,36.71,272.90057
2000-02,2000-02-01,36.71,272.93524
2000-02,2000-02-01,36.46,272.4574
2000-02,2000-02-01,36.46,272.32123
2000-03,2000-03-01,36.71,282.29324
2000-03,2000-03-01,36.71,282.43222
2000-03,2000-03-01,36.46,281.2674
2000-03,2000-03-01,36.46,281.22064
2000-04,2000-04-01,36.71,287.94116
2000-04,2000-04-01,36.71,288.13535
2000-04,2000-04-01,36.46,286.86337
2000-04,2000-04-01,36.46,286.9022
2000-05,2000-05-01,36.71,292.77628
2000-05,2000-05-01,36.71,292.84048
2000-05,2000-05-01,36.46,291.7809
2000-05,2000-05-01,36.46,291.70398
2000-06,2000-06-01,36.71,298.64734
2000-06,2000-06-01,36.71,298.6184
2000-06,2000-06-01,36.46,297.55698
2000-06,2000-06-01,36.46,297.32465
2000-07,2000-07-01,36.71,301.54156
2000-07,2000-07-01,36.71,301.64053
2000-07,2000-07-01,36.46,300.19272
2000-07,2000-07-01,36.46,300.0371
2000-08,2000-08-01,36.71,299.26755
2000-08,2000-08-01,36.71,299.33878
2000-08,2000-08-01,36.46,298.25363
2000-08,2000-08-01,36.46,298.03693
2000-09,2000-09-01,36.71,294.4522
2000-09,2000-09-01,36.71,294.46304
2000-09,2000-09-01,36.46,293.58615
2000-09,2000-09-01,36.46,293.33212
2000-10,2000-10-01,36.71,286.90527
2000-10,2000-10-01,36.71,286.99725
2000-10,2000-10-01,36.46,286.15363
2000-10,2000-10-01,36.46,286.02734
2000-11,2000-11-01,36.71,278.36426
2000-11,2000-11-01,36.71,278.5602
2000-11,2000-11-01,36.46,277.6303
2000-11,2000-11-01,36.46,277.638
2000-12,2000-12-01,36.71,275.1766
2000-12,2000-12-01,36.71,275.28925
2000-12,2000-12-01,36.46,274.51392
2000-12,2000-12-01,36.46,274.45874
2001-01,2001-01-01,36.71,270.6435
2001-01,2001-01-01,36.71,270.62595
2001-01,2001-01-01,36.46,270.21106
2001-01,2001-01-01,36.46,270.00433
2001-02,2001-02-01,36.71,273.98096
2001-02,2001-02-01,36.71,274.0648
2001-02,2001-02-01,36.46,273.48663
2001-02,2001-02-01,36.46,273.3944
2001-03,2001-03-01,36.71,280.85287
2001-03,2001-03-01,36.71,280.89642
2001-03,2001-03-01,36.46,279.8562
2001-03,2001-03-01,36.46,279.73727
2001-04,2001-04-01,36.71,287.13748
2001-04,2001-04-01,36.71,287.20148
2001-04,2001-04-01,36.46,286.13477
2001-04,2001-04-01,36.46,286.0435
2001-05,2001-05-01,36.71,295.49805
2001-05,2001-05-01,36.71,295.6938
2001-05,2001-05-01,36.46,294.4271
2001-05,2001-05-01,36.46,294.4383
2001-06,2001-06-01,36.71,298.6624
2001-06,2001-06-01,36.71,298.8385
2001-06,2001-06-01,36.46,297.437
2001-06,2001-06-01,36.46,297.37384
2001-07,2001-07-01,36.71,299.37244
2001-07,2001-07-01,36.71,299.50735
2001-07,2001-07-01,36.46,298.447
2001-07,2001-07-01,36.46,298.4036
2001-08,2001-08-01,36.71,298.11456
2001-08,2001-08-01,36.71,298.09192
2001-08,2001-08-01,36.46,297.27563
2001-08,2001-08-01,36.46,297.11536
2001-09,2001-09-01,36.71,293.4209
2001-09,2001-09-01,36.71,293.4334
2001-09,2001-09-01,36.46,292.55087
2001-09,2001-09-01,36.46,292.36703
2001-10,2001-10-01,36.71,288.23093
2001-10,2001-10-01,36.71,288.38605
2001-10,2001-10-01,36.46,287.4172
2001-10,2001-10-01,36.46,287.33624
2001-11,2001-11-01,36.71,279.89606
2001-11,2001-11-01,36.71,280.07697
2001-11,2001-11-01,36.46,279.2636
2001-11,2001-11-01,36.46,279.24954
2001-12,2001-12-01,36.71,271.89575
2001-12,2001-12-01,36.71,271.90973
2001-12,2001-12-01,36.46,271.43622
2001-12,2001-12-01,36.46,271.25836
2002-01,2002-01-01,36.71,274.29224
2002-01,2002-01-01,36.71,274.43903
2002-01,2002-01-01,36.46,273.76587
2002-01,2002-01-01,36.46,273.78027
2002-02,2002-02-01,36.71,278.28073
2002-02,2002-02-01,36.71,278.45532
2002-02,2002-02-01,36.46,277.4852
2002-02,2002-02-01,36.46,277.49713
2002-03,2002-03-01,36.71,283.2462
2002-03,2002-03-01,36.71,283.40555
2002-03,2002-03-01,36.46,282.2933
2002-03,2002-03-01,36.46,282.29953
2002-04,2002-04-01,36.71,287.28314
2002-04,2002-04-01,36.71,287.3675
2002-04,2002-04-01,36.46,286.26712
2002-04,2002-04-01,36.46,286.19678
2002-05,2002-05-01,36.71,292.61673
2002-05,2002-05-01,36.71,292.6283
2002-05,2002-05-01,36.46,291.66434
2002-05,2002-05-01,36.46,291.52225
2002-06,2002-06-01,36.71,297.2105
2002-06,2002-06-01,36.71,297.12976
2002-06,2002-06-01,36.46,296.16156
2002-06,2002-06-01,36.46,295.83997
2002-07,2002-07-01,36.71,300.371
2002-07,2002-07-01,36.71,300.27707
2002-07,2002-07-01,36.46,299.54758
2002-07,2002-07-01,36.46,299.24304
2002-08,2002-08-01,36.71,298.96576
2002-08,2002-08-01,36.71,298.80396
2002-08,2002-08-01,36.46,298.1909
2002-08,2002-08-01,36.46,297.93225
2002-09,2002-09-01,36.71,294.53238
2002-09,2002-09-01,36.71,294.64548
2002-09,2002-09-01,36.46,293.64206
2002-09,2002-09-01,36.46,293.56137
2002-10,2002-10-01,36.71,286.07108
2002-10,2002-10-01,36.71,286.17145
2002-10,2002-10-01,36.46,285.2316
2002-10,2002-10-01,36.46,285.14932
2002-11,2002-11-01,36.71,277.91388
2002-11,2002-11-01,36.71,278.13586
2002-11,2002-11-01,36.46,277.3362
2002-11,2002-11-01,36.46,277.43384
2002-12,2002-12-01,36.71,271.7541
2002-12,2002-12-01,36.71,271.8858
2002-12,2002-12-01,36.46,271.30573
2002-12,2002-12-01,36.46,271.26166
2003-01,2003-01-01,36.71,270.17786
2003-01,2003-01-01,36.71,270.28265
2003-01,2003-01-01,36.46,269.68045
2003-01,2003-01-01,36.46,269.66528
2003-02,2003-02-01,36.71,274.74637
2003-02,2003-02-01,36.71,274.82687
2003-02,2003-02-01,36.46,274.21228
2003-02,2003-02-01,36.46,274.12866
2003-03,2003-03-01,36.71,279.57965
2003-03,2003-03-01,36.71,279.56775
2003-03,2003-03-01,36.46,278.78802
2003-03,2003-03-01,36.46,278.62128
2003-04,2003-04-01,36.71,287.07953
2003-04,2003-04-01,36.71,287.17502
2003-04,2003-04-01,36.46,286.06342
2003-04,2003-04-01,36.46,286.01947
2003-05,2003-05-01,36.71,292.8947
2003-05,2003-05-01,36.71,292.89032
2003-05,2003-05-01,36.46,291.77557
2003-05,2003-05-01,36.46,291.60394
2003-06,2003-06-01,36.71,297.09195
2003-06,2003-06-01,36.71,297.13156
2003-06,2003-06-01,36.46,295.90924
