variable,value,Period
NDVI,-5.049444517651809,day
dw,-1.316221812859722,day
NDVI,-2.8961523776281033,night
dw,-0.734392484131285,night
NDVI,-5.254543481820676,day
dw,-1.441366201871169,day
NDVI,-2.934715702154498,night
dw,-0.8153131988550444,night
NDVI,-5.031634408120998,day
dw,-1.3041375797702797,day
NDVI,-2.8546984709023118,night
dw,-0.7538663055382746,night
NDVI,-5.388188419248985,day
dw,-1.4198869007686121,day
NDVI,-3.0755831632954087,night
dw,-0.7882668606078896,night
NDVI,-4.53739667785335,day
dw,-1.2287758933541364,day
NDVI,-2.7952745697336865,night
dw,-0.6803079295241875,night
NDVI,-5.199717986115333,day
dw,-1.3885533740366796,day
NDVI,-2.6547604919416554,night
dw,-0.598942210855476,night
NDVI,-5.386147530248918,day
dw,-1.4138736649390804,day
NDVI,-3.21943732828898,night
dw,-0.7873634242652519,night
NDVI,-4.826812887816242,day
dw,-1.2721628744340767,day
NDVI,-2.9771605050596226,night
dw,-0.7056217166752996,night
NDVI,-4.974242096295517,day
dw,-1.3033928732359663,day
NDVI,-2.8867495983579796,night
dw,-0.7055070557821694,night
NDVI,-5.150712491810181,day
dw,-1.329821522389343,day
NDVI,-2.526253111032657,night
dw,-0.593681672559702,night
NDVI,-4.911737584962408,day
dw,-1.2310743501779668,day
NDVI,-2.984726679677683,night
dw,-0.6491823288981831,night
NDVI,-5.076544890572847,day
dw,-1.1707912444662345,day
NDVI,-3.037105003964384,night
dw,-0.676560702193651,night
NDVI,-4.602609538407583,day
dw,-0.9874244669453135,day
NDVI,-2.582602077232448,night
dw,-0.4416471751563892,night
NDVI,-4.886559621651608,day
dw,-1.1978062521858603,day
NDVI,-3.021398851912134,night
dw,-0.7255901088780827,night
NDVI,-4.983386149427696,day
dw,-1.169155598989496,day
NDVI,-3.225917702737751,night
dw,-0.8035853290877303,night
NDVI,-4.893239358142761,day
dw,-1.3983643643824606,day
NDVI,-2.8777632625032976,night
dw,-0.6040579401182452,night
NDVI,-4.802912326875827,day
dw,-1.2545874818276241,day
NDVI,-2.69894351784562,night
dw,-0.6292754053402513,night
NDVI,-4.832721046303417,day
dw,-1.1857493383749824,day
NDVI,-2.58932687760386,night
dw,-0.5102254346355719,night
NDVI,-4.832425547851409,day
dw,-1.1649728946756779,day
NDVI,-2.9594319108420772,night
dw,-0.5621068123194144,night
NDVI,-4.874997348845296,day
dw,-1.3029685629548569,day
NDVI,-2.918974027953591,night
dw,-0.6305635706551753,night
NDVI,-4.595824322635531,day
dw,-1.0581289113327925,day
NDVI,-2.988202732106308,night
dw,-0.5575735841455641,night
NDVI,-4.704695058089353,day
dw,-1.1753913849898456,day
NDVI,-2.803076633713687,night
dw,-0.6410292656639783,night
NDVI,-5.221477440776263,day
dw,-1.4084741346966785,day
NDVI,-2.9619661548930862,night
dw,-0.6470791349179483,night
NDVI,-5.274812262911122,day
dw,-1.33055196036685,day
NDVI,-3.31523145032651,night
dw,-0.780130677496599,night
NDVI,-4.955715656461526,day
dw,-1.1394184100062503,day
NDVI,-2.7009779906552236,night
dw,-0.6181491970930658,night
