city,ep,year,pop,epdays,epnights
Guangzhou,156681548.9767768,2010,60746024.828537114,151669017.24310452,161694080.7104491
Guangzhou,277556624.6276662,2011,60515141.96500032,200951064.9779937,354162184.2773386
Guangzhou,147158978.8426193,2012,60284259.00904616,105503990.44507739,188813967.24016118
Guangzhou,210867420.77163503,2013,60053376.15579723,150286593.5551458,271448247.98812425
Guangzhou,123318270.62306519,2014,59822493.226761766,80415807.46681637,166220733.779314
Guangzhou,310067506.0570017,2015,59591610.30791761,244645031.4319746,375489980.68202883
Guangzhou,322445536.6493039,2016,59503802.12887726,291757204.2797862,353133869.01882166
Guangzhou,256814656.9044803,2017,59415994.03286749,195305570.43715775,318323743.37180287
Guangzhou,118727612.85345472,2018,59328185.86154957,94838628.72170156,142616596.9852079
Guangzhou,132678485.18114142,2019,59240377.68320377,85994569.68467912,179362400.67760372
Guangzhou,258563816.5176483,2020,59152569.5273733,219646811.90228355,297480821.13301307
Los Angeles,116369564.87604189,2010,21448464.95535152,61867357.92509807,170871771.82698572
Los Angeles,93981499.10924023,2011,21589389.701937374,48006333.46994979,139956664.7485307
Los Angeles,199375013.01416275,2012,21730314.46095752,80841667.35871537,317908358.66961014
Los Angeles,136970495.56816685,2013,21871239.24153766,62415321.22136546,211525669.91496822
Los Angeles,240273367.86502576,2014,22012163.973557375,104384103.53444627,376162632.1956052
Los Angeles,226045241.8365979,2015,22153088.739859696,64048542.38649416,388041941.2867016
Los Angeles,203409347.52504975,2016,22250375.900142588,149595057.93438318,257223637.11571634
Los Angeles,205683650.9092504,2017,22347663.06455893,93050968.35952973,318316333.4589711
Los Angeles,256948205.62749872,2018,22444950.21551068,166325131.233059,347571280.02193844
Los Angeles,168687921.21484613,2019,22542237.382591072,93373807.92733505,244002034.50235724
Los Angeles,257358278.99611664,2020,22639524.541178107,173619122.99997374,341097434.9922595
New York,336121422.94343525,2010,27624009.533905715,325353832.54317224,346889013.34369826
New York,262109479.50324512,2011,27692796.026532657,232219069.39648432,291999889.6100059
New York,230200705.06167123,2012,27761582.523684643,246079553.0817936,214321857.04154885
New York,182765687.91994643,2013,27830369.041520502,167357387.00122577,198173988.8386671
New York,98986542.597444,2014,27899155.572820738,159480268.4241187,38492816.7707693
New York,250532643.0289285,2015,27967942.08587402,212630975.53011578,288434310.5277412
New York,222285332.1776848,2016,27997010.189592488,199952639.46425486,244618024.89111477
New York,161963856.0367786,2017,28026078.276849,164217096.34045064,159710615.73310655
New York,251018327.13369283,2018,28055146.413981203,196028665.71733046,306007988.5500552
New York,201340843.43281797,2019,28084214.50426018,222523472.23841482,180158214.6272211
New York,270354425.672862,2020,28113282.592632815,297360609.2881557,243348242.0575683
Tokyo,749195949.8269938,2010,52326748.61748182,612233354.7079077,886158544.94608
Tokyo,557439502.2634925,2011,52496303.179935634,470898235.7224699,643980768.804515
Tokyo,660301989.4741244,2012,52665857.74249644,560022128.0748999,760581850.8733491
Tokyo,481410599.28423744,2013,52835412.25051306,433016333.57159,529804864.9968849
Tokyo,377289506.6721557,2014,53004966.82399375,390403109.0781226,364175904.26618874
Tokyo,482559638.18845963,2015,53174521.35876031,440044113.55495614,525075162.82196313
Tokyo,325922231.1284679,2016,53261471.27151407,301997487.1851146,349846975.07182115
Tokyo,365847748.9192145,2017,53348421.16587594,308689134.3251524,423006363.5132766
Tokyo,589200642.9874845,2018,53435371.09589787,563986364.4159281,614414921.5590407
Tokyo,472321087.715389,2019,53522320.994245514,420049000.13421965,524593175.2965583
Tokyo,457979182.9707672,2020,53609270.914613634,402145783.1541773,513812582.7873571
Jakarta,73488822.70031984,2010,50467433.52856818,122051354.54955083,24926290.851088844
Jakarta,95530492.85835555,2011,51488500.29435949,111760354.88557613,79300630.83113499
Jakarta,142385345.36242962,2012,52509567.061734095,126594180.2079103,158176510.5169489
Jakarta,45154274.293684736,2013,53530633.82727507,68840776.7851898,21467771.802179664
Jakarta,140440369.84291503,2014,54551700.65717161,167134253.87315047,113746485.8126796
Jakarta,294506686.058552,2015,55572767.386974856,398407868.9672157,190605503.1498883
Jakarta,20710083.394634135,2016,56534993.432719804,15362827.180927277,26057339.60834099
Jakarta,185879623.92466438,2017,57497219.48292849,175636050.70549393,196123197.1438348
Jakarta,214394049.0095657,2018,58459445.50237056,171928394.469123,256859703.55000842
Jakarta,324927145.4100004,2019,59421671.579450235,385557310.9059494,264296979.91405135
Jakarta,25028772.72405612,2020,60383897.65150221,9922588.048691258,40134957.399420984
Chicago,143986581.29330358,2010,13050121.868311886,134994913.004277,152978249.58233017
Chicago,137556943.01993912,2011,13086879.88809682,126380496.4146092,148733389.62526906
Chicago,261064721.81664672,2012,13123637.90326665,277694425.3865603,244435018.24673313
Chicago,90855984.50243115,2013,13160395.915411212,89843659.5311186,91868309.47374372
Chicago,33441570.288178854,2014,13197153.93173309,37735820.92240576,29147319.653951947
Chicago,69017165.61683543,2015,13233911.94970601,63581482.71007407,74452848.5235968
Chicago,112981676.04185557,2016,13252341.314992368,103615746.67190947,122347605.4118017
Chicago,60984771.8517728,2017,13270770.635871924,84759900.59075934,37209643.11278626
