city,ep0,ep0F,ep1F,deltaExposure0,deltaExposure1,deltaNDVIGlobal0,deltaNDVIGlobal1,deltaNDVILocal,di
Guangzhou,243940936.64905828,222579170.26473182,221725047.532691,-8.756942019558702,-9.107077074286968,22.418835006717483,6.751968519426004,0.14,0.1
Los Angeles,185349154.3246978,177297098.90456662,176975630.64466858,-4.344263371186172,-4.517702662597712,29.859159101067434,9.307022701846138,0.14,0.1
New York,185296983.00341883,176101166.29181504,175381474.87758678,-4.962744974338909,-5.351143858423806,10.13323377878236,4.614223107447679,0.14,0.1
Tokyo,441716065.8966999,422469299.03484404,421651843.4135116,-4.357271185684455,-4.542334778441264,16.227620208934926,6.140417415874879,0.14,0.1
Jakarta,167335492.93904293,147192245.84104288,146266123.71785527,-12.03764171259103,-12.591094005897968,14.74071230433106,4.986738084197053,0.14,0.1
Chicago,92079604.55133203,87295825.976475,87089711.45988736,-5.195264030690089,-5.419107864068783,15.596577125758328,6.645854733447868,0.14,0.1
Dallas,77862173.25231297,74647985.32959196,74519345.53880629,-4.128048047548599,-4.293262792285831,21.01478456905699,7.336803396945974,0.14,0.1
Houston,63748692.18845348,60765148.6589555,60644428.27391799,-4.680164293689428,-4.869533488402691,16.936055049488107,5.316146078566873,0.14,0.1
Shanghai,258268023.30098388,244286269.07758105,243727401.88050926,-5.413660601377889,-5.6300509968781824,21.71787546589059,8.446395328232601,0.14,0.1
Dhaka,131866518.95524879,117765408.20607105,117201576.54483494,-10.693473112733944,-11.12105068564876,19.619540150464108,7.4988811705531075,0.14,0.1
Osaka [Kyoto],203191232.6703599,194235290.7847783,193843977.52386224,-4.407641888816614,-4.600225621772695,13.797626364297523,4.3536689719145345,0.14,0.1
Miami,43083775.25676496,40447842.603281446,40342515.91305928,-6.118156168474643,-6.362625669103254,20.33218932670188,6.354138640162443,0.14,0.1
Kolkata,227994615.4396025,215029932.8740115,214511553.36607328,-5.686398575945952,-5.913763378811453,20.106213551206647,6.997951079014266,0.14,0.1
Nagoya,96405540.15123624,91410305.20264503,91186708.08768111,-5.181481210265432,-5.413415095613879,14.969575321926706,7.0838598490755595,0.14,0.1
Bangkok,85371363.65865003,77966267.91847014,77670200.32380871,-8.673980855909146,-9.020780510937769,22.368567834876853,7.870939806897291,0.14,0.1
Detroit,37162638.03287753,34873647.913038984,34769810.28579809,-6.1593854500143115,-6.438799487169133,15.473233775689987,7.030365214894592,0.14,0.1
Comilla,30989110.30239721,24808949.91570668,24562010.74942167,-19.943006838155192,-20.739864714600603,18.6144556676334,11.454975886536317,0.14,0.1
Delhi [New Delhi],516788064.6715856,500025238.58575034,499356447.8453199,-3.2436558101410315,-3.3730687718849186,30.423592958644093,7.143686386388707,0.14,0.1
Jieyang,75468176.94928461,69834674.91655901,69610282.43226576,-7.464738463884418,-7.7620723778122,18.3340057165895,5.770416079326914,0.14,0.1
Seoul,286389674.4729268,273809938.1063169,273301668.44331574,-4.39252441267713,-4.569999268897628,17.08913153262208,5.706083110930778,0.14,0.1
Phoenix,68510564.71281508,66342383.79212436,66256050.904302105,-3.1647395256182316,-3.2907535034392414,49.65443188093349,14.902302866452947,0.14,0.1
Beijing,320007664.0591794,309344676.1983577,308916706.86020947,-3.332103902002111,-3.465841117142399,17.18713762331305,4.912301040317306,0.14,0.1
Mexico City,246412477.96422887,237199243.09897712,236830921.56072378,-3.738948182075915,-3.888421756343045,25.87946335261505,7.4898182723979705,0.14,0.1
Quezon City [Manila],145972021.52533314,136013244.27691662,135613700.74940956,-6.822387704405524,-7.096100107187948,16.69209205520297,4.110855612261422,0.14,0.1
Toronto,75626631.21599022,71745563.29516044,71575412.3097743,-5.131879945498848,-5.356868131076221,14.241716113370254,3.973528567397916,0.14,0.1
São Paulo,173282511.90095097,163879198.24876547,163484083.87733373,-5.426579721767004,-5.654597175517667,13.406430872629981,4.399229275073734,0.14,0.1
Buenos Aires,196654806.6448514,189277447.99878883,188983100.2525909,-3.751425542008586,-3.9011029138561586,18.67459624165199,7.0195252238074834,0.14,0.1
Suzhou,105001548.0006419,97632302.92829895,97338034.18883185,-7.01822517159261,-7.298476982228108,21.764121984327755,9.681733245679057,0.14,0.1
Seattle,31710166.466289897,29641924.164274495,29519012.36047951,-6.522331896977224,-6.9099419838736384,12.083349773046312,5.552883847014247,0.14,0.1
Moscow,265433849.8460681,253782783.41305247,253311787.21728548,-4.389442582312842,-4.566886490103853,13.893465948280646,3.781680001267064,0.14,0.1
London,148830027.31024683,140645775.29994342,140311237.70206922,-5.499059671098998,-5.723837966124656,16.83280318932801,5.543058654157867,0.14,0.1
Tijuana,61278219.76272307,58912098.119171456,58817702.2829401,-3.861276735377654,-4.015321413236885,30.348115648932676,7.752684565338697,0.14,0.1
Surabaya,51518858.17272873,46698598.186195694,46503447.431972474,-9.356302056175268,-9.735096853158021,17.50492002094318,7.229149089725431,0.14,0.1
Johannesburg,95532333.30135363,91587531.09615299,91430304.62998372,-4.129284891175946,-4.2938642128944915,21.477024555210786,5.993126571363347,0.14,0.1
Paris,164992728.8657415,157976174.68038023,157652755.4678837,-4.252644485364445,-4.448664767421658,16.186700288136922,5.1358527855762235,0.14,0.1
Melbourne,48499987.225265995,46305781.18965104,46216821.11641971,-4.524137347549412,-4.707560227267178,22.359050820018176,8.546064904043407,0.14,0.1
Cairo,584935702.4046577,573247841.6930616,572781523.6127955,-1.9981445248678777,-2.077865779417582,40.10869021589877,8.167115820014065,0.14,0.1
Yogyakarta,17715585.181019716,13495813.332999498,13352281.643892273,-23.81954536021331,-24.629745461652817,14.590344388983521,8.373059461290959,0.14,0.1
